Open,Close,High,Low,Value,Volume,Date
5560.1,5560.1,5560.1,5560.1,5560.1,1,2014-06-10 16:20:00
5560.3,5565.0,5565.0,5560.2,33366.100000000006,6,2014-06-16 12:20:00
5565.0,5565.0,5565.0,5565.0,16695.0,3,2014-06-16 15:40:00
5564.9,5565.0,5565.0,5564.9,11129.9,2,2014-06-17 17:40:00
5900.0,5900.0,5900.0,5900.0,59000.0,10,2014-06-20 16:10:00
5350.0,5650.0,5650.0,5350.0,55000.0,10,2014-06-20 16:40:00
5350.0,5350.0,5350.0,5350.0,26750.0,5,2014-06-20 16:50:00
5600.0,5600.0,5600.0,5600.0,28000.0,5,2014-06-20 17:00:00
5306.0,5300.0,5306.0,5300.0,42406.4,8,2014-06-20 18:30:00
5900.0,5900.0,5900.0,5900.0,29500.0,5,2014-06-23 11:30:00
5900.0,5900.0,5900.0,5900.0,17700.0,3,2014-06-23 11:50:00
5900.0,5900.0,5900.0,5900.0,11800.0,2,2014-06-23 12:00:00
5500.0,5500.0,5500.0,5500.0,280500.0,51,2014-06-24 17:40:00
5500.0,5500.0,5500.0,5500.0,11000.0,2,2014-06-24 18:00:00
5500.0,5500.0,5500.0,5500.0,5500.0,1,2014-06-24 18:10:00
5400.0,5202.2,5400.0,5202.2,32080.2,6,2014-06-25 11:10:00
5203.3,5203.3,5203.3,5203.3,5203.3,1,2014-06-26 11:10:00
5007.5,5000.0,5007.5,5000.0,205011.1,41,2014-06-26 11:50:00
4902.5,4900.0,4902.5,4900.0,63705.0,13,2014-06-26 12:10:00
4900.0,4900.0,4900.0,4900.0,602700.0,123,2014-06-26 12:30:00
5198.4,5554.3,5554.3,5198.4,213552.69999999998,41,2014-06-26 12:40:00
5198.9,5198.9,5198.9,5198.9,5198.9,1,2014-06-26 15:20:00
5189.0,5189.0,5189.0,5189.0,5189.0,1,2014-06-26 16:20:00
5189.0,5190.0,5190.0,5189.0,31139.0,6,2014-06-26 18:20:00
5198.9,5198.9,5198.9,5198.9,10397.8,2,2014-06-26 18:30:00
5277.7,5277.7,5277.7,5277.7,5277.7,1,2014-06-27 11:10:00
5249.9,5249.9,5249.9,5249.9,5249.9,1,2014-06-27 18:30:00
5250.0,5250.0,5250.0,5250.0,5250.0,1,2014-06-30 10:30:00
5001.0,5001.0,5001.0,5001.0,5001.0,1,2014-06-30 12:00:00
5250.0,5299.8,5299.8,5250.0,10549.8,2,2014-06-30 14:50:00
5279.6,5279.6,5279.6,5279.6,10559.2,2,2014-07-01 11:50:00
5449.9,5449.9,5449.9,5449.9,5449.9,1,2014-07-02 11:10:00
5250.0,5250.0,5250.0,5250.0,5250.0,1,2014-07-02 17:10:00
5275.0,5275.0,5275.0,5275.0,5275.0,1,2014-07-02 17:50:00
5078.2,5078.2,5078.2,5078.2,5078.2,1,2014-07-02 18:20:00
5250.0,6600.0,6600.0,5250.0,55273.0,10,2014-07-03 10:10:00
5300.0,5300.0,5300.0,5300.0,5300.0,1,2014-07-03 10:30:00
