Open,Close,High,Low,Value,Volume,Date
485.0,485.0,485.0,485.0,9700.0,20,2014-06-09 11:20:00
489.99,489.99,489.99,489.99,4899.9,10,2014-06-09 15:30:00
489.99,494.97,494.97,489.99,78448.3,160,2014-06-10 10:40:00
495.0,495.0,495.0,495.0,4950.0,10,2014-06-10 10:50:00
494.95,494.95,494.95,494.95,4949.5,10,2014-06-11 10:30:00
490.0,490.0,490.0,490.0,49000.0,100,2014-06-11 14:10:00
467.0,467.0,467.0,467.0,4670.0,10,2014-06-16 10:20:00
494.99,494.99,494.99,494.99,4949.9,10,2014-06-16 11:40:00
494.99,494.99,494.99,494.99,24749.5,50,2014-06-16 12:10:00
480.0,480.0,480.0,480.0,4800.0,10,2014-06-16 12:30:00
494.98,494.98,494.98,494.98,4949.8,10,2014-06-16 13:20:00
494.98,494.99,494.99,494.98,148496.6,300,2014-06-16 15:00:00
498.5,498.5,498.5,498.5,4985.0,10,2014-06-16 15:20:00
498.5,520.0,520.0,498.5,74990.0,150,2014-06-17 10:00:00
514.99,514.99,514.99,514.99,5149.9,10,2014-06-18 18:30:00
529.9,529.9,529.9,529.9,5299.0,10,2014-06-19 10:00:00
500.0,500.0,500.0,500.0,5000.0,10,2014-06-19 12:00:00
530.0,530.0,530.0,530.0,5300.0,10,2014-06-19 12:10:00
525.0,529.9,529.9,525.0,10549.0,20,2014-06-20 11:00:00
530.0,628.0,628.0,530.0,28080.0,50,2014-06-23 10:10:00
539.98,539.98,539.98,539.98,10799.6,20,2014-06-25 11:00:00
539.98,539.98,539.98,539.98,10799.6,20,2014-06-25 11:10:00
515.01,549.98,549.98,515.0,31249.899999999998,60,2014-06-25 11:20:00
510.0,515.0,547.99,499.99,584511.3,1160,2014-06-25 11:40:00
510.0,510.0,510.0,510.0,10200.0,20,2014-06-25 12:20:00
510.0,510.0,510.0,510.0,5100.0,10,2014-06-25 13:20:00
510.0,510.0,510.0,510.0,5100.0,10,2014-06-25 13:30:00
534.98,534.98,534.98,534.98,5349.8,10,2014-06-25 13:40:00
509.0,508.0,509.0,508.0,20330.2,40,2014-06-25 14:50:00
506.0,502.0,506.0,502.0,25160.0,50,2014-06-25 15:10:00
504.99,505.0,505.0,504.99,15149.9,30,2014-06-25 15:40:00
504.0,504.0,504.0,504.0,5040.0,10,2014-06-25 16:50:00
503.0,503.0,503.0,503.0,5030.0,10,2014-06-25 17:10:00
502.0,502.0,502.0,502.0,5020.0,10,2014-06-25 17:20:00
502.0,502.0,502.0,502.0,30120.0,60,2014-06-25 17:30:00
503.0,503.0,503.0,503.0,10060.0,20,2014-06-25 18:30:00
510.0,530.0,530.0,510.0,1689089.9,3310,2014-06-26 10:00:00
510.0,509.99,510.0,480.01,24900.1,50,2014-06-27 10:00:00
485.11,485.11,485.11,485.11,4851.1,10,2014-06-27 10:10:00
509.99,510.0,510.0,509.99,40799.9,80,2014-06-27 15:40:00
509.98,509.98,509.98,509.98,10199.6,20,2014-06-27 15:50:00
509.98,509.98,509.98,509.98,5099.8,10,2014-06-27 16:00:00
509.0,510.0,510.0,509.0,40769.4,80,2014-07-02 17:10:00
510.0,510.0,510.0,510.0,51000.0,100,2014-07-02 17:30:00
475.0,475.0,475.0,475.0,9500.0,20,2014-07-03 13:50:00
509.99,509.99,509.99,509.99,5099.9,10,2014-07-03 15:10:00
509.99,509.99,509.99,509.99,15299.7,30,2014-07-03 16:00:00
499.99,499.99,499.99,499.99,24999.5,50,2014-07-09 10:10:00
468.0,468.0,468.0,468.0,4680.0,10,2014-07-14 16:30:00
457.11,457.11,457.11,457.11,4571.1,10,2014-07-23 17:00:00
450.02,450.02,450.02,450.02,4500.2,10,2014-07-24 10:40:00
498.99,498.99,498.99,498.99,24949.5,50,2014-07-29 10:10:00
497.95,497.95,497.95,497.95,9959.0,20,2014-07-30 13:30:00
464.5,464.5,464.5,464.5,4645.0,10,2014-07-31 12:50:00
450.03,450.03,450.03,450.03,13500.900000000001,30,2014-08-06 16:20:00
450.03,450.03,450.03,450.03,36002.4,80,2014-08-06 16:30:00
430.0,430.0,430.0,430.0,154800.0,360,2014-08-06 17:00:00
430.03,430.0,430.03,430.0,21500.4,50,2014-08-06 18:10:00
430.0,430.0,430.0,430.0,206400.0,480,2014-08-12 13:40:00
450.0,450.0,450.0,450.0,45000.0,100,2014-08-12 18:30:00
441.0,498.92,498.92,441.0,113769.09999999999,250,2014-08-13 15:20:00
455.08,455.08,455.08,455.08,45508.0,100,2014-08-13 16:20:00
487.92,490.0,490.0,487.92,509538.5,1040,2014-08-18 11:40:00
489.98,489.98,489.98,489.98,4899.8,10,2014-08-18 17:20:00
450.0,450.0,450.0,450.0,36000.0,80,2014-08-22 12:30:00
460.0,460.0,460.0,460.0,9200.0,20,2014-08-22 14:10:00
460.0,460.0,460.0,460.0,4600.0,10,2014-08-22 17:10:00
440.0,440.0,440.0,440.0,176000.0,400,2014-08-29 18:30:00
449.99,449.99,449.99,449.99,8999.8,20,2014-09-03 17:30:00
449.99,449.99,449.99,449.99,4499.9,10,2014-09-03 18:30:00
479.89,479.94,479.94,479.89,23996.0,50,2014-09-04 15:50:00
465.0,465.0,465.0,465.0,13950.0,30,2014-09-05 18:20:00
465.0,465.0,465.0,465.0,13950.0,30,2014-09-08 17:40:00
449.0,449.0,449.0,449.0,4490.0,10,2014-09-16 11:10:00
445.0,445.0,445.0,445.0,4450.0,10,2014-09-16 13:30:00
445.0,445.0,445.0,445.0,8900.0,20,2014-09-16 15:30:00
449.0,449.0,449.0,449.0,17960.0,40,2014-09-16 16:10:00
455.0,455.0,455.0,455.0,4550.0,10,2014-09-16 17:10:00
455.0,460.0,460.0,455.0,55100.0,120,2014-09-17 11:30:00
474.92,474.92,474.92,474.92,4749.2,10,2014-09-24 13:40:00
442.0,442.0,442.0,442.0,4420.0,10,2014-09-24 15:00:00
457.03,457.03,457.03,457.03,4570.3,10,2014-09-25 17:40:00
440.0,440.0,440.0,440.0,35200.0,80,2014-10-06 13:30:00
450.0,450.0,450.0,450.0,4500.0,10,2014-10-06 17:10:00
440.0,440.0,440.0,440.0,110000.0,250,2014-10-06 17:20:00
440.0,440.0,440.0,440.0,44000.0,100,2014-10-06 17:50:00
436.0,436.0,436.0,436.0,4360.0,10,2014-10-07 12:10:00
430.0,430.0,430.0,430.0,4300.0,10,2014-10-07 12:20:00
440.0,440.0,440.0,440.0,4400.0,10,2014-10-08 10:40:00
435.0,435.0,435.0,435.0,26100.0,60,2014-10-08 11:50:00
435.0,435.0,435.0,435.0,4350.0,10,2014-10-08 12:20:00
440.0,440.0,440.0,440.0,44000.0,100,2014-10-09 10:00:00
440.0,440.0,440.0,440.0,44000.0,100,2014-10-09 10:50:00
413.0,419.0,419.0,413.0,16700.0,40,2014-10-10 12:10:00
413.0,413.0,413.0,413.0,20650.0,50,2014-10-10 12:20:00
421.0,421.0,421.0,421.0,4210.0,10,2014-10-10 18:30:00
425.0,425.0,425.0,425.0,8500.0,20,2014-10-13 16:50:00
436.0,436.0,436.0,436.0,4360.0,10,2014-10-14 11:30:00
431.0,431.0,431.0,431.0,4310.0,10,2014-10-17 17:40:00
427.0,427.0,427.0,427.0,55510.0,130,2014-10-23 13:10:00
438.0,438.0,438.0,438.0,4380.0,10,2014-10-29 17:40:00
437.0,437.0,437.0,437.0,4370.0,10,2014-11-14 18:00:00
413.0,413.0,413.0,413.0,4130.0,10,2014-11-18 13:50:00
449.0,449.0,449.0,449.0,4490.0,10,2014-11-18 14:40:00
460.0,460.0,460.0,460.0,9200.0,20,2014-11-19 10:00:00
459.0,459.0,459.0,459.0,4590.0,10,2014-11-20 12:30:00
440.0,440.0,440.0,440.0,8800.0,20,2014-11-24 11:30:00
426.0,417.0,426.0,417.0,33760.0,80,2014-11-24 15:10:00
440.0,440.0,440.0,440.0,4400.0,10,2014-11-24 15:20:00
417.0,416.0,417.0,416.0,8330.0,20,2014-11-25 10:00:00
435.0,435.0,435.0,435.0,13050.0,30,2014-11-25 17:10:00
435.0,435.0,435.0,435.0,4350.0,10,2014-11-25 18:00:00
435.0,435.0,435.0,435.0,21750.0,50,2014-11-25 18:30:00
429.0,429.0,429.0,429.0,4290.0,10,2014-11-27 15:10:00
420.0,420.0,420.0,420.0,84000.0,200,2014-11-27 15:50:00
420.0,420.0,420.0,420.0,4200.0,10,2014-11-27 18:10:00
434.0,434.0,434.0,434.0,4340.0,10,2014-12-01 18:20:00
430.0,430.0,430.0,430.0,4300.0,10,2014-12-01 18:30:00
420.0,420.0,420.0,420.0,4200.0,10,2014-12-11 16:00:00
416.0,416.0,416.0,416.0,33280.0,80,2014-12-12 16:10:00
405.0,400.0,405.0,400.0,40120.0,100,2014-12-16 10:40:00
400.0,400.0,400.0,400.0,4000.0,10,2014-12-16 10:50:00
400.0,400.0,400.0,400.0,32000.0,80,2014-12-16 13:10:00
380.0,380.0,380.0,380.0,133000.0,350,2014-12-16 15:40:00
370.0,370.0,370.0,370.0,3700.0,10,2014-12-16 15:50:00
