Open,Close,High,Low,Value,Volume,Date
2.5,2.5,2.5,2.5,2500,1000,2014-06-17 15:20:00
3.0,1.521,3.0,1.521,4521,2000,2014-08-21 13:30:00
2.5,2.5,2.5,2.5,2500,1000,2014-08-22 10:40:00
2.6,2.6,2.6,2.6,18200,7000,2014-08-22 14:50:00
2.6,2.6,2.6,2.6,2600,1000,2014-08-22 18:10:00
2.63,2.65,2.65,2.63,18510,7000,2014-08-25 12:50:00
1.63,1.8,1.8,1.62,8290,5000,2014-10-01 15:40:00
2.0,2.05,2.05,2.0,4050,2000,2014-10-01 16:40:00
2.05,2.05,2.05,2.05,4100,2000,2014-10-01 16:50:00
2.35,2.35,2.35,2.35,2350,1000,2014-10-02 12:00:00
2.45,2.45,2.45,2.45,2450,1000,2014-10-02 15:20:00
1.61,2.0,2.0,1.6,8810,5000,2014-10-17 11:10:00
2.0,2.0,2.0,2.0,2000,1000,2014-10-17 12:10:00
2.0,2.0,2.0,2.0,4000,2000,2014-10-17 14:00:00
2.5,2.5,2.5,2.5,2500,1000,2014-11-03 14:20:00
2.5,2.5,2.5,2.5,2500,1000,2014-11-13 11:30:00
2.5,2.5,2.5,2.5,5000,2000,2014-12-16 16:30:00
1.62,1.62,1.62,1.62,6480,4000,2015-01-13 16:20:00
1.99,2.0,2.0,1.99,7990,4000,2015-01-13 16:30:00
2.0,2.0,2.0,2.0,2000,1000,2015-01-15 16:20:00
1.64,1.64,1.64,1.64,4920,3000,2015-02-06 17:40:00
2.3,2.48,2.48,2.3,4780,2000,2015-02-09 16:00:00
2.5,2.5,2.5,2.5,5000,2000,2015-02-09 16:20:00
2.5,2.5,2.5,2.5,2500,1000,2015-02-09 16:30:00
2.49,2.5,2.5,2.49,42340,17000,2015-02-18 18:20:00
2.41,2.41,2.41,2.41,31330,13000,2015-03-26 15:50:00
2.45,2.45,2.45,2.45,4900,2000,2015-04-02 16:50:00
2.45,2.45,2.45,2.45,4900,2000,2015-04-02 17:00:00
2.4,2.5,2.5,2.4,36500,15000,2015-04-06 16:40:00
2.45,2.45,2.45,2.45,12250,5000,2015-04-06 17:40:00
2.45,2.45,2.45,2.45,4900,2000,2015-04-06 18:20:00
2.5,2.5,2.5,2.5,32500,13000,2015-04-14 17:50:00
2.7,2.7,2.7,2.7,8100,3000,2015-04-15 10:30:00
2.99,2.99,2.99,2.99,50830,17000,2015-04-15 14:50:00
2.99,2.99,2.99,2.99,5980,2000,2015-04-17 13:00:00
2.5,2.5,2.5,2.5,2500,1000,2015-04-30 14:40:00
1.6,1.6,1.6,1.6,3200,2000,2015-05-27 16:50:00
2.0,2.0,2.0,2.0,2000,1000,2015-05-27 17:50:00
2.44,2.44,2.44,2.44,2440,1000,2015-05-28 10:20:00
2.2,2.2,2.2,2.2,2200,1000,2015-06-05 17:30:00
2.99,2.99,2.99,2.99,2990,1000,2015-06-15 18:10:00
2.3,2.3,2.3,2.3,2300,1000,2015-06-19 14:40:00
2.01,2.0,2.01,2.0,10010,5000,2015-08-28 16:50:00
2.5,2.5,2.5,2.5,2500,1000,2015-09-03 18:10:00
2.99,2.99,2.99,2.99,2990,1000,2015-09-16 18:30:00
2.99,2.99,2.99,2.99,2990,1000,2015-09-28 10:50:00
3.11,3.11,3.11,3.11,3110,1000,2015-10-05 12:30:00
3.2,3.2,3.2,3.2,3200,1000,2015-10-14 12:20:00
3.33,3.33,3.33,3.33,3330,1000,2015-10-14 16:20:00
3.5,3.5,3.5,3.5,3500,1000,2015-10-14 16:30:00
3.51,3.51,3.51,3.51,3510,1000,2015-10-16 14:40:00
3.5,3.5,3.5,3.5,3500,1000,2015-10-22 16:20:00
3.51,3.51,3.51,3.51,3510,1000,2015-11-02 14:00:00
3.51,3.5,3.51,3.5,7010,2000,2015-11-25 17:20:00
3.6,3.6,3.6,3.6,3600,1000,2015-12-04 18:10:00
3.51,3.51,3.51,3.51,3510,1000,2015-12-15 18:00:00
3.56,3.56,3.56,3.56,3560,1000,2015-12-16 10:00:00
3.65,3.65,3.65,3.65,18250,5000,2015-12-17 16:30:00
3.65,3.65,3.65,3.65,36500,10000,2015-12-24 16:40:00
3.7,3.7,3.7,3.7,3700,1000,2016-01-21 17:10:00
3.74,3.74,3.74,3.74,3740,1000,2016-01-22 10:40:00
4.0,4.0,4.0,4.0,4000,1000,2016-02-10 16:00:00
4.02,4.02,4.02,4.02,4020,1000,2016-02-12 15:20:00
4.07,4.07,4.07,4.07,4070,1000,2016-02-18 17:00:00
4.05,4.05,4.05,4.05,4050,1000,2016-02-25 10:40:00
3.86,4.05,4.05,3.86,7910,2000,2016-02-26 10:20:00
4.05,4.05,4.05,4.05,8100,2000,2016-02-26 18:40:00
4.05,4.05,4.05,4.05,4050,1000,2016-02-29 10:30:00
4.05,4.05,4.05,4.05,4050,1000,2016-03-03 10:40:00
4.05,4.05,4.05,4.05,4050,1000,2016-03-04 10:40:00
4.05,4.05,4.05,4.05,4050,1000,2016-03-10 10:20:00
4.05,4.05,4.05,4.05,8100,2000,2016-03-10 18:40:00
4.05,4.05,4.05,4.05,4050,1000,2016-03-11 10:20:00
4.05,4.05,4.05,4.05,8100,2000,2016-03-11 18:40:00
3.95,3.95,3.95,3.95,3950,1000,2016-03-30 13:40:00
4.08,4.08,4.08,4.08,4080,1000,2016-04-25 10:40:00
4.0,4.0,4.0,4.0,4000,1000,2016-04-25 14:40:00
4.0,4.2,4.2,4.0,49680,12000,2016-04-28 16:40:00
4.29,4.29,4.29,4.29,55770,13000,2016-04-28 18:40:00
4.5,4.5,4.5,4.5,58500,13000,2016-04-29 11:00:00
4.39,4.39,4.39,4.39,4390,1000,2016-05-04 10:00:00
4.4,4.4,4.4,4.4,8800,2000,2016-05-04 10:10:00
5.84,5.84,5.84,5.84,5840,1000,2016-05-04 14:10:00
4.78,4.78,4.78,4.78,4780,1000,2016-06-01 10:40:00
4.8,4.8,4.8,4.8,4800,1000,2016-06-15 17:50:00
5.84,5.84,5.84,5.84,5840,1000,2016-06-21 18:00:00
