Open,Close,High,Low,Value,Volume,Date
18.3,18.3,18.3,18.3,183.0,10,2014-06-09 11:30:00
18.12,18.11,18.4,18.03,10124.5,560,2014-06-09 11:50:00
18.11,18.13,18.13,18.11,9423.599999999999,520,2014-06-09 12:00:00
18.09,18.09,18.09,18.09,3256.2000000000003,180,2014-06-09 12:10:00
17.97,17.93,17.97,17.93,21171.5,1180,2014-06-09 14:10:00
17.92,17.91,17.92,17.91,17915.199999999997,1000,2014-06-09 14:30:00
17.92,17.92,17.92,17.92,896.0,50,2014-06-09 15:00:00
17.95,17.95,17.95,17.95,179.5,10,2014-06-09 16:20:00
18.05,18.05,18.05,18.05,361.0,20,2014-06-09 17:30:00
18.05,18.04,18.05,18.04,360.9,20,2014-06-09 17:50:00
18.04,18.06,18.06,18.04,541.5,30,2014-06-09 18:30:00
17.97,18.37,18.37,17.97,1802.8000000000002,100,2014-06-10 10:00:00
18.08,18.09,18.09,18.08,4522.0,250,2014-06-10 10:10:00
18.09,18.19,18.19,18.09,543.7,30,2014-06-10 11:00:00
18.03,18.03,18.03,18.03,1983.3,110,2014-06-10 11:10:00
18.09,18.09,18.09,18.09,723.6,40,2014-06-10 12:00:00
18.1,18.1,18.1,18.1,1448.0,80,2014-06-10 12:10:00
18.1,18.17,18.17,18.1,544.3,30,2014-06-10 12:30:00
18.1,18.1,18.1,18.1,181.0,10,2014-06-10 13:40:00
18.1,18.12,18.12,18.1,1086.9,60,2014-06-10 13:50:00
18.11,18.15,18.15,18.11,362.6,20,2014-06-10 14:40:00
18.14,18.11,18.15,17.96,7395.6,410,2014-06-10 14:50:00
18.11,18.11,18.11,18.11,181.1,10,2014-06-10 15:00:00
18.12,18.12,18.12,18.12,181.2,10,2014-06-10 17:10:00
18.13,18.16,18.16,18.13,1089.0,60,2014-06-10 17:40:00
18.1,18.13,18.44,18.1,3628.9,200,2014-06-11 10:00:00
18.13,18.34,18.34,18.11,2903.4,160,2014-06-11 10:10:00
18.06,18.26,18.26,17.95,20783.100000000002,1140,2014-06-11 11:10:00
18.03,18.03,18.03,18.03,180.3,10,2014-06-11 13:30:00
18.16,18.16,18.16,18.16,181.6,10,2014-06-11 14:00:00
18.03,17.93,18.03,17.93,1798.3999999999999,100,2014-06-11 14:30:00
18.11,18.09,18.13,18.09,7060.700000000001,390,2014-06-11 15:00:00
