Open,Close,High,Low,Value,Volume,Date
0.06909,0.07075,0.07075,0.06909,15216.5,220000,2014-06-09 12:30:00
0.06945,0.075,0.075,0.06945,655953.0,8960000,2014-06-09 18:30:00
0.07032,0.07032,0.07032,0.07032,26721.6,380000,2014-06-10 10:30:00
0.07199,0.07199,0.07199,0.07199,719.9,10000,2014-06-10 10:40:00
0.07033,0.07032,0.07033,0.07032,52043.600000000006,740000,2014-06-10 10:50:00
0.07032,0.0619,0.07032,0.045,655277.3,11390000,2014-06-10 11:00:00
0.06278,0.0619,0.06299,0.0619,46943.2,750000,2014-06-10 11:10:00
0.06182,0.06125,0.06182,0.061,73973.79999999999,1210000,2014-06-10 11:20:00
0.06122,0.06051,0.06122,0.06051,33455.0,550000,2014-06-10 11:30:00
0.06299,0.063,0.063,0.06289,4407.8,70000,2014-06-10 11:50:00
0.06197,0.063,0.063,0.06197,3769.7,60000,2014-06-10 12:10:00
0.063,0.063,0.063,0.063,630.0,10000,2014-06-10 12:20:00
0.063,0.063,0.063,0.063,25200.0,400000,2014-06-10 12:30:00
0.063,0.063,0.063,0.063,20790.0,330000,2014-06-10 12:40:00
0.06275,0.06275,0.06275,0.06275,627.5,10000,2014-06-10 12:50:00
0.06259,0.06258,0.06259,0.06258,1251.6999999999998,20000,2014-06-10 13:00:00
0.06258,0.06103,0.06258,0.06103,5572.2,90000,2014-06-10 13:10:00
0.06229,0.06229,0.06229,0.06229,4360.3,70000,2014-06-10 13:20:00
0.06226,0.06299,0.06299,0.06226,8755.1,140000,2014-06-10 13:30:00
0.063,0.063,0.063,0.063,3150.0,50000,2014-06-10 13:50:00
0.063,0.063,0.063,0.063,3150.0,50000,2014-06-10 14:00:00
0.06369,0.06369,0.06369,0.06369,3184.5,50000,2014-06-10 14:30:00
0.0626,0.06231,0.0626,0.06231,10604.0,170000,2014-06-10 14:50:00
0.06231,0.06229,0.06231,0.06229,79108.6,1270000,2014-06-10 15:00:00
0.06299,0.063,0.063,0.06299,13229.9,210000,2014-06-10 15:20:00
0.06393,0.06801,0.06801,0.06393,43834.5,650000,2014-06-10 16:10:00
0.06849,0.06979,0.06979,0.06849,11088.7,160000,2014-06-10 16:20:00
0.06851,0.0685,0.06851,0.0685,6850.1,100000,2014-06-10 16:30:00
0.0697,0.06979,0.06979,0.0697,3487.7999999999997,50000,2014-06-10 16:40:00
0.06851,0.06851,0.06851,0.06851,4110.6,60000,2014-06-10 16:50:00
0.06899,0.0698,0.0698,0.06899,56517.8,810000,2014-06-10 17:00:00
0.0695,0.0695,0.0695,0.0695,695.0,10000,2014-06-10 17:20:00
0.06901,0.068,0.06901,0.068,41078.9,600000,2014-06-10 17:30:00
0.069,0.069,0.069,0.069,3450.0,50000,2014-06-10 17:40:00
0.06805,0.06799,0.06805,0.06799,193140.4,2840000,2014-06-10 18:20:00
0.06799,0.068,0.068,0.06799,67999.9,1000000,2014-06-10 18:30:00
0.06799,0.068,0.06801,0.06799,95875.1,1410000,2014-06-11 13:10:00
0.068,0.068,0.068,0.068,40800.0,600000,2014-06-11 13:40:00
0.06801,0.06801,0.06801,0.06801,680.1,10000,2014-06-11 14:30:00
