Open,Close,High,Low,Value,Volume,Date
0.10302,0.103,0.10302,0.103,5150.5,50000,2014-06-17 16:50:00
0.1,0.1,0.1,0.1,3000.0,30000,2014-06-17 17:00:00
0.1,0.1,0.1,0.1,11000.0,110000,2014-06-19 18:20:00
0.105,0.105,0.105,0.105,1050.0,10000,2014-06-20 11:20:00
0.10498,0.10499,0.10499,0.10498,5249.200000000001,50000,2014-06-20 17:40:00
0.105,0.105,0.105,0.105,1050.0,10000,2014-06-23 13:40:00
0.1055,0.1055,0.1055,0.1055,1055.0,10000,2014-06-23 18:30:00
0.108,0.108,0.108,0.108,1080.0,10000,2014-06-24 12:30:00
0.108,0.108,0.108,0.108,1080.0,10000,2014-06-24 17:10:00
0.10801,0.10801,0.10801,0.10801,2160.2,20000,2014-06-24 17:40:00
0.10002,0.10002,0.10002,0.10002,1000.2,10000,2014-06-25 17:50:00
0.10998,0.10999,0.10999,0.10998,3299.6000000000004,30000,2014-06-26 10:50:00
0.11,0.11,0.11,0.11,3300.0,30000,2014-06-26 11:20:00
0.10998,0.10999,0.10999,0.10998,6599.1,60000,2014-06-26 12:20:00
0.109,0.109,0.109,0.109,1090.0,10000,2014-06-26 14:00:00
0.109,0.109,0.109,0.109,5450.0,50000,2014-06-26 14:30:00
0.10901,0.10901,0.10901,0.10901,1090.1,10000,2014-06-26 16:50:00
0.11002,0.11398,0.11398,0.11002,2240.0,20000,2014-06-27 12:40:00
0.11399,0.114,0.114,0.11399,2279.9,20000,2014-06-27 12:50:00
0.11,0.11,0.11,0.11,4400.0,40000,2014-06-27 13:20:00
0.11001,0.11001,0.11001,0.11001,2200.2,20000,2014-06-27 14:20:00
0.11,0.11,0.11,0.11,3300.0,30000,2014-06-27 14:40:00
0.11,0.11,0.11,0.11,2200.0,20000,2014-06-27 14:50:00
0.11001,0.10302,0.11001,0.10302,4330.4,40000,2014-06-27 15:00:00
0.10999,0.10999,0.10999,0.10999,2199.8,20000,2014-06-30 16:50:00
0.10999,0.10999,0.10999,0.10999,3299.7,30000,2014-06-30 17:00:00
0.11,0.11,0.11001,0.11,35200.1,320000,2014-06-30 17:10:00
0.11,0.11,0.11,0.11,11000.0,100000,2014-06-30 17:30:00
0.10003,0.096,0.10003,0.096,30281.199999999997,310000,2014-06-30 18:00:00
0.10499,0.10499,0.10499,0.10499,1049.9,10000,2014-07-01 11:40:00
0.10001,0.1,0.10001,0.1,13000.1,130000,2014-07-01 12:40:00
0.094,0.094,0.094,0.094,940.0,10000,2014-07-01 17:20:00
0.09889,0.09889,0.09889,0.09889,988.9,10000,2014-07-01 18:30:00
0.09999,0.1,0.1,0.09999,15999.4,160000,2014-07-02 15:20:00
0.09802,0.09802,0.09802,0.09802,980.2,10000,2014-07-02 16:00:00
0.10199,0.10199,0.10199,0.10199,1019.9,10000,2014-07-02 17:00:00
0.09802,0.09802,0.09802,0.09802,980.2,10000,2014-07-02 17:10:00
0.09801,0.09801,0.09801,0.09801,2940.3,30000,2014-07-02 18:20:00
0.10097,0.10097,0.10097,0.10097,1009.7,10000,2014-07-02 18:30:00
0.10999,0.10999,0.10999,0.10999,3299.7,30000,2014-07-03 11:30:00
0.109,0.109,0.109,0.109,26160.0,240000,2014-07-03 11:40:00
0.09312,0.09312,0.09312,0.09312,931.2,10000,2014-07-03 11:50:00
0.0945,0.0945,0.0945,0.0945,945.0,10000,2014-07-03 16:20:00
0.0945,0.0945,0.0945,0.0945,945.0,10000,2014-07-03 16:40:00
0.09511,0.095,0.09511,0.095,26623.3,280000,2014-07-04 18:20:00
0.095,0.095,0.095,0.095,950.0,10000,2014-07-04 18:30:00
0.0912,0.09112,0.0912,0.09112,5469.6,60000,2014-07-07 10:40:00
0.1106,0.1106,0.1106,0.1106,3318.0,30000,2014-07-08 17:40:00
0.09201,0.09201,0.09201,0.09201,920.1,10000,2014-07-08 17:50:00
0.09899,0.09899,0.09899,0.09899,989.9,10000,2014-07-09 16:20:00
0.098,0.098,0.098,0.098,980.0,10000,2014-07-09 18:30:00
0.1015,0.1015,0.1015,0.1015,1015.0,10000,2014-07-10 11:30:00
0.09401,0.094,0.09401,0.094,1880.1,20000,2014-07-10 15:30:00
0.094,0.091,0.094,0.091,2760.0,30000,2014-07-10 17:50:00
0.091,0.091,0.091,0.091,1820.0,20000,2014-07-10 18:30:00
0.091,0.0902,0.091,0.0902,8126.700000000001,90000,2014-07-11 13:10:00
0.094,0.094,0.094,0.094,940.0,10000,2014-07-18 18:20:00
0.095,0.095,0.095,0.095,950.0,10000,2014-07-21 11:40:00
0.095,0.095,0.095,0.095,950.0,10000,2014-07-21 11:50:00
0.095,0.095,0.095,0.095,950.0,10000,2014-07-21 16:00:00
0.12,0.12066,0.12066,0.12,3613.1,30000,2014-07-28 12:50:00
0.1199,0.1199,0.1199,0.1199,1199.0,10000,2014-07-28 15:50:00
0.11982,0.11982,0.11982,0.11982,2396.4,20000,2014-07-28 16:30:00
0.11977,0.11977,0.11977,0.11977,2395.4,20000,2014-07-29 10:20:00
0.09014,0.09013,0.09014,0.09013,1802.6999999999998,20000,2014-07-31 15:00:00
0.09105,0.091,0.09105,0.091,1820.5,20000,2014-07-31 18:10:00
0.09011,0.09011,0.09011,0.09011,1802.2,20000,2014-08-04 16:30:00
0.09011,0.09011,0.09011,0.09011,901.1,10000,2014-08-07 15:40:00
0.0901,0.0901,0.0901,0.0901,901.0,10000,2014-08-11 17:20:00
0.09013,0.0901,0.09013,0.0901,18020.6,200000,2014-08-21 16:30:00
0.09011,0.09011,0.09011,0.09011,9011.0,100000,2014-08-21 17:20:00
0.091,0.09002,0.091,0.09002,23562.0,260000,2014-08-22 15:40:00
0.09001,0.09001,0.09001,0.09001,23402.6,260000,2014-08-22 16:00:00
0.0804,0.0804,0.0804,0.0804,16080.0,200000,2014-08-25 11:40:00
0.09001,0.09,0.09001,0.09,18000.1,200000,2014-08-25 17:50:00
0.085,0.085,0.085,0.085,25500.0,300000,2014-08-27 16:30:00
0.085,0.085,0.085,0.085,85000.0,1000000,2014-08-27 17:00:00
0.0855,0.085,0.0855,0.085,85005.0,1000000,2014-08-27 17:50:00
0.08999,0.08999,0.08999,0.08999,2699.7,30000,2014-08-27 18:00:00
0.08999,0.09,0.09,0.08999,5399.7,60000,2014-08-27 18:10:00
0.09,0.086,0.09,0.086,192780.0,2150000,2014-08-27 18:30:00
0.09,0.085,0.09,0.085,139060.0,1600000,2014-08-28 12:30:00
0.09,0.09,0.09,0.09,45000.0,500000,2014-08-28 17:30:00
0.0855,0.0855,0.0855,0.0855,4275.0,50000,2014-08-29 15:00:00
0.08999,0.09,0.09,0.08999,1799.9,20000,2014-08-29 16:20:00
0.09,0.0855,0.09,0.0855,16110.0,180000,2014-08-29 18:30:00
0.08951,0.0895,0.08951,0.0895,13425.1,150000,2014-09-01 11:20:00
0.0895,0.089,0.0895,0.089,9795.0,110000,2014-09-01 12:40:00
0.08899,0.08899,0.08899,0.08899,889.9,10000,2014-09-01 12:50:00
0.09,0.09,0.09,0.09,2700.0,30000,2014-09-02 12:50:00
0.09,0.09,0.09,0.09,3600.0,40000,2014-09-02 13:00:00
0.08102,0.081,0.08102,0.081,38881.3,480000,2014-09-10 11:30:00
0.08499,0.08499,0.08499,0.08499,849.9,10000,2014-09-10 12:00:00
0.082,0.082,0.082,0.082,2460.0,30000,2014-09-10 12:10:00
0.085,0.085,0.085,0.085,850.0,10000,2014-09-10 12:30:00
0.085,0.085,0.085,0.085,4250.0,50000,2014-09-10 13:50:00
0.085,0.085,0.085,0.085,3400.0,40000,2014-09-10 14:10:00
0.08201,0.08,0.08201,0.08,156200.1,1940000,2014-09-10 15:00:00
0.082,0.082,0.082,0.082,14760.0,180000,2014-09-10 15:10:00
0.0859,0.086,0.086,0.0859,10319.0,120000,2014-09-10 16:30:00
0.0859,0.086,0.086,0.0859,1719.0,20000,2014-09-10 16:40:00
0.085,0.087,0.087,0.085,100680.0,1180000,2014-09-10 17:20:00
0.08156,0.081,0.08156,0.08,276877.50000000006,3430000,2014-09-10 17:50:00
0.08101,0.08101,0.08101,0.08101,6480.8,80000,2014-09-10 18:00:00
0.084,0.084,0.084,0.084,16800.0,200000,2014-09-10 18:10:00
0.08101,0.08006,0.08101,0.08006,80202.5,1000000,2014-09-10 18:20:00
0.08001,0.08,0.08001,0.08,96000.2,1200000,2014-09-11 16:30:00
0.08115,0.08115,0.08115,0.08115,811.5,10000,2014-09-11 18:30:00
0.08001,0.08,0.08001,0.08,80000.1,1000000,2014-09-12 13:50:00
0.08,0.08,0.08,0.08,80000.0,1000000,2014-09-12 14:10:00
0.08001,0.08,0.08001,0.08,304003.5,3800000,2014-09-12 15:20:00
0.081,0.081,0.081,0.081,810.0,10000,2014-09-12 16:30:00
0.08225,0.08391,0.08391,0.08225,74058.2,900000,2014-09-12 16:40:00
0.08649,0.0989,0.0989,0.08649,4472.1,50000,2014-09-12 17:10:00
0.08022,0.08021,0.08022,0.08021,3208.5,40000,2014-09-15 11:30:00
0.08043,0.08043,0.08043,0.08043,804.3,10000,2014-09-15 14:20:00
0.085,0.085,0.085,0.08497,67999.5,800000,2014-09-16 17:40:00
0.085,0.085,0.085,0.085,19550.0,230000,2014-09-16 17:50:00
0.085,0.085,0.085,0.085,850.0,10000,2014-09-16 18:30:00
0.085,0.085,0.085,0.085,127500.0,1500000,2014-09-17 12:30:00
0.08501,0.08501,0.08501,0.08501,8501.0,100000,2014-09-17 12:40:00
0.085,0.085,0.085,0.085,42500.0,500000,2014-09-17 13:10:00
0.085,0.085,0.085,0.085,3400.0,40000,2014-09-17 14:40:00
0.0881,0.0881,0.0881,0.0881,8810.0,100000,2014-09-18 11:30:00
0.0881,0.0881,0.0881,0.0881,30835.0,350000,2014-09-18 11:50:00
0.089,0.09,0.09,0.089,44990.0,500000,2014-09-18 12:00:00
0.09,0.09,0.09,0.09,27000.0,300000,2014-09-18 13:10:00
0.09,0.09,0.09,0.09,900.0,10000,2014-09-19 11:20:00
0.08751,0.0875,0.08751,0.0875,65625.1,750000,2014-09-24 10:40:00
0.0875,0.0875,0.0875,0.0875,319375.0,3650000,2014-09-24 10:50:00
0.0875,0.0875,0.0875,0.0875,7875.0,90000,2014-09-24 11:00:00
0.0875,0.0875,0.0875,0.0875,43750.0,500000,2014-09-24 13:00:00
0.0875,0.0875,0.0875,0.0875,35875.0,410000,2014-09-24 13:10:00
0.0875,0.0875,0.0875,0.0875,52500.0,600000,2014-09-24 13:30:00
0.0875,0.0875,0.0875,0.0875,26250.0,300000,2014-09-24 13:40:00
0.0875,0.0875,0.0875,0.0875,61250.0,700000,2014-09-24 13:50:00
0.0875,0.0875,0.0875,0.0875,28875.0,330000,2014-09-24 14:00:00
0.0875,0.0875,0.0875,0.0875,41125.0,470000,2014-09-24 15:10:00
0.0875,0.0875,0.0875,0.0875,875.0,10000,2014-09-24 15:50:00
0.0875,0.0875,0.0875,0.0875,192500.0,2200000,2014-09-24 16:40:00
0.0875,0.0875,0.0875,0.0875,131250.0,1500000,2014-09-24 18:20:00
0.086,0.086,0.086,0.086,860.0,10000,2014-09-26 15:30:00
0.085,0.085,0.085,0.085,9350.0,110000,2014-09-30 13:00:00
0.083,0.081,0.083,0.081,50790.0,620000,2014-10-01 15:50:00
0.0802,0.0801,0.0802,0.0801,2404.0,30000,2014-10-03 16:00:00
0.0899,0.0901,0.0901,0.0899,7200.0,80000,2014-10-03 17:30:00
0.0901,0.0901,0.0901,0.0901,901.0,10000,2014-10-03 17:40:00
0.0811,0.0811,0.0811,0.0811,811.0,10000,2014-10-07 14:00:00
0.0929,0.0929,0.0929,0.0929,2787.0,30000,2014-10-08 16:20:00
0.0929,0.0929,0.0929,0.0929,929.0,10000,2014-10-08 16:30:00
0.09,0.09,0.09,0.09,9000.0,100000,2014-10-09 17:30:00
0.097,0.097,0.097,0.0969,14542.0,150000,2014-10-13 18:20:00
0.0813,0.085,0.085,0.0813,9091.0,110000,2014-10-20 18:10:00
0.0812,0.086,0.086,0.0811,5825.0,70000,2014-10-21 10:50:00
0.092,0.092,0.092,0.092,920.0,10000,2014-10-21 18:00:00
0.085,0.085,0.085,0.085,8500.0,100000,2014-10-22 15:30:00
0.083,0.082,0.083,0.082,4110.0,50000,2014-10-28 18:30:00
0.0909,0.091,0.091,0.0909,1819.0,20000,2014-10-29 18:30:00
0.0919,0.0919,0.0919,0.0919,919.0,10000,2014-11-03 15:40:00
0.0919,0.0919,0.0919,0.0919,919.0,10000,2014-11-03 17:50:00
0.0919,0.0919,0.0919,0.0919,2757.0,30000,2014-11-17 16:50:00
0.0919,0.0919,0.0919,0.0919,11028.0,120000,2014-11-17 17:40:00
0.093,0.095,0.095,0.093,36054.0,380000,2014-11-17 18:00:00
0.095,0.095,0.095,0.095,47500.0,500000,2014-11-17 18:30:00
0.09,0.09,0.09,0.09,1800.0,20000,2014-11-18 13:00:00
0.094,0.099,0.099,0.094,4810.0,50000,2014-11-18 17:20:00
0.0911,0.09,0.0911,0.09,13521.0,150000,2014-11-21 18:10:00
0.0998,0.0999,0.0999,0.0998,2996.0,30000,2014-11-25 14:50:00
0.099,0.099,0.099,0.099,12870.0,130000,2014-11-27 13:40:00
0.0999,0.1,0.1095,0.0999,9472.0,90000,2014-11-27 14:10:00
0.086,0.0857,0.086,0.0857,4288.0,50000,2014-12-01 10:20:00
0.0901,0.09,0.0901,0.09,2701.0,30000,2014-12-01 18:00:00
0.088,0.0875,0.088,0.0875,1755.0,20000,2014-12-01 18:30:00
0.095,0.095,0.095,0.095,950.0,10000,2014-12-05 16:20:00
0.0855,0.0855,0.0855,0.0855,855.0,10000,2014-12-05 16:40:00
0.086,0.086,0.086,0.086,2580.0,30000,2014-12-08 14:50:00
0.085,0.085,0.085,0.085,7650.0,90000,2014-12-09 10:10:00
0.111,0.111,0.111,0.111,5550.0,50000,2014-12-09 10:30:00
0.086,0.086,0.086,0.086,860.0,10000,2014-12-09 14:10:00
0.085,0.085,0.085,0.085,1700.0,20000,2014-12-09 15:10:00
