Open,Close,High,Low,Value,Volume,Date
206.0,231.0,231.0,155.0,180517.0,900,2014-07-01 12:10:00
185.0,171.01,207.0,170.0,242062.59999999998,1300,2014-07-01 12:20:00
229.0,165.55,231.0,160.01,166236.1,850,2014-07-01 12:30:00
175.0,178.0,178.0,161.0,174187.2,1030,2014-07-01 12:40:00
157.1,160.0,190.0,157.1,148683.6,890,2014-07-01 12:50:00
170.0,170.0,170.0,170.0,1700.0,10,2014-07-01 13:00:00
170.0,160.0,170.0,155.0,85650.3,520,2014-07-01 13:10:00
140.0,140.0,140.0,140.0,19600.0,140,2014-07-01 13:20:00
159.5,159.5,159.5,159.5,11165.0,70,2014-07-01 16:00:00
160.0,160.0,160.0,160.0,1600.0,10,2014-07-01 18:00:00
158.0,156.0,158.0,156.0,3140.0,20,2014-07-01 18:10:00
154.0,154.0,154.0,154.0,23100.0,150,2014-07-01 18:30:00
152.0,152.0,152.0,152.0,1520.0,10,2014-07-02 10:00:00
150.01,175.55,175.55,148.0,6235.6,40,2014-07-02 11:50:00
159.0,159.0,159.0,159.0,1590.0,10,2014-07-02 12:10:00
150.0,175.5,175.5,150.0,12255.0,80,2014-07-02 12:20:00
199.97,199.97,199.97,199.97,1999.7,10,2014-07-03 10:20:00
146.0,197.0,197.0,140.0,349156.2,2350,2014-07-03 12:00:00
167.92,172.98,172.98,167.92,3409.0,20,2014-07-03 14:20:00
152.01,140.0,152.01,140.0,223150.2,1590,2014-07-03 14:30:00
150.0,150.0,150.0,150.0,1500.0,10,2014-07-03 14:40:00
145.0,140.0,145.0,140.0,23870.1,170,2014-07-03 14:50:00
144.0,149.99,149.99,140.0,207722.9,1480,2014-07-03 15:10:00
145.0,148.98,148.98,145.0,2939.8,20,2014-07-03 15:20:00
148.98,159.0,159.0,148.98,12139.2,80,2014-07-03 15:30:00
150.0,149.99,150.0,140.0,457715.10000000003,3260,2014-07-03 15:40:00
149.99,169.42,169.42,149.99,12193.900000000001,80,2014-07-03 16:20:00
169.42,174.0,174.0,169.42,55588.4,320,2014-07-03 16:30:00
157.5,157.5,157.5,157.5,3150.0,20,2014-07-03 18:00:00
157.5,157.5,157.5,157.5,1575.0,10,2014-07-03 18:20:00
157.5,169.99,169.99,157.5,6424.9,40,2014-07-03 18:30:00
172.99,172.99,172.99,172.99,1729.9,10,2014-07-04 12:00:00
171.9,171.9,171.9,171.9,17190.0,100,2014-07-04 12:30:00
163.83,170.0,170.0,163.83,3338.3,20,2014-07-04 14:00:00
142.03,142.03,142.03,142.03,1420.3,10,2014-07-04 16:40:00
145.0,164.94,164.94,140.0,16066.3,110,2014-07-04 17:30:00
150.0,150.0,150.0,150.0,4500.0,30,2014-07-04 17:40:00
160.0,164.74,164.74,160.0,3247.4,20,2014-07-07 10:00:00
164.99,186.22,186.22,164.99,5162.1,30,2014-07-07 10:10:00
155.0,163.98,163.98,155.0,3189.8,20,2014-07-07 10:20:00
173.99,173.99,173.99,173.99,1739.9,10,2014-07-07 12:10:00
170.0,172.7,172.7,170.0,5147.0,30,2014-07-07 12:20:00
158.0,158.0,158.0,158.0,4740.0,30,2014-07-07 12:40:00
158.0,161.3,161.3,158.0,23999.0,150,2014-07-07 12:50:00
164.8,164.8,164.8,164.8,1648.0,10,2014-07-07 16:20:00
157.0,155.0,157.0,155.0,3120.0,20,2014-07-07 16:30:00
157.0,161.5,161.5,157.0,9610.0,60,2014-07-07 18:10:00
148.0,158.41,158.41,148.0,3064.1,20,2014-07-08 14:10:00
158.9,160.65,160.65,158.9,12834.5,80,2014-07-08 14:50:00
160.89,160.9,160.9,160.89,49878.9,310,2014-07-09 14:30:00
159.6,153.72,159.6,153.72,3133.2,20,2014-07-09 15:00:00
157.97,157.97,157.97,157.97,1579.7,10,2014-07-09 15:10:00
152.0,159.98,159.98,152.0,21599.2,140,2014-07-09 15:30:00
159.98,173.99,173.99,159.98,16469.3,100,2014-07-10 11:30:00
174.0,174.95,174.95,174.0,3489.5,20,2014-07-10 11:40:00
164.7,155.0,164.7,155.0,21847.5,140,2014-07-10 14:50:00
159.77,159.77,159.77,159.77,1597.7,10,2014-07-10 15:10:00
173.73,173.73,173.73,173.73,12161.1,70,2014-07-11 10:00:00
178.0,178.0,178.0,178.0,1780.0,10,2014-07-14 10:00:00
122.0,179.96,179.96,122.0,3019.6,20,2014-07-17 10:00:00
151.5,151.5,151.5,151.5,21210.0,140,2014-07-21 17:10:00
151.99,159.7,159.7,151.99,46004.9,290,2014-07-22 10:30:00
159.54,159.54,159.54,159.54,7977.0,50,2014-07-23 10:20:00
154.53,167.7,167.7,154.53,82941.8,510,2014-07-25 14:30:00
172.25,172.3,172.3,172.25,36182.0,210,2014-07-30 11:50:00
172.3,188.0,188.0,172.3,28043.0,150,2014-07-31 10:30:00
184.99,184.99,184.99,184.99,1849.9,10,2014-08-01 14:00:00
185.99,185.99,185.99,185.99,72536.1,390,2014-08-04 11:50:00
187.0,187.0,187.0,187.0,5610.0,30,2014-08-05 10:30:00
188.0,188.0,188.0,188.0,1880.0,10,2014-08-06 13:10:00
197.0,197.0,197.0,197.0,1970.0,10,2014-08-18 15:10:00
189.0,189.0,189.0,189.0,1890.0,10,2014-08-21 11:10:00
189.0,189.0,189.0,189.0,24570.0,130,2014-08-26 16:20:00
149.0,149.0,149.0,149.0,1490.0,10,2014-09-04 18:30:00
149.85,149.9,149.9,149.85,2997.5,20,2014-09-05 13:40:00
139.15,139.15,139.15,139.15,6957.5,50,2014-09-08 17:30:00
139.15,139.15,139.15,139.15,9740.5,70,2014-09-08 17:40:00
139.85,139.15,139.85,139.15,11139.0,80,2014-09-08 17:50:00
139.15,139.15,139.15,139.15,8349.0,60,2014-09-08 18:20:00
159.0,159.0,159.0,159.0,1590.0,10,2014-09-09 12:40:00
161.0,177.0,177.0,161.0,3380.0,20,2014-10-06 10:00:00
148.5,147.5,148.5,147.5,4440.0,30,2014-10-06 12:10:00
148.5,148.5,148.5,148.5,4455.0,30,2014-10-06 12:20:00
145.0,145.0,145.0,145.0,1450.0,10,2014-10-06 12:30:00
145.0,145.0,145.0,145.0,1450.0,10,2014-10-06 17:50:00
139.0,139.0,139.0,139.0,9730.0,70,2014-10-09 10:20:00
140.0,140.0,140.0,140.0,1400.0,10,2014-10-09 10:30:00
139.5,139.5,139.5,139.5,2790.0,20,2014-10-09 17:10:00
142.5,142.5,142.5,142.5,1425.0,10,2014-10-13 12:00:00
139.5,139.5,139.5,139.5,2790.0,20,2014-10-13 13:20:00
139.5,139.5,139.5,139.5,1395.0,10,2014-10-13 13:40:00
139.5,139.5,139.5,139.5,4185.0,30,2014-10-13 14:40:00
142.5,142.5,142.5,142.5,1425.0,10,2014-10-13 17:50:00
159.5,159.5,159.5,159.5,1595.0,10,2014-10-20 10:00:00
142.5,143.0,143.0,142.5,9995.0,70,2014-10-20 10:10:00
143.0,143.0,143.0,143.0,1430.0,10,2014-10-20 10:40:00
140.0,140.0,140.0,140.0,11200.0,80,2014-10-20 11:40:00
139.0,139.0,139.0,139.0,27800.0,200,2014-10-20 12:40:00
138.0,138.0,138.0,138.0,27600.0,200,2014-10-24 13:10:00
138.0,145.0,145.0,138.0,2830.0,20,2014-10-27 10:00:00
137.0,137.0,137.0,137.0,27400.0,200,2014-10-27 10:30:00
138.0,138.0,138.0,138.0,5520.0,40,2014-10-27 10:50:00
140.0,140.0,140.0,140.0,1400.0,10,2014-11-05 10:50:00
140.0,140.0,140.0,140.0,7000.0,50,2014-11-05 11:10:00
136.0,136.0,136.0,136.0,6800.0,50,2014-11-05 12:20:00
136.5,136.5,136.5,136.5,1365.0,10,2014-11-05 17:40:00
140.0,140.0,140.0,140.0,2800.0,20,2014-11-06 12:10:00
149.0,149.0,149.0,149.0,1490.0,10,2014-11-07 10:10:00
136.0,136.0,136.0,136.0,1360.0,10,2014-11-12 14:50:00
131.0,139.0,139.0,131.0,10640.0,80,2014-11-12 18:30:00
136.0,136.0,136.0,136.0,1360.0,10,2014-11-13 10:10:00
136.0,136.0,136.0,136.0,17680.0,130,2014-11-13 10:40:00
137.5,137.5,137.5,137.5,1375.0,10,2014-11-13 12:10:00
135.0,137.5,137.5,135.0,2725.0,20,2014-11-13 16:20:00
136.0,136.0,136.0,136.0,2720.0,20,2014-11-17 12:00:00
