Open,Close,High,Low,Value,Volume,Date
119.0,119.0,119.0,119.0,3570,30,2014-06-16 16:20:00
120.0,120.0,120.0,120.0,24000,200,2014-06-20 10:20:00
129.0,129.0,129.0,129.0,12900,100,2014-06-26 11:30:00
129.0,129.0,129.0,129.0,6450,50,2014-06-26 13:00:00
129.0,129.0,129.0,129.0,19350,150,2014-06-26 18:00:00
130.0,130.0,130.0,130.0,13000,100,2014-06-27 12:10:00
130.0,130.0,130.0,130.0,26000,200,2014-06-27 14:40:00
134.0,134.0,134.0,134.0,26800,200,2014-07-03 10:40:00
134.0,134.0,134.0,134.0,2680,20,2014-07-03 14:40:00
134.0,134.0,134.0,134.0,2680,20,2014-07-10 18:00:00
134.0,134.0,134.0,134.0,13400,100,2014-07-11 11:50:00
133.0,133.0,133.0,133.0,13300,100,2014-07-22 14:20:00
105.0,104.5,105.0,104.5,26240,250,2014-10-31 10:30:00
100.0,94.5,100.0,94.5,94660,1000,2014-11-03 13:50:00
96.0,96.0,96.0,96.0,9600,100,2014-11-03 14:00:00
97.5,97.5,97.5,97.5,975,10,2014-11-03 15:20:00
97.5,105.0,105.0,97.5,38925,390,2014-11-03 15:30:00
105.0,107.0,107.0,105.0,13710,130,2014-11-06 13:00:00
107.0,117.0,117.0,107.0,61110,530,2014-11-14 10:40:00
129.0,129.0,129.0,129.0,1290,10,2014-11-17 11:00:00
137.0,137.0,137.0,137.0,1370,10,2014-11-17 17:20:00
139.0,139.0,139.0,139.0,1390,10,2014-11-27 17:20:00
139.0,139.0,139.0,139.0,1390,10,2014-11-27 17:30:00
139.0,139.0,139.0,139.0,1390,10,2014-12-02 11:40:00
94.5,94.5,94.5,94.5,945,10,2014-12-02 17:10:00
139.0,139.0,139.0,139.0,55600,400,2014-12-02 17:20:00
96.0,96.0,96.0,96.0,960,10,2014-12-04 16:10:00
100.0,100.0,100.0,100.0,9000,90,2014-12-05 10:20:00
100.0,100.0,100.0,100.0,25000,250,2014-12-05 10:30:00
100.5,100.5,100.5,100.5,1005,10,2014-12-05 15:00:00
