Open,Close,High,Low,Value,Volume,Date
520.0,512.0,520.0,512.0,2099420.0,4100,2015-12-15 13:10:00
515.1,515.1,515.1,512.0,1065207.0,2080,2015-12-15 13:20:00
510.51,504.5,510.55,496.0,5082626.7,10070,2015-12-15 13:30:00
503.65,502.92,503.65,502.92,2013140.0,4000,2015-12-15 13:40:00
500.0,500.0,500.0,500.0,10000.0,20,2015-12-15 13:50:00
500.0,500.0,500.0,500.0,10000.0,20,2015-12-15 14:00:00
500.0,500.0,500.0,500.0,20000.0,40,2015-12-15 14:10:00
500.0,484.0,500.0,484.0,123230.1,250,2015-12-15 14:20:00
484.0,482.0,484.0,470.0,1141661.0,2370,2015-12-15 14:30:00
470.0,450.0,470.0,450.0,9200.0,20,2015-12-15 14:40:00
450.0,450.0,450.0,450.0,4500.0,10,2015-12-15 14:50:00
450.0,450.0,450.0,450.0,4500.0,10,2015-12-15 15:00:00
450.0,450.0,480.0,450.0,121805.0,270,2015-12-15 15:10:00
460.0,460.0,460.0,460.0,9200.0,20,2015-12-15 15:20:00
459.0,460.0,460.0,459.0,13780.0,30,2015-12-15 15:30:00
460.0,460.0,460.0,460.0,4600.0,10,2015-12-15 15:40:00
460.0,460.0,460.0,460.0,395600.0,860,2015-12-15 16:00:00
460.0,460.0,460.0,460.0,92000.0,200,2015-12-15 16:10:00
455.0,455.0,455.0,455.0,136500.0,300,2015-12-15 16:40:00
459.0,459.0,459.0,459.0,4590.0,10,2015-12-15 17:00:00
451.0,450.0,451.0,450.0,9010.0,20,2015-12-15 17:20:00
459.0,445.0,459.0,445.0,1128480.0,2530,2015-12-15 17:30:00
446.14,446.14,446.14,446.14,22307.0,50,2015-12-15 17:40:00
445.0,445.0,445.0,445.0,22250.0,50,2015-12-15 17:50:00
446.0,440.5,446.0,440.5,26705.0,60,2015-12-15 18:10:00
450.0,450.0,450.0,450.0,49500.0,110,2015-12-15 18:20:00
459.0,459.0,459.0,459.0,82620.0,180,2015-12-15 18:40:00
460.0,460.0,460.0,460.0,9200.0,20,2015-12-16 10:00:00
460.0,460.0,460.0,460.0,4600.0,10,2015-12-16 10:10:00
450.01,445.0,450.01,445.0,912350.2,2050,2015-12-16 10:20:00
441.02,441.02,441.02,441.02,8820.4,20,2015-12-16 10:50:00
450.0,450.0,450.0,450.0,4500.0,10,2015-12-16 11:00:00
451.01,450.0,451.01,450.0,67530.7,150,2015-12-16 12:00:00
450.0,450.0,450.0,450.0,22500.0,50,2015-12-16 12:10:00
450.0,450.0,450.0,450.0,27000.0,60,2015-12-16 12:40:00
450.0,445.01,450.0,445.01,151552.9,340,2015-12-16 12:50:00
450.0,450.0,450.0,450.0,22500.0,50,2015-12-16 13:00:00
450.0,450.0,450.0,450.0,22500.0,50,2015-12-16 13:10:00
450.0,450.0,450.0,450.0,4500.0,10,2015-12-16 13:20:00
450.0,450.0,450.0,450.0,4500.0,10,2015-12-16 13:30:00
450.0,450.0,450.0,450.0,54000.0,120,2015-12-16 13:40:00
450.0,450.0,450.0,450.0,36000.0,80,2015-12-16 13:50:00
450.0,450.0,450.0,450.0,4500.0,10,2015-12-16 14:00:00
450.0,450.0,450.0,450.0,4500.0,10,2015-12-16 14:40:00
445.6,445.6,445.6,445.6,66840.0,150,2015-12-16 15:00:00
450.0,450.0,450.0,450.0,27000.0,60,2015-12-16 15:40:00
458.0,460.0,460.0,458.0,340369.6,740,2015-12-16 16:20:00
458.99,458.99,458.99,458.99,9179.8,20,2015-12-16 16:30:00
458.99,458.99,458.99,458.99,9179.8,20,2015-12-16 16:50:00
458.99,458.99,458.99,450.01,99181.79999999999,220,2015-12-16 17:00:00
458.99,459.0,459.0,458.99,284575.1,620,2015-12-16 17:10:00
458.98,458.98,458.98,458.98,4589.8,10,2015-12-16 17:40:00
448.02,448.02,448.02,448.02,129925.8,290,2015-12-16 18:00:00
450.02,458.97,458.97,450.0,40589.899999999994,90,2015-12-16 18:30:00
450.0,460.0,460.0,450.0,22800.0,50,2015-12-17 10:20:00
450.0,450.0,450.0,450.0,18000.0,40,2015-12-17 10:30:00
459.0,459.0,459.0,459.0,4590.0,10,2015-12-17 10:40:00
450.0,459.0,459.0,450.0,31700.0,70,2015-12-17 10:50:00
445.5,440.0,445.5,440.0,225048.0,510,2015-12-17 14:30:00
452.0,452.0,452.0,452.0,4520.0,10,2015-12-17 17:50:00
