Open,Close,High,Low,Value,Volume,Date
10.015,10.015,10.015,10.015,1001.5,100,2014-06-11 18:20:00
10.26,10.26,10.26,10.26,1026.0,100,2014-06-16 10:30:00
10.26,10.26,10.26,10.26,1026.0,100,2014-06-16 12:00:00
10.44,10.44,10.44,10.44,1044.0,100,2014-06-16 18:00:00
10.0,9.575,10.0,9.575,9665.4,1000,2014-06-17 12:40:00
10.0,10.0,10.0,10.0,1000.0,100,2014-06-19 16:20:00
9.999,9.999,9.999,9.999,999.9,100,2014-06-19 17:40:00
10.0,10.0,10.0,10.0,9000.0,900,2014-06-19 17:50:00
10.298,9.522,10.75,9.522,54656.5,5100,2014-06-20 10:00:00
10.749,10.749,10.749,10.749,1074.9,100,2014-06-20 10:10:00
9.674,9.674,9.674,9.674,967.4,100,2014-06-20 12:00:00
10.0,10.0,10.0,10.0,1000.0,100,2014-06-20 14:10:00
10.0,10.0,10.0,10.0,1000.0,100,2014-06-23 10:10:00
10.399,10.399,10.399,10.399,1039.9,100,2014-06-23 17:10:00
10.398,10.399,10.399,10.398,32236.3,3100,2014-06-24 18:00:00
10.0,9.81,10.0,9.81,1981.0,200,2014-06-24 18:30:00
10.57,10.57,10.57,10.57,3171.0,300,2014-06-26 11:00:00
9.756,9.756,9.756,9.756,975.6,100,2014-07-01 12:10:00
10.499,11.5,13.2,10.498,206869.69999999998,18800,2014-07-02 12:20:00
11.449,11.448,11.449,10.596,44673.700000000004,4200,2014-07-02 12:30:00
10.557,10.99,10.99,10.0,197434.8,19600,2014-07-02 13:00:00
10.498,10.499,10.499,10.498,7349.2,700,2014-07-02 13:10:00
10.5,10.499,10.5,10.499,4199.7,400,2014-07-02 13:20:00
10.499,10.499,10.499,10.499,14698.6,1400,2014-07-02 15:00:00
10.499,10.499,10.499,10.499,27297.4,2600,2014-07-02 15:10:00
10.111,10.111,10.111,10.111,3033.3,300,2014-07-02 16:10:00
10.111,10.111,10.111,10.111,2022.2,200,2014-07-02 17:50:00
