Open,Close,High,Low,Value,Volume,Date
777.7,852.0,852.0,777.7,24807.0,30,2014-06-19 11:50:00
720.1,720.0,720.1,720.0,11520.1,16,2014-06-20 10:00:00
700.0,700.0,700.0,700.0,700.0,1,2014-06-20 10:20:00
701.0,701.0,701.0,701.0,10515.0,15,2014-06-23 10:30:00
702.0,702.0,702.0,702.0,702.0,1,2014-06-23 11:10:00
700.0,700.0,700.0,700.0,6300.0,9,2014-06-23 12:10:00
690.0,690.0,690.0,690.0,2760.0,4,2014-06-23 12:30:00
710.0,710.0,710.0,710.0,710.0,1,2014-06-24 15:00:00
749.9,750.0,750.0,749.9,19499.9,26,2014-06-24 15:10:00
750.1,750.0,750.1,750.0,3750.1,5,2014-06-24 17:40:00
750.0,750.0,750.0,750.0,34500.0,46,2014-06-24 18:10:00
750.0,775.0,775.0,750.0,41750.0,54,2014-06-25 11:50:00
775.0,775.0,775.0,775.0,4650.0,6,2014-06-25 12:10:00
775.0,775.0,775.0,775.0,11625.0,15,2014-06-25 12:40:00
775.0,775.0,775.0,775.0,27125.0,35,2014-06-25 12:50:00
791.5,800.0,800.0,791.5,54296.0,68,2014-06-25 14:00:00
800.0,854.0,854.0,800.0,163330.0,192,2014-06-25 17:00:00
846.0,860.0,860.0,846.0,91468.0,107,2014-06-26 12:10:00
860.0,860.0,860.0,860.0,86860.0,101,2014-06-26 15:50:00
880.0,900.0,900.0,880.0,109400.0,123,2014-06-26 16:20:00
901.0,901.0,901.0,901.0,90100.0,100,2014-06-26 16:40:00
899.9,750.1,899.9,750.1,1650.0,2,2014-07-01 14:40:00
868.9,750.1,868.9,750.1,1619.0,2,2014-07-02 12:10:00
868.9,750.1,868.9,750.1,1619.0,2,2014-07-02 14:30:00
749.9,749.9,749.9,749.9,749.9,1,2014-07-22 14:50:00
789.9,789.9,789.9,789.9,3949.5,5,2014-07-31 18:00:00
750.0,750.0,750.0,750.0,1500.0,2,2014-08-01 11:50:00
789.9,800.0,800.0,789.9,180618.2,228,2014-08-04 17:40:00
800.0,800.0,800.0,800.0,7200.0,9,2014-08-04 17:50:00
750.0,750.0,750.0,750.0,6750.0,9,2014-08-04 18:20:00
750.0,750.0,750.0,750.0,75000.0,100,2014-08-04 18:30:00
750.0,800.0,800.0,750.0,9050.0,12,2014-08-05 17:30:00
750.0,750.0,750.0,750.0,37500.0,50,2014-08-08 13:40:00
750.0,750.0,750.0,750.0,37500.0,50,2014-08-11 17:20:00
750.0,750.0,750.0,750.0,37500.0,50,2014-08-11 17:30:00
780.0,780.0,780.0,780.0,3120.0,4,2014-08-11 17:50:00
780.0,780.0,780.0,780.0,3120.0,4,2014-08-11 18:20:00
750.0,750.0,750.0,750.0,36750.0,49,2014-08-14 16:30:00
750.0,750.0,750.0,750.0,33750.0,45,2014-08-14 17:30:00
760.0,760.0,760.0,760.0,31920.0,42,2014-08-19 11:30:00
800.0,800.0,800.0,800.0,40000.0,50,2014-08-20 12:00:00
770.3,770.2,770.3,770.2,11553.099999999999,15,2014-08-20 14:10:00
770.2,770.2,770.2,770.2,21565.6,28,2014-08-20 14:40:00
770.4,770.6,770.8,770.1,53933.399999999994,70,2014-08-20 15:10:00
770.7,770.0,770.7,770.0,53918.7,70,2014-08-20 15:20:00
770.2,770.1,770.2,770.1,24643.6,32,2014-08-20 15:30:00
773.0,773.0,773.0,773.0,15460.0,20,2014-08-20 18:10:00
770.1,770.1,770.1,770.1,7701.0,10,2014-08-21 13:10:00
770.0,770.0,770.0,770.0,9240.0,12,2014-08-25 12:50:00
775.3,775.4,775.4,775.3,4652.3,6,2014-08-25 18:20:00
780.1,780.1,780.1,780.1,780.1,1,2014-08-26 17:50:00
