Open,Close,High,Low,Value,Volume,Date
200.0,240.0,240.0,200.0,4400.0,20,2014-06-19 12:30:00
220.0,220.0,220.0,220.0,26400.0,120,2014-06-26 15:00:00
240.0,240.0,240.0,240.0,2400.0,10,2014-06-27 12:50:00
234.0,234.0,234.0,234.0,2340.0,10,2014-06-27 13:20:00
227.9,227.9,227.9,227.9,2279.0,10,2014-06-30 18:30:00
249.99,249.99,249.99,249.99,2499.9,10,2014-07-02 12:30:00
286.99,286.99,286.99,286.99,2869.9,10,2014-07-03 10:20:00
259.99,287.0,287.0,259.99,28869.0,110,2014-07-04 11:40:00
286.0,296.0,296.0,286.0,5820.0,20,2014-07-07 10:00:00
274.7,289.0,289.0,274.7,42206.0,150,2014-07-07 10:30:00
239.9,239.9,239.9,239.9,2399.0,10,2014-07-07 17:10:00
247.0,265.0,265.0,247.0,5120.0,20,2014-07-08 15:00:00
221.01,221.01,221.01,221.01,2210.1,10,2014-07-09 10:20:00
249.0,257.0,257.0,249.0,5060.0,20,2014-07-09 10:40:00
257.75,257.75,257.75,257.75,2577.5,10,2014-07-09 15:50:00
258.98,277.0,277.0,258.98,18308.8,70,2014-07-10 10:00:00
279.98,294.99,294.99,279.98,5749.700000000001,20,2014-07-15 10:00:00
286.55,286.55,286.55,286.55,85965.0,300,2014-07-16 10:20:00
220.0,220.0,220.0,220.0,6600.0,30,2014-07-18 14:40:00
244.44,260.0,260.0,244.44,27274.4,110,2014-07-22 12:10:00
304.0,304.0,304.0,304.0,3040.0,10,2014-08-06 13:10:00
289.0,289.0,289.0,289.0,2890.0,10,2014-08-07 18:00:00
311.99,311.99,311.99,311.99,3119.9,10,2014-08-12 10:00:00
210.0,210.0,210.0,210.0,2100.0,10,2014-08-12 12:40:00
228.0,228.0,228.0,228.0,4560.0,20,2014-08-12 13:20:00
200.0,200.0,200.0,200.0,2000.0,10,2014-09-04 13:20:00
199.99,199.99,199.99,199.99,1999.9,10,2014-09-08 12:20:00
202.01,202.01,202.01,202.01,2020.1,10,2014-09-10 15:10:00
209.92,210.0,210.0,209.92,12596.400000000001,60,2014-09-12 16:30:00
230.0,200.0,230.0,200.0,12302.199999999999,60,2014-09-19 17:10:00
200.0,200.0,200.0,200.0,10000.0,50,2014-09-19 18:00:00
207.0,207.0,207.0,207.0,2070.0,10,2014-10-06 10:10:00
220.0,270.0,270.0,220.0,4900.0,20,2014-10-13 12:00:00
268.0,268.0,268.0,268.0,2680.0,10,2014-10-13 17:10:00
202.0,190.0,202.0,190.0,9840.0,50,2014-10-16 15:20:00
188.0,188.0,188.0,188.0,1880.0,10,2014-10-31 16:30:00
188.0,188.0,188.0,188.0,1880.0,10,2014-10-31 17:10:00
200.0,200.0,200.0,200.0,2000.0,10,2014-11-03 11:00:00
200.0,200.0,200.0,200.0,2000.0,10,2014-11-03 12:50:00
187.0,187.0,187.0,187.0,1870.0,10,2014-11-06 10:40:00
186.0,185.0,186.0,185.0,51830.0,280,2014-11-06 10:50:00
214.0,214.0,214.0,214.0,2140.0,10,2014-11-06 12:00:00
215.0,215.0,215.0,215.0,2150.0,10,2014-11-06 12:40:00
209.0,210.0,210.0,209.0,4190.0,20,2014-11-11 18:20:00
215.0,215.0,215.0,215.0,2150.0,10,2014-11-25 11:00:00
214.0,214.0,214.0,214.0,2140.0,10,2014-11-27 12:20:00
189.0,185.0,189.0,185.0,3740.0,20,2014-12-15 17:20:00
200.0,200.0,200.0,200.0,2000.0,10,2014-12-26 10:50:00
200.0,200.0,200.0,200.0,4000.0,20,2014-12-26 12:20:00
186.0,185.0,186.0,185.0,3710.0,20,2014-12-29 12:30:00
176.0,176.0,176.0,176.0,1760.0,10,2015-01-05 17:30:00
200.0,200.0,200.0,200.0,2000.0,10,2015-01-14 17:40:00
181.0,153.0,181.0,153.0,4870.0,30,2015-01-21 17:40:00
165.0,165.0,165.0,165.0,1650.0,10,2015-01-21 17:50:00
168.0,195.0,195.0,168.0,3630.0,20,2015-01-21 18:30:00
199.0,199.0,199.0,199.0,3980.0,20,2015-01-28 15:50:00
199.0,199.0,199.0,199.0,1990.0,10,2015-01-28 16:30:00
162.0,165.0,165.0,161.0,6500.0,40,2015-02-05 11:10:00
175.0,175.0,175.0,175.0,1750.0,10,2015-02-05 11:20:00
190.0,190.0,190.0,190.0,1900.0,10,2015-02-05 14:20:00
190.0,165.0,190.0,165.0,9100.0,50,2015-02-05 14:50:00
194.0,194.0,194.0,194.0,1940.0,10,2015-02-05 17:30:00
166.0,166.0,166.0,166.0,1660.0,10,2015-02-10 11:40:00
200.0,200.0,200.0,200.0,2000.0,10,2015-02-11 12:40:00
200.0,200.0,200.0,200.0,2000.0,10,2015-02-12 10:00:00
200.0,228.0,228.0,200.0,18280.0,90,2015-02-18 11:00:00
221.0,260.0,260.0,221.0,7020.0,30,2015-02-19 10:20:00
199.0,199.0,199.0,199.0,1990.0,10,2015-02-19 13:40:00
197.0,197.0,197.0,197.0,1970.0,10,2015-02-19 16:00:00
