Open,Close,High,Low,Value,Volume,Date
29.6,29.75,29.75,29.6,15691.0,530,2021-03-26 10:10:00
29.6,29.7,29.7,29.3,6778.5,230,2021-03-26 10:20:00
29.7,29.7,29.7,29.3,15729.0,530,2021-03-26 10:30:00
29.7,29.7,29.7,29.65,18116.0,610,2021-03-26 10:40:00
29.7,29.7,29.7,29.7,6831.0,230,2021-03-26 10:50:00
29.7,29.7,29.7,29.4,7112.5,240,2021-03-26 11:00:00
29.65,29.55,29.7,29.45,8295.0,280,2021-03-26 11:10:00
29.55,29.4,29.7,29.4,63202.0,2130,2021-03-26 11:20:00
29.7,29.7,29.7,29.35,11579.5,390,2021-03-26 11:30:00
29.7,29.7,29.7,29.7,891.0,30,2021-03-26 11:40:00
29.7,29.8,29.8,29.7,72332.0,2430,2021-03-26 11:50:00
29.8,29.4,29.85,29.4,122472.5,4120,2021-03-26 12:00:00
29.3,29.1,29.3,29.1,124728.5,4260,2021-03-26 12:10:00
29.1,29.35,29.4,29.1,75894.0,2600,2021-03-26 12:20:00
29.35,29.65,29.7,29.35,241260.5,8140,2021-03-26 12:30:00
29.65,29.6,29.65,29.35,3549.5,120,2021-03-26 12:40:00
29.3,29.1,29.3,29.05,150021.5,5150,2021-03-26 12:50:00
29.1,29.2,29.4,29.1,160169.0,5470,2021-03-26 13:00:00
29.2,29.35,29.4,29.2,15557.0,530,2021-03-26 13:10:00
29.3,29.2,29.35,29.2,55294.5,1890,2021-03-26 13:20:00
29.2,29.3,29.35,29.2,20514.5,700,2021-03-26 13:30:00
29.35,29.3,29.35,29.2,39467.5,1350,2021-03-26 13:40:00
29.1,29.15,29.3,29.1,28313.5,970,2021-03-26 13:50:00
29.15,29.25,29.35,29.15,77346.5,2640,2021-03-26 14:00:00
29.15,29.15,29.25,29.15,13443.5,460,2021-03-26 14:10:00
29.25,29.15,29.25,29.15,16357.0,560,2021-03-26 14:20:00
29.25,29.25,29.35,29.1,28344.5,970,2021-03-26 14:30:00
29.3,29.3,29.3,29.15,47976.5,1640,2021-03-26 14:40:00
29.3,29.15,29.3,29.15,7890.0,270,2021-03-26 14:50:00
29.25,29.1,29.3,29.05,41039.5,1410,2021-03-26 15:00:00
29.1,29.25,29.25,29.0,275496.5,9490,2021-03-26 15:10:00
29.25,28.95,29.25,28.95,162661.0,5610,2021-03-26 15:20:00
29.2,29.15,29.25,29.0,116686.5,4000,2021-03-26 15:30:00
29.2,29.05,29.2,28.95,114002.5,3930,2021-03-26 15:40:00
29.05,29.05,29.1,28.95,104326.0,3600,2021-03-26 15:50:00
29.1,29.1,29.1,29.05,18014.0,620,2021-03-26 16:00:00
29.1,29.1,29.1,29.05,100833.5,3470,2021-03-26 16:10:00
29.1,29.1,29.1,29.0,54035.5,1860,2021-03-26 16:20:00
29.05,29.05,29.1,28.95,217664.0,7510,2021-03-26 16:30:00
29.05,29.1,29.1,28.95,162857.0,5600,2021-03-26 16:40:00
29.0,29.0,29.1,28.95,13067.0,450,2021-03-26 16:50:00
28.95,29.0,29.1,28.95,13935.5,480,2021-03-26 17:00:00
29.0,29.0,29.1,29.0,20056.0,690,2021-03-26 17:10:00
29.1,29.0,29.1,29.0,164194.0,5660,2021-03-26 17:20:00
29.0,29.0,29.1,28.95,26393.0,910,2021-03-26 17:30:00
28.95,29.0,29.0,28.95,14773.0,510,2021-03-26 17:40:00
29.0,29.05,29.1,28.95,18273.5,630,2021-03-26 17:50:00
29.1,28.95,29.1,28.95,142112.5,4900,2021-03-26 18:00:00
29.05,29.05,29.05,28.95,14207.0,490,2021-03-26 18:10:00
29.05,29.05,29.1,28.95,101193.5,3480,2021-03-26 18:20:00
29.1,29.1,29.3,29.05,297051.0,10200,2021-03-26 18:30:00
29.2,29.2,29.2,29.2,10220.0,350,2021-03-26 18:40:00
29.3,29.3,29.3,29.3,7032.0,240,2021-03-29 09:50:00
29.45,28.95,29.5,28.9,296242.0,10160,2021-03-29 10:00:00
29.05,29.1,29.2,28.95,168495.0,5790,2021-03-29 10:10:00
29.1,29.2,29.25,29.05,176506.0,6060,2021-03-29 10:20:00
29.1,29.35,29.45,29.05,872336.5,29750,2021-03-29 10:30:00
29.45,29.4,29.5,29.3,306833.0,10420,2021-03-29 10:40:00
29.5,29.2,29.5,29.2,259876.0,8880,2021-03-29 10:50:00
29.2,29.25,29.45,29.2,231909.5,7890,2021-03-29 11:00:00
29.3,29.2,29.4,29.2,132993.0,4550,2021-03-29 11:10:00
