Open,Close,High,Low,Value,Volume,Date
150.0,150.0,150.0,150.0,1500,10,2014-06-24 17:40:00
125.5,125.5,125.5,125.5,1255,10,2014-06-25 17:00:00
128.3,128.3,128.3,128.3,1283,10,2014-07-01 17:30:00
150.2,150.1,150.2,150.1,4504,30,2014-07-03 18:00:00
179.0,199.9,199.9,179.0,5587,30,2014-07-03 18:10:00
179.8,179.8,179.8,179.8,3596,20,2014-07-03 18:20:00
237.9,237.9,237.9,237.9,2379,10,2014-07-04 18:30:00
274.9,274.9,274.9,274.9,2749,10,2014-07-15 11:20:00
199.9,199.9,199.9,199.9,1999,10,2014-07-15 11:50:00
155.6,239.9,239.9,155.1,28800,180,2014-07-15 12:00:00
180.0,180.0,180.0,180.0,1800,10,2014-07-15 12:20:00
180.0,154.1,180.0,154.1,12727,80,2014-07-15 12:30:00
178.9,157.0,178.9,155.0,67692,420,2014-07-15 12:40:00
153.0,150.5,153.0,150.5,7619,50,2014-07-15 12:50:00
157.0,164.0,164.0,157.0,4780,30,2014-07-15 13:00:00
164.0,159.9,168.9,159.9,28239,170,2014-07-15 13:10:00
159.9,159.9,159.9,159.9,1599,10,2014-07-15 13:30:00
159.9,159.9,159.9,159.9,4797,30,2014-07-15 13:40:00
159.0,159.0,159.0,159.0,15900,100,2014-07-15 13:50:00
155.9,159.9,159.9,155.9,10993,70,2014-07-15 14:00:00
159.9,159.9,159.9,159.9,1599,10,2014-07-15 14:10:00
160.0,168.5,168.5,160.0,8234,50,2014-07-15 14:30:00
162.5,162.0,162.5,162.0,17835,110,2014-07-15 16:00:00
162.0,162.0,162.0,162.0,1620,10,2014-07-15 17:20:00
169.3,169.3,169.3,169.3,1693,10,2014-07-15 18:20:00
162.0,162.0,162.0,162.0,1620,10,2014-07-16 16:10:00
162.0,162.0,162.0,162.0,1620,10,2014-07-16 18:10:00
143.0,159.0,159.0,143.0,3020,20,2014-07-23 14:30:00
131.0,183.0,184.0,131.0,6300,40,2014-07-28 10:00:00
138.8,137.9,138.8,137.9,4146,30,2014-07-29 14:20:00
155.0,155.0,155.0,155.0,1550,10,2014-07-31 10:50:00
154.9,154.9,154.9,154.9,1549,10,2014-08-12 16:00:00
159.0,158.5,159.0,158.5,3175,20,2014-08-15 15:20:00
158.0,158.0,158.0,158.0,7900,50,2014-08-15 15:30:00
160.0,160.0,160.0,160.0,1600,10,2014-08-15 16:40:00
160.0,160.0,160.0,160.0,8000,50,2014-08-22 14:20:00
175.9,175.9,175.9,175.9,1759,10,2014-08-28 18:30:00
135.0,169.0,174.0,135.0,9362,60,2014-09-01 10:00:00
