Open,Close,High,Low,Value,Volume,Date
924.4,949.0,949.0,899.0,39570172.8,42923,2021-12-17 11:10:00
948.8,947.0,949.6,935.6,10468234.8,11074,2021-12-17 11:20:00
946.8,947.0,950.0,942.4,16020427.399999999,16905,2021-12-17 11:30:00
947.0,942.0,950.0,934.0,17880867.400000002,18898,2021-12-17 11:40:00
942.0,932.2,942.0,930.0,3987799.4,4258,2021-12-17 11:50:00
932.2,924.6,933.0,921.0,3491046.1999999997,3772,2021-12-17 12:00:00
924.0,924.6,925.0,914.4,2568461.2,2790,2021-12-17 12:10:00
924.0,885.8,925.0,882.6,10366144.0,11491,2021-12-17 12:20:00
885.6,894.0,902.6,870.0,7046642.800000001,7924,2021-12-17 12:30:00
894.0,915.0,919.4,890.0,3745356.6000000006,4115,2021-12-17 12:40:00
915.0,919.0,919.0,910.0,2531595.4,2762,2021-12-17 12:50:00
919.0,921.4,924.0,914.0,2299656.5999999996,2503,2021-12-17 13:00:00
921.6,928.8,930.0,921.4,10310940.799999999,11112,2021-12-17 13:10:00
928.8,930.2,942.0,924.8,6087896.199999999,6522,2021-12-17 13:20:00
930.2,920.0,930.4,915.0,3083707.7999999993,3347,2021-12-17 13:30:00
923.8,922.0,924.2,915.2,1543507.0000000002,1675,2021-12-17 13:40:00
922.0,939.6,941.8,922.0,2820552.2,3026,2021-12-17 13:50:00
939.0,935.0,939.0,927.2,1173878.2,1255,2021-12-17 14:00:00
935.4,938.6,938.8,930.4,1587679.6,1701,2021-12-17 14:10:00
938.6,939.4,939.6,935.0,1441160.0000000002,1536,2021-12-17 14:20:00
939.4,939.6,939.8,932.8,1334074.4,1422,2021-12-17 14:30:00
939.6,940.0,940.0,936.2,1079693.0,1149,2021-12-17 14:40:00
940.0,945.0,945.0,939.4,1530211.4,1624,2021-12-17 14:50:00
945.0,944.0,946.0,939.4,2122204.0,2246,2021-12-17 15:00:00
944.4,941.6,945.0,938.0,588391.2000000001,625,2021-12-17 15:10:00
941.6,945.8,945.8,940.0,532125.8,564,2021-12-17 15:20:00
945.8,950.0,950.0,940.8,8540794.8,8997,2021-12-17 15:30:00
950.0,959.8,968.0,950.0,18219758.400000002,19027,2021-12-17 15:40:00
958.6,964.4,965.0,950.0,4976625.2,5204,2021-12-17 15:50:00
964.4,965.0,965.0,955.0,2304169.0,2395,2021-12-17 16:00:00
964.8,974.8,974.8,964.8,3176968.6,3275,2021-12-17 16:10:00
974.8,975.0,975.0,970.0,7224243.200000001,7412,2021-12-17 16:20:00
975.0,971.8,975.0,966.0,4042342.6000000006,4164,2021-12-17 16:30:00
972.4,975.0,975.0,972.4,3537607.3999999994,3630,2021-12-17 16:40:00
