Open,Close,High,Low,Value,Volume,Date
0.2,0.2,0.2,0.2,8000.0,40000,2014-06-18 13:20:00
0.2,0.2,0.2,0.2,2000.0,10000,2014-06-18 17:10:00
0.1901,0.19,0.1901,0.19,6271.2,33000,2014-06-19 12:20:00
0.2399,0.2399,0.2399,0.2399,239.9,1000,2014-06-19 18:30:00
0.2,0.2,0.2,0.2,10000.0,50000,2014-06-26 18:20:00
0.205,0.205,0.205,0.205,615.0,3000,2014-06-30 14:50:00
0.218,0.219,0.219,0.218,1966.0,9000,2014-06-30 17:30:00
0.215,0.215,0.215,0.215,6235.0,29000,2014-07-10 12:40:00
0.2,0.2,0.2,0.2,10000.0,50000,2014-07-11 12:20:00
0.2,0.2,0.2,0.2,10000.0,50000,2014-07-11 12:30:00
0.2049,0.2049,0.2049,0.2049,204.9,1000,2014-07-11 13:40:00
0.1912,0.1912,0.1912,0.1912,191.2,1000,2014-07-11 13:50:00
0.203,0.203,0.203,0.203,2030.0,10000,2014-07-11 15:40:00
0.2,0.2,0.2,0.2,10000.0,50000,2014-07-11 18:10:00
0.203,0.23,0.23,0.203,23317.9,107000,2014-07-16 14:00:00
0.231,0.234,0.2344,0.231,12612.6,54000,2014-07-16 14:10:00
0.222,0.228,0.228,0.222,3150.0,14000,2014-07-22 13:30:00
0.19,0.19,0.19,0.19,190.0,1000,2014-07-30 11:20:00
0.19,0.188,0.19,0.188,1706.0,9000,2014-07-30 11:30:00
0.224,0.224,0.224,0.224,224.0,1000,2014-07-30 12:30:00
0.219,0.219,0.219,0.219,5475.0,25000,2014-08-15 16:20:00
0.2,0.2,0.2,0.2,200.0,1000,2014-08-25 11:10:00
0.2005,0.2005,0.2005,0.2005,200.5,1000,2014-08-27 13:40:00
0.22,0.22,0.22,0.22,440.0,2000,2014-08-27 14:50:00
0.221,0.225,0.225,0.221,1786.0,8000,2014-09-03 11:20:00
0.22,0.22,0.22,0.22,880.0,4000,2014-09-03 18:30:00
0.2249,0.2259,0.2259,0.2249,3161.6,14000,2014-09-10 18:20:00
0.2,0.198,0.2,0.198,998.0,5000,2014-09-11 15:20:00
0.22,0.22,0.22,0.22,220.0,1000,2014-09-11 18:30:00
0.225,0.228,0.228,0.225,1359.0,6000,2014-09-12 13:30:00
0.228,0.228,0.228,0.228,456.0,2000,2014-09-18 18:30:00
0.194,0.194,0.194,0.194,388.0,2000,2014-10-01 18:20:00
0.229,0.238,0.238,0.229,4670.0,20000,2014-10-09 11:10:00
0.21,0.2,0.21,0.2,4100.0,20000,2014-10-09 11:30:00
0.2,0.2,0.2,0.2,6600.0,33000,2014-10-09 15:00:00
0.238,0.238,0.238,0.238,238.0,1000,2014-10-15 11:00:00
0.238,0.24,0.24,0.238,1194.0,5000,2014-10-15 16:10:00
0.24,0.241,0.241,0.24,722.0,3000,2014-10-15 17:50:00
0.199,0.196,0.199,0.196,990.0,5000,2014-10-16 14:40:00
0.201,0.201,0.201,0.201,201.0,1000,2014-10-21 15:40:00
0.198,0.192,0.198,0.192,6438.0,33000,2014-10-27 10:30:00
0.196,0.196,0.196,0.196,588.0,3000,2014-10-28 13:50:00
0.211,0.211,0.211,0.211,211.0,1000,2014-10-28 17:50:00
0.201,0.201,0.201,0.201,201.0,1000,2014-10-30 11:50:00
0.209,0.209,0.209,0.209,209.0,1000,2014-10-30 17:00:00
0.21,0.21,0.21,0.21,210.0,1000,2014-10-31 14:30:00
0.196,0.196,0.196,0.196,980.0,5000,2014-11-05 10:10:00
0.196,0.196,0.196,0.196,196.0,1000,2014-11-05 14:40:00
0.21,0.21,0.21,0.21,420.0,2000,2014-11-05 18:00:00
0.196,0.194,0.196,0.194,1944.0,10000,2014-11-07 10:30:00
0.197,0.197,0.197,0.197,3940.0,20000,2014-11-07 10:40:00
0.197,0.197,0.197,0.197,29550.0,150000,2014-11-07 11:20:00
0.196,0.196,0.196,0.192,2124.0,11000,2014-11-10 12:00:00
0.194,0.193,0.194,0.193,773.0,4000,2014-11-10 12:10:00
0.193,0.191,0.193,0.191,576.0,3000,2014-11-10 12:20:00
0.192,0.19,0.192,0.19,3804.0,20000,2014-11-10 12:30:00
0.19,0.19,0.19,0.19,1710.0,9000,2014-11-10 12:40:00
0.19,0.19,0.19,0.19,570.0,3000,2014-11-10 12:50:00
0.2,0.2,0.2,0.2,1600.0,8000,2014-11-18 18:30:00
0.19,0.19,0.19,0.19,190.0,1000,2014-11-19 17:20:00
0.2,0.2,0.2,0.2,200.0,1000,2014-11-21 16:50:00
0.201,0.21,0.21,0.201,3087.0,15000,2014-11-26 10:10:00
0.21,0.213,0.213,0.21,2112.0,10000,2014-11-26 10:20:00
0.214,0.215,0.215,0.214,1073.0,5000,2014-11-26 10:30:00
0.2,0.186,0.2,0.186,5722.0,30000,2014-11-26 17:10:00
0.2,0.2,0.2,0.2,200.0,1000,2014-11-28 17:20:00
0.186,0.186,0.186,0.186,186.0,1000,2014-12-02 11:20:00
0.2,0.201,0.201,0.2,601.0,3000,2014-12-05 17:20:00
0.191,0.191,0.191,0.191,382.0,2000,2014-12-16 16:40:00
0.199,0.199,0.199,0.199,398.0,2000,2014-12-18 18:30:00
0.201,0.26,0.26,0.201,19194.0,87000,2014-12-24 12:00:00
0.221,0.211,0.221,0.202,7800.0,38000,2014-12-24 12:40:00
0.255,0.255,0.255,0.255,510.0,2000,2014-12-24 17:40:00
0.22,0.22,0.22,0.22,1100.0,5000,2014-12-25 11:20:00
0.24,0.24,0.24,0.24,240.0,1000,2014-12-26 10:10:00
0.24,0.26,0.26,0.24,2550.0,10000,2014-12-26 10:50:00
0.21,0.21,0.21,0.21,420.0,2000,2015-01-09 10:30:00
0.24,0.24,0.24,0.24,240.0,1000,2015-01-09 12:10:00
0.23,0.238,0.238,0.23,703.0,3000,2015-01-09 17:50:00
0.208,0.208,0.208,0.208,208.0,1000,2015-01-13 17:40:00
0.211,0.211,0.211,0.211,211.0,1000,2015-01-15 12:40:00
0.22,0.22,0.22,0.22,220.0,1000,2015-01-20 12:50:00
0.225,0.225,0.225,0.225,450.0,2000,2015-01-21 14:10:00
0.23,0.23,0.23,0.23,230.0,1000,2015-01-23 13:40:00
0.24,0.24,0.24,0.24,240.0,1000,2015-01-26 11:10:00
0.239,0.239,0.239,0.239,239.0,1000,2015-01-26 18:30:00
0.238,0.321,0.321,0.238,54059.0,212000,2015-01-29 18:20:00
0.339,0.339,0.339,0.339,339.0,1000,2015-01-30 10:10:00
0.26,0.26,0.26,0.26,520.0,2000,2015-01-30 10:20:00
0.221,0.24,0.24,0.221,4441.0,19000,2015-01-30 10:30:00
0.24,0.25,0.25,0.239,2969.0,12000,2015-01-30 10:40:00
0.25,0.25,0.25,0.25,250.0,1000,2015-01-30 10:50:00
0.299,0.333,0.333,0.299,1930.0,6000,2015-01-30 13:50:00
0.262,0.331,0.331,0.262,593.0,2000,2015-01-30 14:00:00
0.261,0.26,0.261,0.26,521.0,2000,2015-01-30 15:30:00
0.27,0.27,0.27,0.27,1890.0,7000,2015-01-30 17:00:00
0.27,0.27,0.27,0.27,2160.0,8000,2015-01-30 18:30:00
0.23,0.23,0.23,0.23,230.0,1000,2015-02-03 12:20:00
0.231,0.23,0.231,0.23,2762.0,12000,2015-02-03 15:40:00
0.23,0.23,0.23,0.23,7820.0,34000,2015-02-03 15:50:00
0.23,0.233,0.233,0.23,463.0,2000,2015-02-03 16:10:00
0.24,0.24,0.24,0.24,240.0,1000,2015-02-03 16:20:00
