Open,Close,High,Low,Value,Volume,Date
8000.1,8000.1,8000.1,8000.1,8000.1,1,2014-07-02 18:20:00
9000.0,9000.0,9000.0,9000.0,9000.0,1,2014-07-08 12:00:00
9500.0,9500.0,9500.0,9500.0,9500.0,1,2014-10-22 10:30:00
9500.0,9500.0,9500.0,9500.0,28500.0,3,2014-10-28 17:30:00
10000.0,10000.0,10000.0,10000.0,30000.0,3,2014-10-28 18:00:00
9500.0,9500.0,9500.0,9500.0,19000.0,2,2014-10-30 17:50:00
9500.0,9500.0,9500.0,9500.0,19000.0,2,2014-11-05 13:40:00
9500.0,9500.0,9500.0,9500.0,19000.0,2,2014-11-13 14:00:00
10500.0,10500.0,10500.0,10500.0,10500.0,1,2014-11-24 10:30:00
9500.0,9500.0,9500.0,9500.0,19000.0,2,2014-12-08 13:00:00
9000.0,9000.0,9000.0,9000.0,9000.0,1,2014-12-09 11:10:00
9000.0,9000.0,9000.0,9000.0,9000.0,1,2015-01-23 18:00:00
9000.0,9000.0,9000.0,9000.0,9000.0,1,2015-01-23 18:30:00
8000.0,8000.0,8000.0,8000.0,16000.0,2,2015-02-26 18:20:00
7500.0,7500.0,7500.0,7500.0,7500.0,1,2015-02-27 10:00:00
7500.0,7500.0,7500.0,7500.0,7500.0,1,2015-04-29 18:30:00
7010.0,7000.0,7010.0,7000.0,14010.0,2,2015-05-14 18:20:00
6310.0,6310.0,6310.0,6310.0,6310.0,1,2015-06-17 11:30:00
5710.0,5710.0,5710.0,5710.0,5710.0,1,2015-07-16 15:10:00
6200.0,6000.0,6200.0,6000.0,30760.0,5,2015-07-22 12:10:00
6480.0,6480.0,6480.0,6480.0,6480.0,1,2015-07-23 11:00:00
6270.0,5840.0,6270.0,5840.0,47990.0,8,2015-07-24 16:30:00
5710.0,5660.0,5710.0,5660.0,17030.0,3,2015-07-30 12:50:00
5250.0,5240.0,5250.0,5240.0,15730.0,3,2015-07-31 12:10:00
5230.0,5200.0,5230.0,5200.0,15630.0,3,2015-08-04 12:40:00
5000.0,5000.0,5000.0,5000.0,20000.0,4,2015-08-04 18:20:00
5000.0,5000.0,5000.0,5000.0,10000.0,2,2015-08-07 10:30:00
4600.0,4600.0,4600.0,4600.0,23000.0,5,2015-08-11 17:40:00
5470.0,5470.0,5470.0,5470.0,5470.0,1,2015-09-14 13:30:00
5500.0,5500.0,5500.0,5500.0,11000.0,2,2015-09-15 12:10:00
5880.0,5990.0,5990.0,5880.0,17770.0,3,2015-09-21 16:20:00
5100.0,5100.0,5100.0,5100.0,5100.0,1,2015-10-14 15:00:00
5300.0,5300.0,5300.0,5300.0,5300.0,1,2015-10-14 16:00:00
5100.0,5100.0,5100.0,5100.0,5100.0,1,2015-10-15 14:30:00
5010.0,5010.0,5010.0,5010.0,5010.0,1,2015-10-15 17:40:00
5500.0,5500.0,5500.0,5500.0,5500.0,1,2015-10-22 10:20:00
5860.0,5860.0,5860.0,5860.0,5860.0,1,2015-10-22 11:40:00
6380.0,6380.0,6380.0,6380.0,6380.0,1,2015-10-22 12:30:00
5750.0,5750.0,5750.0,5750.0,5750.0,1,2015-10-22 13:00:00
5150.0,5150.0,5150.0,5150.0,5150.0,1,2015-10-23 13:00:00
5250.0,5250.0,5250.0,5250.0,5250.0,1,2015-10-23 14:00:00
5250.0,5250.0,5250.0,5250.0,10500.0,2,2015-10-23 16:30:00
5500.0,5800.0,5800.0,5500.0,17050.0,3,2015-10-23 18:30:00
6430.0,6850.0,6850.0,6430.0,20130.0,3,2015-10-30 13:50:00
5550.0,5160.0,5550.0,5160.0,15910.0,3,2015-11-02 15:20:00
5250.0,5250.0,5250.0,5250.0,5250.0,1,2015-11-02 18:00:00
5160.0,5000.0,5160.0,5000.0,70320.0,14,2015-11-03 14:20:00
5280.0,5280.0,5280.0,5280.0,5280.0,1,2015-11-03 15:00:00
5130.0,5130.0,5130.0,5130.0,5130.0,1,2015-11-03 15:20:00
5050.0,5050.0,5050.0,5050.0,5050.0,1,2015-11-03 17:00:00
5050.0,5000.0,5050.0,5000.0,10050.0,2,2015-11-05 11:50:00
5060.0,5180.0,5180.0,5060.0,10240.0,2,2015-11-05 16:30:00
5020.0,5000.0,5020.0,5000.0,10020.0,2,2015-11-05 17:30:00
5000.0,5000.0,5000.0,5000.0,15000.0,3,2015-11-10 12:10:00
5180.0,5500.0,5500.0,5180.0,26870.0,5,2015-11-11 11:00:00
5980.0,6990.0,6990.0,5980.0,97390.0,15,2015-11-11 11:20:00
6990.0,6990.0,6990.0,6990.0,20970.0,3,2015-11-11 11:30:00
6990.0,6990.0,6990.0,6990.0,6990.0,1,2015-11-11 11:40:00
6990.0,6990.0,6990.0,6990.0,27960.0,4,2015-11-11 13:10:00
6990.0,6990.0,6990.0,6990.0,6990.0,1,2015-11-11 14:00:00
6990.0,6990.0,6990.0,6990.0,83880.0,12,2015-11-11 16:30:00
6250.0,6000.0,6250.0,6000.0,73490.0,12,2015-11-11 16:50:00
6010.0,6000.0,6010.0,6000.0,18010.0,3,2015-11-11 17:50:00
6000.0,5460.0,6000.0,5460.0,46260.0,8,2015-11-11 18:00:00
5870.0,5570.0,5870.0,5570.0,11440.0,2,2015-11-11 18:10:00
