Open,Close,High,Low,Value,Volume,Date
4.486,4.51,4.51,4.486,1315642.4,293200,2014-07-07 10:50:00
4.525,4.536,4.536,4.525,4528.6,1000,2014-07-07 11:00:00
4.516,4.516,4.516,4.516,451.6,100,2014-07-07 11:10:00
4.514,4.51,4.514,4.51,20297.6,4500,2014-07-07 11:30:00
4.49,4.448,4.49,4.448,65058.5,14600,2014-07-07 11:40:00
4.448,4.45,4.45,4.448,126378.5,28400,2014-07-07 11:50:00
4.471,4.481,4.483,4.471,9855.000000000002,2200,2014-07-07 12:00:00
4.479,4.479,4.479,4.479,447.9,100,2014-07-07 12:10:00
4.483,4.485,4.485,4.483,1345.1,300,2014-07-07 12:30:00
4.483,4.483,4.483,4.483,448.3,100,2014-07-07 12:40:00
4.488,4.489,4.489,4.488,4937.8,1100,2014-07-07 13:00:00
4.492,4.492,4.492,4.492,449.2,100,2014-07-07 13:40:00
4.48,4.489,4.489,4.479,5380.8,1200,2014-07-07 13:50:00
4.492,4.496,4.496,4.492,1797.8000000000002,400,2014-07-07 14:00:00
4.495,4.516,4.516,4.495,49569.2,11000,2014-07-07 14:50:00
4.512,4.513,4.513,4.512,3610.2999999999997,800,2014-07-07 15:00:00
4.5,4.5,4.5,4.5,1800.0,400,2014-07-07 15:20:00
4.507,4.55,4.55,4.507,136354.9,30000,2014-07-07 17:00:00
4.55,4.55,4.55,4.55,77350.0,17000,2014-07-07 17:10:00
4.532,4.52,4.532,4.52,5434.900000000001,1200,2014-07-07 17:20:00
4.531,4.532,4.532,4.531,3171.7999999999997,700,2014-07-07 17:50:00
4.533,4.546,4.546,4.51,143216.6,31700,2014-07-07 18:30:00
4.567,4.599,4.6,4.567,20166.1,4400,2014-07-08 10:00:00
4.599,4.599,4.599,4.599,459.9,100,2014-07-08 10:10:00
4.584,4.584,4.584,4.584,916.8,200,2014-07-08 10:20:00
4.584,4.584,4.584,4.584,2292.0,500,2014-07-08 10:40:00
4.59,4.597,4.597,4.59,1377.7,300,2014-07-08 11:00:00
4.582,4.582,4.582,4.582,916.4,200,2014-07-08 11:10:00
4.58,4.6,4.6,4.58,60695.6,13200,2014-07-08 11:20:00
4.585,4.585,4.585,4.585,2292.5,500,2014-07-08 11:40:00
4.577,4.577,4.577,4.577,457.7,100,2014-07-08 12:10:00
4.572,4.572,4.572,4.572,457.2,100,2014-07-08 12:40:00
4.57,4.57,4.57,4.57,457.0,100,2014-07-08 13:00:00
4.584,4.568,4.585,4.568,5041.5,1100,2014-07-08 13:30:00
4.584,4.584,4.584,4.584,458.4,100,2014-07-08 14:10:00
4.568,4.55,4.568,4.55,36869.9,8100,2014-07-08 14:20:00
4.55,4.55,4.553,4.55,18202.3,4000,2014-07-08 14:30:00
4.553,4.553,4.553,4.553,910.6,200,2014-07-08 15:00:00
4.563,4.563,4.563,4.563,2737.8,600,2014-07-08 15:10:00
4.56,4.594,4.633,4.56,219122.7,47700,2014-07-08 15:20:00
4.6,4.602,4.602,4.6,20241.0,4400,2014-07-08 15:30:00
4.601,4.6,4.601,4.6,5520.5,1200,2014-07-08 15:40:00
4.601,4.6,4.601,4.6,3220.5,700,2014-07-08 15:50:00
4.574,4.571,4.574,4.571,4572.5,1000,2014-07-08 16:00:00
4.572,4.57,4.572,4.57,85460.2,18700,2014-07-08 17:00:00
4.551,4.54,4.551,4.54,1363.1,300,2014-07-08 17:30:00
4.541,4.541,4.541,4.541,2724.6,600,2014-07-08 18:00:00
4.541,4.538,4.541,4.538,130275.6,28700,2014-07-08 18:20:00
4.57,4.599,4.599,4.57,4591.2,1000,2014-07-09 10:00:00
4.559,4.559,4.559,4.559,5926.700000000001,1300,2014-07-09 10:30:00
4.571,4.584,4.584,4.571,3658.3,800,2014-07-09 10:40:00
4.553,4.55,4.553,4.55,27302.9,6000,2014-07-09 11:00:00
4.551,4.53,4.551,4.5,35260.1,7800,2014-07-09 11:10:00
4.535,4.536,4.536,4.535,2721.1,600,2014-07-09 12:10:00
4.522,4.5,4.522,4.499,25677.4,5700,2014-07-09 13:00:00
4.486,4.474,4.486,4.474,43862.100000000006,9800,2014-07-09 13:30:00
4.48,4.476,4.48,4.474,13875.3,3100,2014-07-09 13:50:00
4.476,4.476,4.476,4.476,895.2,200,2014-07-09 14:00:00
4.498,4.498,4.498,4.498,449.8,100,2014-07-09 16:30:00
4.498,4.498,4.498,4.498,449.8,100,2014-07-09 16:40:00
4.498,4.498,4.498,4.498,899.6,200,2014-07-09 17:00:00
4.5,4.5,4.5,4.5,1800.0,400,2014-07-09 17:30:00
4.505,4.506,4.506,4.505,2703.4,600,2014-07-09 18:30:00
4.498,4.506,4.506,4.498,7204.7,1600,2014-07-10 10:10:00
4.507,4.499,4.509,4.499,8109.9,1800,2014-07-10 10:20:00
4.507,4.508,4.508,4.507,7662.1,1700,2014-07-10 10:30:00
4.499,4.499,4.499,4.499,4049.1,900,2014-07-10 10:50:00
4.504,4.504,4.504,4.504,1801.6,400,2014-07-10 11:00:00
4.501,4.51,4.51,4.501,11269.5,2500,2014-07-10 11:50:00
4.501,4.491,4.501,4.491,73800.3,16400,2014-07-10 12:00:00
4.488,4.483,4.488,4.483,8074.900000000001,1800,2014-07-10 12:20:00
4.475,4.475,4.475,4.475,6712.5,1500,2014-07-10 12:30:00
4.476,4.476,4.476,4.476,447.6,100,2014-07-10 12:50:00
4.476,4.475,4.476,4.475,895.1,200,2014-07-10 13:30:00
4.47,4.468,4.47,4.468,3575.3,800,2014-07-10 13:40:00
4.47,4.47,4.47,4.47,6258.0,1400,2014-07-10 14:10:00
4.47,4.468,4.47,4.468,10726.0,2400,2014-07-10 14:30:00
4.462,4.452,4.462,4.452,9366.800000000001,2100,2014-07-10 14:40:00
4.458,4.461,4.461,4.458,39694.6,8900,2014-07-10 15:00:00
4.462,4.46,4.462,4.46,20071.4,4500,2014-07-10 15:40:00
4.472,4.472,4.472,4.472,447.2,100,2014-07-10 15:50:00
4.465,4.452,4.465,4.452,17401.8,3900,2014-07-10 16:00:00
4.433,4.444,4.444,4.41,33174.8,7500,2014-07-10 16:10:00
4.421,4.42,4.421,4.42,15471.8,3500,2014-07-10 16:40:00
4.445,4.445,4.445,4.445,444.5,100,2014-07-10 16:50:00
4.421,4.42,4.421,4.42,27407.5,6200,2014-07-10 17:00:00
4.42,4.406,4.42,4.406,5290.8,1200,2014-07-10 17:20:00
4.411,4.39,4.411,4.39,43918.4,10000,2014-07-10 17:30:00
4.391,4.391,4.391,4.391,10538.400000000001,2400,2014-07-10 18:00:00
4.417,4.419,4.419,4.417,28720.200000000004,6500,2014-07-10 18:20:00
4.418,4.419,4.419,4.418,4418.2,1000,2014-07-10 18:30:00
4.399,4.399,4.399,4.399,2199.5,500,2014-07-11 10:20:00
4.4,4.401,4.401,4.4,4840.1,1100,2014-07-11 11:00:00
4.417,4.396,4.417,4.396,4856.6,1100,2014-07-11 11:10:00
4.396,4.396,4.396,4.396,439.6,100,2014-07-11 11:20:00
4.396,4.392,4.396,4.392,3075.6,700,2014-07-11 11:30:00
4.41,4.421,4.422,4.41,24756.6,5600,2014-07-11 11:40:00
4.4,4.4,4.4,4.4,4400.0,1000,2014-07-11 11:50:00
4.4,4.4,4.4,4.4,26400.0,6000,2014-07-11 12:00:00
4.416,4.421,4.44,4.416,15489.600000000002,3500,2014-07-11 12:10:00
4.41,4.44,4.44,4.402,40669.4,9200,2014-07-11 12:30:00
4.44,4.449,4.449,4.44,8894.9,2000,2014-07-11 12:40:00
4.422,4.407,4.422,4.4,102987.9,23400,2014-07-11 13:20:00
4.409,4.4,4.409,4.4,37843.2,8600,2014-07-11 13:40:00
4.422,4.422,4.422,4.422,17688.0,4000,2014-07-11 14:30:00
4.412,4.41,4.412,4.41,171550.4,38900,2014-07-11 14:50:00
4.41,4.41,4.41,4.41,441.0,100,2014-07-11 15:00:00
4.4,4.396,4.4,4.396,1319.6,300,2014-07-11 16:40:00
4.407,4.423,4.423,4.407,42425.0,9600,2014-07-11 17:10:00
4.437,4.402,4.437,4.402,15426.899999999998,3500,2014-07-11 17:20:00
4.4,4.4,4.4,4.4,4400.0,1000,2014-07-11 17:30:00
4.4,4.4,4.4,4.4,880.0,200,2014-07-11 17:40:00
4.4,4.4,4.4,4.4,2200.0,500,2014-07-11 18:00:00
4.409,4.41,4.411,4.409,302088.3,68500,2014-07-11 18:10:00
4.41,4.41,4.41,4.41,79380.0,18000,2014-07-11 18:20:00
