Open,Close,High,Low,Value,Volume,Date
154.0,154.0,154.0,154.0,9856000,64000,2015-07-22 17:00:00
164.0,164.0,164.0,164.0,1640,10,2015-12-15 11:10:00
164.0,164.0,164.0,164.0,9997440,60960,2015-12-15 16:50:00
160.0,156.0,160.0,156.0,157980,1000,2016-04-13 12:30:00
160.0,157.0,160.0,157.0,322210,2030,2016-04-20 17:30:00
250.0,250.0,250.0,250.0,2500,10,2019-12-12 17:00:00
250.0,250.0,250.0,250.0,27500,110,2019-12-12 17:10:00
250.0,255.0,270.0,250.0,435850,1660,2019-12-12 17:20:00
260.0,265.0,270.0,250.0,578250,2210,2019-12-12 17:30:00
255.0,260.0,260.0,250.0,414250,1640,2019-12-12 17:40:00
260.0,260.0,265.0,255.0,480650,1840,2019-12-12 17:50:00
255.0,260.0,270.0,250.0,357200,1380,2019-12-12 18:00:00
260.0,260.0,260.0,260.0,15600,60,2019-12-12 18:10:00
260.0,260.0,265.0,255.0,57550,220,2019-12-12 18:20:00
260.0,270.0,270.0,255.0,232200,870,2019-12-12 18:30:00
270.0,270.0,270.0,270.0,10800,40,2019-12-12 18:40:00
275.0,275.0,275.0,275.0,8250,30,2019-12-13 09:50:00
275.0,325.0,345.0,275.0,557250,1760,2019-12-13 10:00:00
315.0,375.0,375.0,315.0,1390750,3820,2019-12-13 10:10:00
375.0,375.0,375.0,360.0,442350,1180,2019-12-13 10:20:00
375.0,365.0,375.0,355.0,600450,1620,2019-12-13 10:40:00
365.0,370.0,375.0,355.0,1260150,3390,2019-12-13 10:50:00
365.0,370.0,370.0,365.0,55300,150,2019-12-13 11:00:00
375.0,375.0,375.0,370.0,44700,120,2019-12-13 11:10:00
370.0,375.0,375.0,360.0,216700,590,2019-12-13 11:20:00
375.0,360.0,375.0,335.0,402650,1110,2019-12-13 11:30:00
355.0,360.0,360.0,355.0,14350,40,2019-12-13 11:40:00
350.0,340.0,350.0,340.0,17300,50,2019-12-13 11:50:00
355.0,375.0,375.0,355.0,248700,670,2019-12-13 12:00:00
365.0,375.0,375.0,310.0,914750,2590,2019-12-13 12:10:00
375.0,375.0,375.0,370.0,48700,130,2019-12-13 12:20:00
375.0,375.0,375.0,370.0,131200,350,2019-12-13 12:30:00
375.0,375.0,375.0,365.0,499750,1360,2019-12-13 12:40:00
375.0,375.0,375.0,375.0,86250,230,2019-12-13 12:50:00
375.0,375.0,375.0,375.0,97500,260,2019-12-13 13:10:00
375.0,375.0,375.0,375.0,11250,30,2019-12-13 13:20:00
375.0,375.0,375.0,375.0,33750,90,2019-12-13 13:40:00
375.0,375.0,375.0,375.0,45000,120,2019-12-13 14:00:00
375.0,375.0,375.0,375.0,3750,10,2019-12-13 14:50:00
375.0,375.0,375.0,375.0,3750,10,2019-12-13 15:20:00
375.0,375.0,375.0,375.0,67500,180,2019-12-13 15:50:00
410.0,410.0,410.0,410.0,57400,140,2019-12-16 09:50:00
450.0,520.0,520.0,450.0,726800,1430,2019-12-16 10:00:00
520.0,520.0,520.0,520.0,10400,20,2019-12-16 10:10:00
520.0,520.0,520.0,520.0,104000,200,2019-12-16 10:30:00
520.0,520.0,520.0,520.0,5200,10,2019-12-16 12:50:00
520.0,520.0,520.0,520.0,5200,10,2019-12-16 14:20:00
520.0,520.0,520.0,520.0,15600,30,2019-12-16 15:00:00
520.0,520.0,520.0,520.0,5200,10,2019-12-16 15:20:00
520.0,520.0,520.0,520.0,5200,10,2019-12-16 17:10:00
570.0,570.0,570.0,570.0,28500,50,2019-12-17 10:00:00
570.0,570.0,570.0,570.0,228000,400,2019-12-17 10:20:00
570.0,570.0,570.0,570.0,102600,180,2019-12-17 10:30:00
570.0,570.0,570.0,570.0,5700,10,2019-12-17 11:10:00
570.0,570.0,570.0,570.0,91200,160,2019-12-17 15:40:00
625.0,625.0,625.0,625.0,6250,10,2019-12-18 10:00:00
625.0,625.0,625.0,625.0,50000,80,2019-12-18 10:20:00
625.0,605.0,625.0,520.0,1216600,2030,2019-12-18 10:30:00
555.0,530.0,570.0,465.0,542400,1040,2019-12-18 10:40:00
535.0,535.0,575.0,530.0,405550,730,2019-12-18 10:50:00
530.0,500.0,560.0,440.0,434750,870,2019-12-18 11:00:00
515.0,545.0,570.0,515.0,470300,870,2019-12-18 11:10:00
535.0,530.0,545.0,520.0,315400,600,2019-12-18 11:20:00
