Open,Close,High,Low,Value,Volume,Date
125.0,120.8,149.56,116.2,86245065.5,695770,2021-10-21 10:00:00
121.0,119.24,121.95,116.45,40567965.499999985,339050,2021-10-21 10:10:00
119.55,119.99,120.68,119.0,2762140.0999999996,23030,2021-10-21 10:20:00
120.0,119.7,120.3,118.8,3580115.5000000005,29970,2021-10-21 10:30:00
119.3,119.6,120.49,118.5,5357402.6,44850,2021-10-21 10:40:00
119.8,120.1,120.8,118.8,10540665.600000001,87970,2021-10-21 10:50:00
120.1,120.4,120.75,119.7,6193705.899999999,51560,2021-10-21 11:00:00
120.4,119.4,122.0,119.19,16999182.9,140870,2021-10-21 11:10:00
119.4,119.65,120.0,119.2,12320255.700000005,103100,2021-10-21 11:20:00
119.72,119.6,120.0,119.5,6110546.799999999,51000,2021-10-21 11:30:00
119.67,119.41,119.67,119.1,3664456.3999999994,30700,2021-10-21 11:40:00
119.4,118.66,119.8,118.65,31200990.1,262360,2021-10-21 11:50:00
118.65,119.21,119.26,118.25,7323326.9,61670,2021-10-21 12:00:00
119.21,118.8,119.4,118.77,7160900.499999998,60210,2021-10-21 12:10:00
118.8,117.93,118.86,117.5,11039009.899999997,93480,2021-10-21 12:20:00
117.67,118.0,118.05,116.15,11690854.599999998,99920,2021-10-21 12:30:00
118.0,118.2,118.3,117.0,5742889.500000001,48750,2021-10-21 12:40:00
118.29,118.81,118.9,118.2,3369322.5000000005,28400,2021-10-21 12:50:00
118.81,119.0,119.0,118.73,1970269.8000000003,16580,2021-10-21 13:00:00
119.0,119.0,119.28,118.7,3742326.6000000006,31490,2021-10-21 13:10:00
119.08,118.8,119.09,118.7,3843595.4,32340,2021-10-21 13:20:00
118.8,118.79,119.2,118.71,3960696.8000000003,33330,2021-10-21 13:30:00
118.77,118.8,119.0,118.75,5129724.400000001,43170,2021-10-21 13:40:00
118.8,118.8,118.98,118.5,3873069.2,32600,2021-10-21 13:50:00
118.8,118.8,118.99,118.66,8748231.0,73630,2021-10-21 14:00:00
118.8,118.8,118.9,118.6,6686540.0,56290,2021-10-21 14:10:00
118.8,118.8,118.89,118.72,7525091.5,63340,2021-10-21 14:20:00
118.8,118.25,118.82,118.25,6758523.099999999,57020,2021-10-21 14:30:00
118.45,118.5,118.8,118.16,6133511.8,51770,2021-10-21 14:40:00
118.49,119.14,119.28,118.0,5738037.300000001,48350,2021-10-21 14:50:00
118.96,118.78,119.28,118.72,12876365.799999997,108250,2021-10-21 15:00:00
118.78,118.8,119.25,118.7,5728290.300000001,48210,2021-10-21 15:10:00
118.8,118.8,118.96,118.6,5700057.5,47980,2021-10-21 15:20:00
118.8,118.5,118.8,118.1,19068743.999999996,160900,2021-10-21 15:30:00
118.5,118.5,119.0,118.3,51075751.4,430790,2021-10-21 15:40:00
118.5,118.5,118.58,118.48,8135060.700000001,68650,2021-10-21 15:50:00
118.5,118.48,118.75,118.48,6333902.9,53450,2021-10-21 16:00:00
118.48,118.5,118.5,118.48,6190321.2,52240,2021-10-21 16:10:00
118.5,118.3,118.5,118.25,6336949.600000001,53550,2021-10-21 16:20:00
118.3,118.4,118.49,118.26,5231392.4,44190,2021-10-21 16:30:00
118.39,118.4,118.4,118.23,5369863.5,45360,2021-10-21 16:40:00
118.4,118.3,118.4,117.9,18882312.4,159900,2021-10-21 16:50:00
118.3,118.3,118.3,118.22,6593871.0,55740,2021-10-21 17:00:00
118.3,118.0,118.4,117.99,6629884.300000001,56070,2021-10-21 17:10:00
118.0,118.3,118.3,118.0,6136864.3,51890,2021-10-21 17:20:00
118.3,118.3,118.31,118.2,5732442.4,48460,2021-10-21 17:30:00
118.3,118.0,118.42,117.8,8700076.1,73650,2021-10-21 17:40:00
118.0,118.0,118.04,117.81,5840699.4,49510,2021-10-21 17:50:00
118.0,118.0,118.3,117.86,8864643.899999999,75120,2021-10-21 18:00:00
118.0,118.0,118.05,117.95,5594253.199999999,47410,2021-10-21 18:10:00
118.0,118.9,118.9,117.88,11351561.2,96090,2021-10-21 18:20:00
118.9,118.5,119.25,118.26,22505330.500000007,189490,2021-10-21 18:30:00
118.0,118.0,118.0,118.0,5030340.0,42630,2021-10-21 18:40:00
118.49,118.49,118.49,118.49,218021.59999999998,1840,2021-10-22 09:50:00
118.49,118.4,118.79,118.0,2626333.6999999997,22180,2021-10-22 10:00:00
118.4,118.22,118.8,118.0,2232326.9000000004,18860,2021-10-22 10:10:00
118.22,116.5,118.22,116.1,6570645.6,56220,2021-10-22 10:20:00
116.46,116.49,116.62,116.1,4679742.3,40220,2021-10-22 10:30:00
116.49,117.73,117.87,116.3,2312214.8000000003,19760,2021-10-22 10:40:00
117.73,117.24,117.78,117.1,783480.2000000002,6680,2021-10-22 10:50:00
117.23,116.9,117.23,116.52,2044918.3999999997,17480,2021-10-22 11:00:00
116.9,116.79,116.96,116.5,1216332.2999999998,10430,2021-10-22 11:10:00
116.79,116.5,117.0,116.42,1006998.1,8630,2021-10-22 11:20:00
116.43,116.89,117.01,116.1,3270467.3,28040,2021-10-22 11:30:00
116.85,116.46,116.89,116.2,1850185.0,15880,2021-10-22 11:40:00
116.45,116.18,116.45,116.12,1962650.2000000002,16890,2021-10-22 11:50:00
116.18,116.3,116.3,116.17,1367792.7,11770,2021-10-22 12:00:00
116.28,116.96,117.1,116.16,2544310.1999999997,21840,2021-10-22 12:10:00
116.96,116.99,117.45,116.64,1753095.2,14980,2021-10-22 12:20:00
117.0,116.91,117.06,116.7,678984.2,5810,2021-10-22 12:30:00
116.91,116.96,117.0,116.5,1203185.0999999999,10290,2021-10-22 12:40:00
116.98,116.75,116.98,116.51,326703.5,2800,2021-10-22 12:50:00
116.75,116.54,116.9,116.24,1695957.5999999999,14560,2021-10-22 13:00:00
116.54,116.37,116.74,116.11,3375982.5000000005,29020,2021-10-22 13:10:00
116.33,116.25,116.37,116.01,2650516.7999999993,22810,2021-10-22 13:20:00
116.28,116.0,116.43,115.95,7326994.199999999,63090,2021-10-22 13:30:00
116.0,116.49,116.61,116.0,1784291.5000000002,15360,2021-10-22 13:40:00
116.5,116.4,116.61,116.3,935487.7000000001,8030,2021-10-22 13:50:00
116.45,116.87,117.0,116.03,4251152.899999999,36450,2021-10-22 14:00:00
116.91,116.99,117.0,116.91,1677539.4000000001,14340,2021-10-22 14:10:00
116.99,117.0,117.0,116.99,840016.2999999999,7180,2021-10-22 14:20:00
117.0,117.0,117.06,116.51,3196097.3,27320,2021-10-22 14:30:00
117.0,117.0,117.06,116.73,1036434.2000000001,8860,2021-10-22 14:40:00
117.0,116.0,117.0,115.98,24706516.800000004,212360,2021-10-22 14:50:00
116.0,116.4,116.4,115.6,7394328.300000001,63670,2021-10-22 15:00:00
116.55,116.0,117.0,115.98,7307945.500000001,62800,2021-10-22 15:10:00
116.0,116.6,116.94,115.92,6449025.6,55490,2021-10-22 15:20:00
116.8,116.49,116.98,116.4,2620829.0999999996,22470,2021-10-22 15:30:00
116.59,116.4,116.6,116.22,4651709.5,39980,2021-10-22 15:40:00
116.35,116.68,116.7,116.35,778147.3,6670,2021-10-22 15:50:00
116.69,116.4,116.69,116.37,772362.1,6630,2021-10-22 16:00:00
116.4,115.99,116.41,115.98,14116275.700000001,121590,2021-10-22 16:10:00
115.99,115.81,115.99,115.65,2062567.7000000002,17810,2021-10-22 16:20:00
115.82,115.58,115.84,115.5,2620038.5999999996,22660,2021-10-22 16:30:00
115.57,115.57,115.59,115.5,1327478.5999999999,11490,2021-10-22 16:40:00
115.57,114.8,115.85,114.8,13757855.1,119460,2021-10-22 16:50:00
114.85,114.75,115.03,114.35,4041479.3,35230,2021-10-22 17:00:00
114.86,113.68,114.94,113.5,5735713.5,50270,2021-10-22 17:10:00
113.5,113.74,114.94,111.9,10957425.1,96730,2021-10-22 17:20:00
113.78,113.92,114.45,113.05,3617987.899999997,31780,2021-10-22 17:30:00
113.92,113.96,113.99,113.4,2114195.1999999997,18570,2021-10-22 17:40:00
113.96,113.12,113.96,113.0,2181829.8,19250,2021-10-22 17:50:00
113.12,112.61,113.26,112.6,1835362.0999999999,16240,2021-10-22 18:00:00
112.72,113.58,113.8,112.55,1385433.7,12220,2021-10-22 18:10:00
113.41,112.53,113.54,112.5,2489074.8000000003,22070,2021-10-22 18:20:00
112.6,113.49,113.49,112.4,2463197.9,21830,2021-10-22 18:30:00
115.0,115.0,115.0,115.0,151497550.0,1317370,2021-10-22 18:40:00
114.99,114.99,114.99,114.99,14948.7,130,2021-10-25 09:50:00
114.99,117.05,117.99,114.99,3544787.4,30380,2021-10-25 10:00:00
117.09,116.0,117.21,115.65,4341307.7,37180,2021-10-25 10:10:00
116.35,116.14,116.85,115.8,959519.9000000001,8260,2021-10-25 10:20:00
116.14,116.09,116.15,115.8,537417.2000000001,4630,2021-10-25 10:30:00
116.09,114.42,116.09,114.25,1890815.799999999,16430,2021-10-25 10:40:00
114.42,113.45,114.96,113.1,1470667.5,12920,2021-10-25 10:50:00
113.7,112.93,114.48,112.49,1547488.0,13700,2021-10-25 11:00:00
112.92,113.59,113.75,112.55,901891.7,7960,2021-10-25 11:10:00
113.58,113.06,114.35,112.9,560247.6,4950,2021-10-25 11:20:00
113.28,113.01,113.35,113.0,479553.89999999997,4240,2021-10-25 11:30:00
113.01,113.19,113.35,113.0,667519.2000000001,5900,2021-10-25 11:40:00
113.07,112.28,113.3,112.04,2091781.8,18600,2021-10-25 11:50:00
112.31,112.7,113.0,112.2,645403.8000000002,5730,2021-10-25 12:00:00
112.75,115.0,115.0,112.23,2135030.9,18770,2021-10-25 12:10:00
115.17,115.1,116.2,115.0,2735257.9000000004,23660,2021-10-25 12:20:00
115.1,116.5,116.7,115.09,2473152.6,21270,2021-10-25 12:30:00
116.6,116.04,116.69,116.02,2427453.7,20840,2021-10-25 12:40:00
116.4,116.55,116.65,116.08,2522506.2000000007,21660,2021-10-25 12:50:00
116.47,116.55,116.63,116.11,2585857.9000000004,22200,2021-10-25 13:00:00
116.5,116.7,116.71,116.35,2452625.3000000003,21040,2021-10-25 13:10:00
116.7,116.4,116.71,115.2,2756897.4000000004,23690,2021-10-25 13:20:00
116.4,116.8,116.84,116.2,1600693.0,13720,2021-10-25 13:30:00
116.82,116.9,117.1,116.0,4900776.3,41960,2021-10-25 13:40:00
117.0,117.29,117.3,116.49,3442580.0999999996,29430,2021-10-25 13:50:00
117.24,117.21,117.3,116.65,6895069.399999999,58860,2021-10-25 14:00:00
117.21,117.27,117.3,116.74,7807924.500000001,66680,2021-10-25 14:10:00
117.27,116.53,117.5,116.09,7016020.3,59940,2021-10-25 14:20:00
116.53,117.06,117.45,116.27,6718329.799999999,57450,2021-10-25 14:30:00
117.12,117.46,117.89,116.55,7085659.900000001,60380,2021-10-25 14:40:00
117.46,117.74,117.88,117.46,5003393.800000001,42520,2021-10-25 14:50:00
117.74,117.15,117.9,116.89,8108481.399999999,69000,2021-10-25 15:00:00
117.2,117.31,117.45,116.67,6248744.7,53390,2021-10-25 15:10:00
117.31,116.99,117.73,116.8,7496093.1000000015,63920,2021-10-25 15:20:00
116.99,117.13,117.88,116.8,6919887.5,59080,2021-10-25 15:30:00
117.14,116.99,117.36,116.59,6480599.399999999,55380,2021-10-25 15:40:00
116.96,117.12,117.22,116.78,6824464.8999999985,58320,2021-10-25 15:50:00
117.09,117.67,117.9,117.0,6603411.7,56200,2021-10-25 16:00:00
117.86,118.0,118.0,117.66,5260463.900000002,44620,2021-10-25 16:10:00
118.0,117.82,118.03,117.3,8080880.0,68530,2021-10-25 16:20:00
117.81,117.22,118.0,116.75,9292055.4,79140,2021-10-25 16:30:00
117.23,116.89,117.33,116.81,6300375.0,53820,2021-10-25 16:40:00
116.9,117.15,117.27,116.9,5487071.4,46880,2021-10-25 16:50:00
117.22,117.42,117.5,116.91,6686427.1,57080,2021-10-25 17:00:00
117.42,117.03,117.75,116.98,2431305.8000000003,20730,2021-10-25 17:10:00
117.09,117.22,117.22,116.71,2896495.4999999995,24780,2021-10-25 17:20:00
116.9,117.26,117.32,116.71,343606.6,2940,2021-10-25 17:30:00
117.24,116.48,117.24,116.17,1193760.7999999998,10240,2021-10-25 17:40:00
116.48,116.03,116.49,116.0,1289279.0999999999,11100,2021-10-25 17:50:00
116.03,117.22,117.36,116.01,1194858.8,10260,2021-10-25 18:00:00
117.2,117.02,117.9,116.49,3684010.7000000007,31380,2021-10-25 18:10:00
117.02,116.39,117.07,116.32,283652.4,2430,2021-10-25 18:20:00
116.41,116.17,117.0,116.17,434780.7,3730,2021-10-25 18:30:00
116.0,116.0,116.0,116.0,13693800.0,118050,2021-10-25 18:40:00
115.96,115.96,115.96,115.96,2319.2,20,2021-10-26 09:50:00
117.55,115.68,117.55,114.1,2197520.3,19010,2021-10-26 10:00:00
115.68,114.5,115.7,114.18,833453.8,7250,2021-10-26 10:10:00
114.59,116.95,116.95,114.19,948771.4,8230,2021-10-26 10:20:00
116.47,115.75,116.95,115.2,482229.79999999993,4160,2021-10-26 10:30:00
115.75,115.37,116.84,115.1,813551.3000000002,7020,2021-10-26 10:40:00
115.5,115.6,115.63,115.17,115513.4,1000,2021-10-26 10:50:00
115.6,115.5,115.95,115.14,684500.5999999999,5930,2021-10-26 11:00:00
115.49,114.29,115.5,114.2,1382701.2000000002,12050,2021-10-26 11:10:00
114.29,114.92,115.06,114.21,421118.69999999995,3670,2021-10-26 11:20:00
114.89,115.5,117.06,114.6,1941400.6999999997,16710,2021-10-26 11:30:00
115.5,115.42,116.19,115.06,967774.9999999995,8380,2021-10-26 11:40:00
115.39,115.0,115.89,115.0,1033298.1000000001,8970,2021-10-26 11:50:00
115.09,115.04,115.5,114.6,1956299.6999999995,17010,2021-10-26 12:00:00
115.24,115.31,115.5,114.75,245523.30000000002,2130,2021-10-26 12:10:00
115.32,115.28,115.32,115.0,245187.8,2130,2021-10-26 12:20:00
115.28,114.8,115.31,114.8,186334.09999999998,1620,2021-10-26 12:30:00
114.97,114.62,114.98,114.3,733746.3999999999,6400,2021-10-26 12:40:00
114.62,114.82,114.96,114.43,299506.69999999995,2610,2021-10-26 12:50:00
114.94,114.95,115.01,114.91,512726.1,4460,2021-10-26 13:00:00
114.95,115.0,115.05,114.95,128796.40000000001,1120,2021-10-26 13:10:00
115.0,114.9,115.0,114.9,425382.5,3700,2021-10-26 13:20:00
114.71,114.63,114.97,113.97,1982247.2,17360,2021-10-26 13:30:00
114.32,113.88,114.32,113.58,1770690.3,15540,2021-10-26 13:40:00
113.77,113.9,113.9,113.51,1975784.7000000007,17380,2021-10-26 13:50:00
113.9,115.27,115.68,113.9,6399808.4,55680,2021-10-26 14:00:00
115.4,116.22,116.74,114.86,5912047.100000001,50960,2021-10-26 14:10:00
116.32,115.86,116.62,115.2,2092713.4,18030,2021-10-26 14:20:00
115.72,115.32,116.29,114.69,3039610.3,26320,2021-10-26 14:30:00
115.25,115.3,115.64,115.0,2056766.5,17840,2021-10-26 14:40:00
115.32,115.02,115.48,114.6,1748265.7000000002,15190,2021-10-26 14:50:00
114.7,114.73,115.28,114.36,1371377.1999999997,11950,2021-10-26 15:00:00
114.73,114.78,115.12,114.1,1436189.9,12540,2021-10-26 15:10:00
114.53,115.15,115.96,114.5,6206893.0,53860,2021-10-26 15:20:00
115.16,114.65,115.41,114.64,1158449.4000000004,10070,2021-10-26 15:30:00
114.61,114.16,114.84,113.9,6041268.700000001,52820,2021-10-26 15:40:00
114.01,113.71,114.4,113.15,8234482.299999998,72450,2021-10-26 15:50:00
113.64,113.82,113.82,113.3,5136982.8,45250,2021-10-26 16:00:00
113.75,113.49,113.97,113.0,3871527.1,34120,2021-10-26 16:10:00
113.49,113.44,113.82,113.4,2075826.7000000002,18280,2021-10-26 16:20:00
113.42,113.5,113.51,113.12,3637366.7,32110,2021-10-26 16:30:00
113.5,113.24,113.72,113.23,2048355.0000000002,18050,2021-10-26 16:40:00
113.24,113.64,113.72,113.05,5456095.9,48160,2021-10-26 16:50:00
113.6,113.28,113.65,113.17,2189722.1999999997,19310,2021-10-26 17:00:00
113.28,113.31,113.65,113.0,6371597.000000001,56260,2021-10-26 17:10:00
113.31,112.55,113.59,112.4,30365352.50000001,268550,2021-10-26 17:20:00
112.54,111.95,112.84,111.81,15272957.399999995,136100,2021-10-26 17:30:00
111.95,114.02,114.39,111.82,8229873.600000001,72870,2021-10-26 17:40:00
114.19,113.57,114.19,113.16,3435839.0,30210,2021-10-26 17:50:00
113.58,114.08,114.14,113.58,2982907.8999999994,26200,2021-10-26 18:00:00
114.05,113.1,114.05,112.5,10090977.2,89230,2021-10-26 18:10:00
112.92,113.58,113.82,112.6,12036927.899999999,106450,2021-10-26 18:20:00
113.37,114.11,114.13,113.12,4851902.699999999,42620,2021-10-26 18:30:00
113.0,113.0,113.0,113.0,17195210.0,152170,2021-10-26 18:40:00
114.88,114.88,114.88,114.88,1148.8,10,2021-10-27 09:50:00
114.85,113.21,114.85,113.03,829097.2,7310,2021-10-27 10:00:00
113.11,112.41,113.3,111.8,2649310.4000000004,23590,2021-10-27 10:10:00
112.24,112.16,112.44,112.07,1516077.4999999984,13520,2021-10-27 10:20:00
112.09,112.49,112.94,112.0,4203254.199999999,37480,2021-10-27 10:30:00
112.4,112.1,112.56,112.1,767870.5,6840,2021-10-27 10:40:00
112.1,111.84,112.11,111.45,3284427.2,29380,2021-10-27 10:50:00
111.76,111.47,111.76,111.45,1614233.2999999998,14480,2021-10-27 11:00:00
111.46,111.42,111.47,111.3,1094440.6,9820,2021-10-27 11:10:00
111.42,111.3,111.43,111.3,987479.0,8870,2021-10-27 11:20:00
111.3,111.4,111.41,111.0,1942546.4,17490,2021-10-27 11:30:00
111.18,111.1,111.39,111.0,2366964.1,21320,2021-10-27 11:40:00
111.02,110.55,111.09,110.5,1611227.7000000002,14550,2021-10-27 11:50:00
110.55,111.37,111.55,110.4,2358515.0,21300,2021-10-27 12:00:00
111.4,110.85,111.58,110.8,438070.0,3940,2021-10-27 12:10:00
110.86,110.69,110.86,110.61,761984.8,6880,2021-10-27 12:20:00
110.69,110.31,110.72,110.31,840802.0,7610,2021-10-27 12:30:00
110.33,110.2,110.37,110.12,1565593.7,14200,2021-10-27 12:40:00
110.21,109.15,110.55,108.8,18188796.200000007,165900,2021-10-27 12:50:00
109.39,109.25,110.25,109.25,1886413.4999999998,17220,2021-10-27 13:00:00
109.54,109.94,110.2,109.29,2671004.1,24340,2021-10-27 13:10:00
109.92,109.9,109.94,109.71,1320885.3,12030,2021-10-27 13:20:00
109.88,109.7,109.9,109.5,916073.1000000001,8350,2021-10-27 13:30:00
109.73,109.62,109.84,109.62,301721.60000000003,2750,2021-10-27 13:40:00
109.6,110.26,110.26,109.46,2647873.0,24090,2021-10-27 13:50:00
110.26,111.4,111.6,110.26,7000750.299999999,63130,2021-10-27 14:00:00
111.3,111.68,111.73,111.22,3323958.8000000003,29790,2021-10-27 14:10:00
111.69,112.59,113.58,111.69,7702989.699999999,68520,2021-10-27 14:20:00
112.89,113.78,114.34,112.88,8225473.4,72190,2021-10-27 14:30:00
113.78,113.83,114.28,113.78,5911055.199999999,51830,2021-10-27 14:40:00
113.71,114.1,114.28,110.7,9653131.0,84940,2021-10-27 14:50:00
114.09,113.84,114.1,113.0,1554635.7999999998,13680,2021-10-27 15:00:00
113.5,112.8,113.82,112.74,1189057.5999999999,10500,2021-10-27 15:10:00
112.73,113.0,113.39,112.41,1040199.3999999999,9220,2021-10-27 15:20:00
113.05,112.38,113.3,112.38,632985.3,5610,2021-10-27 15:30:00
112.39,111.5,112.39,111.4,1396113.4000000001,12460,2021-10-27 15:40:00
111.8,111.42,112.03,111.21,1482359.4,13290,2021-10-27 15:50:00
111.59,113.33,113.84,111.4,4514650.699999998,40030,2021-10-27 16:00:00
113.36,112.14,113.39,112.0,1558347.1999999995,13840,2021-10-27 16:10:00
112.29,112.3,112.3,112.19,656398.5,5850,2021-10-27 16:20:00
112.3,112.4,113.2,112.0,1149492.9000000001,10200,2021-10-27 16:30:00
112.38,112.56,112.68,111.71,1712130.9999999998,15270,2021-10-27 16:40:00
112.15,111.96,112.64,111.94,794882.7000000002,7090,2021-10-27 16:50:00
111.94,111.54,112.1,111.21,1859536.4,16670,2021-10-27 17:00:00
111.54,111.3,111.74,111.1,1916832.5000000005,17210,2021-10-27 17:10:00
111.3,111.17,111.35,111.15,249172.3,2240,2021-10-27 17:20:00
111.16,111.07,112.25,110.8,2680330.2999999993,24100,2021-10-27 17:30:00
111.07,111.25,112.08,110.96,1180748.9000000001,10610,2021-10-27 17:40:00
111.24,111.51,111.86,110.8,1661685.9,14960,2021-10-27 17:50:00
111.74,111.34,111.76,111.0,2211099.9,19850,2021-10-27 18:00:00
111.26,111.5,111.62,111.16,1520633.7999999998,13660,2021-10-27 18:10:00
111.5,113.6,113.74,111.21,2607843.2,23130,2021-10-27 18:20:00
113.54,112.0,113.63,112.0,1459003.4,12950,2021-10-27 18:30:00
112.96,112.96,112.96,112.96,1131859.2,10020,2021-10-27 18:40:00
110.6,111.35,112.35,110.54,1366162.7999999998,12270,2021-10-28 10:00:00
111.75,111.58,112.38,111.05,717368.9999999999,6430,2021-10-28 10:10:00
111.39,110.88,111.39,110.88,803824.5,7240,2021-10-28 10:20:00
110.88,110.52,110.89,110.5,726605.5000000001,6570,2021-10-28 10:30:00
110.6,110.52,111.8,110.5,457046.69999999995,4130,2021-10-28 10:40:00
110.53,110.0,110.62,110.0,898076.6000000001,8140,2021-10-28 10:50:00
110.0,109.98,110.14,109.76,547831.1,4980,2021-10-28 11:00:00
109.99,109.96,110.0,109.42,1368409.9,12470,2021-10-28 11:10:00
109.8,109.8,110.58,109.6,555459.7,5050,2021-10-28 11:20:00
109.8,110.0,110.49,109.8,252839.8,2300,2021-10-28 11:30:00
110.1,110.0,110.15,109.85,428034.5,3890,2021-10-28 11:40:00
110.05,110.39,110.39,109.8,711119.4999999999,6470,2021-10-28 11:50:00
110.3,110.22,110.44,110.05,159711.2,1450,2021-10-28 12:00:00
110.21,109.8,110.21,109.8,297791.6,2710,2021-10-28 12:10:00
109.8,109.94,109.96,109.3,1582359.4999999998,14440,2021-10-28 12:20:00
109.77,109.81,109.94,109.38,837045.4,7640,2021-10-28 12:30:00
109.81,109.35,109.86,109.15,1294789.8,11840,2021-10-28 12:40:00
109.82,110.05,111.0,109.22,2294678.0,20830,2021-10-28 12:50:00
110.13,110.02,110.4,110.0,1606887.3000000003,14600,2021-10-28 13:00:00
110.02,110.0,110.26,110.0,2240977.0,20360,2021-10-28 13:10:00
110.13,110.11,110.45,110.0,1534897.2000000004,13940,2021-10-28 13:20:00
110.11,110.21,110.62,110.04,1003097.1,9100,2021-10-28 13:30:00
110.21,110.0,110.21,110.0,1235695.7999999998,11230,2021-10-28 13:40:00
110.0,110.72,110.75,110.0,1444416.1,13110,2021-10-28 13:50:00
110.76,111.3,112.7,110.14,6796036.600000001,60940,2021-10-28 14:00:00
111.3,111.89,111.89,111.12,2374411.3000000003,21260,2021-10-28 14:10:00
111.9,111.44,112.45,111.44,3882649.0,34620,2021-10-28 14:20:00
111.44,111.33,111.88,111.16,2325442.7,20850,2021-10-28 14:30:00
111.19,110.52,111.19,110.32,2634072.6,23800,2021-10-28 14:40:00
110.36,110.25,110.84,110.25,1547871.2999999998,14000,2021-10-28 14:50:00
110.46,110.37,110.76,110.25,477301.6000000001,4320,2021-10-28 15:00:00
110.26,110.32,110.97,110.0,4338144.7,39400,2021-10-28 15:10:00
110.1,110.11,110.78,110.05,1705465.3,15470,2021-10-28 15:20:00
110.16,110.05,110.3,110.01,1425247.9999999998,12940,2021-10-28 15:30:00
110.04,110.0,110.05,110.0,3907288.5,35520,2021-10-28 15:40:00
110.0,110.35,110.37,110.0,2483632.3,22560,2021-10-28 15:50:00
110.16,110.5,110.5,110.0,1557769.0,14150,2021-10-28 16:00:00
110.89,110.48,111.35,110.1,3631226.3000000003,32840,2021-10-28 16:10:00
110.29,110.14,110.44,110.0,2642392.9,24000,2021-10-28 16:20:00
110.14,110.47,110.9,110.0,3255159.5999999996,29520,2021-10-28 16:30:00
110.27,110.57,111.07,110.27,1001600.2000000003,9050,2021-10-28 16:40:00
110.58,110.48,110.58,110.48,1265222.0,11450,2021-10-28 16:50:00
110.48,110.15,110.83,110.1,2441421.3,22110,2021-10-28 17:00:00
110.15,110.06,110.35,110.06,252277.9,2290,2021-10-28 17:10:00
110.04,110.53,111.39,110.0,3421204.0,30920,2021-10-28 17:20:00
110.84,110.55,111.2,110.24,1219063.9,11040,2021-10-28 17:30:00
110.25,110.41,110.74,110.22,1408697.0,12760,2021-10-28 17:40:00
