Open,Close,High,Low,Value,Volume,Date
4.2,4.21,4.21,4.2,53466750.0,12700000,2013-12-26 16:40:00
4.21,4.21,4.21,4.21,481203000.0,114300000,2013-12-26 17:00:00
4.26,4.26,4.26,4.26,4869180000.0,1143000000,2013-12-26 17:20:00
4.325,4.325,4.325,4.325,4325.0,1000,2013-12-26 18:00:00
4.325,4.325,4.325,4.325,8650.0,2000,2013-12-26 18:10:00
4.31,4.65,4.65,4.31,633628510.0,141123000,2013-12-27 15:20:00
4.305,4.305,4.305,4.305,107625.0,25000,2014-01-08 17:30:00
4.5,4.5,4.5,4.5,4500.0,1000,2014-01-08 17:40:00
4.305,4.305,4.305,4.305,12915.0,3000,2014-01-08 18:30:00
4.4125,4.4125,4.4125,4.4125,4412.5,1000,2014-01-17 18:30:00
4.392,4.392,4.392,4.392,153720000.0,35000000,2014-02-14 17:40:00
4.3925,4.393,4.393,4.3925,197676500.0,45000000,2014-02-17 17:10:00
4.393,4.393,4.393,4.393,96646000.0,22000000,2014-02-17 17:20:00
4.393,4.3932,4.3935,4.393,153761500.0,35000000,2014-02-17 17:30:00
4.39,4.3915,4.3915,4.39,153677500.0,35000000,2014-02-19 14:50:00
4.393,4.3915,4.393,4.3915,127378500.0,29000000,2014-02-19 15:10:00
4.395,4.42,4.42,4.395,112502312.5,25525000,2014-02-20 14:30:00
4.4215,4.42,4.43,4.42,201428000.0,45500000,2014-02-20 14:50:00
4.42,4.43,4.43,4.415,159200000.0,36000000,2014-02-21 14:20:00
4.435,4.425,4.435,4.425,128425000.0,29000000,2014-02-21 14:50:00
4.5225,4.5225,4.5225,4.5225,113062.5,25000,2014-02-21 15:40:00
4.5225,4.5225,4.5225,4.5225,4522.5,1000,2014-02-21 16:10:00
4.6325,4.6325,4.6325,4.6325,115812.5,25000,2014-02-24 15:30:00
4.6325,4.6325,4.6325,4.6325,115812.5,25000,2014-02-25 12:20:00
4.5225,4.434,4.5225,4.4285,164051562.5,37025000,2014-02-25 14:50:00
4.4325,4.431,4.4325,4.431,57611500.0,13000000,2014-02-25 15:00:00
4.5225,4.5225,4.5225,4.5225,13567.5,3000,2014-02-26 16:10:00
4.427,4.424,4.427,4.424,53200480.0,12020000,2014-02-26 16:30:00
4.424,4.424,4.426,4.421,322928038.0,73000000,2014-02-26 16:40:00
4.431,4.428,4.431,4.428,186053500.0,42000000,2014-03-03 16:00:00
4.425,4.35,4.425,4.35,110198000.0,25000000,2014-03-03 16:20:00
4.2,4.2,4.2,4.2,4200.0,1000,2014-03-03 18:30:00
4.422,4.4447,4.4447,4.422,301739000.0,68000000,2014-03-04 14:50:00
4.4566,4.4568,4.4568,4.4566,147071800.0,33000000,2014-03-05 16:20:00
4.4568,4.457,4.457,4.4568,151533800.0,34000000,2014-03-05 17:00:00
4.4572,4.4583,4.4583,4.4572,102533600.0,23000000,2014-03-06 15:20:00
4.4583,4.4582,4.4584,4.4582,187249400.0,42000000,2014-03-06 15:40:00
4.4591,4.4585,4.4595,4.4585,294314800.0,66000000,2014-03-07 17:20:00
4.4564,4.4558,4.4565,4.4558,191616400.0,43000000,2014-03-11 16:20:00
4.4555,4.4555,4.4555,4.4555,98021000.0,22000000,2014-03-11 16:40:00
4.457,4.4565,4.457,4.4565,267396000.0,60000000,2014-03-12 12:50:00
4.4125,4.4125,4.4125,4.4125,8825.0,2000,2014-03-13 15:10:00
4.4565,4.4563,4.4565,4.4563,289666000.0,65000000,2014-03-13 17:10:00
4.4715,4.4715,4.4715,4.4715,4471.5,1000,2014-03-14 10:20:00
4.397,4.396,4.397,4.396,145087000.0,33000000,2014-03-14 15:00:00
4.3965,4.3965,4.3965,4.396,153875000.0,35000000,2014-03-14 15:20:00
4.3965,4.3965,4.3965,4.3965,87930000.0,20000000,2014-03-17 14:50:00
4.3962,4.3962,4.3962,4.3959,180238200.0,41000000,2014-03-17 15:40:00
4.3954,4.3954,4.3954,4.3954,13186200.0,3000000,2014-03-18 12:10:00
4.3954,4.3956,4.3956,4.3952,114280200.0,26000000,2014-03-18 14:10:00
4.3956,4.3956,4.396,4.3956,136269600.0,31000000,2014-03-18 14:40:00
4.395,4.3951,4.3952,4.395,162618700.0,37000000,2014-03-19 13:00:00
4.395,4.3951,4.3952,4.395,123062800.0,28000000,2014-03-19 14:20:00
4.3955,4.3962,4.3962,4.3955,140673700.0,32000000,2014-03-20 13:40:00
4.3965,4.3962,4.3965,4.3962,153871700.0,35000000,2014-03-20 16:00:00
4.3986,4.392,4.3986,4.392,285889300.0,65000000,2014-03-21 14:30:00
4.3725,4.3725,4.3725,4.3725,4372.5,1000,2014-03-24 10:40:00
4.39,4.395,4.398,4.39,131842000.0,30000000,2014-03-24 12:00:00
4.403,4.408,4.408,4.4,132970784.0,30198000,2014-03-24 14:30:00
4.4715,4.4715,4.4715,4.4715,35772.0,8000,2014-03-25 12:20:00
4.4025,4.4025,4.4025,4.4025,35220.0,8000,2014-04-02 11:50:00
4.3725,4.3725,4.3725,4.3725,91822.5,21000,2014-04-09 18:30:00
4.3725,4.2,4.3725,4.2,210004312.5,50000000,2014-04-25 17:30:00
4.2,4.2,4.2,4.2,420000000.0,100000000,2014-04-25 17:40:00
4.2,4.2,4.2,4.2,395312400.0,94122000,2014-04-25 17:50:00
4.3725,4.3725,4.3725,4.3725,4372.5,1000,2014-05-08 12:40:00
4.4815,4.4815,4.4815,4.4815,4481.5,1000,2014-05-12 16:00:00
4.3725,4.3725,4.3725,4.3725,4372.5,1000,2014-06-24 18:20:00
4.3725,4.3725,4.3725,4.3725,437359312.5,100025000,2014-06-26 16:50:00
4.3725,4.3725,4.3725,4.3725,1562748990.0,357404000,2014-06-26 17:00:00
4.2725,4.2725,4.2725,4.2725,106812.5,25000,2014-07-03 13:10:00
4.2725,4.2725,4.2725,4.2725,4272.5,1000,2014-07-03 18:30:00
4.1725,4.1725,4.1725,4.1725,4172.5,1000,2014-07-08 12:30:00
4.1725,4.1725,4.1725,4.1725,12517.5,3000,2014-07-10 14:00:00
4.2625,4.2625,4.2625,4.2625,4262.5,1000,2014-07-21 14:10:00
4.45,4.45,4.45,4.45,137950000.0,31000000,2014-08-26 17:50:00
4.45,4.45,4.45,4.45,4141766300.0,930734000,2014-08-27 16:20:00
4.45,4.45,4.45,4.45,133500000.0,30000000,2014-08-27 16:40:00
4.449,4.45,4.45,4.449,2000003549.0,449439000,2014-08-27 17:40:00
4.2725,4.452,4.452,4.2725,195852.5,45000,2014-09-22 17:20:00
4.45,4.45,4.45,4.45,1557500000.0,350000000,2014-10-13 16:40:00
4.46,4.46,4.46,4.46,1427200000.0,320000000,2014-10-13 17:50:00
4.36,4.36,4.36,4.36,109000.0,25000,2014-11-12 13:10:00
4.35,4.35,4.35,4.35,4350.0,1000,2014-11-12 17:10:00
4.46,4.46,4.46,4.46,4460.0,1000,2014-11-24 10:40:00
4.36,4.36,4.36,4.36,4360.0,1000,2014-12-02 17:40:00
4.36,4.36,4.36,4.36,4360.0,1000,2014-12-03 14:20:00
4.28,4.28,4.28,4.28,4280.0,1000,2014-12-03 18:20:00
4.32,4.32,4.32,4.32,4320.0,1000,2014-12-04 15:50:00
4.36,4.36,4.36,4.36,4360.0,1000,2014-12-04 18:30:00
4.41,4.41,4.41,4.41,4410.0,1000,2014-12-05 18:00:00
4.46,4.46,4.46,4.46,4460.0,1000,2014-12-08 16:00:00
4.53,4.53,4.53,4.53,13590.0,3000,2014-12-08 16:10:00
4.58,4.58,4.58,4.58,4580.0,1000,2014-12-09 15:20:00
4.62,4.62,4.62,4.62,4620.0,1000,2014-12-09 15:50:00
4.59,4.59,4.59,4.59,2253575250.0,490975000,2014-12-09 17:30:00
4.64,4.64,4.64,4.64,4640.0,1000,2014-12-10 16:30:00
4.64,4.64,4.64,4.64,9280.0,2000,2014-12-10 16:40:00
4.59,4.59,4.59,4.59,229500000.0,50000000,2014-12-11 17:50:00
4.59,4.59,4.59,4.59,1147500000.0,250000000,2014-12-11 18:00:00
4.58,4.59,4.59,4.58,688504580.0,150001000,2014-12-11 18:10:00
4.59,4.59,4.59,4.59,180914850.0,39415000,2014-12-11 18:20:00
4.59,4.59,4.59,4.59,1012140900.0,220510000,2014-12-15 17:20:00
4.59,4.59,4.59,4.59,918000000.0,200000000,2014-12-16 17:10:00
4.59,4.59,4.59,4.59,27540000.0,6000000,2014-12-16 17:20:00
4.65,4.65,4.65,4.65,116250.0,25000,2014-12-17 16:10:00
4.7,4.7,4.7,4.7,4700.0,1000,2014-12-19 13:50:00
4.52,4.67,4.72,4.52,36960.0,8000,2014-12-26 17:50:00
4.6,4.6,4.64,4.6,101640.0,22000,2014-12-26 18:00:00
4.62,4.62,4.63,4.61,138600.0,30000,2014-12-26 18:10:00
4.62,4.62,4.64,4.6,221760.0,48000,2014-12-26 18:20:00
4.57,4.62,4.67,4.57,55440.0,12000,2014-12-26 18:30:00
4.9,4.85,4.9,4.7,57600.0,12000,2014-12-29 17:20:00
4.8,4.82,4.82,4.78,307200.0,64000,2014-12-29 17:30:00
4.79,4.81,4.81,4.79,240000.0,50000,2014-12-29 17:40:00
4.8,4.8,4.8,4.8,9600.0,2000,2014-12-29 18:20:00
4.99,5.01,5.03,4.99,601200.0,120000,2014-12-30 17:20:00
4.99,5.03,5.03,4.99,20040.0,4000,2014-12-30 18:20:00
5.06,5.06,5.06,5.06,5060.0,1000,2015-01-09 14:50:00
5.1,5.1,5.1,5.1,5100.0,1000,2015-01-22 11:50:00
5.05,5.05,5.05,5.05,10100.0,2000,2015-01-29 15:50:00
5.01,5.01,5.01,5.01,5010.0,1000,2015-01-30 17:50:00
5.1,5.1,5.1,5.1,5100.0,1000,2015-02-04 14:20:00
5.1,5.1,5.1,5.1,5100.0,1000,2015-02-04 14:30:00
5.25,5.25,5.25,5.25,5250.0,1000,2015-02-11 14:50:00
5.25,5.25,5.25,5.25,5250.0,1000,2015-02-11 18:20:00
5.16,5.16,5.16,5.16,129000.0,25000,2015-02-12 18:10:00
5.1,5.1,5.1,5.1,10200.0,2000,2015-02-26 17:10:00
5.05,5.05,5.05,5.05,5050.0,1000,2015-02-27 18:20:00
5.06,5.06,5.06,5.06,5060.0,1000,2015-03-02 11:20:00
4.9,4.9,4.9,4.9,9800.0,2000,2015-03-12 17:50:00
4.95,4.95,4.95,4.95,4950.0,1000,2015-03-13 15:30:00
4.85,4.85,4.85,4.85,4850.0,1000,2015-03-13 17:10:00
4.89,4.91,4.91,4.89,9800.0,2000,2015-03-16 17:30:00
4.9,4.9,4.9,4.9,4900.0,1000,2015-03-18 17:40:00
4.95,4.95,4.95,4.95,9900.0,2000,2015-03-24 13:30:00
4.9,4.9,4.9,4.9,9800.0,2000,2015-03-27 18:30:00
5.02,5.04,5.04,5.02,10060.0,2000,2015-03-31 17:40:00
5.02,5.04,5.04,5.02,10060.0,2000,2015-04-21 17:00:00
5.05,5.05,5.05,5.05,45450.0,9000,2015-04-22 15:50:00
