Open,Close,High,Low,Value,Volume,Date
38.41,38.41,38.41,38.41,384.1,10,2014-06-09 16:40:00
38.42,38.42,38.42,38.42,768.4,20,2014-06-09 17:00:00
38.44,38.44,38.44,38.44,384.4,10,2014-06-09 17:30:00
37.75,37.75,37.75,37.75,755.0,20,2014-06-09 18:30:00
37.75,37.75,37.75,37.75,377.5,10,2014-06-10 10:00:00
37.74,37.5,37.74,37.5,16177.9,430,2014-06-10 10:50:00
37.52,37.52,37.52,37.52,3752.0,100,2014-06-10 11:10:00
37.72,37.71,37.72,37.71,3394.0,90,2014-06-10 12:00:00
37.71,38.37,38.37,37.7,10954.9,290,2014-06-10 12:10:00
37.81,37.81,37.81,37.81,7562.0,200,2014-06-10 15:50:00
38.4,38.4,38.4,38.4,1536.0,40,2014-06-10 16:00:00
38.31,38.43,38.43,38.31,49933.0,1300,2014-06-10 17:10:00
38.41,38.41,38.41,38.41,384.1,10,2014-06-10 18:30:00
38.46,38.47,38.47,38.46,1923.1000000000001,50,2014-06-11 10:30:00
38.0,38.0,38.0,38.0,760.0,20,2014-06-11 13:10:00
38.04,38.0,38.04,38.0,44844.7,1180,2014-06-11 14:30:00
37.98,37.98,37.98,37.98,1139.4,30,2014-06-16 11:00:00
37.98,37.98,37.98,37.98,379.8,10,2014-06-16 13:20:00
38.46,38.46,38.46,38.46,384.6,10,2014-06-17 10:00:00
38.0,38.22,38.22,37.73,19645.899999999998,520,2014-06-17 10:50:00
37.99,37.99,37.99,37.99,759.8,20,2014-06-17 12:10:00
37.99,38.0,38.0,37.99,247334.69999999998,6510,2014-06-17 14:00:00
37.6,37.4,37.6,37.26,1122.6,30,2014-06-17 14:10:00
37.98,37.98,37.98,37.98,379.8,10,2014-06-17 15:10:00
37.39,37.39,37.39,37.39,373.9,10,2014-06-17 17:30:00
37.99,37.99,37.99,37.99,1519.6,40,2014-06-18 12:30:00
37.99,38.0,38.0,37.99,30399.0,800,2014-06-18 13:40:00
38.0,38.0,38.0,38.0,15200.0,400,2014-06-18 14:10:00
37.64,37.5,37.64,37.5,588777.7,15700,2014-06-18 14:50:00
37.5,37.49,37.5,37.49,104999.5,2800,2014-06-18 15:00:00
37.5,37.5,37.5,37.5,5250.0,140,2014-06-18 15:10:00
37.5,37.5,37.5,37.5,2625.0,70,2014-06-18 15:20:00
37.5,37.5,37.5,37.5,2250.0,60,2014-06-18 16:30:00
37.49,37.49,37.49,37.49,749.8,20,2014-06-18 17:00:00
37.5,37.49,37.5,37.49,1499.8,40,2014-06-18 17:30:00
37.5,37.5,37.5,37.5,22875.0,610,2014-06-18 17:40:00
37.5,37.5,37.5,37.5,375.0,10,2014-06-18 18:20:00
37.35,37.35,37.35,37.35,373.5,10,2014-06-19 11:40:00
37.5,37.49,37.5,37.48,14996.0,400,2014-06-19 13:50:00
37.49,37.49,37.49,37.49,1874.5,50,2014-06-19 15:30:00
37.49,37.49,37.49,37.49,374.9,10,2014-06-19 18:00:00
37.71,37.71,37.71,37.71,377.1,10,2014-06-20 11:50:00
37.63,37.63,37.63,37.63,376.3,10,2014-06-20 15:40:00
37.29,37.25,37.29,37.25,156110.8,4190,2014-06-23 13:10:00
37.25,37.25,37.25,37.25,5587.5,150,2014-06-23 13:30:00
37.25,37.24,37.25,37.24,136705.3,3670,2014-06-23 15:10:00
37.24,37.24,37.24,37.24,1117.2,30,2014-06-23 15:20:00
37.24,37.24,37.24,37.24,27930.0,750,2014-06-23 15:30:00
37.25,37.21,37.25,37.21,1861.7,50,2014-06-23 16:00:00
37.25,37.21,37.25,37.21,1117.1,30,2014-06-23 16:30:00
37.25,37.24,37.25,37.24,190718.8,5120,2014-06-23 17:30:00
37.25,37.25,37.25,37.25,265592.5,7130,2014-06-23 18:10:00
37.23,37.2,37.23,37.2,9303.8,250,2014-06-24 10:00:00
37.2,37.2,37.2,37.2,1860.0,50,2014-06-24 10:10:00
37.2,37.2,37.2,37.2,9672.0,260,2014-06-24 10:20:00
37.2,37.2,37.2,37.2,372.0,10,2014-06-24 11:10:00
37.2,37.2,37.2,37.2,372.0,10,2014-06-24 11:30:00
37.2,37.2,37.2,37.2,167400.0,4500,2014-06-24 12:00:00
37.2,37.2,37.2,37.2,5580.0,150,2014-06-24 12:10:00
37.2,37.2,37.2,37.2,18600.0,500,2014-06-24 12:20:00
37.19,37.2,37.2,37.19,6695.2,180,2014-06-24 12:40:00
37.2,37.2,37.2,37.2,3720.0,100,2014-06-24 14:10:00
37.2,37.2,37.2,37.2,375720.0,10100,2014-06-24 14:20:00
37.2,37.2,37.2,37.2,3720.0,100,2014-06-24 14:30:00
37.2,37.2,37.2,37.2,372.0,10,2014-06-24 15:30:00
37.2,37.2,37.2,37.2,372.0,10,2014-06-24 17:00:00
37.2,37.2,37.2,37.2,372.0,10,2014-06-24 17:10:00
37.2,37.2,37.2,37.2,1488.0,40,2014-06-24 17:20:00
37.18,37.11,37.18,37.11,11140.1,300,2014-06-24 17:40:00
37.12,37.11,37.12,37.11,40826.0,1100,2014-06-24 18:00:00
37.19,37.19,37.2,37.19,78490.50000000001,2110,2014-06-24 18:20:00
37.49,37.49,37.49,37.49,3374.1000000000004,90,2014-06-25 10:20:00
37.16,37.0,37.16,37.0,163674.3,4420,2014-06-25 12:10:00
37.0,37.0,37.0,37.0,1110.0,30,2014-06-25 12:20:00
37.0,37.0,37.0,37.0,74000.0,2000,2014-06-25 12:40:00
37.0,37.0,37.0,37.0,25900.0,700,2014-06-25 12:50:00
37.0,37.0,37.0,37.0,370000.0,10000,2014-06-25 13:10:00
37.0,37.0,37.0,37.0,290450.0,7850,2014-06-25 13:20:00
37.45,37.5,37.5,37.45,7495.5,200,2014-06-25 13:30:00
37.01,37.0,37.01,37.0,102490.5,2770,2014-06-25 14:20:00
37.0,37.0,37.0,37.0,2960.0,80,2014-06-25 14:40:00
37.0,37.0,37.0,37.0,7770.0,210,2014-06-25 14:50:00
37.0,37.0,37.0,36.98,166490.0,4500,2014-06-25 15:00:00
37.0,37.0,37.0,37.0,92870.0,2510,2014-06-25 15:10:00
37.0,37.0,37.0,37.0,13690.0,370,2014-06-25 17:40:00
37.0,37.0,37.0,37.0,740.0,20,2014-06-25 18:00:00
37.0,37.0,37.0,37.0,740.0,20,2014-06-25 18:10:00
37.0,37.0,37.0,37.0,740.0,20,2014-06-25 18:20:00
37.0,37.0,37.0,37.0,1850.0,50,2014-06-25 18:30:00
37.02,37.0,37.02,37.0,6292.200000000001,170,2014-06-26 11:50:00
37.0,37.0,37.0,37.0,1850.0,50,2014-06-26 14:30:00
37.0,37.0,37.0,37.0,1110.0,30,2014-06-26 15:00:00
36.96,36.76,36.96,36.76,22855.999999999996,620,2014-06-26 16:30:00
37.21,37.21,37.21,37.21,372.1,10,2014-06-27 10:40:00
36.97,36.82,36.97,36.82,1475.8,40,2014-06-30 13:10:00
36.81,36.81,36.81,36.81,368.1,10,2014-06-30 13:20:00
36.81,36.81,36.81,36.81,368.1,10,2014-06-30 13:50:00
36.98,36.99,36.99,36.98,25892.5,700,2014-06-30 17:30:00
36.98,36.98,36.98,36.98,1849.0,50,2014-06-30 18:30:00
36.82,36.82,36.82,36.82,368.2,10,2014-07-01 10:00:00
36.83,36.05,36.83,36.05,25301.600000000002,690,2014-07-01 10:10:00
36.6,36.78,36.78,36.09,17403.9,480,2014-07-01 10:30:00
36.13,37.0,37.0,36.13,38407.6,1040,2014-07-01 10:40:00
36.8,36.8,36.8,36.8,2208.0,60,2014-07-01 12:00:00
36.99,36.99,36.99,36.99,2219.4,60,2014-07-01 12:50:00
36.99,36.99,36.99,36.99,1109.7,30,2014-07-01 14:30:00
36.99,36.99,36.99,36.99,1109.6999999999998,30,2014-07-01 14:40:00
36.78,36.78,36.78,36.78,367.8,10,2014-07-01 17:10:00
36.53,36.88,36.88,36.53,1102.8,30,2014-07-01 17:30:00
37.0,38.24,38.24,37.0,7457.2,200,2014-07-02 10:30:00
37.04,37.03,37.04,37.03,2222.3,60,2014-07-02 10:50:00
37.04,37.04,37.87,37.03,6346.1,170,2014-07-02 11:20:00
37.06,37.06,37.06,37.06,1853.0,50,2014-07-02 11:30:00
37.87,37.11,37.87,37.11,2612.9,70,2014-07-02 11:40:00
37.11,37.0,37.11,37.0,12962.9,350,2014-07-02 11:50:00
37.0,37.0,37.0,37.0,5550.0,150,2014-07-02 12:10:00
37.0,37.0,37.0,37.0,1850.0,50,2014-07-02 12:30:00
37.0,37.0,37.0,37.0,3700.0,100,2014-07-02 15:10:00
