Open,Close,High,Low,Value,Volume,Date
72.4,72.5,72.5,72.4,1449,20,2014-06-09 17:10:00
70.7,70.7,70.7,70.7,2828,40,2014-06-09 18:30:00
73.8,73.8,73.8,73.8,738,10,2014-06-10 13:00:00
73.5,73.8,73.8,73.5,9572,130,2014-06-10 16:20:00
73.8,73.8,73.8,73.8,9594,130,2014-06-10 16:40:00
72.9,72.9,72.9,72.9,3645,50,2014-06-10 18:00:00
72.9,72.9,72.9,72.9,3645,50,2014-06-10 18:20:00
74.0,74.3,74.3,74.0,1483,20,2014-06-11 10:50:00
71.2,71.2,71.2,71.2,712,10,2014-06-11 14:20:00
71.4,71.2,71.4,71.2,6416,90,2014-06-11 18:20:00
70.7,67.0,70.7,67.0,8858,130,2014-06-16 11:10:00
68.9,69.0,69.0,68.9,6209,90,2014-06-16 11:20:00
70.0,70.0,70.0,70.0,5600,80,2014-06-16 13:00:00
70.1,70.1,70.1,70.1,701,10,2014-06-16 15:00:00
71.9,72.0,72.0,71.9,4316,60,2014-06-16 18:20:00
71.5,71.5,71.5,71.5,2145,30,2014-06-17 11:00:00
69.1,69.1,69.1,69.1,13129,190,2014-06-17 16:30:00
69.0,69.0,69.0,69.0,2760,40,2014-06-17 16:40:00
69.0,69.0,69.0,69.0,1380,20,2014-06-17 17:40:00
68.5,68.5,68.5,68.5,479500,7000,2014-06-19 10:20:00
69.7,69.7,69.7,69.7,2091,30,2014-06-19 10:40:00
69.7,71.8,71.8,69.7,35271,500,2014-06-19 10:50:00
71.6,71.6,71.6,71.6,716,10,2014-06-19 11:50:00
69.5,69.0,69.5,69.0,12453,180,2014-06-19 12:00:00
68.6,68.6,68.6,68.6,1372,20,2014-06-19 14:10:00
69.9,69.9,69.9,69.9,699,10,2014-06-19 15:50:00
69.7,69.7,69.7,69.7,697,10,2014-06-19 17:20:00
69.4,69.4,69.4,69.4,694,10,2014-06-20 11:20:00
69.3,69.3,69.3,69.3,693,10,2014-06-20 11:30:00
69.2,69.0,69.2,69.0,17985,260,2014-06-20 11:50:00
69.3,69.3,69.3,69.3,693,10,2014-06-20 12:10:00
71.0,69.1,71.0,69.1,14538,210,2014-06-20 12:30:00
69.0,69.0,69.0,69.0,2070,30,2014-06-20 12:50:00
69.1,69.1,69.1,69.1,691,10,2014-06-24 14:40:00
69.1,69.2,69.2,69.1,8992,130,2014-06-24 15:10:00
69.2,69.2,69.2,69.2,1384,20,2014-06-24 18:20:00
68.3,68.3,68.3,68.3,8196,120,2014-06-25 15:20:00
68.2,68.0,68.2,68.0,5443,80,2014-06-25 15:30:00
68.2,68.0,68.2,68.0,34698,510,2014-06-25 17:10:00
69.4,69.6,69.6,69.4,9732,140,2014-06-25 17:20:00
69.2,69.2,69.2,69.2,18684,270,2014-06-26 11:50:00
69.0,69.0,69.0,69.0,690,10,2014-06-26 12:40:00
69.1,69.0,69.1,69.0,20020,290,2014-06-26 13:40:00
68.9,69.0,69.0,68.9,34497,500,2014-06-26 18:30:00
68.9,68.1,68.9,68.1,4124,60,2014-06-27 11:10:00
67.9,68.0,68.0,67.9,166599,2450,2014-06-27 11:40:00
71.1,71.1,71.1,71.1,2133,30,2014-06-27 11:50:00
69.4,68.0,69.4,68.0,261228,3840,2014-06-27 13:30:00
70.2,70.5,70.5,70.2,7036,100,2014-06-30 10:40:00
70.4,70.4,70.4,70.4,704,10,2014-06-30 12:00:00
69.8,69.8,69.8,69.8,1396,20,2014-06-30 18:20:00
69.4,69.4,69.4,69.4,4164,60,2014-07-01 10:40:00
69.3,69.3,69.3,69.3,693,10,2014-07-01 17:40:00
69.4,69.4,69.4,69.4,694,10,2014-07-01 17:50:00
69.4,69.3,69.4,69.3,4163,60,2014-07-01 18:20:00
68.9,68.9,68.9,68.9,24804,360,2014-07-02 14:00:00
69.0,69.0,69.0,69.0,3450,50,2014-07-02 16:10:00
68.9,68.9,68.9,68.9,3445,50,2014-07-02 17:10:00
68.9,68.9,68.9,68.9,689,10,2014-07-02 17:50:00
69.1,69.0,69.1,69.0,7591,110,2014-07-03 11:00:00
68.9,69.0,69.0,68.9,12416,180,2014-07-03 12:00:00
71.1,71.1,71.1,71.1,3555,50,2014-07-03 16:30:00
70.9,72.3,72.3,70.9,16413,230,2014-07-03 17:50:00
70.2,70.0,70.2,70.0,7006,100,2014-07-04 10:00:00
70.1,70.1,70.1,70.1,9814,140,2014-07-04 13:00:00
70.0,68.9,70.0,68.9,42744,620,2014-07-04 14:20:00
68.9,68.9,68.9,68.9,689,10,2014-07-07 11:40:00
69.7,70.0,70.0,69.7,524253,7490,2014-07-07 16:00:00
71.6,72.7,86.3,71.6,70631,860,2014-07-08 11:30:00
72.5,72.5,72.5,72.5,1450,20,2014-07-08 12:40:00
72.6,72.9,72.9,72.6,10177,140,2014-07-08 12:50:00
74.3,74.3,74.3,74.3,3715,50,2014-07-08 13:00:00
75.0,75.0,75.0,75.0,3750,50,2014-07-08 13:10:00
74.3,74.3,74.3,74.3,743,10,2014-07-08 17:20:00
71.9,71.0,71.9,71.0,7157,100,2014-07-08 18:10:00
70.7,68.4,70.7,68.4,173434,2520,2014-07-08 18:20:00
68.4,68.4,68.4,68.4,25992,380,2014-07-08 18:30:00
68.0,68.0,68.0,68.0,4080,60,2014-07-09 10:00:00
68.0,68.0,68.0,68.0,16320,240,2014-07-09 10:20:00
68.0,68.0,68.0,68.0,47600,700,2014-07-09 10:30:00
68.0,68.0,68.0,68.0,47600,700,2014-07-09 10:40:00
68.0,68.0,68.0,68.0,4760,70,2014-07-09 10:50:00
68.0,68.0,68.0,68.0,287640,4230,2014-07-09 11:30:00
68.0,68.0,68.0,68.0,7480,110,2014-07-09 11:40:00
68.0,68.0,68.0,68.0,2040,30,2014-07-09 11:50:00
67.9,68.0,68.0,67.9,60510,890,2014-07-09 14:00:00
68.0,68.0,68.0,68.0,15640,230,2014-07-09 14:20:00
68.0,68.0,68.0,68.0,680,10,2014-07-09 14:40:00
68.0,68.0,68.0,68.0,8160,120,2014-07-09 15:30:00
68.0,68.0,68.0,68.0,6800,100,2014-07-09 15:50:00
68.0,68.0,68.0,68.0,1360,20,2014-07-09 16:00:00
67.9,67.9,67.9,67.9,10185,150,2014-07-09 16:10:00
68.0,68.0,68.0,68.0,8160,120,2014-07-09 16:30:00
67.9,67.9,67.9,67.9,1358,20,2014-07-09 16:50:00
68.0,68.0,68.0,68.0,3400,50,2014-07-09 17:10:00
67.9,67.9,67.9,67.9,679,10,2014-07-09 17:30:00
68.0,68.0,68.0,68.0,1360,20,2014-07-09 18:00:00
67.9,68.0,68.0,67.8,10178,150,2014-07-09 18:30:00
67.8,67.8,67.8,67.8,678,10,2014-07-10 10:20:00
67.7,67.7,67.7,67.7,10155,150,2014-07-10 10:30:00
67.7,67.8,67.8,67.7,13555,200,2014-07-10 13:00:00
67.5,67.5,67.5,67.5,36450,540,2014-07-10 16:30:00
66.3,67.4,67.4,65.7,17811,270,2014-07-10 16:40:00
65.7,65.2,65.7,65.2,20301,310,2014-07-10 16:50:00
62.6,60.2,66.2,60.1,253118,4170,2014-07-10 17:10:00
65.6,65.0,65.7,65.0,5247,80,2014-07-10 17:20:00
63.1,63.1,63.1,63.1,1262,20,2014-07-10 18:00:00
63.0,64.9,64.9,63.0,5163,80,2014-07-10 18:10:00
64.3,64.3,64.3,64.3,643,10,2014-07-11 12:20:00
64.3,64.5,64.5,64.3,19325,300,2014-07-11 15:30:00
61.8,61.3,61.8,61.1,11053,180,2014-07-11 17:00:00
63.2,63.6,63.6,63.2,1268,20,2014-07-11 17:10:00
63.1,63.1,63.1,63.1,3155,50,2014-07-11 17:20:00
63.3,63.3,63.3,63.3,633,10,2014-07-11 17:30:00
62.5,62.5,62.5,62.5,625,10,2014-07-11 18:10:00
62.6,62.7,62.7,62.6,18804,300,2014-07-11 18:20:00
65.5,65.5,65.5,65.5,1965,30,2014-07-14 10:00:00
63.8,61.0,63.8,61.0,28980,460,2014-07-14 10:40:00
61.1,62.0,62.0,61.0,48225,790,2014-07-14 10:50:00
62.0,62.0,62.0,62.0,1240,20,2014-07-14 11:00:00
61.9,61.9,61.9,61.9,619,10,2014-07-14 11:30:00
61.1,61.0,61.1,61.0,9155,150,2014-07-14 12:10:00
61.7,61.7,61.7,61.7,1234,20,2014-07-14 12:30:00
61.7,61.9,61.9,61.7,6174,100,2014-07-14 12:40:00
62.0,61.9,62.0,61.9,1858,30,2014-07-14 13:20:00
62.0,62.0,62.0,62.0,24180,390,2014-07-14 13:40:00
62.0,62.0,62.0,62.0,620,10,2014-07-14 17:20:00
65.1,65.3,65.4,65.1,2611,40,2014-07-15 10:00:00
65.0,65.0,65.0,65.0,650,10,2014-07-16 11:10:00
64.5,64.5,64.5,64.5,645,10,2014-07-16 14:50:00
64.7,64.7,64.7,64.7,6470,100,2014-07-16 15:00:00
64.5,66.1,66.1,62.0,103580,1650,2014-07-16 15:40:00
63.1,62.7,63.1,62.7,1258,20,2014-07-16 17:00:00
63.0,63.6,63.6,61.0,75963,1220,2014-07-16 18:20:00
60.5,60.0,63.0,57.2,141203,2370,2014-07-16 18:30:00
60.0,60.0,60.4,60.0,9604,160,2014-07-17 10:00:00
61.1,61.1,61.1,61.1,3055,50,2014-07-17 10:20:00
60.1,60.1,60.1,60.1,1202,20,2014-07-17 10:40:00
61.1,61.2,61.2,61.1,1223,20,2014-07-17 11:00:00
61.2,61.2,61.2,61.2,612,10,2014-07-17 12:30:00
60.1,60.0,60.1,60.0,6001,100,2014-07-17 14:00:00
60.0,60.0,60.0,60.0,3000,50,2014-07-17 14:10:00
60.0,60.0,60.0,60.0,27000,450,2014-07-17 15:30:00
60.0,60.0,60.0,60.0,6000,100,2014-07-17 15:40:00
60.0,60.0,60.0,60.0,600,10,2014-07-17 15:50:00
59.1,59.1,59.1,59.1,1773,30,2014-07-17 16:20:00
60.9,60.9,60.9,60.9,609,10,2014-07-17 16:30:00
60.0,60.0,60.0,60.0,1200,20,2014-07-17 17:40:00
60.9,60.9,60.9,60.9,609,10,2014-07-17 18:10:00
60.0,58.8,60.0,58.8,53038,900,2014-07-17 18:20:00
58.3,58.3,58.3,58.3,2915,50,2014-07-18 10:30:00
60.5,60.5,60.5,60.5,3025,50,2014-07-18 10:40:00
61.9,61.9,61.9,61.9,619,10,2014-07-18 15:30:00
64.5,64.9,64.9,64.5,12943,200,2014-07-18 18:00:00
64.8,64.8,64.8,64.8,1296,20,2014-07-22 16:20:00
61.9,61.9,61.9,61.9,619,10,2014-07-22 16:40:00
61.0,62.0,62.0,61.0,42850,700,2014-07-22 18:10:00
64.7,64.7,64.7,64.7,647,10,2014-07-23 12:40:00
64.5,64.5,64.5,64.5,645,10,2014-07-24 18:30:00
61.4,61.3,61.4,61.3,1840,30,2014-07-25 15:20:00
60.9,60.8,60.9,60.8,4865,80,2014-07-25 16:10:00
60.7,60.8,60.8,60.7,1215,20,2014-07-25 16:20:00
60.7,60.7,60.7,60.7,7284,120,2014-07-28 12:00:00
60.5,60.7,60.7,60.5,17601,290,2014-07-28 16:40:00
60.7,60.7,60.7,60.7,1214,20,2014-07-28 17:20:00
58.3,58.3,58.3,58.3,1166,20,2014-07-28 18:20:00
58.2,58.2,58.2,58.2,582,10,2014-07-29 10:00:00
58.3,58.1,58.3,58.1,58108,1000,2014-07-29 12:30:00
58.1,58.0,58.1,58.0,15667,270,2014-07-29 12:40:00
60.1,60.1,60.1,60.1,601,10,2014-07-29 15:50:00
57.9,56.6,57.9,56.6,10893,190,2014-07-30 11:50:00
57.1,58.1,58.1,57.0,2303,40,2014-07-30 14:10:00
57.9,55.6,57.9,55.6,21819,390,2014-07-31 12:40:00
58.6,58.8,58.8,58.6,5875,100,2014-07-31 13:50:00
58.8,58.8,58.8,58.8,5880,100,2014-07-31 14:00:00
58.9,59.0,59.0,58.9,21803,370,2014-07-31 14:50:00
60.0,60.0,60.0,60.0,600,10,2014-07-31 15:10:00
59.0,59.0,59.0,59.0,2950,50,2014-07-31 16:40:00
59.9,59.9,59.9,59.9,16173,270,2014-07-31 18:20:00
57.3,53.7,57.3,53.7,11301,200,2014-08-01 16:40:00
53.8,52.6,53.8,52.6,146265,2760,2014-08-01 16:50:00
53.0,53.0,53.0,53.0,5300,100,2014-08-01 17:00:00
53.0,52.3,53.0,52.3,2642,50,2014-08-01 17:10:00
53.0,53.0,53.0,53.0,3180,60,2014-08-01 17:20:00
53.0,53.0,53.0,53.0,32330,610,2014-08-01 17:30:00
55.8,53.1,55.9,53.1,1648,30,2014-08-01 17:50:00
53.5,55.9,55.9,53.5,1094,20,2014-08-01 18:10:00
53.3,53.3,53.3,53.3,533,10,2014-08-01 18:20:00
57.1,57.2,57.2,57.1,17156,300,2014-08-04 10:10:00
56.7,56.7,56.7,56.7,567,10,2014-08-04 11:00:00
57.1,57.1,57.1,57.1,5139,90,2014-08-04 11:10:00
55.2,55.2,55.2,55.2,552,10,2014-08-04 11:40:00
55.1,55.1,55.1,55.1,551,10,2014-08-04 11:50:00
56.9,57.0,57.0,56.9,5699,100,2014-08-04 12:20:00
57.0,57.0,57.0,57.0,5700,100,2014-08-04 12:30:00
56.5,57.0,57.0,56.5,5675,100,2014-08-04 13:10:00
55.1,55.1,55.1,55.1,551,10,2014-08-05 13:10:00
56.7,56.7,56.7,56.7,1134,20,2014-08-05 14:10:00
56.7,56.7,56.7,56.7,2835,50,2014-08-05 14:20:00
56.6,56.6,56.6,56.6,1132,20,2014-08-05 16:50:00
56.4,56.4,56.4,56.4,62040,1100,2014-08-06 14:10:00
56.4,56.4,56.4,56.4,78960,1400,2014-08-06 14:20:00
55.1,56.8,56.8,55.1,1119,20,2014-08-06 14:30:00
55.2,55.0,55.2,55.0,15448,280,2014-08-06 18:20:00
56.8,56.8,56.8,56.8,568,10,2014-08-07 12:30:00
54.0,54.0,54.0,54.0,5400,100,2014-08-07 13:10:00
54.0,54.0,54.0,54.0,3780,70,2014-08-07 17:20:00
54.0,54.0,54.0,54.0,540,10,2014-08-07 18:00:00
56.4,56.4,56.4,56.4,564,10,2014-08-08 12:50:00
56.3,56.3,56.3,56.3,1126,20,2014-08-08 13:50:00
56.4,56.4,56.4,56.4,2820,50,2014-08-08 14:00:00
56.4,56.6,56.6,56.4,5656,100,2014-08-08 15:50:00
56.7,56.7,56.7,56.7,567,10,2014-08-11 10:00:00
59.2,59.2,59.2,59.2,1776,30,2014-08-11 10:10:00
56.7,52.8,56.7,52.8,34305,620,2014-08-11 14:20:00
55.1,55.1,55.1,55.1,551,10,2014-08-11 14:40:00
54.5,54.5,54.5,54.5,545,10,2014-08-11 15:10:00
55.0,55.0,55.0,55.0,1100,20,2014-08-11 15:30:00
54.5,53.0,54.5,53.0,8100,150,2014-08-11 16:40:00
52.8,50.3,52.8,50.3,65091,1280,2014-08-11 16:50:00
51.5,50.0,51.5,50.0,64878,1290,2014-08-11 17:00:00
50.0,52.2,52.6,50.0,92551,1850,2014-08-11 17:10:00
51.8,51.0,51.8,51.0,11236,220,2014-08-11 17:20:00
51.0,51.0,51.0,51.0,23460,460,2014-08-11 17:30:00
51.7,51.8,51.8,51.7,1035,20,2014-08-11 17:40:00
51.8,51.8,51.8,51.8,17612,340,2014-08-11 17:50:00
51.8,51.9,51.9,51.8,12974,250,2014-08-11 18:10:00
51.2,51.2,51.2,51.2,13824,270,2014-08-11 18:20:00
51.8,52.4,52.4,51.8,26161,500,2014-08-11 18:30:00
49.1,51.8,51.8,49.1,1009,20,2014-08-12 10:20:00
51.8,51.8,51.8,51.8,1554,30,2014-08-12 10:50:00
50.2,50.2,50.2,50.2,502,10,2014-08-12 12:10:00
50.1,50.1,50.1,50.1,2004,40,2014-08-12 12:20:00
50.0,50.0,50.0,50.0,500,10,2014-08-12 12:30:00
49.8,49.8,49.8,49.8,498,10,2014-08-12 13:30:00
49.8,49.8,49.8,49.8,1494,30,2014-08-12 14:00:00
51.5,51.5,51.5,51.5,5150,100,2014-08-12 14:10:00
50.8,51.0,51.0,50.8,8656,170,2014-08-12 16:30:00
50.2,49.1,50.2,49.1,2976,60,2014-08-12 17:10:00
49.0,49.0,49.0,49.0,12740,260,2014-08-12 17:20:00
49.3,50.9,50.9,49.2,1987,40,2014-08-12 17:30:00
50.1,50.1,50.1,50.1,7515,150,2014-08-12 18:20:00
50.8,50.8,50.8,50.8,508,10,2014-08-12 18:30:00
52.5,52.4,52.5,52.4,7341,140,2014-08-13 10:00:00
49.9,50.0,50.0,49.9,24999,500,2014-08-13 10:10:00
50.0,50.0,50.0,50.0,500,10,2014-08-13 10:30:00
50.0,50.0,50.0,50.0,30000,600,2014-08-13 11:00:00
51.7,51.9,51.9,51.7,4141,80,2014-08-13 12:00:00
50.4,50.0,50.4,50.0,140036,2800,2014-08-13 15:50:00
50.0,50.0,50.0,50.0,2500,50,2014-08-13 16:10:00
49.9,49.9,49.9,49.9,499,10,2014-08-13 17:10:00
49.9,50.0,50.0,49.9,9496,190,2014-08-13 17:30:00
51.6,51.6,51.6,51.6,1032,20,2014-08-13 17:40:00
51.2,51.6,51.6,51.2,22581,440,2014-08-13 18:20:00
50.9,51.0,51.0,50.9,1019,20,2014-08-14 10:00:00
51.0,48.2,51.0,48.2,63435,1310,2014-08-14 10:10:00
50.4,50.4,50.4,50.4,504,10,2014-08-14 10:20:00
50.5,50.5,50.5,50.5,4545,90,2014-08-14 10:40:00
50.1,50.0,50.1,50.0,1001,20,2014-08-14 10:50:00
50.6,50.9,50.9,50.6,3044,60,2014-08-14 11:00:00
50.1,50.4,50.4,48.6,20517,420,2014-08-14 13:50:00
50.5,50.5,50.5,50.5,505,10,2014-08-14 17:30:00
50.6,50.6,50.6,50.6,2024,40,2014-08-14 17:40:00
67.7,52.0,67.7,52.0,52283,800,2014-08-15 10:00:00
51.7,51.7,51.7,51.7,1551,30,2014-08-15 10:30:00
50.5,50.5,50.5,50.5,1515,30,2014-08-15 11:20:00
51.9,51.9,51.9,51.9,1557,30,2014-08-15 11:40:00
52.0,52.0,52.0,52.0,55640,1070,2014-08-15 12:00:00
52.6,52.0,54.5,52.0,6320,120,2014-08-15 12:10:00
54.3,54.3,54.3,54.3,543,10,2014-08-15 12:20:00
52.4,54.5,54.5,52.4,2156,40,2014-08-15 12:30:00
52.5,52.3,52.5,52.3,1572,30,2014-08-15 13:10:00
54.3,54.3,54.3,54.3,543,10,2014-08-15 13:30:00
52.4,53.8,53.8,52.4,1062,20,2014-08-15 15:40:00
52.4,52.3,52.4,52.3,4708,90,2014-08-15 15:50:00
53.8,53.8,53.8,53.8,538,10,2014-08-15 16:00:00
53.4,53.6,53.6,53.4,30009,560,2014-08-15 17:50:00
53.8,53.8,53.8,53.8,5380,100,2014-08-18 10:20:00
52.1,52.0,52.1,52.0,4161,80,2014-08-18 12:30:00
53.8,54.0,54.0,53.8,113394,2100,2014-08-18 12:50:00
54.0,54.0,54.0,54.0,5940,110,2014-08-18 13:10:00
53.6,53.1,56.0,53.1,5344,100,2014-08-18 13:20:00
53.3,53.3,53.3,53.3,4264,80,2014-08-18 14:00:00
53.2,56.0,56.0,53.2,12274,220,2014-08-18 14:20:00
54.9,57.0,57.0,54.9,37983,670,2014-08-18 14:30:00
55.2,55.1,55.2,55.1,3861,70,2014-08-18 14:40:00
54.6,53.2,54.6,53.2,4298,80,2014-08-18 15:00:00
53.9,56.2,56.2,53.9,1641,30,2014-08-18 15:10:00
53.7,53.2,53.7,53.2,4266,80,2014-08-18 15:50:00
54.8,55.8,55.8,54.8,16674,300,2014-08-18 16:40:00
56.2,56.2,56.2,56.2,562,10,2014-08-19 10:10:00
56.2,55.5,57.0,55.5,3954,70,2014-08-19 14:40:00
56.8,56.8,56.8,56.8,568,10,2014-08-19 15:30:00
56.1,56.1,56.1,56.1,3927,70,2014-08-19 17:10:00
56.0,56.0,56.0,56.0,560,10,2014-08-19 18:30:00
56.9,56.9,56.9,56.9,2845,50,2014-08-20 10:00:00
56.7,56.8,56.8,56.7,8515,150,2014-08-20 10:10:00
56.8,56.7,57.0,56.7,39258,690,2014-08-20 11:40:00
58.0,58.0,58.0,58.0,1740,30,2014-08-20 11:50:00
56.9,66.5,66.5,56.8,51115,850,2014-08-20 12:00:00
62.0,66.0,66.0,62.0,3800,60,2014-08-20 12:10:00
62.3,62.0,62.3,62.0,1863,30,2014-08-20 12:20:00
60.2,60.4,63.9,60.2,4939,80,2014-08-20 12:30:00
60.3,62.5,65.9,60.3,11624,180,2014-08-20 12:40:00
65.7,65.8,65.8,65.7,1315,20,2014-08-20 12:50:00
62.6,62.6,62.6,62.6,626,10,2014-08-20 13:00:00
64.0,64.0,64.0,64.0,640,10,2014-08-20 13:10:00
63.5,63.5,63.5,63.5,635,10,2014-08-20 13:40:00
63.4,63.0,63.4,63.0,2527,40,2014-08-20 13:50:00
62.5,62.5,62.5,62.5,625,10,2014-08-20 14:10:00
63.4,63.4,63.4,63.4,634,10,2014-08-20 14:50:00
62.5,62.5,62.5,62.5,625,10,2014-08-20 15:20:00
62.2,62.3,62.3,62.2,9967,160,2014-08-20 16:20:00
62.3,63.5,63.5,62.3,3761,60,2014-08-20 16:30:00
61.8,60.3,61.8,60.3,4265,70,2014-08-20 18:10:00
60.3,63.6,63.6,60.3,16962,270,2014-08-20 18:20:00
