Open,Close,High,Low,Value,Volume,Date
11230,11200,11230,11200,112087,10,2014-07-04 15:40:00
11200,11200,11200,11200,11200,1,2014-07-04 15:50:00
12501,12500,12501,12500,137501,11,2014-08-05 10:00:00
13989,13989,13989,13989,13989,1,2014-08-28 11:00:00
13200,13200,13200,13200,250800,19,2014-08-29 13:50:00
13200,13300,13300,13200,26500,2,2014-09-01 10:00:00
12500,12500,12500,12500,12500,1,2014-09-04 18:20:00
12500,12500,12500,12500,12500,1,2014-09-08 18:10:00
12500,12500,12500,12500,125000,10,2014-09-26 13:10:00
12500,12500,12500,12500,12500,1,2014-10-01 12:00:00
12500,12500,12500,12500,12500,1,2014-11-05 12:20:00
12500,12500,12500,12500,12500,1,2014-11-05 14:30:00
13750,13800,13800,13750,68900,5,2014-11-10 13:40:00
13000,13000,13000,13000,13000,1,2014-11-11 15:00:00
12550,12550,12550,12550,50200,4,2014-11-11 16:20:00
13650,13650,13650,13650,54600,4,2014-11-11 16:30:00
12500,12500,12500,12500,37500,3,2014-11-11 16:50:00
13000,13600,13600,13000,66750,5,2014-11-13 15:00:00
10650,13600,13600,10650,50850,4,2014-12-04 13:00:00
11250,11250,11250,11250,11250,1,2014-12-05 17:50:00
13000,13000,13000,13000,26000,2,2014-12-05 18:00:00
11300,11300,11300,11300,11300,1,2014-12-08 11:00:00
12900,12900,12900,12900,12900,1,2014-12-08 18:30:00
11400,11450,11450,11400,22850,2,2014-12-11 18:20:00
11500,11500,11500,11500,11500,1,2014-12-11 18:30:00
12500,12500,12500,12500,12500,1,2014-12-12 10:00:00
9400,9000,9400,8850,98650,11,2014-12-22 13:50:00
10350,10150,10400,10150,51200,5,2014-12-22 14:30:00
11400,10500,11400,10500,21900,2,2014-12-22 14:40:00
9200,8850,9200,8850,45400,5,2014-12-22 15:40:00
9950,9950,9950,9950,9950,1,2014-12-22 17:00:00
8000,9500,9500,7000,74550,10,2014-12-23 10:00:00
8100,7150,8100,7150,82400,11,2014-12-23 10:10:00
8150,8500,8500,8150,83000,10,2014-12-23 10:30:00
8750,8750,8750,8750,35000,4,2014-12-23 11:20:00
8150,8100,8150,8100,24350,3,2014-12-23 12:10:00
6050,5000,6050,5000,49750,9,2014-12-24 10:00:00
6100,6300,6300,6100,37200,6,2014-12-24 10:10:00
7400,7500,7500,7400,52400,7,2014-12-24 12:30:00
8750,8900,8900,8750,35350,4,2014-12-24 13:10:00
11000,11000,11000,11000,11000,1,2014-12-30 10:00:00
10900,10900,10900,10900,10900,1,2015-01-14 17:00:00
10500,10500,10500,10500,105000,10,2015-01-26 10:30:00
10050,10000,10050,10000,30050,3,2015-03-03 14:40:00
10950,11000,11000,10950,109850,10,2015-03-05 16:20:00
10000,10000,10000,10000,10000,1,2015-03-06 18:30:00
10100,10100,10100,10100,10100,1,2015-03-20 16:50:00
9500,9500,9500,9500,9500,1,2015-04-06 12:20:00
8400,8400,8400,8400,8400,1,2015-04-10 15:10:00
12800,12800,12800,12800,12800,1,2015-04-10 15:50:00
11000,11000,11000,11000,11000,1,2015-04-17 15:40:00
12800,12050,12950,12050,541700,42,2015-04-22 10:40:00
12500,12500,12500,12500,12500,1,2015-04-22 13:50:00
12500,12500,12500,12500,125000,10,2015-04-22 14:00:00
12500,12500,12500,12500,100000,8,2015-04-22 14:20:00
12500,12500,12500,12500,12500,1,2015-04-22 15:40:00
12500,12500,12500,12500,25000,2,2015-04-22 15:50:00
12550,12550,12550,12550,12550,1,2015-04-22 16:20:00
12000,12000,12000,12000,24000,2,2015-04-22 17:10:00
12000,12000,12000,12000,12000,1,2015-04-27 11:50:00
12000,12000,12000,12000,12000,1,2015-05-05 17:00:00
12000,12000,12000,12000,12000,1,2015-05-05 17:10:00
10250,10250,10250,10250,20500,2,2015-05-06 10:40:00
11950,12000,12000,11950,47950,4,2015-05-06 13:10:00
12000,12000,12000,12000,108000,9,2015-05-06 13:20:00
12000,12000,12000,12000,12000,1,2015-05-06 13:40:00
10300,10250,10300,10250,20550,2,2015-05-08 10:00:00
11950,11950,11950,11950,11950,1,2015-05-08 10:50:00
11500,11000,11500,11000,77500,7,2015-05-08 13:50:00
8950,10500,10500,8950,29950,3,2015-05-12 10:10:00
11100,11100,11100,11100,11100,1,2015-05-12 10:30:00
10550,10500,10550,10500,42050,4,2015-05-12 11:10:00
11000,11000,11000,11000,33000,3,2015-05-12 13:30:00
10950,10950,10950,10950,10950,1,2015-05-13 10:00:00
