Open,Close,High,Low,Value,Volume,Date
0.29005,0.29005,0.29005,0.29005,2900.5,10000,2014-06-24 17:10:00
0.3,0.3,0.3,0.3,6000.0,20000,2014-06-24 18:10:00
0.3,0.3,0.3,0.3,3000.0,10000,2014-06-24 18:20:00
0.31995,0.32,0.32,0.31995,127988.5,400000,2014-06-25 12:00:00
0.32,0.32,0.32,0.32,6400.0,20000,2014-06-25 13:20:00
0.32599,0.35,0.35,0.32599,850448.9,2440000,2014-06-25 14:00:00
0.30001,0.30001,0.30001,0.30001,3000.1,10000,2014-06-25 16:40:00
0.3,0.3,0.3,0.3,15000.0,50000,2014-06-25 16:50:00
0.34999,0.41,0.41,0.34999,457069.4,1140000,2014-06-25 17:00:00
0.34,0.34,0.34,0.34,74800.0,220000,2014-06-25 18:30:00
0.4,0.45,0.45,0.4,123610.0,280000,2014-06-26 12:20:00
0.3,0.3,0.3,0.3,3000.0,10000,2014-07-01 11:50:00
0.35,0.35,0.35,0.35,3500.0,10000,2014-07-01 13:30:00
0.38999,0.32001,0.38999,0.32001,7100.0,20000,2014-07-01 14:30:00
0.332,0.332,0.332,0.332,3320.0,10000,2014-07-14 14:10:00
0.34,0.34,0.34,0.34,6800.0,20000,2014-07-14 18:30:00
0.33201,0.33201,0.33201,0.33201,36521.1,110000,2014-07-16 11:00:00
0.332,0.332,0.332,0.332,6640.0,20000,2014-07-17 17:20:00
0.3879,0.38791,0.38791,0.3879,7758.1,20000,2014-07-22 13:10:00
0.33,0.33,0.33,0.33,3300.0,10000,2014-07-30 18:40:00
0.34001,0.34001,0.34001,0.34001,3400.1,10000,2014-08-04 17:20:00
0.33,0.33,0.33,0.33,3300.0,10000,2014-08-14 14:40:00
0.33,0.33,0.33,0.33,198000.0,600000,2014-08-15 11:20:00
0.35,0.35,0.35,0.35,3500.0,10000,2014-08-25 10:10:00
0.27,0.262,0.27,0.262,29140.4,110000,2014-08-28 17:10:00
0.30001,0.30001,0.30001,0.30001,3000.1,10000,2014-08-28 17:30:00
0.3,0.3,0.3,0.3,6000.0,20000,2014-08-28 18:10:00
0.314,0.314,0.314,0.314,6280.0,20000,2014-08-29 17:10:00
0.30001,0.30001,0.30001,0.30001,3000.1,10000,2014-09-01 17:50:00
0.34591,0.346,0.346,0.34591,10378.6,30000,2014-09-02 15:20:00
0.38,0.359,0.398,0.359,193420.0,530000,2014-09-04 10:40:00
0.36,0.361,0.361,0.36,14420.0,40000,2014-09-04 10:50:00
0.363,0.363,0.363,0.363,7260.0,20000,2014-09-04 11:00:00
0.35084,0.35084,0.35084,0.35084,17542.0,50000,2014-09-04 12:20:00
0.32999,0.33,0.33,0.32999,75899.5,230000,2014-09-08 13:50:00
0.33002,0.33,0.33002,0.33,42900.9,130000,2014-09-08 14:50:00
0.39999,0.39999,0.39999,0.39999,3999.9,10000,2014-09-10 10:20:00
0.34001,0.34001,0.34001,0.34001,3400.1,10000,2014-09-16 15:50:00
0.34001,0.34001,0.34001,0.34001,3400.1,10000,2014-09-17 10:20:00
0.34018,0.34019,0.34019,0.34018,108860.7,320000,2014-09-17 14:00:00
0.39997,0.39997,0.39997,0.39997,3999.7,10000,2014-09-19 11:30:00
0.32513,0.32513,0.32513,0.32513,3251.3,10000,2014-09-24 12:10:00
0.32511,0.35231,0.35231,0.32511,6774.2,20000,2014-09-24 13:30:00
0.33901,0.33901,0.33901,0.33901,3390.1,10000,2014-09-24 16:20:00
0.316,0.316,0.316,0.316,6320.0,20000,2014-10-17 12:10:00
0.33,0.33,0.33,0.33,9900.0,30000,2014-10-28 10:40:00
0.33,0.33,0.33,0.33,33000.0,100000,2014-10-28 11:00:00
0.33,0.33,0.33,0.33,13200.0,40000,2014-10-28 14:00:00
0.33,0.316,0.33,0.316,15940.0,50000,2014-10-28 16:40:00
0.33,0.33,0.332,0.329,227870.0,690000,2014-10-28 17:00:00
0.33,0.33,0.33,0.33,36300.0,110000,2014-10-28 18:20:00
0.33,0.33,0.33,0.33,39600.0,120000,2014-10-30 12:20:00
0.33,0.331,0.331,0.33,231100.0,700000,2014-10-30 12:40:00
0.331,0.331,0.331,0.331,3310.0,10000,2014-10-30 12:50:00
0.33,0.33,0.33,0.33,19800.0,60000,2014-10-30 13:10:00
0.325,0.26,0.325,0.26,5850.0,20000,2014-11-03 16:10:00
0.32,0.32,0.32,0.32,32000.0,100000,2014-11-12 18:00:00
0.335,0.335,0.335,0.335,3350.0,10000,2014-11-13 11:30:00
0.32,0.32,0.32,0.32,22400.0,70000,2014-11-17 15:00:00
0.335,0.335,0.335,0.335,3350.0,10000,2014-11-21 15:00:00
0.35,0.35,0.35,0.35,3500.0,10000,2014-11-25 15:10:00
0.35,0.35,0.35,0.35,70000.0,200000,2014-11-25 17:00:00
0.379,0.379,0.379,0.379,3790.0,10000,2014-11-26 10:10:00
0.344,0.344,0.344,0.344,41280.0,120000,2014-11-26 11:40:00
0.314,0.314,0.314,0.314,6280.0,20000,2014-11-26 15:50:00
0.32,0.32,0.32,0.32,3200.0,10000,2014-12-01 10:50:00
0.331,0.331,0.331,0.331,33100.0,100000,2014-12-04 13:30:00
0.377,0.389,0.389,0.377,7660.0,20000,2014-12-08 17:40:00
0.39,0.39,0.39,0.39,3900.0,10000,2014-12-08 18:00:00
0.33,0.33,0.33,0.33,9900.0,30000,2014-12-08 18:30:00
0.361,0.361,0.361,0.361,3610.0,10000,2014-12-12 12:40:00
0.37,0.37,0.37,0.37,48100.0,130000,2014-12-12 17:00:00
0.37,0.37,0.37,0.37,18500.0,50000,2014-12-12 18:00:00
0.262,0.262,0.262,0.262,2620.0,10000,2014-12-15 18:10:00
0.34,0.34,0.34,0.34,3400.0,10000,2014-12-16 11:40:00
0.265,0.265,0.265,0.265,2650.0,10000,2014-12-16 12:10:00
0.259,0.259,0.259,0.259,2590.0,10000,2014-12-16 14:00:00
0.299,0.299,0.299,0.299,2990.0,10000,2014-12-16 18:00:00
0.32,0.379,0.379,0.32,274670.0,750000,2014-12-18 10:20:00
0.4,0.418,0.418,0.38,327590.0,840000,2014-12-18 10:30:00
0.418,0.418,0.418,0.418,37620.0,90000,2014-12-18 10:40:00
0.341,0.301,0.341,0.301,25970.0,80000,2014-12-18 15:10:00
0.313,0.313,0.313,0.313,3130.0,10000,2014-12-18 17:00:00
0.326,0.326,0.326,0.326,3260.0,10000,2014-12-18 18:30:00
0.339,0.42,0.42,0.339,320500.0,780000,2014-12-19 11:00:00
0.33,0.33,0.33,0.33,3300.0,10000,2014-12-19 15:30:00
0.331,0.331,0.331,0.331,3310.0,10000,2014-12-26 16:20:00
0.33,0.33,0.33,0.33,3300.0,10000,2014-12-30 10:30:00
0.419,0.419,0.419,0.419,4190.0,10000,2014-12-30 18:30:00
0.333,0.333,0.333,0.333,3330.0,10000,2015-01-13 10:00:00
0.354,0.354,0.354,0.354,3540.0,10000,2015-01-13 11:30:00
0.37,0.37,0.37,0.37,7400.0,20000,2015-01-13 15:20:00
0.301,0.3,0.301,0.3,6010.0,20000,2015-01-15 12:10:00
0.349,0.349,0.349,0.349,6980.0,20000,2015-01-20 18:30:00
0.34,0.34,0.34,0.34,3400.0,10000,2015-01-21 15:50:00
0.326,0.326,0.326,0.326,3260.0,10000,2015-01-22 11:00:00
0.34,0.34,0.34,0.34,3400.0,10000,2015-01-22 13:20:00
0.326,0.326,0.326,0.326,3260.0,10000,2015-01-23 10:50:00
0.34,0.34,0.34,0.34,3400.0,10000,2015-01-27 14:00:00
0.353,0.354,0.354,0.353,7070.0,20000,2015-01-27 16:50:00
0.343,0.343,0.343,0.343,3430.0,10000,2015-01-29 15:40:00
0.34,0.33,0.34,0.33,10030.0,30000,2015-01-29 17:50:00
0.326,0.326,0.326,0.326,3260.0,10000,2015-01-30 13:10:00
0.295,0.295,0.295,0.295,5900.0,20000,2015-02-16 10:10:00
0.334,0.334,0.334,0.334,3340.0,10000,2015-02-17 16:30:00
0.316,0.313,0.316,0.313,6290.0,20000,2015-02-24 14:20:00
0.304,0.301,0.304,0.301,9090.0,30000,2015-02-26 10:40:00
0.313,0.313,0.313,0.313,3130.0,10000,2015-02-26 16:10:00
0.301,0.301,0.301,0.301,3010.0,10000,2015-03-10 13:10:00
0.31,0.31,0.31,0.31,31000.0,100000,2015-03-10 18:00:00
0.313,0.316,0.316,0.313,6290.0,20000,2015-03-17 18:30:00
0.32,0.32,0.32,0.32,3200.0,10000,2015-03-23 17:50:00
0.318,0.32,0.32,0.318,35180.0,110000,2015-03-24 17:50:00
0.32,0.32,0.32,0.32,28800.0,90000,2015-03-24 18:20:00
0.305,0.305,0.305,0.305,3050.0,10000,2015-04-01 16:00:00
0.304,0.304,0.304,0.304,3040.0,10000,2015-04-06 16:30:00
0.316,0.316,0.316,0.316,3160.0,10000,2015-04-09 10:50:00
0.325,0.343,0.343,0.325,20040.0,60000,2015-04-21 16:50:00
0.327,0.326,0.327,0.326,19570.0,60000,2015-04-21 18:10:00
0.326,0.3,0.326,0.3,60600.0,200000,2015-04-23 13:20:00
0.301,0.3,0.301,0.3,30010.0,100000,2015-04-23 18:20:00
0.304,0.3,0.304,0.3,30040.0,100000,2015-04-24 11:10:00
0.3,0.299,0.3,0.299,32920.0,110000,2015-04-24 15:20:00
0.294,0.294,0.294,0.294,2940.0,10000,2015-04-24 17:00:00
0.3,0.3,0.3,0.3,6000.0,20000,2015-04-27 10:10:00
0.3,0.295,0.3,0.295,47870.0,160000,2015-04-28 10:30:00
0.31,0.31,0.31,0.31,3100.0,10000,2015-04-28 11:00:00
0.3,0.3,0.3,0.3,3000.0,10000,2015-04-28 14:30:00
0.301,0.3,0.301,0.3,36020.0,120000,2015-05-05 14:40:00
0.3,0.3,0.3,0.3,60000.0,200000,2015-05-05 17:10:00
0.332,0.332,0.332,0.332,3320.0,10000,2015-05-05 18:00:00
0.3,0.3,0.3,0.3,3000.0,10000,2015-05-06 16:20:00
0.313,0.313,0.313,0.313,3130.0,10000,2015-05-18 10:00:00
0.315,0.315,0.315,0.315,3150.0,10000,2015-05-25 14:00:00
0.316,0.329,0.329,0.316,32570.0,100000,2015-05-25 15:10:00
0.314,0.304,0.314,0.304,9310.0,30000,2015-05-25 17:00:00
0.301,0.301,0.301,0.301,3010.0,10000,2015-06-01 14:00:00
0.292,0.292,0.292,0.292,2920.0,10000,2015-06-01 18:10:00
0.289,0.289,0.289,0.289,2890.0,10000,2015-06-05 12:00:00
0.29,0.29,0.29,0.29,2900.0,10000,2015-06-08 18:10:00
0.301,0.301,0.301,0.301,3010.0,10000,2015-06-09 10:40:00
0.29,0.29,0.29,0.29,8700.0,30000,2015-06-09 18:10:00
0.29,0.29,0.29,0.29,580000.0,2000000,2015-06-10 18:10:00
0.29,0.29,0.29,0.29,2900.0,10000,2015-06-17 12:10:00
0.29,0.29,0.29,0.29,426300.0,1470000,2015-06-17 18:30:00
0.29,0.29,0.29,0.29,150800.0,520000,2015-06-17 18:40:00
0.3,0.3,0.3,0.3,3000.0,10000,2015-06-18 18:30:00
0.304,0.304,0.304,0.304,3040.0,10000,2015-06-29 10:40:00
0.3,0.3,0.3,0.3,600000.0,2000000,2015-07-20 18:40:00
0.311,0.311,0.311,0.311,3110.0,10000,2015-07-22 18:20:00
0.316,0.316,0.316,0.316,3160.0,10000,2015-07-22 18:40:00
0.32,0.32,0.32,0.319,643190.0,2010000,2015-07-23 11:00:00
0.411,0.44,0.44,0.411,21320.0,50000,2015-07-29 12:00:00
0.32,0.333,0.333,0.25,59820.0,190000,2015-07-30 12:30:00
0.314,0.314,0.314,0.314,28260.0,90000,2015-07-30 18:30:00
0.315,0.315,0.315,0.315,3150.0,10000,2015-08-04 16:20:00
0.317,0.339,0.339,0.317,16730.0,50000,2015-08-04 16:50:00
0.296,0.296,0.296,0.296,2960.0,10000,2015-08-14 15:50:00
0.282,0.282,0.282,0.282,5640.0,20000,2015-08-26 18:00:00
0.325,0.325,0.325,0.325,3250.0,10000,2015-09-04 10:30:00
0.314,0.314,0.314,0.314,15700.0,50000,2015-09-04 16:00:00
0.318,0.318,0.318,0.318,73140.0,230000,2015-09-04 16:50:00
0.313,0.313,0.313,0.313,3130.0,10000,2015-09-04 17:10:00
0.313,0.313,0.313,0.313,3130.0,10000,2015-09-04 18:10:00
0.301,0.3,0.314,0.3,75250.0,250000,2015-09-08 18:30:00
0.316,0.317,0.317,0.316,22140.0,70000,2015-09-11 10:40:00
0.311,0.311,0.311,0.311,3110.0,10000,2015-09-11 17:00:00
0.334,0.335,0.335,0.334,16740.0,50000,2015-09-14 10:00:00
0.316,0.315,0.316,0.315,15760.0,50000,2015-09-16 17:40:00
0.315,0.315,0.315,0.315,3150.0,10000,2015-09-16 18:30:00
