Open,Close,High,Low,Value,Volume,Date
36.7,36.7,36.7,36.7,25690,700,2014-06-10 10:00:00
36.62,36.62,36.62,36.62,25634,700,2014-06-10 17:00:00
36.65,36.65,36.65,36.65,36650,1000,2014-06-11 10:20:00
36.86,36.86,36.86,36.86,47918,1300,2014-06-16 10:00:00
36.86,36.86,36.86,36.86,66348,1800,2014-06-17 10:10:00
36.79,36.79,36.79,36.79,66222,1800,2014-06-18 10:00:00
36.85,36.85,36.85,36.85,36850,1000,2014-06-19 10:30:00
36.89,36.89,36.89,36.89,81158,2200,2014-06-20 10:00:00
36.92,36.92,36.92,36.92,81224,2200,2014-06-23 10:00:00
36.97,36.97,36.97,36.97,81334,2200,2014-06-24 10:00:00
37.0,37.0,37.0,37.0,85100,2300,2014-06-25 10:00:00
36.9,36.9,36.9,36.9,73800,2000,2014-06-26 10:00:00
37.1,37.1,37.1,37.1,66780,1800,2014-06-27 10:10:00
37.2,37.2,37.2,37.2,44640,1200,2014-06-30 10:20:00
37.33,37.33,37.33,37.33,18665,500,2014-07-01 10:10:00
37.33,37.33,37.33,37.33,14932,400,2014-07-01 17:00:00
37.46,37.46,37.46,37.46,11238,300,2014-07-02 10:30:00
37.46,37.46,37.46,37.46,14984,400,2014-07-02 18:00:00
37.98,37.98,37.98,37.98,26586,700,2014-07-03 10:30:00
37.87,37.87,37.87,37.87,30296,800,2014-07-04 10:10:00
37.81,37.81,37.81,37.81,18905,500,2014-07-07 10:30:00
38.06,38.06,38.06,38.06,22836,600,2014-07-08 10:00:00
38.0,38.0,38.0,38.0,15200,400,2014-07-09 10:10:00
38.08,38.08,38.08,38.08,22848,600,2014-07-10 10:30:00
37.72,37.72,37.72,37.72,7544,200,2014-07-11 10:20:00
37.81,37.81,37.81,37.81,15124,400,2014-07-14 10:20:00
37.72,37.72,37.72,37.72,7544,200,2014-07-15 10:10:00
37.75,37.75,37.75,37.75,3775,100,2014-07-16 10:10:00
37.7,37.7,37.7,37.7,11310,300,2014-07-16 15:50:00
37.89,37.89,37.89,37.89,18945,500,2014-07-17 10:20:00
37.51,37.51,37.51,37.51,11253,300,2014-07-18 10:10:00
37.47,37.47,37.47,37.47,7494,200,2014-07-21 10:20:00
37.4,37.4,37.4,37.4,7480,200,2014-07-21 11:50:00
37.49,37.49,37.49,37.49,22494,600,2014-07-22 10:00:00
37.89,37.89,37.89,37.89,11367,300,2014-07-23 10:00:00
37.86,37.86,37.86,37.86,7572,200,2014-07-23 16:30:00
38.02,38.02,38.02,38.02,15208,400,2014-07-24 10:10:00
37.93,37.92,37.93,37.92,37924,1000,2014-07-24 11:20:00
37.87,37.87,37.87,37.87,45444,1200,2014-07-25 10:10:00
37.83,37.83,37.83,37.83,18915,500,2014-07-25 17:00:00
37.3,37.3,37.3,37.3,55950,1500,2014-07-28 10:20:00
37.02,37.02,37.02,37.02,51828,1400,2014-07-29 10:10:00
37.34,37.34,37.34,37.34,48542,1300,2014-07-30 10:20:00
37.61,37.61,37.61,37.61,37610,1000,2014-07-31 10:10:00
37.16,37.16,37.16,37.16,29728,800,2014-08-01 10:10:00
37.04,37.04,37.04,37.04,37040,1000,2014-08-04 10:10:00
37.17,37.17,37.17,37.17,11151,300,2014-08-05 10:20:00
37.12,37.12,37.12,37.12,14848,400,2014-08-05 15:40:00
36.82,36.82,36.82,36.82,14728,400,2014-08-06 10:10:00
36.74,36.74,36.74,36.74,11022,300,2014-08-06 17:00:00
36.27,36.27,36.27,36.27,21762,600,2014-08-07 10:20:00
36.07,36.07,36.07,36.07,18035,500,2014-08-08 10:00:00
36.21,36.21,36.21,36.21,14484,400,2014-08-11 10:30:00
36.21,36.21,36.21,36.21,7242,200,2014-08-11 17:20:00
36.25,36.25,36.25,36.25,18125,500,2014-08-12 10:30:00
36.09,36.09,36.09,36.09,10827,300,2014-08-13 10:10:00
