Open,Close,High,Low,Value,Volume,Date
1.764,1.764,1.764,1.764,1764,1000,2014-06-19 15:20:00
1.58,1.58,1.58,1.58,1580,1000,2014-07-07 15:40:00
1.762,1.762,1.762,1.762,1762,1000,2014-07-07 16:00:00
1.763,1.763,1.763,1.763,26445,15000,2014-07-07 18:30:00
1.763,1.763,1.763,1.763,3526,2000,2014-07-08 10:10:00
1.763,1.763,1.763,1.763,5289,3000,2014-07-08 11:40:00
1.7,1.7,1.7,1.7,18700,11000,2014-07-08 14:30:00
1.7,1.7,1.7,1.7,1700,1000,2014-07-08 14:40:00
1.6,1.6,1.6,1.6,14400,9000,2014-07-08 14:50:00
1.79,1.646,1.79,1.646,15102,9000,2014-07-08 17:20:00
1.71,1.71,1.71,1.71,1710,1000,2014-07-10 13:30:00
1.71,1.71,1.71,1.71,1710,1000,2014-07-15 11:30:00
1.699,1.7,1.7,1.699,13595,8000,2014-07-18 17:10:00
1.608,1.565,1.608,1.565,7869,5000,2014-07-23 15:00:00
1.7,1.6,1.7,1.6,19800,12000,2014-07-23 15:10:00
1.719,1.72,1.72,1.719,12039,7000,2014-07-25 10:10:00
1.908,1.908,1.908,1.908,5724,3000,2014-07-28 12:50:00
1.7,1.7,1.7,1.7,5100,3000,2014-07-29 12:40:00
1.7,1.7,1.7,1.7,1700,1000,2014-07-29 13:30:00
1.7,1.7,1.7,1.7,1700,1000,2014-07-29 14:20:00
1.7,1.7,1.7,1.7,6800,4000,2014-07-29 18:20:00
1.602,1.602,1.602,1.602,1602,1000,2014-07-31 11:30:00
1.6,1.6,1.6,1.6,16000,10000,2014-08-06 17:30:00
1.564,1.563,1.564,1.563,40652,26000,2014-08-08 18:00:00
1.55,1.55,1.55,1.55,6200,4000,2014-08-11 13:30:00
1.6,1.68,1.68,1.6,34880,21000,2014-08-11 14:20:00
1.68,1.68,1.68,1.68,6720,4000,2014-08-11 14:30:00
1.55,1.55,1.55,1.55,15500,10000,2014-08-14 17:20:00
1.555,1.5,1.555,1.5,7611,5000,2014-08-14 17:40:00
1.55,1.55,1.55,1.55,1550,1000,2014-08-15 14:40:00
1.6,1.6,1.6,1.6,1600,1000,2014-08-22 18:30:00
1.649,1.649,1.649,1.649,1649,1000,2014-09-01 17:30:00
1.502,1.5,1.502,1.5,18008,12000,2014-09-08 14:30:00
1.599,1.599,1.599,1.599,14391,9000,2014-09-09 14:40:00
1.599,1.599,1.599,1.599,1599,1000,2014-09-12 11:20:00
1.502,1.5,1.502,1.5,19504,13000,2014-09-18 10:20:00
1.549,1.55,1.55,1.549,3099,2000,2014-09-18 18:20:00
1.597,1.597,1.597,1.597,1597,1000,2014-09-19 11:10:00
1.5,1.5,1.5,1.5,1500,1000,2014-10-06 12:50:00
1.45,1.45,1.45,1.45,1450,1000,2014-10-10 14:00:00
1.41,1.4,1.41,1.4,15410,11000,2014-10-10 15:50:00
1.39,1.38,1.39,1.38,2770,2000,2014-10-13 10:00:00
1.39,1.39,1.39,1.39,1390,1000,2014-10-13 10:20:00
1.36,1.36,1.36,1.36,1360,1000,2014-10-13 10:30:00
1.26,1.26,1.26,1.26,1512000,1200000,2014-10-16 11:10:00
1.32,1.32,1.32,1.32,528000,400000,2014-10-16 11:20:00
1.31,1.31,1.31,1.31,1310,1000,2014-10-27 15:30:00
1.54,1.55,1.55,1.54,7740,5000,2014-10-29 16:20:00
1.55,1.55,1.55,1.55,9300,6000,2014-11-05 13:20:00
1.5,1.58,1.58,1.5,3080,2000,2014-11-12 16:20:00
1.59,1.59,1.59,1.59,1590,1000,2014-11-13 10:20:00
1.41,1.4,1.41,1.4,14010,10000,2014-11-18 18:30:00
1.58,1.58,1.58,1.58,14220,9000,2014-11-19 10:20:00
1.57,1.58,1.58,1.57,11050,7000,2014-11-19 17:40:00
1.41,1.6,1.6,1.4,4410,3000,2014-11-24 15:30:00
1.47,1.47,1.47,1.47,7350,5000,2014-11-25 13:40:00
1.45,1.58,1.58,1.45,3030,2000,2014-11-25 14:40:00
1.63,1.65,1.65,1.63,29660,18000,2014-11-26 16:30:00
1.5,1.5,1.5,1.5,1500,1000,2014-11-27 12:10:00
1.5,1.64,1.64,1.5,3140,2000,2014-11-27 13:30:00
1.5,1.5,1.5,1.5,3000,2000,2014-11-27 17:10:00
1.5,1.6,1.6,1.5,3100,2000,2014-11-27 17:50:00
1.6,1.68,1.68,1.6,41210,25000,2014-11-27 18:30:00
1.51,1.5,1.51,1.5,16510,11000,2014-12-08 17:30:00
1.4,1.4,1.4,1.4,14000,10000,2014-12-10 18:30:00
1.31,1.3,1.31,1.3,2610,2000,2014-12-12 10:20:00
1.44,1.44,1.44,1.44,1440,1000,2014-12-12 14:30:00
1.41,1.41,1.41,1.41,1410,1000,2014-12-15 10:50:00
1.41,1.41,1.41,1.41,1410,1000,2014-12-15 11:00:00
1.41,1.41,1.41,1.41,1410,1000,2014-12-15 11:30:00
1.42,1.42,1.42,1.42,7100,5000,2014-12-15 12:10:00
1.22,1.2,1.22,1.2,20460,17000,2014-12-16 11:30:00
1.39,1.39,1.39,1.39,1390,1000,2014-12-16 12:40:00
1.1,1.1,1.1,1.1,1100,1000,2014-12-16 14:10:00
1.4,1.4,1.4,1.4,1400,1000,2014-12-16 15:50:00
1.35,1.35,1.35,1.35,1350,1000,2014-12-17 13:30:00
1.35,1.39,1.39,1.35,27260,20000,2014-12-17 17:20:00
1.39,1.4,1.4,1.39,13930,10000,2014-12-18 10:30:00
1.4,1.4,1.4,1.4,2800,2000,2014-12-18 11:50:00
1.35,1.35,1.35,1.35,1350,1000,2014-12-22 12:40:00
1.35,1.35,1.35,1.35,2700,2000,2014-12-22 14:40:00
1.35,1.35,1.35,1.35,4050,3000,2014-12-24 12:40:00
1.35,1.35,1.35,1.35,4050,3000,2014-12-24 12:50:00
1.3,1.3,1.3,1.3,2600,2000,2014-12-24 17:10:00
1.36,1.36,1.36,1.36,8160,6000,2014-12-25 13:50:00
1.4,1.5,1.5,1.4,31800,22000,2014-12-25 15:30:00
