Open,Close,High,Low,Value,Volume,Date
0.25,0.25,0.25,0.25,125000,500000,2014-06-09 14:30:00
0.25,0.25,0.25,0.25,367500,1470000,2014-06-09 14:40:00
0.25,0.25,0.25,0.25,492500,1970000,2014-06-11 14:50:00
0.2302,0.2302,0.2302,0.2302,2302,10000,2014-06-16 17:40:00
0.24,0.24,0.24,0.24,24000,100000,2014-06-17 10:00:00
0.24,0.24,0.24,0.24,7200,30000,2014-06-17 10:10:00
0.24,0.24,0.24,0.24,172800,720000,2014-06-17 10:20:00
0.25,0.25,0.25,0.25,2500,10000,2014-06-17 10:50:00
0.25,0.25,0.25,0.25,7500,30000,2014-06-17 11:20:00
0.25,0.25,0.25,0.25,2500,10000,2014-06-17 11:30:00
0.25,0.25,0.25,0.25,2500,10000,2014-06-17 13:40:00
0.25,0.25,0.25,0.25,60000,240000,2014-06-19 11:40:00
0.25,0.25,0.25,0.25,65000,260000,2014-06-19 11:50:00
0.25,0.25,0.25,0.25,57500,230000,2014-06-19 13:10:00
0.25,0.25,0.25,0.25,125000,500000,2014-06-19 14:20:00
0.25,0.25,0.25,0.25,125000,500000,2014-06-19 14:40:00
0.25,0.25,0.25,0.25,117500,470000,2014-06-23 12:00:00
0.25,0.25,0.25,0.25,125000,500000,2014-06-25 12:50:00
0.25,0.25,0.25,0.25,37500,150000,2014-06-25 15:00:00
0.25,0.25,0.25,0.25,125000,500000,2014-06-26 12:50:00
0.25,0.25,0.25,0.25,375000,1500000,2014-06-26 13:30:00
0.2671,0.2671,0.2671,0.2671,2671,10000,2014-06-26 14:20:00
0.266,0.27,0.27,0.266,866065,3210000,2014-07-02 11:20:00
0.27,0.27,0.27,0.27,16200,60000,2014-07-02 11:30:00
0.27,0.27,0.27,0.27,259200,960000,2014-07-02 12:00:00
0.27,0.27,0.27,0.27,81000,300000,2014-07-02 18:30:00
0.2701,0.27,0.2701,0.27,8101,30000,2014-07-07 14:50:00
0.2501,0.25,0.2501,0.25,22501,90000,2014-07-11 13:10:00
0.238,0.2501,0.2501,0.238,4881,20000,2014-07-16 15:50:00
0.25,0.25,0.25,0.2499,377499,1510000,2014-07-18 11:50:00
0.2501,0.25,0.2501,0.25,15001,60000,2014-07-18 12:00:00
0.25,0.25,0.25,0.25,110000,440000,2014-07-18 12:30:00
0.27,0.27,0.27,0.27,16200,60000,2014-07-18 17:30:00
0.2501,0.25,0.2501,0.25,150001,600000,2014-07-18 18:30:00
0.25,0.25,0.25,0.25,37500,150000,2014-07-21 10:40:00
0.2499,0.25,0.25,0.2499,127499,510000,2014-07-21 10:50:00
0.25,0.25,0.25,0.25,22500,90000,2014-07-21 11:10:00
0.25,0.25,0.25,0.25,12500,50000,2014-07-21 11:20:00
0.255,0.255,0.255,0.255,2550,10000,2014-07-22 10:10:00
0.24,0.24,0.24,0.24,2400,10000,2014-07-22 17:30:00
0.245,0.245,0.245,0.245,4900,20000,2014-07-23 10:40:00
0.25,0.25,0.25,0.25,5000,20000,2014-07-24 10:30:00
0.25,0.25,0.25,0.25,152500,610000,2014-07-24 11:00:00
0.25,0.25,0.25,0.25,7500,30000,2014-07-24 12:10:00
0.25,0.25,0.25,0.25,2500,10000,2014-07-24 13:30:00
0.25,0.25,0.25,0.25,2500,10000,2014-07-24 15:20:00
0.24,0.24,0.24,0.24,26400,110000,2014-07-25 17:20:00
0.24,0.24,0.24,0.24,2400,10000,2014-07-25 17:30:00
0.24,0.249,0.249,0.24,134935,560000,2014-07-25 17:40:00
0.258,0.258,0.258,0.258,299280,1160000,2014-07-30 10:10:00
0.253,0.253,0.253,0.253,2530,10000,2014-07-30 14:20:00
0.26,0.26,0.26,0.26,7800,30000,2014-07-30 14:40:00
0.25,0.25,0.25,0.25,2500,10000,2014-07-30 18:30:00
0.2501,0.2501,0.2501,0.2501,2501,10000,2014-07-31 17:50:00
0.25,0.25,0.25,0.25,50000,200000,2014-08-07 16:40:00
0.2311,0.2311,0.2311,0.2311,2311,10000,2014-08-11 16:50:00
0.2501,0.2501,0.2501,0.2501,2501,10000,2014-08-11 18:00:00
0.25,0.25,0.25,0.25,2500,10000,2014-08-14 14:40:00
0.25,0.25,0.25,0.25,2500,10000,2014-08-14 17:40:00
0.25,0.25,0.25,0.25,82500,330000,2014-08-21 10:50:00
0.2499,0.25,0.25,0.2499,309999,1240000,2014-08-21 11:40:00
0.2402,0.2401,0.2402,0.2401,7204,30000,2014-08-25 12:00:00
0.27,0.27,0.27,0.27,448200,1660000,2014-08-27 18:30:00
0.27,0.27,0.27,0.27,54000,200000,2014-08-28 11:20:00
0.27,0.27,0.27,0.27,43200,160000,2014-08-28 13:30:00
0.27,0.27,0.27,0.27,2700,10000,2014-08-28 18:30:00
0.2556,0.2555,0.2556,0.2555,38328,150000,2014-09-08 12:50:00
0.2551,0.255,0.2551,0.255,107101,420000,2014-09-09 15:00:00
0.2649,0.2649,0.2649,0.2649,2649,10000,2014-09-10 14:10:00
0.265,0.265,0.265,0.265,26500,100000,2014-09-10 16:30:00
0.2601,0.2601,0.2601,0.2601,2601,10000,2014-09-11 13:20:00
0.2749,0.2749,0.2749,0.2749,5498,20000,2014-09-12 12:20:00
0.274,0.2739,0.274,0.2739,104101,380000,2014-09-12 13:10:00
0.285,0.285,0.285,0.285,2850,10000,2014-09-19 11:20:00
0.2556,0.25,0.2556,0.25,10061,40000,2014-09-23 10:40:00
0.26,0.26,0.26,0.26,2600,10000,2014-09-24 11:10:00
0.25,0.25,0.25,0.25,5000,20000,2014-10-02 14:00:00
0.25,0.25,0.25,0.25,2500,10000,2014-10-02 14:10:00
0.25,0.25,0.25,0.25,2500,10000,2014-10-02 14:20:00
0.223,0.223,0.223,0.223,2230,10000,2014-10-02 14:40:00
0.26,0.26,0.26,0.26,2600,10000,2014-10-02 18:20:00
0.27,0.27,0.27,0.27,5400,20000,2014-10-10 17:30:00
0.27,0.27,0.27,0.27,81000,300000,2014-10-10 18:20:00
0.27,0.27,0.27,0.27,5400,20000,2014-10-10 18:30:00
0.256,0.255,0.256,0.255,5110,20000,2014-10-21 13:40:00
0.299,0.299,0.299,0.299,2990,10000,2014-10-28 10:20:00
0.252,0.251,0.252,0.251,17620,70000,2014-10-29 11:40:00
0.253,0.253,0.253,0.253,2530,10000,2014-10-31 10:30:00
0.29,0.29,0.29,0.29,5800,20000,2014-11-05 15:30:00
0.265,0.265,0.265,0.265,2650,10000,2014-11-11 12:20:00
0.269,0.269,0.269,0.269,2690,10000,2014-11-13 11:30:00
0.27,0.27,0.27,0.27,81000,300000,2014-11-13 17:00:00
0.27,0.27,0.27,0.27,56700,210000,2014-11-13 18:30:00
0.29,0.29,0.29,0.29,8700,30000,2014-11-14 10:50:00
0.27,0.27,0.27,0.27,81000,300000,2014-11-14 12:00:00
0.27,0.27,0.27,0.27,81000,300000,2014-11-14 12:40:00
0.295,0.295,0.295,0.295,2950,10000,2014-11-17 13:30:00
0.27,0.27,0.27,0.27,8100,30000,2014-11-17 16:30:00
