Open,Close,High,Low,Value,Volume,Date
0.03705,0.037,0.03705,0.037,20720.5,560000,2014-06-09 14:20:00
0.03999,0.03999,0.03999,0.03999,399.9,10000,2014-06-09 18:00:00
0.04,0.04,0.04,0.04,10000.0,250000,2014-06-09 18:10:00
0.03999,0.04395,0.04395,0.03999,1639.1999999999998,40000,2014-06-10 15:00:00
0.04443,0.04443,0.04443,0.04443,444.3,10000,2014-06-10 18:20:00
0.04991,0.04991,0.04991,0.04991,499.1,10000,2014-06-11 10:10:00
0.0495,0.0495,0.0495,0.0495,19305.0,390000,2014-06-11 13:30:00
0.04947,0.0495,0.0495,0.04947,2474.0,50000,2014-06-18 12:30:00
0.04988,0.04988,0.04988,0.04988,498.8,10000,2014-06-18 12:40:00
0.03962,0.0396,0.03962,0.0396,792.2,20000,2014-06-18 14:20:00
0.044,0.04959,0.04959,0.044,935.9,20000,2014-06-18 15:00:00
0.04949,0.0495,0.0495,0.04949,7424.0,150000,2014-06-18 16:00:00
0.04936,0.04937,0.04937,0.04936,1974.6999999999998,40000,2014-06-18 18:30:00
0.04444,0.04444,0.04444,0.04444,444.4,10000,2014-06-20 10:50:00
0.03965,0.03965,0.03965,0.03965,396.5,10000,2014-06-20 11:20:00
0.03806,0.03806,0.03806,0.03806,380.6,10000,2014-06-23 10:20:00
0.04297,0.04297,0.04297,0.04297,429.7,10000,2014-06-23 12:20:00
0.03806,0.03806,0.03806,0.03806,380.6,10000,2014-06-23 12:50:00
0.04496,0.04496,0.04496,0.04496,449.6,10000,2014-06-24 14:20:00
0.03613,0.03613,0.03613,0.03613,361.3,10000,2014-06-25 15:00:00
0.039,0.039,0.039,0.039,390.0,10000,2014-07-01 17:30:00
0.04,0.04,0.04,0.04,400.0,10000,2014-07-02 17:50:00
0.039,0.038,0.039,0.038,7990.0,210000,2014-07-02 18:20:00
0.04549,0.04549,0.04549,0.04549,454.9,10000,2014-07-02 18:30:00
0.04959,0.03451,0.04959,0.03451,2270.6,60000,2014-07-04 11:20:00
0.039,0.039,0.039,0.039,390.0,10000,2014-07-07 13:20:00
0.04,0.04,0.04,0.04,2000.0,50000,2014-07-07 16:10:00
0.04,0.04,0.04,0.04,400.0,10000,2014-07-07 18:20:00
0.04886,0.04886,0.04886,0.04886,488.6,10000,2014-07-08 11:10:00
0.04,0.04,0.04,0.04,400.0,10000,2014-07-10 14:50:00
0.04001,0.03999,0.04001,0.03999,6800.0,170000,2014-07-10 15:10:00
0.03806,0.03806,0.03806,0.03806,1522.4,40000,2014-07-10 16:20:00
0.03805,0.03805,0.03805,0.03805,380.5,10000,2014-07-17 16:40:00
0.03705,0.03705,0.03705,0.03705,370.5,10000,2014-07-17 16:50:00
0.04,0.04198,0.04198,0.04,4178.200000000001,100000,2014-08-06 15:00:00
0.04195,0.04198,0.04198,0.04195,1258.9,30000,2014-08-06 15:10:00
0.038,0.03,0.038,0.02957,142827.1,4760000,2014-08-06 15:40:00
0.02999,0.03,0.03,0.02999,29999.9,1000000,2014-08-06 15:50:00
0.03,0.03,0.03,0.03,44100.0,1470000,2014-08-06 16:00:00
0.03,0.03,0.03,0.03,600.0,20000,2014-08-06 16:20:00
0.03,0.03,0.03,0.03,23700.0,790000,2014-08-06 16:40:00
0.03,0.03,0.03,0.03,300.0,10000,2014-08-06 17:00:00
0.03,0.03,0.03,0.03,2700.0,90000,2014-08-06 17:10:00
0.03,0.03,0.03,0.03,3300.0,110000,2014-08-06 17:20:00
0.02999,0.02999,0.02999,0.02999,2399.2000000000003,80000,2014-08-06 17:30:00
0.02999,0.02999,0.02999,0.02999,299.9,10000,2014-08-06 17:40:00
0.02999,0.02957,0.03,0.02957,39888.3,1330000,2014-08-06 18:20:00
0.02957,0.03,0.03,0.027,8489.8,300000,2014-08-06 18:30:00
0.027,0.028,0.02988,0.02301,37026.8,1470000,2014-08-07 11:40:00
0.028,0.0275,0.028,0.02666,25759.8,960000,2014-08-07 11:50:00
0.02774,0.02775,0.02775,0.02774,554.9,20000,2014-08-07 12:00:00
0.02712,0.02507,0.02712,0.02507,521.9,20000,2014-08-07 12:10:00
0.0273,0.0273,0.0273,0.0273,2730.0,100000,2014-08-07 12:20:00
0.02727,0.02727,0.02727,0.02727,272.7,10000,2014-08-07 13:10:00
0.0273,0.0298,0.0298,0.0273,5291.4,190000,2014-08-07 13:40:00
0.028,0.028,0.028,0.028,560.0,20000,2014-08-07 14:40:00
0.028,0.028,0.028,0.028,560.0,20000,2014-08-07 14:50:00
0.02651,0.02626,0.02651,0.02626,10781.2,410000,2014-08-07 16:30:00
0.02633,0.02633,0.02633,0.02633,263.3,10000,2014-08-07 17:40:00
0.027,0.02794,0.02794,0.027,3789.4,140000,2014-08-07 17:50:00
0.027,0.027,0.027,0.027,2700.0,100000,2014-08-07 18:10:00
0.02634,0.0269,0.0269,0.02626,10621.0,400000,2014-08-07 18:30:00
0.02428,0.02428,0.02428,0.02428,242.8,10000,2014-08-08 13:20:00
0.02503,0.02501,0.02503,0.02501,1000.7,40000,2014-08-08 17:20:00
0.02623,0.0263,0.0263,0.02623,525.3,20000,2014-08-08 17:50:00
0.02445,0.02445,0.02445,0.02445,244.5,10000,2014-08-11 10:00:00
0.02888,0.02899,0.02899,0.02888,867.5,30000,2014-08-11 11:50:00
0.02701,0.02701,0.02701,0.02701,270.1,10000,2014-08-11 17:10:00
0.02977,0.02981,0.02981,0.02977,2085.1,70000,2014-08-12 11:30:00
0.029,0.029,0.029,0.029,290.0,10000,2014-08-12 12:30:00
0.02704,0.02704,0.02704,0.02704,270.4,10000,2014-08-13 18:00:00
0.0275,0.0275,0.0275,0.0275,275.0,10000,2014-08-14 13:20:00
0.028,0.028,0.028,0.028,4200.0,150000,2014-08-14 14:30:00
0.028,0.028,0.028,0.028,280.0,10000,2014-08-14 14:40:00
0.02998,0.03,0.03,0.02998,6897.7,230000,2014-08-18 13:50:00
0.028,0.02754,0.028,0.02754,2758.6,100000,2014-08-20 15:50:00
0.02752,0.02752,0.02752,0.02752,8256.0,300000,2014-08-22 13:20:00
0.0295,0.0295,0.0295,0.0295,295.0,10000,2014-08-25 15:50:00
0.02752,0.0275,0.02752,0.0275,8525.3,310000,2014-08-26 15:50:00
0.02751,0.02751,0.02751,0.02751,275.1,10000,2014-08-28 12:20:00
0.0275,0.027,0.0275,0.027,32950.0,1200000,2014-08-28 14:00:00
0.0251,0.0251,0.0251,0.0251,251.0,10000,2014-09-02 16:00:00
0.02534,0.0253,0.02534,0.0253,1266.0,50000,2014-09-09 15:30:00
0.02531,0.02531,0.02531,0.02531,253.1,10000,2014-09-10 10:10:00
0.02555,0.02555,0.02555,0.02555,255.5,10000,2014-09-11 10:40:00
0.02895,0.03,0.03001,0.02895,89648.5,3010000,2014-09-11 13:00:00
0.0275,0.0275,0.0275,0.0275,550.0,20000,2014-09-11 15:20:00
0.02749,0.0275,0.0275,0.02749,10174.9,370000,2014-09-11 16:30:00
0.02634,0.02633,0.02634,0.02633,526.7,20000,2014-09-15 11:10:00
0.02994,0.02998,0.02998,0.02994,8993.0,300000,2014-09-15 16:20:00
0.0276,0.02759,0.0276,0.02759,4138.6,150000,2014-09-19 18:00:00
0.02766,0.02766,0.02766,0.02766,276.6,10000,2014-09-22 12:40:00
0.02999,0.02999,0.03,0.02999,1799.6,60000,2014-09-23 11:10:00
0.02998,0.03,0.03,0.02998,19194.2,640000,2014-09-23 13:00:00
0.02998,0.02999,0.02999,0.02998,1799.0,60000,2014-09-23 13:20:00
0.02999,0.02999,0.02999,0.02999,3298.9,110000,2014-09-23 13:40:00
0.02998,0.03,0.03,0.02998,229779.1,7660000,2014-09-23 16:00:00
0.03011,0.03011,0.03011,0.03011,301.1,10000,2014-09-23 16:40:00
0.03429,0.03496,0.03496,0.03429,2071.4,60000,2014-09-23 18:20:00
0.035,0.03849,0.03849,0.035,4584.9,130000,2014-09-23 18:30:00
0.03501,0.033,0.03501,0.033,2040.3000000000002,60000,2014-09-24 10:00:00
0.03848,0.043,0.043,0.03848,2803.4,70000,2014-09-24 10:50:00
0.035,0.035,0.035,0.035,350.0,10000,2014-09-24 11:20:00
0.035,0.035,0.035,0.035,1050.0,30000,2014-09-24 11:40:00
0.039,0.039,0.039,0.039,390.0,10000,2014-09-24 13:20:00
0.039,0.03011,0.0435,0.03011,141860.7,3800000,2014-09-24 15:20:00
0.03789,0.04999,0.04999,0.03325,128311.5,3050000,2014-09-24 15:30:00
0.03603,0.03995,0.03995,0.035,7089.799999999999,190000,2014-09-24 15:40:00
0.03992,0.03995,0.03995,0.03992,7989.3,200000,2014-09-24 17:10:00
0.03244,0.03225,0.03244,0.03225,2263.6,70000,2014-09-25 11:40:00
0.03884,0.04054,0.04054,0.03884,2369.5,60000,2014-09-25 18:20:00
0.03994,0.03995,0.03995,0.03994,11585.4,290000,2014-09-26 10:50:00
0.045,0.046,0.046,0.045,910.0,20000,2014-09-26 12:40:00
0.04799,0.04799,0.04799,0.04799,479.9,10000,2014-09-26 13:00:00
0.04,0.04496,0.04496,0.0361,7826.700000000001,210000,2014-09-29 10:10:00
0.0479,0.0479,0.0479,0.0479,479.0,10000,2014-09-29 10:30:00
0.0479,0.0479,0.0479,0.0479,479.0,10000,2014-09-29 12:10:00
0.0376,0.0376,0.0376,0.0376,376.0,10000,2014-10-01 10:30:00
0.0389,0.0389,0.0389,0.0389,389.0,10000,2014-10-01 11:10:00
0.0388,0.0388,0.0388,0.0388,388.0,10000,2014-10-01 11:20:00
0.041,0.041,0.041,0.041,410.0,10000,2014-10-01 12:30:00
0.0409,0.041,0.041,0.0409,2049.0,50000,2014-10-01 14:20:00
0.0459,0.0459,0.0459,0.0459,2754.0,60000,2014-10-01 16:00:00
0.0379,0.0379,0.0379,0.0379,379.0,10000,2014-10-03 12:10:00
0.0438,0.0438,0.0438,0.0438,438.0,10000,2014-10-03 13:10:00
0.0385,0.0385,0.0385,0.0385,3850.0,100000,2014-10-03 13:30:00
0.0385,0.0385,0.0385,0.0385,385.0,10000,2014-10-03 14:20:00
0.0391,0.0391,0.0391,0.0391,391.0,10000,2014-10-03 15:50:00
0.0384,0.0379,0.0384,0.0379,2662.0,70000,2014-10-03 16:40:00
0.0379,0.0379,0.0379,0.0379,1137.0,30000,2014-10-03 17:00:00
0.0405,0.0405,0.0405,0.0405,405.0,10000,2014-10-03 18:30:00
0.0438,0.0438,0.0438,0.0438,438.0,10000,2014-10-08 13:30:00
0.0419,0.0435,0.0435,0.0419,854.0,20000,2014-10-09 10:10:00
0.0435,0.0435,0.0435,0.0435,870.0,20000,2014-10-09 10:20:00
0.046,0.046,0.046,0.046,460.0,10000,2014-10-09 10:30:00
0.0467,0.0467,0.0467,0.0467,467.0,10000,2014-10-10 10:10:00
0.047,0.0479,0.0479,0.047,1427.0,30000,2014-10-14 12:00:00
0.044,0.0438,0.044,0.0438,3068.0,70000,2014-10-14 13:20:00
0.045,0.0477,0.0477,0.045,1404.0,30000,2014-10-14 13:30:00
