Open,Close,High,Low,Value,Volume,Date
773.0,770.0,773.0,770.0,462600.0,600,2018-01-03 10:00:00
767.0,767.0,767.0,767.0,176410.0,230,2018-01-03 10:10:00
781.5,781.5,781.5,781.5,7815.0,10,2018-01-03 10:50:00
771.0,773.5,773.5,771.0,61780.0,80,2018-01-03 11:00:00
779.0,778.5,779.0,767.0,592220.0,770,2018-01-03 11:10:00
778.5,779.0,779.0,778.5,46735.0,60,2018-01-03 11:20:00
778.0,775.0,778.0,775.0,131960.0,170,2018-01-03 11:30:00
778.0,778.0,779.0,775.0,1003565.0,1290,2018-01-03 11:40:00
777.5,774.5,777.5,770.0,3452610.0,4450,2018-01-03 11:50:00
770.0,770.0,776.5,762.0,6343350.0,8270,2018-01-03 12:00:00
771.0,771.0,771.0,769.5,3211810.0,4170,2018-01-03 12:10:00
769.0,769.0,769.0,769.0,7690.0,10,2018-01-03 12:20:00
769.0,764.0,769.0,764.0,145460.0,190,2018-01-03 12:30:00
772.0,772.0,772.0,772.0,38600.0,50,2018-01-03 13:00:00
772.0,772.0,772.0,772.0,77200.0,100,2018-01-03 13:40:00
772.5,773.0,773.0,772.5,92720.0,120,2018-01-03 14:30:00
778.0,778.0,778.0,778.0,77800.0,100,2018-01-03 15:40:00
780.0,780.0,780.0,780.0,327600.0,420,2018-01-03 16:00:00
780.0,780.0,780.0,780.0,78000.0,100,2018-01-03 17:00:00
780.0,780.0,780.0,780.0,234000.0,300,2018-01-03 18:30:00
785.0,785.0,785.0,785.0,8635000.0,11000,2018-01-04 09:50:00
770.0,787.5,790.0,770.0,303650.0,390,2018-01-04 10:10:00
775.0,775.0,775.0,775.0,7750.0,10,2018-01-04 12:10:00
775.0,775.0,775.0,775.0,7750.0,10,2018-01-04 12:20:00
789.0,789.0,789.0,789.0,15780.0,20,2018-01-04 13:00:00
785.0,787.0,787.0,781.0,3654690.0,4660,2018-01-04 14:20:00
783.5,782.0,789.0,776.0,12348325.0,15760,2018-01-04 14:30:00
789.0,789.0,789.0,789.0,15780.0,20,2018-01-04 16:10:00
800.0,800.0,820.0,800.0,32395.0,40,2018-01-05 10:00:00
776.5,778.0,778.0,776.5,38840.0,50,2018-01-05 11:10:00
776.0,776.0,776.0,776.0,194000.0,250,2018-01-05 11:20:00
776.0,776.0,776.0,776.0,279360.0,360,2018-01-05 11:30:00
780.0,778.0,780.0,778.0,576120.0,740,2018-01-05 12:00:00
781.0,789.0,813.5,781.0,9557875.0,12120,2018-01-05 12:10:00
790.0,791.0,791.0,787.0,2178815.0,2760,2018-01-05 12:20:00
789.0,790.0,790.0,788.5,836485.0,1060,2018-01-05 12:30:00
790.0,790.0,790.0,790.0,126400.0,160,2018-01-05 12:40:00
788.0,785.5,788.0,785.5,23590.0,30,2018-01-05 12:50:00
787.0,785.0,787.0,785.0,31420.0,40,2018-01-05 13:00:00
788.0,788.0,788.0,788.0,7880.0,10,2018-01-05 13:10:00
791.5,791.5,791.5,791.5,7915.0,10,2018-01-05 14:10:00
785.0,785.0,785.0,785.0,15700.0,20,2018-01-05 14:30:00
791.0,791.5,792.0,790.5,1937985.0,2450,2018-01-05 15:50:00
791.5,795.0,795.0,790.5,4922760.0,6200,2018-01-05 16:00:00
795.0,795.0,795.0,795.0,874500.0,1100,2018-01-05 16:10:00
794.0,794.0,794.0,794.0,206440.0,260,2018-01-05 16:30:00
794.0,794.0,794.0,794.0,31760.0,40,2018-01-05 17:00:00
790.0,790.0,790.0,790.0,197500.0,250,2018-01-05 17:10:00
795.0,790.0,795.0,786.5,236220.0,300,2018-01-05 17:30:00
787.0,787.0,787.0,787.0,157400.0,200,2018-01-05 18:30:00
776.5,776.5,776.5,776.5,908505.0,1170,2018-01-05 18:40:00
762.0,783.5,783.5,762.0,462685.0,600,2018-01-09 10:00:00
770.0,770.0,770.0,770.0,15400.0,20,2018-01-09 11:40:00
774.0,774.0,774.0,774.0,7740.0,10,2018-01-09 11:50:00
773.0,773.0,774.5,773.0,1887700.0,2440,2018-01-09 12:40:00
774.0,775.0,775.0,773.5,96982865.0,125300,2018-01-09 12:50:00
774.0,773.5,774.0,771.5,4701935.0,6080,2018-01-09 13:30:00
772.0,774.0,774.0,772.0,12520670.0,16190,2018-01-09 13:40:00
773.5,773.5,773.5,773.5,348075.0,450,2018-01-09 13:50:00
773.5,773.5,773.5,773.5,7735.0,10,2018-01-09 14:20:00
773.5,773.5,773.5,773.5,146965.0,190,2018-01-09 14:30:00
772.0,772.0,772.0,772.0,7720.0,10,2018-01-09 15:10:00
770.0,774.0,774.0,770.0,23140.0,30,2018-01-09 15:40:00
773.0,773.0,773.0,773.0,7730.0,10,2018-01-09 17:40:00
770.0,770.0,770.0,770.0,15400.0,20,2018-01-09 18:20:00
773.0,773.0,774.0,765.5,14804335.0,19160,2018-01-10 11:50:00
773.5,774.0,774.0,771.0,15205865.0,19660,2018-01-10 12:00:00
773.0,773.5,774.0,772.5,5351180.0,6920,2018-01-10 12:10:00
773.0,772.5,773.0,772.5,270475.0,350,2018-01-10 14:10:00
771.0,771.0,771.0,771.0,15420.0,20,2018-01-10 15:20:00
771.0,771.0,771.0,771.0,77100.0,100,2018-01-10 16:00:00
774.0,774.0,774.0,774.0,46440.0,60,2018-01-10 16:30:00
774.0,774.0,774.0,774.0,30960.0,40,2018-01-10 16:40:00
770.0,770.0,770.0,770.0,15400.0,20,2018-01-10 16:50:00
774.0,774.0,774.0,774.0,54180.0,70,2018-01-10 17:00:00
774.0,765.5,774.5,765.5,16076720.0,20760,2018-01-10 18:20:00
780.0,780.0,780.0,780.0,6240000.0,8000,2018-01-10 18:40:00
765.0,783.5,783.5,765.0,15485.0,20,2018-01-11 10:10:00
781.0,781.0,781.0,781.0,23430.0,30,2018-01-11 10:20:00
780.5,780.5,780.5,780.5,23415.0,30,2018-01-11 10:30:00
772.0,772.0,772.0,772.0,15440.0,20,2018-01-11 11:20:00
771.0,780.0,780.5,771.0,6615630.0,8490,2018-01-11 11:30:00
780.0,780.0,780.5,779.0,8991565.0,11530,2018-01-11 11:40:00
775.0,775.0,775.0,775.0,7750.0,10,2018-01-11 14:10:00
778.0,780.0,780.0,778.0,1659645.0,2130,2018-01-11 15:30:00
779.5,779.0,780.5,778.5,9643395.0,12370,2018-01-11 15:40:00
779.5,776.5,779.5,776.5,7912915.0,10170,2018-01-11 16:40:00
776.5,776.5,776.5,776.0,287195.0,370,2018-01-11 16:50:00
770.5,770.5,770.5,770.5,7705.0,10,2018-01-11 18:20:00
782.5,782.5,782.5,782.5,93900.0,120,2018-01-12 10:10:00
779.0,777.5,779.0,777.5,2217810.0,2850,2018-01-12 11:50:00
778.0,776.5,779.5,776.0,9858415.0,12680,2018-01-12 12:00:00
778.0,778.5,778.5,778.0,85605.0,110,2018-01-12 12:10:00
771.0,770.0,771.0,770.0,315715.0,410,2018-01-12 12:30:00
777.0,779.0,779.5,777.0,8320430.0,10690,2018-01-12 14:00:00
779.0,779.5,779.5,778.0,14227980.0,18270,2018-01-12 14:10:00
779.0,779.0,779.0,779.0,171380.0,220,2018-01-12 14:20:00
778.5,778.5,778.5,778.5,7785.0,10,2018-01-12 15:20:00
778.5,778.5,778.5,778.5,186840.0,240,2018-01-12 16:10:00
779.0,779.0,779.0,779.0,825740.0,1060,2018-01-12 17:30:00
755.0,784.5,784.5,746.0,30700.0,40,2018-01-15 10:10:00
779.5,779.5,779.5,779.5,7795.0,10,2018-01-15 14:10:00
779.5,779.5,779.5,779.0,1005335.0,1290,2018-01-15 14:20:00
779.5,778.5,779.5,778.5,817740.0,1050,2018-01-15 14:40:00
778.0,779.0,779.5,773.0,15054730.0,19330,2018-01-15 14:50:00
779.0,779.5,779.5,778.5,8677565.0,11140,2018-01-15 15:00:00
779.0,778.5,779.5,778.5,9899330.0,12710,2018-01-15 15:10:00
779.5,779.5,779.5,779.5,101335.0,130,2018-01-15 17:40:00
779.5,779.5,779.5,779.5,15590.0,20,2018-01-15 18:30:00
780.0,780.0,780.0,780.0,93600.0,120,2018-01-16 11:50:00
773.0,772.0,773.0,772.0,169865.0,220,2018-01-16 12:00:00
778.0,777.0,778.5,777.0,5008185.0,6440,2018-01-16 13:30:00
778.0,778.5,778.5,776.5,15492925.0,19920,2018-01-16 13:40:00
777.5,778.5,778.5,777.5,7156520.0,9200,2018-01-16 13:50:00
778.5,778.0,778.5,777.0,7661370.0,9850,2018-01-16 14:00:00
778.0,778.0,778.0,778.0,46680.0,60,2018-01-16 15:00:00
779.0,779.0,779.0,779.0,280440.0,360,2018-01-16 15:40:00
778.0,778.0,778.0,778.0,7780.0,10,2018-01-16 18:10:00
752.0,759.0,760.5,649.5,395785.0,590,2018-01-17 10:10:00
759.0,759.0,759.0,759.0,91080.0,120,2018-01-17 10:20:00
759.5,785.5,785.5,759.5,457635.0,600,2018-01-17 10:30:00
785.5,785.5,785.5,785.5,7855.0,10,2018-01-17 10:40:00
772.5,771.0,772.5,771.0,1110505.0,1440,2018-01-17 11:10:00
769.0,769.0,769.0,769.0,7690.0,10,2018-01-17 11:20:00
767.0,759.5,767.0,755.0,6497870.0,8560,2018-01-17 12:00:00
758.0,760.0,760.0,755.0,7326325.0,9650,2018-01-17 12:10:00
758.0,754.5,758.0,754.0,8467165.0,11220,2018-01-17 12:20:00
754.5,755.0,755.0,754.5,188740.0,250,2018-01-17 12:50:00
755.0,755.0,755.0,755.0,475650.0,630,2018-01-17 13:00:00
754.5,754.5,755.0,754.0,5394655.0,7150,2018-01-17 15:30:00
754.0,754.0,755.0,754.0,4911830.0,6510,2018-01-17 15:40:00
754.5,754.5,754.5,754.5,15090.0,20,2018-01-17 15:50:00
754.5,754.0,754.5,754.0,15085.0,20,2018-01-17 16:20:00
754.5,754.5,754.5,754.5,7545.0,10,2018-01-17 16:40:00
754.5,754.5,754.5,754.5,7545.0,10,2018-01-17 16:50:00
754.0,754.0,754.0,754.0,7540.0,10,2018-01-17 17:00:00
755.0,755.0,755.0,755.0,7550.0,10,2018-01-17 18:00:00
755.0,755.0,755.0,755.0,7550.0,10,2018-01-17 18:10:00
761.5,761.5,761.5,761.5,15230.0,20,2018-01-17 18:40:00
763.5,765.0,765.0,751.0,10749775.0,14080,2018-01-18 11:20:00
765.0,765.0,765.0,763.5,14442275.0,18890,2018-01-18 11:30:00
764.5,764.5,765.0,764.0,10015330.0,13100,2018-01-18 11:40:00
764.5,765.0,765.0,764.5,382305.0,500,2018-01-18 12:00:00
765.0,765.0,765.0,765.0,7650.0,10,2018-01-18 12:20:00
765.0,765.0,765.0,765.0,573750.0,750,2018-01-18 12:30:00
765.0,765.0,765.0,765.0,107100.0,140,2018-01-18 12:40:00
765.0,765.0,765.0,765.0,122400.0,160,2018-01-18 12:50:00
765.0,764.5,765.0,764.5,99445.0,130,2018-01-18 13:00:00
765.0,765.0,765.0,765.0,428400.0,560,2018-01-18 13:30:00
765.0,765.0,765.0,765.0,107100.0,140,2018-01-18 13:40:00
765.0,765.0,765.0,765.0,122400.0,160,2018-01-18 13:50:00
765.0,765.0,765.0,765.0,99450.0,130,2018-01-18 14:00:00
765.0,765.0,765.0,765.0,130050.0,170,2018-01-18 14:10:00
765.0,764.5,765.0,764.5,107095.0,140,2018-01-18 14:20:00
765.0,765.0,765.0,765.0,298350.0,390,2018-01-18 14:40:00
765.0,765.0,765.0,765.0,221850.0,290,2018-01-18 15:00:00
764.5,764.5,764.5,764.5,7645.0,10,2018-01-18 15:10:00
765.0,765.0,765.0,765.0,573750.0,750,2018-01-18 15:50:00
765.0,765.0,765.0,765.0,298350.0,390,2018-01-18 16:00:00
765.0,765.0,765.0,765.0,122400.0,160,2018-01-18 16:10:00
764.5,764.5,764.5,764.5,7645.0,10,2018-01-18 16:20:00
765.0,765.0,765.0,765.0,481950.0,630,2018-01-18 16:40:00
765.0,765.0,765.0,765.0,229500.0,300,2018-01-18 16:50:00
765.0,765.0,765.0,765.0,191250.0,250,2018-01-18 17:00:00
765.0,765.0,765.0,765.0,214200.0,280,2018-01-18 17:10:00
765.0,764.5,765.0,764.5,15295.0,20,2018-01-18 17:20:00
765.0,765.0,765.0,765.0,153000.0,200,2018-01-18 18:10:00
765.0,765.0,765.0,765.0,566100.0,740,2018-01-18 18:20:00
767.0,767.0,767.0,767.0,191750.0,250,2018-01-19 11:10:00
767.5,770.0,773.0,767.5,269435.0,350,2018-01-19 11:20:00
770.0,769.5,770.0,769.0,7940090.0,10320,2018-01-19 11:30:00
770.0,769.5,770.0,768.0,10257130.0,13330,2018-01-19 11:40:00
769.0,769.0,769.5,768.0,12514995.0,16270,2018-01-19 11:50:00
769.5,768.5,769.5,767.5,3860070.0,5020,2018-01-19 12:00:00
767.5,767.0,767.5,767.0,15345.0,20,2018-01-19 13:20:00
769.0,769.0,769.5,768.5,4082980.0,5310,2018-01-22 14:30:00
769.0,769.0,769.5,768.5,7274125.0,9460,2018-01-22 14:50:00
769.0,768.0,769.0,766.0,3926370.0,5110,2018-01-22 15:00:00
760.5,769.0,770.0,755.0,12039095.0,15660,2018-01-22 16:40:00
769.5,769.5,769.5,768.0,7783835.0,10120,2018-01-22 16:50:00
