Open,Close,High,Low,Value,Volume,Date
8.1,8.011,8.1,7.905,120390572.19999996,14979200,2021-04-28 10:00:00
8.011,8.027,8.035,8.0,31172916.1,3885000,2021-04-28 10:10:00
8.027,8.022,8.035,8.01,22544479.900000002,2809800,2021-04-28 10:20:00
8.021,7.978,8.034,7.961,48620278.49999999,6072000,2021-04-28 10:30:00
7.976,8.006,8.01,7.97,115509000.49999999,14440600,2021-04-28 10:40:00
8.005,7.974,8.01,7.973,21698867.3,2715100,2021-04-28 10:50:00
7.973,8.0,8.0,7.972,22007871.400000002,2753600,2021-04-28 11:00:00
8.0,8.007,8.009,7.999,31007022.400000006,3873600,2021-04-28 11:10:00
8.007,7.996,8.007,7.994,18208212.3,2276500,2021-04-28 11:20:00
7.996,7.999,8.0,7.995,20880765.299999997,2611200,2021-04-28 11:30:00
7.997,7.999,8.0,7.995,13266202.000000002,1658900,2021-04-28 11:40:00
7.999,7.938,8.0,7.938,67421276.59999996,8447300,2021-04-28 11:50:00
7.938,7.862,7.938,7.801,64711730.4,8218900,2021-04-28 12:00:00
7.862,7.955,7.976,7.862,20772061.799999997,2617800,2021-04-28 12:10:00
7.955,7.938,7.962,7.932,31170971.000000007,3916700,2021-04-28 12:20:00
7.933,7.922,7.95,7.92,7239601.000000002,913600,2021-04-28 12:30:00
7.922,7.922,7.929,7.91,8990811.200000001,1135200,2021-04-28 12:40:00
7.922,7.926,7.929,7.862,17551451.5,2220500,2021-04-28 12:50:00
7.926,7.943,7.95,7.921,15310011.500000002,1929400,2021-04-28 13:00:00
7.943,7.943,7.954,7.942,11892071.800000003,1496400,2021-04-28 13:10:00
7.943,7.922,7.96,7.921,23140404.69999999,2914100,2021-04-28 13:20:00
7.922,7.927,7.95,7.91,39827229.599999994,5028300,2021-04-28 13:30:00
7.927,7.884,7.927,7.88,22044029.399999987,2785000,2021-04-28 13:40:00
7.883,7.862,7.883,7.85,20613899.000000007,2622800,2021-04-28 13:50:00
7.862,7.898,7.919,7.861,19279796.300000016,2442700,2021-04-28 14:00:00
7.898,7.917,7.92,7.85,26017870.1,3294200,2021-04-28 14:10:00
7.917,7.927,7.93,7.917,15531468.899999997,1959900,2021-04-28 14:20:00
7.927,7.93,7.943,7.92,17934553.5,2262500,2021-04-28 14:30:00
7.93,7.92,7.93,7.9,19543387.6,2467900,2021-04-28 14:40:00
7.921,7.926,7.928,7.92,10410531.700000001,1314100,2021-04-28 14:50:00
7.927,7.922,7.928,7.921,9242152.400000004,1166100,2021-04-28 15:00:00
7.922,7.923,7.924,7.921,8841925.600000005,1116100,2021-04-28 15:10:00
7.923,7.941,7.952,7.922,23312740.30000001,2937100,2021-04-28 15:20:00
7.941,7.932,7.95,7.92,19092909.599999998,2407100,2021-04-28 15:30:00
7.933,7.931,7.941,7.921,13945113.899999999,1759200,2021-04-28 15:40:00
7.931,7.929,7.937,7.925,12201456.700000003,1538700,2021-04-28 15:50:00
7.929,7.96,7.96,7.928,26113063.800000004,3285500,2021-04-28 16:00:00
7.96,7.921,7.964,7.92,37913006.89999999,4775100,2021-04-28 16:10:00
7.921,7.92,7.938,7.92,20420311.299999982,2577600,2021-04-28 16:20:00
7.921,7.931,7.935,7.92,19514405.000000004,2462500,2021-04-28 16:30:00
7.931,7.921,7.94,7.92,19162929.499999996,2416100,2021-04-28 16:40:00
7.921,7.926,7.932,7.92,28676993.199999973,3619000,2021-04-28 16:50:00
7.926,7.927,7.96,7.925,19321296.4,2434900,2021-04-28 17:00:00
7.927,7.964,7.98,7.926,30028065.100000005,3770200,2021-04-28 17:10:00
7.965,7.947,7.98,7.935,32136337.100000013,4039400,2021-04-28 17:20:00
7.947,7.95,7.96,7.946,23722397.699999996,2983800,2021-04-28 17:30:00
7.95,7.969,7.97,7.942,30727975.899999987,3861500,2021-04-28 17:40:00
7.97,7.964,7.98,7.942,44510864.300000004,5585100,2021-04-28 17:50:00
7.965,7.95,7.98,7.942,36573343.3,4594500,2021-04-28 18:00:00
7.95,7.953,7.953,7.941,44745320.0,5628000,2021-04-28 18:10:00
7.953,7.958,7.964,7.95,26787979.19999999,3366800,2021-04-28 18:20:00
7.958,7.962,7.965,7.948,31251610.500000004,3927400,2021-04-28 18:30:00
7.968,7.968,7.968,7.968,24586857.599999998,3085700,2021-04-28 18:40:00
8.0,8.0,8.0,8.0,262400.0,32800,2021-04-29 09:50:00
8.0,7.986,8.0,7.959,20094874.4,2517800,2021-04-29 10:00:00
7.986,7.954,7.988,7.935,16844027.500000004,2117500,2021-04-29 10:10:00
7.953,7.953,7.958,7.94,4896587.299999999,615800,2021-04-29 10:20:00
7.953,7.957,7.958,7.945,8895254.5,1119000,2021-04-29 10:30:00
7.957,7.965,7.975,7.95,13717921.000000002,1723000,2021-04-29 10:40:00
7.965,7.954,7.968,7.946,6939396.000000001,872600,2021-04-29 10:50:00
7.954,7.953,7.955,7.945,9204471.700000001,1157800,2021-04-29 11:00:00
7.953,7.954,7.954,7.95,7332421.099999999,922100,2021-04-29 11:10:00
7.954,7.951,7.964,7.95,7513777.3999999985,944300,2021-04-29 11:20:00
7.951,7.951,7.951,7.95,5645413.8,710100,2021-04-29 11:30:00
7.95,7.948,7.951,7.945,10494753.900000004,1320300,2021-04-29 11:40:00
7.948,7.945,7.949,7.945,2180323.9,274400,2021-04-29 11:50:00
7.946,7.94,7.949,7.94,6907491.8,869200,2021-04-29 12:00:00
7.942,7.928,7.943,7.921,3703686.7,466900,2021-04-29 12:10:00
7.922,7.946,7.949,7.92,5247002.499999998,661600,2021-04-29 12:20:00
7.945,7.932,7.946,7.932,1046592.1,131800,2021-04-29 12:30:00
7.933,7.929,7.935,7.928,1675587.0999999999,211300,2021-04-29 12:40:00
7.929,7.93,7.931,7.928,1079944.5,136200,2021-04-29 12:50:00
7.928,7.92,7.931,7.92,3612056.9,455800,2021-04-29 13:00:00
7.923,7.923,7.923,7.918,11641524.599999998,1469800,2021-04-29 13:10:00
7.923,7.924,7.924,7.911,4359433.5,550400,2021-04-29 13:20:00
7.921,7.92,7.924,7.92,656617.2000000001,82900,2021-04-29 13:30:00
7.92,7.92,7.922,7.91,6886879.4,869800,2021-04-29 13:40:00
7.921,7.92,7.921,7.917,1938444.3,244800,2021-04-29 13:50:00
7.92,7.939,7.946,7.918,15204440.100000001,1916800,2021-04-29 14:00:00
7.939,7.947,7.95,7.939,9120020.700000001,1147600,2021-04-29 14:10:00
7.947,7.95,7.96,7.946,13594428.099999998,1709800,2021-04-29 14:20:00
7.951,7.95,7.957,7.945,7404296.699999999,931300,2021-04-29 14:30:00
7.95,7.965,7.973,7.947,10441104.800000004,1312000,2021-04-29 14:40:00
7.966,7.962,7.971,7.951,10318518.199999997,1296000,2021-04-29 14:50:00
7.962,7.96,7.963,7.95,10504239.899999999,1320100,2021-04-29 15:00:00
7.959,7.957,7.965,7.952,9426565.799999997,1184500,2021-04-29 15:10:00
7.958,7.94,7.958,7.932,17652390.9,2221700,2021-04-29 15:20:00
7.94,7.94,7.946,7.921,10445036.8,1315700,2021-04-29 15:30:00
7.94,7.945,7.946,7.94,9640297.100000001,1213800,2021-04-29 15:40:00
7.946,7.941,7.95,7.937,9607510.7,1209600,2021-04-29 15:50:00
7.941,7.939,7.942,7.935,9254493.000000002,1165600,2021-04-29 16:00:00
7.94,7.938,7.945,7.934,8721670.5,1098500,2021-04-29 16:10:00
7.939,7.918,7.94,7.913,28411841.8,3585400,2021-04-29 16:20:00
7.919,7.908,7.933,7.902,36404508.599999994,4601600,2021-04-29 16:30:00
7.908,7.894,7.929,7.894,63181336.400000006,7989000,2021-04-29 16:40:00
7.895,7.897,7.905,7.895,17598299.400000002,2227800,2021-04-29 16:50:00
7.897,7.898,7.92,7.88,34754652.4,4394800,2021-04-29 17:00:00
7.898,7.901,7.919,7.897,33627950.50000001,4250500,2021-04-29 17:10:00
7.901,7.9,7.91,7.889,25031808.500000004,3168500,2021-04-29 17:20:00
7.9,7.937,7.949,7.9,26236978.999999996,3309900,2021-04-29 17:30:00
7.936,7.93,7.937,7.922,13837692.8,1744800,2021-04-29 17:40:00
7.93,7.926,7.934,7.92,18302885.500000007,2310100,2021-04-29 17:50:00
7.925,7.924,7.929,7.92,11312486.1,1427900,2021-04-29 18:00:00
7.922,7.925,7.929,7.92,14148656.2,1786100,2021-04-29 18:10:00
7.924,7.954,7.955,7.922,10304088.399999999,1297700,2021-04-29 18:20:00
7.951,7.922,7.957,7.922,10488295.7,1320100,2021-04-29 18:30:00
7.9,7.9,7.9,7.9,2264140.0,286600,2021-04-29 18:40:00
7.901,7.901,7.901,7.901,23702.999999999996,3000,2021-04-30 09:50:00
7.944,7.931,7.965,7.92,1774636.9,223500,2021-04-30 10:00:00
7.932,7.9,7.932,7.873,10580222.200000001,1338200,2021-04-30 10:10:00
7.9,7.889,7.9,7.85,3735038.9,474100,2021-04-30 10:20:00
7.889,7.899,7.9,7.85,7938118.199999999,1008600,2021-04-30 10:30:00
7.9,7.898,7.9,7.869,7020419.699999995,889900,2021-04-30 10:40:00
7.898,7.899,7.901,7.89,8125226.9,1028900,2021-04-30 10:50:00
7.899,7.909,7.91,7.894,4906925.5,621100,2021-04-30 11:00:00
7.909,7.909,7.92,7.888,7014326.300000003,887300,2021-04-30 11:10:00
7.909,7.907,7.919,7.88,8966453.699999997,1134200,2021-04-30 11:20:00
7.907,7.896,7.907,7.884,6357860.899999999,805200,2021-04-30 11:30:00
7.895,7.892,7.905,7.882,5471116.300000001,692800,2021-04-30 11:40:00
7.892,7.894,7.9,7.884,6862182.399999999,869500,2021-04-30 11:50:00
7.894,7.874,7.897,7.867,7885417.5,1000800,2021-04-30 12:00:00
7.874,7.859,7.874,7.853,9052408.0,1151400,2021-04-30 12:10:00
7.859,7.858,7.876,7.832,16678820.600000007,2124300,2021-04-30 12:20:00
7.858,7.845,7.86,7.837,9222127.899999999,1174500,2021-04-30 12:30:00
7.845,7.85,7.85,7.845,7501127.4,955600,2021-04-30 12:40:00
