Open,Close,High,Low,Value,Volume,Date
990.0,945.0,1053.0,908.0,66098366.39999999,68915,2020-10-29 10:00:00
945.6,954.0,959.0,944.6,23657104.4,24809,2020-10-29 10:10:00
954.0,955.0,956.0,945.0,3974242.8000000007,4168,2020-10-29 10:20:00
954.4,955.0,959.0,944.6,12569831.200000003,13169,2020-10-29 10:30:00
955.0,945.0,963.0,945.0,12281817.6,12854,2020-10-29 10:40:00
945.8,957.0,957.0,945.8,1929652.6,2025,2020-10-29 10:50:00
957.0,951.0,958.0,951.0,51018034.0,53420,2020-10-29 11:00:00
951.0,954.4,958.0,950.2,964915.7999999999,1010,2020-10-29 11:10:00
954.4,956.8,957.0,951.8,391712.4,410,2020-10-29 11:20:00
957.0,956.0,957.8,955.0,904071.8,945,2020-10-29 11:30:00
956.0,954.6,956.8,951.6,4526457.4,4737,2020-10-29 11:40:00
954.6,955.0,955.0,952.8,840348.0,880,2020-10-29 11:50:00
954.8,955.0,955.0,954.6,572001.9999999999,599,2020-10-29 12:00:00
955.0,955.8,955.8,954.0,752524.2,788,2020-10-29 12:10:00
955.8,955.0,955.8,954.0,906294.2,949,2020-10-29 12:20:00
955.0,955.0,956.0,954.0,2161245.0000000005,2263,2020-10-29 12:30:00
955.0,955.0,955.0,954.0,590160.4,618,2020-10-29 12:40:00
955.0,954.8,955.8,952.2,743675.2000000001,779,2020-10-29 12:50:00
954.8,955.0,955.0,952.0,540852.2000000001,567,2020-10-29 13:00:00
954.8,954.0,955.8,953.4,624701.0,654,2020-10-29 13:10:00
954.0,953.2,955.0,953.0,443706.8,465,2020-10-29 13:20:00
953.2,954.0,954.0,952.6,331827.8,348,2020-10-29 13:30:00
953.8,954.0,954.8,952.8,491140.4000000001,515,2020-10-29 13:40:00
954.0,955.0,955.0,953.4,371363.8,389,2020-10-29 13:50:00
955.0,954.4,955.0,954.0,104034.2,109,2020-10-29 14:00:00
954.8,954.2,955.0,954.0,214814.2,225,2020-10-29 14:10:00
954.8,954.8,955.0,954.0,264425.39999999997,277,2020-10-29 14:20:00
955.0,955.0,955.0,954.8,254008.59999999998,266,2020-10-29 14:30:00
954.8,955.0,955.0,954.8,358085.0,375,2020-10-29 14:40:00
955.0,954.2,955.0,954.0,147985.8,155,2020-10-29 14:50:00
954.8,954.2,955.0,954.0,446603.6,468,2020-10-29 15:00:00
954.8,953.6,954.8,953.0,330042.2,346,2020-10-29 15:10:00
954.0,954.6,954.6,953.2,184141.99999999997,193,2020-10-29 15:20:00
953.4,954.6,955.0,952.2,1188956.4000000001,1248,2020-10-29 15:30:00
952.8,953.0,954.0,952.4,302016.00000000006,317,2020-10-29 15:40:00
953.6,953.6,954.0,953.0,132575.80000000002,139,2020-10-29 15:50:00
953.0,953.2,953.6,953.0,172534.59999999998,181,2020-10-29 16:00:00
953.4,953.2,953.6,953.2,153482.4,161,2020-10-29 16:10:00
953.6,953.6,953.6,953.2,437678.39999999997,459,2020-10-29 16:20:00
953.6,953.6,953.6,953.0,187813.4,197,2020-10-29 16:30:00
953.8,953.8,953.8,952.4,206843.00000000003,217,2020-10-29 16:40:00
