Open,Close,High,Low,Value,Volume,Date
210.0,210.0,210.0,200.2,1791122.8,8560,2023-09-25 10:00:00
210.0,210.0,210.0,208.0,1141711.0,5440,2023-09-25 10:10:00
210.0,197.44,210.0,184.56,10908867.200000001,54680,2023-09-25 10:20:00
195.04,167.4,197.44,155.0,14637835.6,85560,2023-09-25 10:30:00
163.32,172.52,177.54,155.56,9328007.8,56070,2023-09-25 10:40:00
175.0,166.7,177.8,166.7,4373746.6,25770,2023-09-25 10:50:00
168.44,160.0,168.44,156.0,8358531.000000001,51100,2023-09-25 11:00:00
160.0,160.0,160.0,160.0,19518400.0,121990,2023-09-26 09:50:00
160.0,149.24,160.0,143.3,231964547.79999995,1547220,2023-09-26 10:00:00
149.24,145.96,150.0,144.2,85696856.0,583010,2023-09-26 10:10:00
145.94,144.6,148.7,143.24,59655624.20000002,408720,2023-09-26 10:20:00
144.72,144.54,145.98,141.4,83008722.59999998,578290,2023-09-26 10:30:00
144.5,144.8,146.5,143.72,66016382.400000006,454900,2023-09-26 10:40:00
145.3,142.3,145.6,141.52,50566593.800000004,352480,2023-09-26 10:50:00
142.3,142.76,144.32,141.0,44544767.99999999,313110,2023-09-26 11:00:00
142.78,140.02,143.78,140.0,48685193.0,344200,2023-09-26 11:10:00
140.1,137.9,140.8,137.5,51910642.800000004,373310,2023-09-26 11:20:00
137.84,136.9,138.8,135.36,35457003.800000004,258730,2023-09-26 11:30:00
136.88,137.96,138.46,135.5,35583157.00000001,259130,2023-09-26 11:40:00
138.14,136.64,138.4,135.0,36503763.8,267560,2023-09-26 11:50:00
136.64,138.06,138.12,135.32,31231102.8,227590,2023-09-26 12:00:00
138.0,139.2,139.26,136.5,30091212.19999999,218100,2023-09-26 12:10:00
139.22,142.32,143.6,138.68,47819479.2,338710,2023-09-26 12:20:00
142.3,141.36,142.7,138.48,31198852.8,221410,2023-09-26 12:30:00
141.36,142.78,142.9,140.64,13656757.799999999,96100,2023-09-26 12:40:00
142.62,142.0,143.5,141.08,19245004.8,134920,2023-09-26 12:50:00
142.18,143.4,143.9,141.5,8678508.999999998,60770,2023-09-26 13:00:00
143.38,143.4,143.8,141.68,14886288.2,104050,2023-09-26 13:10:00
143.48,142.52,143.58,142.06,5778665.4,40420,2023-09-26 13:20:00
142.52,141.4,143.2,140.44,21277689.2,150330,2023-09-26 13:30:00
141.36,141.68,142.0,140.5,7148218.200000001,50660,2023-09-26 13:40:00
141.68,141.18,141.72,140.8,4983843.2,35270,2023-09-26 13:50:00
141.08,142.98,143.0,140.9,10567436.600000001,74250,2023-09-26 14:00:00
142.9,143.02,143.34,142.9,7098220.799999999,49590,2023-09-26 14:10:00
143.3,144.12,144.4,142.72,10926680.799999999,76030,2023-09-26 14:20:00
144.36,146.72,146.84,144.06,41071650.599999994,282020,2023-09-26 14:30:00
146.74,148.28,148.3,146.12,27216237.6,184770,2023-09-26 14:40:00
148.28,145.6,148.38,145.5,25399015.000000004,172560,2023-09-26 14:50:00
145.68,146.24,147.0,145.68,9571758.2,65360,2023-09-26 15:00:00
146.24,147.9,148.22,146.12,15451886.400000002,104810,2023-09-26 15:10:00
147.88,147.48,147.9,146.26,6901407.400000001,46850,2023-09-26 15:20:00
147.36,146.78,147.5,146.78,6287064.200000001,42730,2023-09-26 15:30:00
146.8,147.1,147.32,146.08,5249339.600000001,35820,2023-09-26 15:40:00
146.92,148.88,148.9,146.88,12027932.0,81310,2023-09-26 15:50:00
148.88,152.4,154.38,148.64,82095511.79999998,541020,2023-09-26 16:00:00
152.12,151.48,152.5,150.04,31413526.799999993,207920,2023-09-26 16:10:00
151.46,151.28,152.2,150.56,20655432.4,136430,2023-09-26 16:20:00
151.16,152.66,153.04,150.68,15357177.8,101030,2023-09-26 16:30:00
152.66,153.6,153.9,151.86,22244062.8,145420,2023-09-26 16:40:00
153.6,152.32,153.9,152.3,19948207.200000003,130310,2023-09-26 16:50:00
152.48,150.34,152.76,150.18,16656854.400000002,110030,2023-09-26 17:00:00
150.34,152.02,152.5,150.34,8279715.8,54620,2023-09-26 17:10:00
151.78,152.5,152.5,151.5,6647680.000000001,43660,2023-09-26 17:20:00
152.5,152.28,152.7,151.1,6680972.0,43930,2023-09-26 17:30:00
152.26,151.86,152.66,151.16,6186414.0,40740,2023-09-26 17:40:00
151.86,151.46,152.16,151.1,6303491.999999999,41610,2023-09-26 17:50:00
151.6,151.2,151.72,151.0,4353229.600000001,28770,2023-09-26 18:00:00
151.22,148.82,151.46,148.6,18041626.2,120450,2023-09-26 18:10:00
148.8,148.46,149.4,148.16,9078465.4,60990,2023-09-26 18:20:00
148.46,147.4,149.2,147.2,13648397.2,92240,2023-09-26 18:30:00
148.6,148.6,148.6,148.6,1704442.0,11470,2023-09-26 18:40:00
145.1,145.1,145.1,145.1,6057925.0,41750,2023-09-27 09:50:00
147.88,152.04,154.0,146.14,69493180.4,459180,2023-09-27 10:00:00
152.22,149.9,152.62,149.44,57361669.60000002,381540,2023-09-27 10:10:00
150.0,148.44,150.0,145.0,38450849.99999999,259570,2023-09-27 10:20:00
148.42,149.78,149.94,148.3,13367463.799999999,89580,2023-09-27 10:30:00
149.82,149.0,150.0,149.0,23291467.2,155520,2023-09-27 10:40:00
149.0,149.18,149.78,149.0,5553234.600000001,37190,2023-09-27 10:50:00
149.16,149.98,150.0,149.02,7744794.200000001,51690,2023-09-27 11:00:00
149.9,149.78,150.0,149.56,2812980.3999999994,18780,2023-09-27 11:10:00
149.72,148.94,149.78,148.28,8965420.8,60160,2023-09-27 11:20:00
149.08,148.7,149.44,148.28,3538400.6000000006,23810,2023-09-27 11:30:00
148.4,149.4,149.58,148.4,2680347.4,17960,2023-09-27 11:40:00
149.4,149.4,149.4,148.6,4033151.5999999996,27020,2023-09-27 11:50:00
149.3,149.08,149.4,148.78,2155858.4,14450,2023-09-27 12:00:00
148.8,148.52,149.06,148.0,5108835.199999999,34410,2023-09-27 12:10:00
148.08,148.38,148.54,148.0,2705285.8000000003,18260,2023-09-27 12:20:00
148.22,148.92,149.2,148.0,3583732.6000000006,24140,2023-09-27 12:30:00
148.94,149.32,149.48,148.5,2794627.1999999997,18750,2023-09-27 12:40:00
149.32,148.46,149.48,148.2,3944744.8,26510,2023-09-27 12:50:00
148.44,149.28,149.28,148.3,2239192.3999999994,15040,2023-09-27 13:00:00
149.28,149.1,149.28,148.82,1084957.2,7280,2023-09-27 13:10:00
149.1,149.18,149.22,148.84,878374.0,5890,2023-09-27 13:20:00
149.16,149.26,149.26,148.9,1631710.0,10940,2023-09-27 13:30:00
149.26,149.3,149.3,148.8,2044191.5999999999,13700,2023-09-27 13:40:00
149.3,149.22,149.3,149.0,1078697.2000000002,7230,2023-09-27 13:50:00
149.2,149.38,149.4,149.0,1668971.5999999999,11190,2023-09-27 14:00:00
149.38,149.82,150.0,149.08,5814065.8,38840,2023-09-27 14:10:00
149.82,149.92,149.96,149.1,3304484.2,22080,2023-09-27 14:20:00
149.92,149.86,150.0,149.56,6584885.000000001,43910,2023-09-27 14:30:00
149.8,149.96,149.98,149.5,1506737.2,10060,2023-09-27 14:40:00
149.76,149.88,150.0,149.56,6490003.999999999,43280,2023-09-27 14:50:00
149.86,149.74,149.88,149.5,1580311.4000000004,10560,2023-09-27 15:00:00
149.74,149.34,149.76,149.14,1266269.6,8470,2023-09-27 15:10:00
149.2,149.02,149.2,149.02,1880001.0,12610,2023-09-27 15:20:00
149.1,149.0,149.16,148.68,2544809.1999999997,17090,2023-09-27 15:30:00
149.02,149.08,149.28,148.64,2335037.4,15680,2023-09-27 15:40:00
149.08,149.12,149.12,148.76,1813912.9999999995,12170,2023-09-27 15:50:00
149.04,149.2,149.5,148.92,2694206.2,18070,2023-09-27 16:00:00
149.1,148.9,149.58,148.8,2299968.8000000003,15420,2023-09-27 16:10:00
149.0,148.14,149.0,147.72,7342139.400000002,49540,2023-09-27 16:20:00
148.28,148.26,148.5,147.84,4462226.4,30130,2023-09-27 16:30:00
148.28,147.6,148.36,147.54,4103344.8000000003,27760,2023-09-27 16:40:00
147.6,147.3,147.9,146.8,13703764.799999995,93000,2023-09-27 16:50:00
147.34,147.08,147.5,146.88,4188704.6,28460,2023-09-27 17:00:00
147.06,146.88,147.2,146.0,9760411.8,66700,2023-09-27 17:10:00
146.88,146.8,147.16,146.5,2156250.1999999997,14680,2023-09-27 17:20:00
147.08,146.9,147.16,145.8,3132575.0,21400,2023-09-27 17:30:00
146.9,146.98,147.0,146.6,1288866.4,8780,2023-09-27 17:40:00
146.98,147.2,147.4,146.98,2655191.1999999997,18040,2023-09-27 17:50:00
147.16,146.98,147.4,146.5,2335692.8000000003,15890,2023-09-27 18:00:00
146.98,146.94,147.26,146.4,1376350.6,9380,2023-09-27 18:10:00
146.92,147.46,147.46,146.72,1693790.0,11510,2023-09-27 18:20:00
147.46,152.0,152.5,147.06,45132382.599999994,301030,2023-09-27 18:30:00
150.04,150.04,150.04,150.04,3662476.400000001,24410,2023-09-27 18:40:00
150.4,150.4,150.4,150.4,2146208.0,14270,2023-09-28 09:50:00
150.46,154.0,155.0,149.16,70190880.99999997,459620,2023-09-28 10:00:00
154.14,157.2,157.76,153.0,89956727.80000001,577430,2023-09-28 10:10:00
156.96,164.8,166.72,156.86,214555526.60000002,1326410,2023-09-28 10:20:00
165.08,172.96,181.48,164.82,348986816.0,2014130,2023-09-28 10:30:00
172.96,177.96,178.92,171.06,187039716.39999998,1069270,2023-09-28 10:40:00
177.96,177.86,180.0,175.3,158828153.39999998,895190,2023-09-28 10:50:00
178.02,175.62,178.36,175.2,77726747.0,439960,2023-09-28 11:00:00
175.66,172.82,176.54,172.6,81652717.6,468580,2023-09-28 11:10:00
172.92,174.5,175.2,172.8,39737400.8,228310,2023-09-28 11:20:00
174.58,170.96,175.66,170.52,51798639.80000001,299630,2023-09-28 11:30:00
170.72,170.8,172.0,170.16,37649409.2,220200,2023-09-28 11:40:00
170.8,172.68,174.8,170.44,64640758.19999999,375730,2023-09-28 11:50:00
172.4,174.2,174.5,170.4,39703006.0,230790,2023-09-28 12:00:00
174.2,173.98,175.32,172.62,38998350.00000001,223660,2023-09-28 12:10:00
173.98,175.0,176.72,173.5,47199850.6,268840,2023-09-28 12:20:00
175.0,174.62,177.0,174.0,34998318.60000001,199170,2023-09-28 12:30:00
174.62,175.36,176.2,173.48,21609944.0,123430,2023-09-28 12:40:00
175.4,182.2,183.9,175.4,153846091.00000003,854760,2023-09-28 12:50:00
182.2,185.74,187.88,181.02,167335476.40000007,904120,2023-09-28 13:00:00
185.42,188.3,188.76,185.08,91657958.00000003,489040,2023-09-28 13:10:00
188.3,193.96,196.0,188.3,179391819.60000005,934840,2023-09-28 13:40:00
193.96,197.22,205.34,192.4,401794452.1999998,2013240,2023-09-28 13:50:00
197.48,195.12,203.0,194.1,201888317.00000006,1015170,2023-09-28 14:00:00
195.38,197.5,200.0,195.2,92649372.20000003,468810,2023-09-28 14:10:00
197.5,200.96,201.56,197.0,102574234.60000004,514770,2023-09-28 14:20:00
