Open,Close,High,Low,Value,Volume,Date
1005.1,985.0,1104.3,880.6,116036937.60000001,125035,2021-11-19 10:00:00
985.0,937.8,990.0,931.4,57741773.50000002,60367,2021-11-19 10:10:00
935.7,914.8,940.0,911.6,14813025.500000004,15987,2021-11-19 10:20:00
914.7,902.4,917.0,897.0,44204264.400000036,48683,2021-11-19 10:30:00
902.5,900.0,907.7,877.7,37083678.199999996,41649,2021-11-19 10:40:00
901.0,922.8,925.8,896.2,47341194.400000006,51989,2021-11-19 10:50:00
923.0,900.7,923.7,890.3,34575579.6,38217,2021-11-19 11:00:00
900.4,895.7,914.0,885.0,25716713.599999998,28789,2021-11-19 11:10:00
896.1,889.8,900.1,888.6,16644076.9,18536,2021-11-19 11:20:00
890.0,891.4,894.6,887.8,12151132.0,13646,2021-11-19 11:30:00
891.2,887.8,893.8,883.0,17913788.8,20131,2021-11-19 11:40:00
887.7,888.5,889.6,883.1,13690708.700000003,15469,2021-11-19 11:50:00
888.0,893.1,893.5,886.8,3790435.0999999996,4255,2021-11-19 12:00:00
891.2,891.9,893.9,887.2,60250404.999999955,67620,2021-11-19 12:10:00
892.4,891.0,894.0,887.7,13814458.2,15507,2021-11-19 12:20:00
891.0,893.8,895.3,890.4,5806621.9,6508,2021-11-19 12:30:00
893.8,904.0,907.8,890.0,20917243.4,23312,2021-11-19 12:40:00
904.8,920.2,920.2,903.4,40593770.5,44513,2021-11-19 12:50:00
920.4,923.1,925.8,911.2,46923983.4,50928,2021-11-19 13:00:00
923.4,922.4,924.2,917.9,45452188.699999996,49367,2021-11-19 13:10:00
922.8,918.1,924.1,918.1,5071360.399999999,5506,2021-11-19 13:20:00
919.7,914.1,920.9,913.9,11918934.999999998,12964,2021-11-19 13:30:00
915.2,911.0,920.0,911.0,40317992.6,44012,2021-11-19 13:40:00
912.7,917.3,921.9,911.0,14303443.700000001,15580,2021-11-19 13:50:00
918.3,914.4,918.3,911.4,1876287.4,2054,2021-11-19 14:00:00
912.7,918.4,921.9,912.3,9187380.6,9995,2021-11-19 14:10:00
919.9,918.8,922.0,917.6,2637595.5999999996,2867,2021-11-19 14:20:00
919.8,920.0,922.0,917.8,4644296.700000001,5049,2021-11-19 14:30:00
920.0,919.1,921.9,918.0,1329364.5999999999,1445,2021-11-19 14:40:00
920.4,921.3,922.0,918.5,1540565.7999999998,1674,2021-11-19 14:50:00
920.0,919.1,920.6,915.0,4519062.199999999,4916,2021-11-19 15:00:00
919.1,913.2,919.7,912.7,3632068.3,3969,2021-11-19 15:10:00
914.0,908.0,914.1,907.5,2434002.8,2669,2021-11-19 15:20:00
910.7,905.3,910.7,900.1,17665655.6,19505,2021-11-19 15:30:00
905.5,899.0,905.5,899.0,7472321.299999999,8284,2021-11-19 15:40:00
899.9,894.6,899.9,893.2,1687571.0,1884,2021-11-19 15:50:00
896.6,892.5,896.7,890.2,7389869.2,8269,2021-11-19 16:00:00
892.4,887.0,892.4,887.0,7190760.9,8089,2021-11-19 16:10:00
887.0,885.1,887.6,885.0,4533980.1,5114,2021-11-19 16:20:00
885.2,886.2,887.0,885.0,2503460.1000000006,2824,2021-11-19 16:30:00
886.8,889.3,900.0,886.0,6700595.900000003,7523,2021-11-19 16:40:00
891.2,891.1,897.0,889.4,6177440.9,6915,2021-11-19 16:50:00
891.1,889.0,893.3,889.0,1215572.4,1365,2021-11-19 17:00:00
889.0,888.0,890.8,887.3,1278085.6,1437,2021-11-19 17:10:00
887.1,886.0,888.5,885.0,857189.5999999999,967,2021-11-19 17:20:00
886.0,880.8,886.0,875.6,13146714.9,14930,2021-11-19 17:30:00
881.1,883.1,884.5,880.1,1230840.3,1394,2021-11-19 17:40:00
883.3,886.3,889.0,883.2,12037801.599999998,13595,2021-11-19 17:50:00
887.3,915.0,917.0,886.3,46318041.699999996,50991,2021-11-19 18:00:00
916.6,915.2,924.6,915.1,9512698.399999999,10354,2021-11-19 18:10:00
915.2,912.9,917.0,911.4,5785361.7,6324,2021-11-19 18:20:00
912.9,915.0,916.8,895.8,8631964.1,9497,2021-11-19 18:30:00
915.0,915.0,915.0,915.0,101565.0,111,2021-11-19 18:40:00
917.7,916.8,921.0,915.0,634639.4,692,2021-11-19 19:00:00
916.8,914.8,916.8,910.4,1557994.6000000003,1706,2021-11-19 19:10:00
914.0,914.3,916.6,910.0,5224094.899999999,5714,2021-11-19 19:20:00
914.3,915.7,917.0,913.4,270710.8,296,2021-11-19 19:30:00
915.7,915.1,917.4,914.8,194307.9,212,2021-11-19 19:40:00
916.5,916.0,916.9,914.6,186821.6,204,2021-11-19 19:50:00
916.0,915.4,918.8,914.0,940938.0,1027,2021-11-19 20:00:00
915.0,916.0,918.7,914.1,1791893.6000000003,1959,2021-11-19 20:10:00
916.0,915.0,920.0,914.2,2087823.7,2273,2021-11-19 20:20:00
916.8,914.3,917.2,914.0,543575.6,594,2021-11-19 20:30:00
915.3,915.0,917.0,913.0,303254.89999999997,331,2021-11-19 20:40:00
917.0,914.1,917.0,913.6,224256.9,245,2021-11-19 20:50:00
917.0,916.6,917.8,914.0,653206.0,714,2021-11-19 21:00:00
916.6,917.3,917.4,914.8,360697.2,394,2021-11-19 21:10:00
917.4,920.0,920.0,915.8,582384.1,634,2021-11-19 21:20:00
920.0,920.0,920.0,919.0,546472.1,594,2021-11-19 21:30:00
920.0,920.0,920.0,919.9,3593517.1,3906,2021-11-19 21:40:00
920.0,924.0,925.0,920.0,1348207.0999999999,1464,2021-11-19 21:50:00
923.9,927.1,927.5,923.1,511399.0,553,2021-11-19 22:00:00
924.4,929.6,930.0,923.7,479204.8,517,2021-11-19 22:10:00
927.5,930.8,933.4,927.5,1118653.3,1201,2021-11-19 22:20:00
930.8,933.5,933.7,930.1,811663.9000000001,870,2021-11-19 22:30:00
939.9,939.4,940.0,939.0,573202.1,610,2021-11-19 22:40:00
936.4,937.6,939.4,936.4,248224.8,265,2021-11-19 22:50:00
937.6,937.5,937.7,933.5,484398.7,518,2021-11-19 23:00:00
937.5,935.6,937.9,935.0,292438.10000000003,312,2021-11-19 23:10:00
933.7,933.7,935.2,933.5,171804.09999999998,184,2021-11-19 23:20:00
933.7,935.0,937.5,933.7,857917.5,917,2021-11-19 23:30:00
935.0,936.4,936.8,934.5,246192.4,263,2021-11-19 23:40:00
938.0,938.0,938.0,938.0,119126.0,127,2021-11-22 09:50:00
937.0,930.3,937.0,925.5,7411732.6,7967,2021-11-22 10:00:00
930.2,920.9,932.6,918.1,2509863.9,2716,2021-11-22 10:10:00
920.9,916.5,920.9,910.0,2678534.4999999995,2932,2021-11-22 10:20:00
916.0,913.2,917.2,912.5,403870.8,442,2021-11-22 10:30:00
913.2,914.7,915.6,913.2,3658286.7,4002,2021-11-22 10:40:00
914.8,914.1,915.2,914.0,1265157.7999999998,1384,2021-11-22 10:50:00
914.1,913.8,914.1,913.1,1635175.5000000002,1789,2021-11-22 11:00:00
914.0,918.6,921.3,913.5,6181547.300000001,6745,2021-11-22 11:10:00
920.6,923.3,924.7,918.2,1804088.2999999998,1959,2021-11-22 11:20:00
923.3,928.5,929.8,923.2,1947931.7999999998,2101,2021-11-22 11:30:00
928.5,933.1,933.1,927.5,4142203.500000001,4453,2021-11-22 11:40:00
933.1,934.9,935.0,930.1,12752395.799999999,13699,2021-11-22 11:50:00
934.9,939.4,942.0,934.1,6062055.799999998,6478,2021-11-22 12:00:00
939.5,940.9,944.6,914.0,27178593.5,29068,2021-11-22 12:10:00
941.7,949.6,952.0,941.7,32295577.000000007,33987,2021-11-22 12:20:00
951.1,950.0,951.9,948.0,9335109.9,9825,2021-11-22 12:30:00
950.0,948.0,950.0,946.0,9112453.6,9615,2021-11-22 12:40:00
948.0,945.0,948.0,942.1,8166134.4,8638,2021-11-22 12:50:00
944.5,941.7,945.9,940.2,3130175.5999999996,3317,2021-11-22 13:00:00
941.3,940.6,943.0,940.1,4242099.0,4502,2021-11-22 13:10:00
940.6,936.1,942.9,936.0,3415371.1999999997,3638,2021-11-22 13:20:00
936.3,938.0,939.0,935.0,2060721.0,2200,2021-11-22 13:30:00
937.9,936.4,937.9,935.7,1397346.8,1492,2021-11-22 13:40:00
936.4,934.6,937.3,933.9,2234560.7,2390,2021-11-22 13:50:00
934.7,935.0,936.5,930.2,10640499.600000005,11397,2021-11-22 14:00:00
934.2,934.0,934.7,932.0,812963.2999999999,871,2021-11-22 14:10:00
934.0,936.1,936.1,933.0,141059.80000000002,151,2021-11-22 14:20:00
937.9,943.0,943.0,937.9,5681736.100000001,6047,2021-11-22 14:30:00
943.0,942.9,943.0,941.7,10138500.5,10761,2021-11-22 14:40:00
941.9,943.0,944.1,941.6,69129498.0,73311,2021-11-22 14:50:00
943.0,943.0,943.0,941.8,56226857.099999994,59626,2021-11-22 15:00:00
943.0,944.0,945.8,942.7,7065911.499999999,7492,2021-11-22 15:10:00
944.1,943.6,944.4,941.3,793375.1,842,2021-11-22 15:20:00
941.9,942.2,942.9,940.2,778136.2,826,2021-11-22 15:30:00
942.2,942.9,943.0,942.2,439273.6,466,2021-11-22 15:40:00
943.0,943.0,943.0,942.0,610614.8,648,2021-11-22 15:50:00
942.4,944.4,944.4,942.4,1979412.6999999997,2097,2021-11-22 16:00:00
944.0,945.0,945.8,941.0,8861131.899999999,9405,2021-11-22 16:10:00
945.6,941.3,945.6,939.9,1937250.6,2054,2021-11-22 16:20:00
942.0,940.0,942.5,937.3,770428.1000000001,819,2021-11-22 16:30:00
940.0,940.8,941.0,940.0,694232.4,738,2021-11-22 16:40:00
940.0,935.9,940.0,933.2,2880810.1,3081,2021-11-22 16:50:00
935.9,937.3,938.7,935.9,967451.1000000001,1032,2021-11-22 17:00:00
938.6,935.2,938.9,935.2,507305.70000000007,541,2021-11-22 17:10:00
935.8,936.9,938.3,935.8,1380409.7999999998,1473,2021-11-22 17:20:00
937.0,937.0,937.0,936.1,1411741.7,1507,2021-11-22 17:30:00
936.8,935.9,937.0,935.9,720839.0,770,2021-11-22 17:40:00
936.0,935.8,936.0,932.2,749561.6000000001,802,2021-11-22 17:50:00
935.0,934.9,935.0,932.6,497356.6,532,2021-11-22 18:00:00
934.9,935.0,936.0,933.2,1807538.9999999998,1933,2021-11-22 18:10:00
934.0,933.0,935.3,931.1,1130734.0,1211,2021-11-22 18:20:00
933.0,936.2,936.6,933.0,10696349.7,11427,2021-11-22 18:30:00
936.1,936.1,936.1,936.1,32763.5,35,2021-11-22 18:40:00
939.0,936.0,939.0,914.2,1049259.5000000002,1125,2021-11-22 19:00:00
936.0,940.0,940.0,933.9,4537218.7,4828,2021-11-22 19:10:00
940.0,947.3,947.3,940.0,1028643.4,1092,2021-11-22 19:20:00
947.5,946.7,947.7,942.6,771808.5,818,2021-11-22 19:30:00
946.5,945.2,946.8,944.0,479231.9,507,2021-11-22 19:40:00
944.1,946.3,946.8,941.0,1173420.9999999998,1244,2021-11-22 19:50:00
946.3,946.8,946.8,944.2,211865.30000000002,224,2021-11-22 20:00:00
944.4,946.1,946.7,942.2,350301.80000000005,371,2021-11-22 20:10:00
945.9,946.8,946.8,940.0,1344071.7999999998,1423,2021-11-22 20:20:00
947.2,948.0,948.0,947.2,1975573.6,2084,2021-11-22 20:30:00
947.3,949.1,950.0,946.0,1288235.7999999998,1358,2021-11-22 20:40:00
949.3,948.0,949.5,947.0,193582.5,204,2021-11-22 20:50:00
948.5,949.5,949.5,948.5,36054.5,38,2021-11-22 21:00:00
949.5,949.4,949.5,946.5,143146.0,151,2021-11-22 21:10:00
947.7,947.6,950.0,947.3,157572.19999999998,166,2021-11-22 21:20:00
949.9,949.8,949.9,947.6,483393.80000000005,509,2021-11-22 21:30:00
950.0,950.0,950.0,949.8,20899.8,22,2021-11-22 21:40:00
949.8,951.1,951.1,949.0,4941889.899999999,5202,2021-11-22 21:50:00
954.8,951.8,954.9,951.8,663197.4,695,2021-11-22 22:00:00
954.6,955.0,955.0,953.0,128818.6,135,2021-11-22 22:10:00
955.0,953.0,955.0,950.5,71574.5,75,2021-11-22 22:20:00
951.1,965.0,965.0,951.1,563405.4,585,2021-11-22 22:30:00
964.0,968.8,969.8,963.9,2790014.0,2891,2021-11-22 22:40:00
966.0,966.0,968.3,962.8,95622.2,99,2021-11-22 22:50:00
966.0,966.4,966.8,963.9,54069.8,56,2021-11-22 23:00:00
966.4,966.5,967.0,961.6,998280.4,1033,2021-11-22 23:10:00
966.8,966.0,967.0,963.1,152673.3,158,2021-11-22 23:20:00
965.5,963.0,965.5,960.6,1138638.0,1185,2021-11-22 23:30:00
963.0,969.4,969.4,961.3,6551592.0,6807,2021-11-22 23:40:00
960.0,960.0,960.0,960.0,3840.0,4,2021-11-23 09:50:00
959.9,960.1,962.5,956.7,3768674.6,3925,2021-11-23 10:00:00
960.0,953.2,960.3,952.4,6876206.199999999,7195,2021-11-23 10:10:00
953.2,955.0,956.4,952.9,690829.5,723,2021-11-23 10:20:00
954.3,958.3,958.3,952.4,1819866.5000000002,1906,2021-11-23 10:30:00
958.0,957.1,958.4,955.0,447923.99999999994,468,2021-11-23 10:40:00
955.1,954.5,956.6,950.0,1358999.0,1427,2021-11-23 10:50:00
954.6,954.9,955.6,952.8,426571.39999999997,447,2021-11-23 11:00:00
