Open,Close,High,Low,Value,Volume,Date
14.605,13.225,14.9,12.8,1154554399.0,87271400,2023-12-15 17:10:00
13.215,13.075,13.3,13.0,380990432.0,28936800,2023-12-15 17:20:00
13.075,13.0,13.2,12.9,441685433.5,33815600,2023-12-15 17:30:00
13.0,12.95,13.08,12.95,207461909.0,15948000,2023-12-15 17:40:00
12.95,12.86,13.0,12.85,203227604.0,15738500,2023-12-15 17:50:00
12.86,12.785,12.865,12.7,147175992.0,11536300,2023-12-15 18:00:00
12.785,12.805,12.82,12.715,61957399.5,4852400,2023-12-15 18:10:00
12.805,12.58,12.81,12.575,215687078.5,17019100,2023-12-15 18:20:00
12.585,12.35,12.595,12.33,122512911.0,9786700,2023-12-15 18:30:00
12.505,12.505,12.505,12.505,22220134.5,1776900,2023-12-15 18:40:00
12.6,12.6,12.6,12.6,9925020.0,787700,2023-12-18 09:50:00
12.605,12.9,13.1,12.55,336548812.0,26053600,2023-12-18 10:00:00
12.9,12.925,13.04,12.8,128303532.0,9941100,2023-12-18 10:10:00
12.925,12.895,12.93,12.82,66391011.0,5152300,2023-12-18 10:20:00
12.885,12.99,13.0,12.86,53496979.5,4131300,2023-12-18 10:30:00
12.985,12.83,13.0,12.81,94443751.0,7308800,2023-12-18 10:40:00
12.835,12.82,12.9,12.805,36605462.0,2849300,2023-12-18 10:50:00
12.82,12.91,12.99,12.81,59454415.0,4601500,2023-12-18 11:00:00
12.915,12.9,12.92,12.885,17554705.0,1359800,2023-12-18 11:10:00
12.91,12.94,12.95,12.86,22443890.0,1737600,2023-12-18 11:20:00
12.935,12.92,12.94,12.86,18358911.5,1423000,2023-12-18 11:30:00
12.92,12.92,12.96,12.9,19735568.0,1526200,2023-12-18 11:40:00
12.92,12.88,12.93,12.86,26850721.5,2081100,2023-12-18 11:50:00
12.88,12.855,12.89,12.85,8940868.5,695000,2023-12-18 12:00:00
12.855,12.89,12.89,12.84,8558259.0,665300,2023-12-18 12:10:00
12.885,12.865,12.89,12.84,9252089.5,718800,2023-12-18 12:20:00
12.875,12.855,12.885,12.85,9824111.0,763400,2023-12-18 12:30:00
12.855,12.785,12.895,12.7,53835903.0,4205600,2023-12-18 12:40:00
12.89,12.75,12.89,12.7,11920933.5,936100,2023-12-18 12:50:00
12.75,12.75,12.81,12.74,12224789.5,956700,2023-12-18 13:00:00
12.75,12.72,12.76,12.715,9118811.0,716000,2023-12-18 13:10:00
12.72,12.665,12.73,12.64,15928942.0,1254800,2023-12-18 13:20:00
12.665,12.7,12.79,12.62,32217902.0,2544900,2023-12-18 13:30:00
12.7,12.665,12.735,12.66,5669268.5,446800,2023-12-18 13:40:00
12.665,12.695,12.7,12.64,5226590.5,412600,2023-12-18 13:50:00
12.7,12.68,12.7,12.67,5914539.0,466100,2023-12-18 14:00:00
12.685,12.795,12.8,12.675,16203780.5,1270400,2023-12-18 14:10:00
12.795,12.77,12.8,12.77,4120842.5,322400,2023-12-18 14:20:00
12.78,12.81,12.9,12.77,45500931.0,3534100,2023-12-18 14:30:00
12.82,12.905,12.92,12.81,32441816.0,2522800,2023-12-18 14:40:00
12.905,12.945,12.98,12.88,47500545.5,3668000,2023-12-18 14:50:00
12.945,12.91,12.95,12.91,15913520.5,1229600,2023-12-18 15:00:00
12.92,12.85,12.925,12.8,17947642.0,1397800,2023-12-18 15:10:00
12.845,12.82,12.855,12.8,4688391.5,365400,2023-12-18 15:20:00
12.82,12.875,12.88,12.775,15311534.5,1195800,2023-12-18 15:30:00
12.875,12.88,12.895,12.845,4129830.0,320700,2023-12-18 15:40:00
12.89,12.895,12.9,12.86,28038970.0,2174200,2023-12-18 15:50:00
12.9,12.95,12.98,12.79,27328676.5,2114900,2023-12-18 16:00:00
12.96,12.945,12.96,12.9,18564677.0,1434900,2023-12-18 16:10:00
12.945,12.965,12.97,12.89,28454727.0,2199400,2023-12-18 16:20:00
12.95,12.94,12.97,12.89,7737679.0,598000,2023-12-18 16:30:00
12.94,12.96,12.965,12.91,19583338.0,1511700,2023-12-18 16:40:00
12.95,12.945,12.98,12.925,24615417.0,1898000,2023-12-18 16:50:00
12.96,12.925,12.965,12.92,3139066.0,242400,2023-12-18 17:00:00
12.945,12.875,12.95,12.85,12202300.0,947000,2023-12-18 17:10:00
12.875,12.87,12.9,12.85,6731195.5,522900,2023-12-18 17:20:00
12.89,12.95,12.95,12.85,8916145.0,691100,2023-12-18 17:30:00
12.95,12.945,12.95,12.88,7380288.5,570400,2023-12-18 17:40:00
12.94,12.96,12.96,12.925,9485999.5,732400,2023-12-18 17:50:00
12.955,12.92,12.96,12.92,7942710.0,613600,2023-12-18 18:00:00
12.92,12.925,12.95,12.9,36794948.0,2842700,2023-12-18 18:10:00
12.93,12.945,12.95,12.9,38815576.0,2998500,2023-12-18 18:20:00
12.945,12.91,12.96,12.9,9271683.0,716500,2023-12-18 18:30:00
12.9,12.9,12.9,12.9,1292580.0,100200,2023-12-18 18:40:00
12.925,12.925,12.925,12.925,975837.5,75500,2023-12-19 09:50:00
12.925,12.955,13.06,12.905,46728685.5,3603600,2023-12-19 10:00:00
12.955,12.875,12.96,12.87,21956467.5,1701000,2023-12-19 10:10:00
12.875,12.89,12.91,12.85,13955337.0,1083300,2023-12-19 10:20:00
12.89,12.915,12.985,12.89,18812771.5,1451800,2023-12-19 10:30:00
12.915,12.885,12.93,12.875,12296347.5,953100,2023-12-19 10:40:00
12.885,12.89,12.965,12.88,11690220.0,905200,2023-12-19 10:50:00
12.895,12.885,12.9,12.88,5499330.0,426500,2023-12-19 11:00:00
12.895,12.895,12.9,12.875,3125844.5,242600,2023-12-19 11:10:00
12.89,12.85,12.9,12.85,8852123.0,688000,2023-12-19 11:20:00
12.855,12.87,12.885,12.85,3260690.0,253600,2023-12-19 11:30:00
12.86,12.85,12.865,12.85,1937476.5,150700,2023-12-19 11:40:00
12.855,12.87,12.9,12.85,3115506.0,242000,2023-12-19 11:50:00
12.87,12.87,12.875,12.85,1483720.5,115400,2023-12-19 12:00:00
12.86,12.855,12.87,12.855,3010089.5,234100,2023-12-19 12:10:00
12.855,12.85,12.875,12.85,1720893.5,133800,2023-12-19 12:20:00
12.85,12.84,12.86,12.82,13517102.0,1052100,2023-12-19 12:30:00
12.84,12.805,12.85,12.8,5768126.0,449800,2023-12-19 12:40:00
12.815,12.805,12.835,12.8,10821328.0,845300,2023-12-19 12:50:00
