Open,Close,High,Low,Value,Volume,Date
73.67,77.77,77.77,73.67,196016.00000000003,2640,2021-01-18 10:10:00
77.77,77.49,78.68,76.25,261977.30000000002,3380,2021-01-18 10:20:00
78.39,78.39,78.39,78.39,172458.0,2200,2021-01-18 10:30:00
78.39,80.0,96.95,78.39,74120.5,940,2021-01-18 10:40:00
80.0,90.0,90.0,80.0,102382.5,1140,2021-01-18 10:50:00
90.0,87.9,97.0,78.2,561369.5,6730,2021-01-18 11:00:00
87.98,84.99,87.98,80.0,34700.8,410,2021-01-18 11:10:00
84.97,81.5,84.97,78.3,86723.3,1080,2021-01-18 11:20:00
81.4,81.5,84.95,81.07,31027.5,380,2021-01-18 11:30:00
81.5,81.5,81.5,81.5,14670.0,180,2021-01-18 11:40:00
81.5,81.5,81.5,81.5,23635.0,290,2021-01-18 11:50:00
81.3,81.5,81.5,81.3,5695.0,70,2021-01-18 12:00:00
81.3,82.34,82.34,81.3,34362.4,420,2021-01-18 12:10:00
83.02,83.68,83.68,83.02,59887.6,720,2021-01-18 12:20:00
83.67,86.21,86.21,83.67,61033.0,710,2021-01-18 12:30:00
86.21,88.25,88.88,86.21,101501.79999999999,1170,2021-01-18 12:40:00
88.89,88.9,88.9,88.89,78231.6,880,2021-01-18 12:50:00
88.9,86.21,88.99,86.21,32561.0,370,2021-01-18 13:00:00
87.0,87.4,87.4,87.0,4354.0,50,2021-01-18 13:10:00
87.7,87.8,87.8,87.7,16665.5,190,2021-01-18 13:20:00
88.26,88.74,88.74,87.7,17717.1,200,2021-01-18 13:30:00
88.74,89.06,89.06,88.74,62256.4,700,2021-01-18 13:40:00
89.37,89.37,89.37,89.37,8937.000000000002,100,2021-01-18 13:50:00
89.42,91.4,91.4,89.42,34245.9,380,2021-01-18 14:00:00
90.0,93.09,95.0,90.0,284742.4,3070,2021-01-18 14:10:00
93.83,95.69,95.69,93.83,118317.6,1250,2021-01-18 14:20:00
96.0,96.0,96.98,96.0,141246.59999999998,1460,2021-01-18 14:30:00
96.34,96.98,96.98,96.34,29890.999999999996,310,2021-01-18 14:40:00
96.98,104.5,105.14,94.71,566083.5,5840,2021-01-18 14:50:00
104.5,105.14,105.14,100.0,421991.4,4040,2021-01-18 15:00:00
105.14,105.14,105.14,105.14,106191.4,1010,2021-01-18 15:10:00
105.14,105.14,105.14,105.0,111444.19999999998,1060,2021-01-18 15:20:00
105.14,105.14,105.14,105.0,51503.200000000004,490,2021-01-18 15:30:00
105.14,105.14,105.14,105.0,116671.80000000002,1110,2021-01-18 15:40:00
105.14,105.14,105.14,105.14,207125.80000000002,1970,2021-01-18 15:50:00
105.14,105.14,105.14,105.14,3154.2,30,2021-01-18 16:00:00
105.14,105.14,105.14,105.14,1051.4,10,2021-01-18 16:10:00
105.14,105.14,105.14,105.14,32593.4,310,2021-01-18 16:20:00
105.14,105.14,105.14,105.14,130373.6,1240,2021-01-18 16:40:00
105.14,105.14,105.14,105.14,179789.3999999999,1710,2021-01-18 16:50:00
105.14,105.14,105.14,105.03,48345.7,460,2021-01-18 17:00:00
105.14,105.14,105.14,105.14,12616.8,120,2021-01-18 17:10:00
105.14,105.14,105.14,105.14,39953.200000000004,380,2021-01-18 17:20:00
105.14,105.14,105.14,105.14,106191.4,1010,2021-01-18 17:30:00
