Open,Close,High,Low,Value,Volume,Date
0.0612,0.0612,0.0612,0.0612,612.0,10000,2014-06-10 10:30:00
0.062,0.062,0.062,0.062,3100.0,50000,2014-06-11 10:10:00
0.0605,0.06988,0.06988,0.0605,1303.8,20000,2014-06-23 15:40:00
0.06996,0.06996,0.06996,0.06996,2098.8,30000,2014-07-10 12:30:00
0.0686,0.0686,0.0686,0.0686,686.0,10000,2014-09-08 14:20:00
0.07,0.07,0.07,0.07,700.0,10000,2014-09-19 11:20:00
0.0685,0.07,0.07,0.0685,2784.8,40000,2014-09-30 10:50:00
0.076,0.076,0.076,0.076,760.0,10000,2014-10-01 10:40:00
0.0528,0.052,0.0528,0.052,3140.0,60000,2014-10-03 10:10:00
0.0698,0.07,0.07,0.0698,6997.0,100000,2014-10-03 11:10:00
0.0685,0.069,0.069,0.0685,1375.0,20000,2014-10-03 14:00:00
0.07,0.07,0.07,0.07,1400.0,20000,2014-10-03 14:10:00
0.053,0.053,0.053,0.053,1590.0,30000,2014-10-16 14:00:00
0.053,0.045,0.053,0.045,4922.0,100000,2014-10-23 18:00:00
0.0455,0.0456,0.0456,0.0373,52830.0,1330000,2014-10-23 18:20:00
0.045,0.045,0.045,0.045,26550.0,590000,2014-10-23 18:30:00
0.049,0.049,0.049,0.049,3920.0,80000,2014-10-28 10:30:00
0.044,0.043,0.044,0.043,1740.0,40000,2014-10-28 16:30:00
0.043,0.043,0.043,0.043,430.0,10000,2014-10-28 17:00:00
0.043,0.043,0.043,0.043,860.0,20000,2014-10-28 17:10:00
0.043,0.043,0.043,0.043,430.0,10000,2014-10-28 17:20:00
0.043,0.048,0.048,0.043,910.0,20000,2014-10-28 17:30:00
0.05,0.05,0.0597,0.05,11726.0,210000,2014-10-30 11:00:00
0.0549,0.0549,0.0549,0.0549,549.0,10000,2014-10-30 11:10:00
0.0555,0.0555,0.0555,0.0555,1110.0,20000,2014-10-30 11:20:00
0.0549,0.0549,0.0549,0.0549,549.0,10000,2014-11-03 15:30:00
0.0549,0.0598,0.0598,0.0549,3403.0,60000,2014-11-03 16:00:00
0.0674,0.0615,0.0674,0.0615,10927.0,170000,2014-11-06 10:00:00
0.051,0.051,0.051,0.051,510.0,10000,2014-11-07 11:10:00
0.0599,0.0599,0.0599,0.0599,1198.0,20000,2014-11-19 15:00:00
0.0599,0.0599,0.0599,0.0599,599.0,10000,2014-11-20 18:20:00
0.06,0.06,0.06,0.06,4800.0,80000,2014-11-21 11:10:00
0.06,0.06,0.06,0.06,600.0,10000,2014-11-26 10:30:00
0.065,0.065,0.065,0.065,1950.0,30000,2014-11-26 13:00:00
0.0611,0.0611,0.0611,0.0611,1222.0,20000,2014-11-26 13:50:00
0.0667,0.0668,0.0668,0.0667,2669.0,40000,2014-11-27 13:40:00
0.0494,0.0493,0.0494,0.0493,1975.0,40000,2014-12-16 12:50:00
0.0571,0.0571,0.0571,0.0571,571.0,10000,2014-12-16 18:20:00
0.0485,0.0485,0.0485,0.0485,485.0,10000,2014-12-17 11:00:00
0.0484,0.0484,0.0484,0.0484,484.0,10000,2015-01-06 10:20:00
0.06,0.06,0.06,0.06,1200.0,20000,2015-01-15 12:00:00
0.0601,0.0601,0.0601,0.0601,601.0,10000,2015-01-15 12:10:00
0.06,0.06,0.06,0.06,600.0,10000,2015-01-15 15:30:00
0.06,0.06,0.06,0.06,1800.0,30000,2015-01-15 16:00:00
0.06,0.06,0.06,0.06,600.0,10000,2015-01-16 10:30:00
0.06,0.06,0.06,0.06,1200.0,20000,2015-01-16 10:40:00
0.06,0.06,0.06,0.06,4200.0,70000,2015-01-16 13:40:00
0.0695,0.0728,0.0728,0.0695,7237.0,100000,2015-01-27 12:20:00
0.0728,0.0839,0.0839,0.0728,7739.0,100000,2015-01-27 12:40:00
0.0839,0.0839,0.0839,0.0839,2517.0,30000,2015-01-27 13:10:00
0.08,0.0839,0.0839,0.08,6634.0,80000,2015-01-27 13:30:00
0.08,0.08,0.08,0.08,1600.0,20000,2015-01-27 14:00:00
0.0605,0.0605,0.0605,0.0605,1815.0,30000,2015-01-27 15:20:00
0.0639,0.0639,0.0639,0.0639,1278.0,20000,2015-01-27 15:30:00
0.0601,0.0601,0.0601,0.0601,601.0,10000,2015-01-30 11:20:00
0.065,0.065,0.065,0.065,5850.0,90000,2015-02-03 10:10:00
0.0651,0.0651,0.0651,0.0651,3906.0,60000,2015-02-03 11:30:00
0.0641,0.0641,0.0641,0.0641,641.0,10000,2015-02-06 10:10:00
0.0649,0.0649,0.0649,0.0649,649.0,10000,2015-02-06 18:10:00
0.0645,0.064,0.0645,0.064,5135.0,80000,2015-02-06 18:30:00
0.0641,0.06,0.0641,0.06,25482.0,400000,2015-02-09 13:00:00
0.0694,0.0695,0.0695,0.0694,2777.0,40000,2015-02-16 18:00:00
0.0695,0.0695,0.0695,0.0695,1390.0,20000,2015-02-16 18:10:00
0.0695,0.0695,0.0695,0.0695,2780.0,40000,2015-02-16 18:30:00
0.0792,0.0793,0.0793,0.0792,2378.0,30000,2015-02-17 16:50:00
0.083,0.083,0.083,0.083,830.0,10000,2015-02-19 17:00:00
0.08,0.08,0.08,0.08,800.0,10000,2015-02-25 12:00:00
0.0741,0.0741,0.0741,0.0741,741.0,10000,2015-03-02 17:10:00
0.0855,0.0855,0.0855,0.0855,1710.0,20000,2015-03-02 18:30:00
0.0844,0.0845,0.0845,0.0844,1689.0,20000,2015-03-03 10:50:00
0.0749,0.0749,0.0749,0.0749,749.0,10000,2015-03-06 18:20:00
0.0745,0.0721,0.0745,0.0721,3646.0,50000,2015-03-11 14:30:00
0.0699,0.0699,0.0699,0.0699,699.0,10000,2015-03-11 15:00:00
0.07,0.07,0.07,0.07,30100.0,430000,2015-03-11 15:20:00
0.0669,0.0639,0.0669,0.0639,1308.0,20000,2015-03-16 10:20:00
0.0782,0.0782,0.0782,0.0782,782.0,10000,2015-03-19 16:40:00
0.064,0.064,0.064,0.064,1920.0,30000,2015-04-06 11:10:00
0.0738,0.0738,0.0738,0.0738,738.0,10000,2015-04-06 12:00:00
0.0747,0.0748,0.0748,0.0747,1495.0,20000,2015-04-06 12:10:00
0.0692,0.069,0.0692,0.0632,8084.0,120000,2015-04-06 18:30:00
0.0741,0.0741,0.0741,0.0741,741.0,10000,2015-04-09 10:30:00
0.07,0.07,0.07,0.07,9800.0,140000,2015-04-09 11:50:00
0.074,0.074,0.074,0.074,1480.0,20000,2015-04-13 13:40:00
0.074,0.074,0.074,0.074,8880.0,120000,2015-04-13 14:00:00
0.0742,0.0742,0.0742,0.0742,1484.0,20000,2015-04-13 14:20:00
0.074,0.074,0.074,0.074,22940.0,310000,2015-04-13 15:00:00
0.0767,0.077,0.077,0.0767,3076.0,40000,2015-04-15 10:40:00
0.072,0.0718,0.072,0.0718,2877.0,40000,2015-04-17 16:10:00
0.0623,0.0623,0.0623,0.0623,623.0,10000,2015-04-30 17:40:00
0.0791,0.0791,0.0791,0.0791,791.0,10000,2015-05-06 16:50:00
0.0639,0.0619,0.0639,0.0619,3166.0,50000,2015-05-06 18:10:00
0.0628,0.07,0.07,0.0628,11391.0,180000,2015-05-06 18:30:00
0.0631,0.0631,0.0631,0.0631,631.0,10000,2015-05-07 15:20:00
0.0785,0.0785,0.0785,0.0785,1570.0,20000,2015-05-15 10:00:00
0.0789,0.087,0.0871,0.0789,30196.0,360000,2015-05-15 14:30:00
0.0865,0.0865,0.0865,0.0865,865.0,10000,2015-05-25 10:30:00
0.0899,0.0899,0.0899,0.0899,899.0,10000,2015-05-28 12:00:00
0.0607,0.0607,0.0607,0.0607,607.0,10000,2015-06-03 17:10:00
0.0654,0.0654,0.0654,0.0654,1308.0,20000,2015-06-05 11:30:00
0.089,0.089,0.089,0.089,890.0,10000,2015-06-05 15:40:00
0.0701,0.0701,0.0701,0.0701,701.0,10000,2015-06-05 18:20:00
