Open,Close,High,Low,Value,Volume,Date
0.0016,0.0016,0.0016,0.0016,1600,1000000,2014-06-10 15:30:00
0.001595,0.001595,0.001595,0.001595,6380,4000000,2014-06-10 16:40:00
0.001595,0.001595,0.001595,0.001595,1595,1000000,2014-06-10 17:10:00
0.001648,0.001648,0.001648,0.001648,8240,5000000,2014-06-10 18:20:00
0.001646,0.001689,0.001689,0.001646,76789,46000000,2014-06-11 16:50:00
0.001689,0.001689,0.001689,0.001689,16890,10000000,2014-06-11 17:30:00
0.00168,0.00168,0.00168,0.00168,3360,2000000,2014-06-11 18:30:00
0.001603,0.001602,0.001603,0.001602,3205,2000000,2014-06-16 12:00:00
0.001599,0.001599,0.001599,0.001599,1599,1000000,2014-06-16 12:10:00
0.001591,0.001591,0.001591,0.001591,1591,1000000,2014-06-16 13:10:00
0.001595,0.001595,0.001595,0.001595,191400,120000000,2014-06-16 17:10:00
0.00159,0.00159,0.00159,0.00159,1590,1000000,2014-06-16 17:20:00
0.001536,0.001536,0.001536,0.001536,1536,1000000,2014-06-17 14:30:00
0.001599,0.0016,0.0016,0.001599,4799,3000000,2014-06-18 14:20:00
0.001541,0.001541,0.001541,0.001541,1541,1000000,2014-06-18 17:00:00
0.001534,0.0015,0.001534,0.0015,75728,50000000,2014-06-19 10:10:00
0.001512,0.0015,0.001512,0.0015,42025,28000000,2014-06-19 12:40:00
0.0015,0.0015,0.0015,0.0015,6000,4000000,2014-06-19 16:10:00
0.001579,0.0016,0.0016,0.001579,11114,7000000,2014-06-20 18:30:00
0.001522,0.001522,0.001522,0.001522,28918,19000000,2014-06-24 12:50:00
0.001522,0.001521,0.001522,0.001521,7609,5000000,2014-06-24 13:00:00
0.001522,0.001522,0.001522,0.001522,1522,1000000,2014-06-24 13:50:00
0.001523,0.001521,0.001523,0.001521,24343,16000000,2014-06-24 18:30:00
0.001546,0.001546,0.001546,0.001546,1546,1000000,2014-06-25 16:30:00
0.001539,0.00154,0.00154,0.001539,30799,20000000,2014-06-27 12:00:00
0.001619,0.00162,0.00162,0.001619,14579,9000000,2014-06-27 15:40:00
0.001639,0.00164,0.00164,0.001639,16399,10000000,2014-06-27 15:50:00
0.001621,0.00162,0.001621,0.00162,3241,2000000,2014-06-27 16:40:00
0.00162,0.00162,0.00162,0.00162,1620,1000000,2014-06-27 16:50:00
0.00162,0.00162,0.00162,0.00162,1620,1000000,2014-06-27 17:00:00
0.00162,0.00162,0.00162,0.00162,1620,1000000,2014-06-27 17:30:00
0.00162,0.00162,0.00162,0.00162,1620,1000000,2014-06-27 18:30:00
0.001558,0.001555,0.001558,0.001555,7784,5000000,2014-06-30 14:00:00
0.001562,0.001562,0.001562,0.001562,6248,4000000,2014-06-30 14:10:00
0.001555,0.001555,0.001555,0.001555,6220,4000000,2014-06-30 16:50:00
0.001612,0.001737,0.001737,0.001612,84754,50000000,2014-06-30 18:30:00
0.00175,0.00175,0.00175,0.00175,1750,1000000,2014-07-01 10:40:00
0.0017,0.0017,0.0017,0.0017,3400,2000000,2014-07-01 11:30:00
0.001609,0.001564,0.001609,0.001445,116787,76000000,2014-07-01 13:30:00
0.001599,0.00157,0.0016,0.00157,31549,20000000,2014-07-01 13:40:00
0.00161,0.00161,0.00161,0.00161,24150,15000000,2014-07-01 14:00:00
0.001589,0.001589,0.001589,0.001589,1589,1000000,2014-07-01 18:10:00
0.001605,0.001615,0.001615,0.001605,16109,10000000,2014-07-04 14:00:00
0.001465,0.001445,0.001465,0.001445,32056,22000000,2014-07-07 10:00:00
0.001506,0.0015,0.001506,0.0015,36024,24000000,2014-07-07 15:10:00
0.001476,0.001474,0.001476,0.001474,14747,10000000,2014-07-08 11:10:00
0.001487,0.001485,0.001487,0.001485,103968,70000000,2014-07-08 12:00:00
0.001519,0.001519,0.001519,0.001519,1519,1000000,2014-07-08 12:10:00
0.0015,0.001529,0.001529,0.0015,3029,2000000,2014-07-08 15:10:00
0.001501,0.0015,0.001501,0.0015,9001,6000000,2014-07-09 14:20:00
0.0015,0.0015,0.0015,0.0015,15000,10000000,2014-07-09 14:30:00
0.001499,0.001499,0.001499,0.001499,1499,1000000,2014-07-09 17:20:00
0.001452,0.001451,0.001452,0.001451,2903,2000000,2014-07-10 10:10:00
0.001497,0.001497,0.001497,0.001497,1497,1000000,2014-07-10 16:50:00
0.001487,0.001487,0.001487,0.001487,1487,1000000,2014-07-10 17:10:00
0.001461,0.001461,0.001461,0.001461,1461,1000000,2014-07-14 14:00:00
0.001461,0.001452,0.001461,0.001452,14543,10000000,2014-07-14 18:10:00
0.001491,0.001489,0.001491,0.001489,2980,2000000,2014-07-14 18:20:00
0.001499,0.001499,0.001499,0.001499,439207,293000000,2014-07-15 10:10:00
0.0015,0.0015,0.0015,0.0015,1500,1000000,2014-07-15 12:30:00
0.0015,0.0015,0.0015,0.0015,1500,1000000,2014-07-15 18:20:00
