Open,Close,High,Low,Value,Volume,Date
1100.0,1100.0,1142.0,1100.0,2462000.0,2212,2015-06-17 10:10:00
1100.0,1175.0,1175.0,1100.0,2664821.5,2339,2015-06-17 10:20:00
1180.0,1180.0,1180.0,1180.0,1180.0,1,2015-06-17 10:30:00
1180.0,1180.0,1180.0,1180.0,293820.0,249,2015-06-17 10:40:00
1190.0,1190.0,1190.0,1190.0,26180.0,22,2015-06-17 10:50:00
1189.0,1189.0,1189.0,1189.0,84419.0,71,2015-06-17 11:00:00
1189.0,1190.0,1190.0,1189.0,118966.0,100,2015-06-17 11:10:00
1199.0,1200.0,1200.0,1199.0,307195.5,256,2015-06-17 11:20:00
1190.0,1190.0,1190.0,1190.0,122570.0,103,2015-06-17 11:40:00
1200.0,1200.0,1200.0,1200.0,120000.0,100,2015-06-17 11:50:00
1200.0,1215.0,1215.0,1200.0,151490.0,126,2015-06-17 12:30:00
1210.0,1215.0,1215.0,1210.0,242350.0,200,2015-06-17 12:40:00
1214.5,1214.5,1214.5,1214.5,6072.5,5,2015-06-17 13:00:00
1239.5,1240.0,1240.0,1239.5,136394.5,110,2015-06-17 13:50:00
1260.0,1260.0,1260.0,1260.0,627480.0,498,2015-06-17 14:10:00
1230.0,1230.0,1230.0,1230.0,9840.0,8,2015-06-17 14:30:00
1230.0,1230.0,1230.0,1230.0,298890.0,243,2015-06-17 15:10:00
1272.5,1272.5,1272.5,1272.5,6362.5,5,2015-06-17 16:10:00
1250.0,1250.0,1250.0,1250.0,1250.0,1,2015-06-17 17:30:00
1250.0,1250.0,1250.0,1250.0,125000.0,100,2015-06-17 18:20:00
1268.0,1245.0,1268.0,1245.0,2513.0,2,2015-06-17 18:30:00
1250.0,1290.0,1290.0,1250.0,318949.5,255,2015-06-18 10:00:00
1252.0,1252.0,1252.0,1252.0,7512.0,6,2015-06-18 10:20:00
1250.0,1250.0,1250.0,1250.0,5000.0,4,2015-06-18 11:00:00
1259.0,1258.5,1260.0,1258.5,554214.5,440,2015-06-18 11:20:00
1267.0,1267.0,1267.0,1267.0,1267.0,1,2015-06-18 11:30:00
1267.0,1270.0,1270.0,1267.0,3804.0,3,2015-06-18 12:20:00
1272.0,1272.0,1272.0,1272.0,11448.0,9,2015-06-18 12:30:00
1288.5,1288.5,1288.5,1288.5,5154.0,4,2015-06-18 12:50:00
1287.0,1285.5,1287.0,1285.5,2572.5,2,2015-06-18 13:10:00
1284.5,1284.5,1284.5,1284.5,1284.5,1,2015-06-18 13:20:00
1272.0,1270.0,1272.0,1270.0,19053.0,15,2015-06-18 13:40:00
1275.0,1275.0,1275.0,1275.0,6375.0,5,2015-06-18 14:20:00
1288.0,1288.5,1288.5,1288.0,15461.5,12,2015-06-18 14:30:00
1288.5,1288.5,1288.5,1288.5,1288.5,1,2015-06-18 14:40:00
1285.0,1285.0,1285.0,1285.0,11565.0,9,2015-06-18 14:50:00
1285.0,1285.0,1289.0,1285.0,187980.5,146,2015-06-18 15:00:00
1280.0,1280.0,1280.0,1280.0,12800.0,10,2015-06-18 15:30:00
