Open,Close,High,Low,Value,Volume,Date
0.5,0.5,0.5,0.5,45000,90000,2014-06-10 13:50:00
0.5,0.5,0.5,0.5,50000,100000,2014-06-10 18:00:00
0.5,0.5,0.5,0.5,155000,310000,2014-06-11 11:20:00
0.5,0.5,0.5,0.5,50000,100000,2014-06-16 16:20:00
0.5,0.5,0.5,0.5,20000,40000,2014-06-26 10:10:00
0.5,0.5,0.5,0.5,5000,10000,2014-06-26 11:00:00
0.5,0.5,0.5,0.5,5000,10000,2014-06-30 10:20:00
0.5,0.5,0.5,0.5,15000,30000,2014-07-07 13:40:00
0.5,0.5,0.5,0.5,5000,10000,2014-07-07 15:20:00
0.5,0.5,0.5,0.5,5000,10000,2014-07-07 16:40:00
0.5,0.5,0.5,0.5,25000,50000,2014-07-11 13:50:00
0.502,0.502,0.502,0.502,5020,10000,2014-07-11 14:00:00
0.3551,0.3,0.3551,0.3,368979,1220000,2014-09-01 17:00:00
0.35,0.3334,0.35,0.3334,41668,120000,2014-09-01 17:10:00
0.3334,0.3335,0.3335,0.3334,36675,110000,2014-09-01 17:20:00
0.339,0.339,0.339,0.339,33900,100000,2014-09-01 17:30:00
0.339,0.339,0.339,0.339,6780,20000,2014-09-01 17:40:00
0.319,0.319,0.319,0.319,3190,10000,2014-09-01 17:50:00
0.315,0.319,0.319,0.315,53910,170000,2014-09-01 18:00:00
0.319,0.337,0.337,0.319,48570,150000,2014-09-01 18:10:00
0.3353,0.336,0.336,0.3353,10066,30000,2014-09-01 18:30:00
0.3496,0.3497,0.3497,0.3496,6993,20000,2014-09-02 13:10:00
0.3497,0.3497,0.3497,0.3497,3497,10000,2014-09-02 13:20:00
0.3497,0.3497,0.3497,0.3497,3497,10000,2014-09-02 13:30:00
0.3497,0.3498,0.3498,0.3497,6995,20000,2014-09-02 14:20:00
0.3499,0.3499,0.3499,0.3499,3499,10000,2014-09-02 16:10:00
0.3499,0.3499,0.3499,0.3499,3499,10000,2014-09-02 16:30:00
0.3014,0.3,0.33,0.3,30363,100000,2014-09-04 14:30:00
0.31,0.31,0.31,0.31,3100,10000,2014-09-16 17:40:00
0.3488,0.3488,0.3488,0.3488,3488,10000,2014-09-22 14:50:00
0.32,0.32,0.32,0.32,3200,10000,2014-09-26 10:50:00
0.345,0.345,0.345,0.345,3450,10000,2014-09-26 15:40:00
0.35,0.35,0.35,0.35,3500,10000,2014-09-29 11:40:00
0.301,0.301,0.301,0.301,6020,20000,2014-10-01 14:10:00
0.35,0.35,0.35,0.35,7000,20000,2014-10-01 17:20:00
0.3,0.255,0.3,0.255,13200,50000,2014-10-21 10:00:00
0.33,0.33,0.33,0.33,3300,10000,2014-10-21 10:20:00
0.34,0.34,0.34,0.34,10200,30000,2014-10-21 11:20:00
0.33,0.33,0.33,0.33,3300,10000,2014-10-21 11:30:00
0.32,0.32,0.32,0.32,3200,10000,2014-10-23 10:00:00
0.31,0.31,0.31,0.31,3100,10000,2014-10-23 13:20:00
0.29,0.27,0.29,0.27,22460,80000,2014-10-24 11:30:00
0.315,0.315,0.315,0.315,6300,20000,2014-10-30 16:50:00
0.345,0.345,0.345,0.345,3450,10000,2014-11-03 14:20:00
0.305,0.305,0.305,0.305,6100,20000,2014-11-11 11:40:00
0.31,0.31,0.31,0.31,3100,10000,2014-11-11 12:30:00
0.31,0.31,0.31,0.31,43400,140000,2014-11-11 12:40:00
0.3,0.3,0.3,0.3,3000,10000,2014-11-11 18:10:00
0.315,0.315,0.315,0.315,103950,330000,2014-11-12 18:00:00
0.32,0.32,0.32,0.32,3200,10000,2014-11-13 11:20:00
0.271,0.271,0.271,0.271,2710,10000,2014-11-25 11:20:00
0.311,0.311,0.311,0.311,3110,10000,2014-11-25 17:30:00
0.32,0.32,0.32,0.32,9600,30000,2014-11-27 12:10:00
0.345,0.345,0.345,0.345,13800,40000,2014-11-27 16:20:00
0.32,0.35,0.35,0.32,29100,90000,2014-11-28 17:40:00
0.35,0.35,0.35,0.35,3500,10000,2014-12-04 17:30:00
0.33,0.33,0.33,0.33,3300,10000,2014-12-12 16:00:00
0.345,0.35,0.35,0.345,6950,20000,2014-12-12 18:30:00
0.35,0.35,0.35,0.35,3500,10000,2014-12-19 17:10:00
0.39,0.39,0.39,0.39,19500,50000,2014-12-24 10:10:00
0.35,0.35,0.35,0.35,3500,10000,2014-12-26 11:50:00
0.343,0.343,0.343,0.343,54880,160000,2014-12-26 14:00:00
0.4,0.4,0.4,0.4,4000,10000,2015-01-05 17:00:00
0.35,0.35,0.35,0.35,3500,10000,2015-01-14 18:00:00
0.4,0.4,0.4,0.4,4000,10000,2015-01-21 11:40:00
0.37,0.43,0.43,0.37,38800,100000,2015-01-23 13:30:00
0.39,0.43,0.43,0.39,16000,40000,2015-01-23 14:30:00
0.31,0.399,0.399,0.31,50490,160000,2015-01-26 18:00:00
0.311,0.311,0.311,0.311,3110,10000,2015-01-27 17:40:00
0.349,0.349,0.349,0.349,6980,20000,2015-01-27 18:10:00
0.369,0.369,0.369,0.369,3690,10000,2015-01-27 18:30:00
0.357,0.357,0.357,0.357,28560,80000,2015-01-29 17:40:00
0.425,0.425,0.425,0.425,4250,10000,2015-03-04 13:30:00
0.25,0.25,0.25,0.25,35000,140000,2015-03-10 10:00:00
0.447,0.45,0.45,0.447,58270,130000,2015-03-10 10:10:00
0.32,0.32,0.32,0.32,3200,10000,2015-03-10 13:40:00
0.32,0.32,0.32,0.32,9600,30000,2015-03-10 15:00:00
0.32,0.32,0.32,0.32,44800,140000,2015-03-10 15:20:00
0.32,0.32,0.32,0.32,32000,100000,2015-03-10 16:10:00
0.371,0.371,0.371,0.371,3710,10000,2015-03-10 17:00:00
0.283,0.3,0.3,0.283,5830,20000,2015-03-11 11:20:00
0.301,0.301,0.301,0.301,3010,10000,2015-03-11 11:40:00
0.3,0.3,0.3,0.3,3000,10000,2015-03-11 12:20:00
0.3,0.3,0.3,0.3,27000,90000,2015-03-11 12:30:00
0.317,0.317,0.317,0.317,31700,100000,2015-03-11 13:00:00
0.32,0.32,0.32,0.32,3200,10000,2015-03-11 13:30:00
0.31,0.319,0.319,0.3,48400,160000,2015-03-11 17:00:00
0.301,0.3,0.301,0.3,48010,160000,2015-03-11 17:10:00
0.3,0.3,0.3,0.3,24000,80000,2015-03-11 17:40:00
0.3,0.3,0.3,0.3,6000,20000,2015-03-11 17:50:00
0.3,0.3,0.3,0.3,3000,10000,2015-03-11 18:10:00
0.3,0.3,0.3,0.3,3000,10000,2015-03-11 18:30:00
0.288,0.288,0.288,0.288,2880,10000,2015-03-12 11:40:00
0.29,0.289,0.29,0.289,5790,20000,2015-03-12 12:30:00
0.289,0.289,0.289,0.289,5780,20000,2015-03-12 13:10:00
0.3,0.3,0.3,0.3,3000,10000,2015-03-12 13:20:00
0.3,0.3,0.3,0.3,3000,10000,2015-03-13 12:30:00
0.285,0.28,0.285,0.28,42300,150000,2015-03-13 12:40:00
