Open,Close,High,Low,Value,Volume,Date
0.562,0.5608,0.5649,0.5607,8947648.100000001,15897000,2023-12-05 18:30:00
0.562,0.562,0.562,0.562,195014.0,347000,2023-12-05 18:40:00
0.5639,0.5639,0.5639,0.5639,201312.30000000005,357000,2023-12-06 09:50:00
0.5639,0.5601,0.5647,0.56,6731341.600000001,11986000,2023-12-06 10:00:00
0.5601,0.5616,0.5625,0.56,1947455.2,3469000,2023-12-06 10:10:00
0.5615,0.5612,0.5616,0.56,1335837.9,2383000,2023-12-06 10:20:00
0.5605,0.5604,0.5616,0.5601,1131796.3999999997,2019000,2023-12-06 10:30:00
0.5604,0.5611,0.5613,0.5602,556175.3,992000,2023-12-06 10:40:00
0.5611,0.5665,0.5665,0.5605,6780698.999999999,12022000,2023-12-06 10:50:00
0.5665,0.5629,0.5665,0.562,2861755.8000000003,5074000,2023-12-06 11:00:00
0.5629,0.561,0.5633,0.5605,1990801.4,3540000,2023-12-06 11:10:00
0.561,0.5614,0.562,0.5609,1453618.9,2589000,2023-12-06 11:20:00
0.5614,0.561,0.562,0.561,1781936.5000000002,3173000,2023-12-06 11:30:00
0.5615,0.5612,0.562,0.5605,1607593.5,2863000,2023-12-06 11:40:00
0.5618,0.5599,0.562,0.556,6081443.100000001,10876000,2023-12-06 11:50:00
0.56,0.5589,0.56,0.5586,929965.3000000002,1664000,2023-12-06 12:00:00
0.5588,0.5589,0.5589,0.5576,1180579.4,2114000,2023-12-06 12:10:00
0.5589,0.56,0.5606,0.5587,1118640.2999999998,1999000,2023-12-06 12:20:00
0.5599,0.5595,0.5609,0.559,1031827.7999999998,1843000,2023-12-06 12:30:00
0.5596,0.5575,0.5596,0.5575,1316594.5,2358000,2023-12-06 12:40:00
0.5575,0.558,0.5596,0.557,8630489.700000001,15436000,2023-12-06 12:50:00
0.558,0.5573,0.5594,0.557,2040719.9,3661000,2023-12-06 13:00:00
0.5572,0.557,0.5575,0.5566,2227388.9999999995,3999000,2023-12-06 13:10:00
0.557,0.5561,0.558,0.556,3836536.0000000005,6896000,2023-12-06 13:20:00
0.5561,0.5572,0.5587,0.556,2770859.1999999997,4980000,2023-12-06 13:30:00
0.5571,0.556,0.5573,0.5556,2384266.200000001,4287000,2023-12-06 13:40:00
0.556,0.5574,0.5574,0.5557,4877081.0,8768000,2023-12-06 13:50:00
0.5574,0.5578,0.5586,0.5573,1413059.0,2534000,2023-12-06 14:00:00
0.5578,0.5583,0.5586,0.557,745297.0,1336000,2023-12-06 14:10:00
0.5575,0.5582,0.5584,0.5571,577997.0,1036000,2023-12-06 14:20:00
0.5579,0.5592,0.5592,0.5569,1913729.7999999996,3426000,2023-12-06 14:30:00
0.5592,0.559,0.5593,0.558,702056.5999999999,1256000,2023-12-06 14:40:00
0.5581,0.5582,0.5589,0.5565,2946776.1999999997,5291000,2023-12-06 14:50:00
0.5582,0.556,0.5585,0.5559,4033664.1000000006,7243000,2023-12-06 15:00:00
0.556,0.5555,0.5578,0.553,13933528.4,25110000,2023-12-06 15:10:00
0.5554,0.5554,0.5555,0.5545,3822877.9000000004,6889000,2023-12-06 15:20:00
0.5553,0.5562,0.5569,0.554,1467923.0999999999,2642000,2023-12-06 15:30:00
0.556,0.5558,0.5565,0.5552,1921550.4999999998,3457000,2023-12-06 15:40:00
0.5558,0.5553,0.5564,0.5551,2119203.1999999997,3813000,2023-12-06 15:50:00
0.5553,0.5564,0.5567,0.5551,1155217.9,2079000,2023-12-06 16:00:00
0.5563,0.5586,0.5592,0.5559,6322735.999999999,11323000,2023-12-06 16:10:00
0.5582,0.5574,0.5586,0.5558,1379763.7,2478000,2023-12-06 16:20:00
0.5575,0.5578,0.5581,0.5571,310617.6,557000,2023-12-06 16:30:00
0.5577,0.5579,0.558,0.5565,656281.6,1178000,2023-12-06 16:40:00
0.5579,0.5572,0.5579,0.5572,1431167.7,2568000,2023-12-06 16:50:00
0.5576,0.5576,0.5578,0.5565,821716.3999999999,1475000,2023-12-06 17:00:00
0.5576,0.5568,0.5577,0.5558,803422.7000000002,1444000,2023-12-06 17:10:00
0.5568,0.5569,0.5572,0.5561,301222.9,541000,2023-12-06 17:20:00
0.5569,0.5575,0.5575,0.5561,415958.99999999994,747000,2023-12-06 17:30:00
0.5572,0.5562,0.5572,0.556,442493.89999999997,795000,2023-12-06 17:40:00
0.5562,0.5569,0.5569,0.5561,494140.69999999995,888000,2023-12-06 17:50:00
0.5569,0.5559,0.5569,0.555,4984252.000000001,8973000,2023-12-06 18:00:00
0.5556,0.556,0.556,0.5551,1543466.9000000001,2779000,2023-12-06 18:10:00
0.5558,0.5557,0.556,0.5556,1461454.2999999998,2629000,2023-12-06 18:20:00
0.5557,0.5556,0.5557,0.5555,1774983.7,3195000,2023-12-06 18:30:00
0.5556,0.5556,0.5556,0.5556,264465.60000000003,476000,2023-12-06 18:40:00
