Open,Close,High,Low,Value,Volume,Date
805.0,805.0,805.0,805.0,805.0,1,2014-06-09 16:00:00
815.0,815.0,815.0,815.0,815.0,1,2014-06-09 16:10:00
801.1,801.1,801.1,801.1,4005.5,5,2014-06-16 15:40:00
799.0,799.0,799.0,799.0,799.0,1,2014-06-16 16:40:00
800.0,800.0,800.0,781.0,44135.0,56,2014-06-16 17:50:00
788.1,800.0,800.0,788.1,31009.6,39,2014-06-16 18:30:00
751.0,708.0,751.0,708.0,35658.0,50,2014-06-17 10:00:00
799.0,799.0,799.0,799.0,799.0,1,2014-06-17 10:10:00
795.0,801.9,801.9,795.0,4002.6,5,2014-06-17 10:20:00
800.7,793.0,800.7,793.0,9580.2,12,2014-06-17 10:40:00
805.7,803.6,805.7,795.5,5602.3,7,2014-06-17 11:00:00
805.0,807.0,807.7,792.0,12029.3,15,2014-06-17 11:20:00
807.0,790.0,807.8,790.0,11237.9,14,2014-06-17 11:50:00
790.0,780.0,790.0,779.0,272842.0,350,2014-06-17 13:40:00
799.8,800.0,800.0,799.8,42399.4,53,2014-06-17 16:20:00
801.9,801.9,801.9,801.9,801.9,1,2014-06-17 17:50:00
796.1,796.1,796.1,796.1,3184.4,4,2014-06-17 18:10:00
802.9,809.9,809.9,802.0,37211.6,46,2014-06-17 18:20:00
800.8,807.0,807.0,799.1,4804.2,6,2014-06-18 16:40:00
810.8,810.9,810.9,803.1,29892.3,37,2014-06-18 16:50:00
801.4,810.3,810.3,801.4,1611.6999999999998,2,2014-06-18 17:00:00
740.1,740.1,740.1,740.1,740.1,1,2014-06-19 10:00:00
803.9,804.7,804.7,803.9,1608.6,2,2014-06-19 10:10:00
800.0,800.0,800.0,800.0,8000.0,10,2014-06-19 12:30:00
770.1,770.1,770.1,770.1,3850.5,5,2014-06-19 17:30:00
799.6,799.6,799.6,799.6,3998.0,5,2014-06-19 18:30:00
785.7,785.7,785.7,785.7,785.7,1,2014-06-23 10:50:00
763.2,763.2,763.2,763.2,763.2,1,2014-06-23 11:00:00
790.1,804.7,804.7,790.0,6379.1,8,2014-06-23 16:00:00
790.1,790.1,790.1,790.1,790.1,1,2014-06-24 10:00:00
786.3,786.3,786.3,786.3,3145.2,4,2014-06-24 12:00:00
785.0,770.0,785.0,770.0,2325.1,3,2014-06-24 12:50:00
794.2,794.2,794.2,794.2,794.2,1,2014-06-24 13:20:00
790.0,790.0,790.0,790.0,790.0,1,2014-06-24 13:50:00
800.0,800.0,800.0,800.0,3200.0,4,2014-06-24 14:00:00
799.0,800.0,800.0,785.0,17562.8,22,2014-06-24 15:30:00
790.0,790.0,790.0,790.0,790.0,1,2014-06-24 16:50:00
790.0,785.1,790.0,785.1,2360.2,3,2014-06-24 17:40:00
799.7,799.7,799.7,799.7,1599.4,2,2014-06-25 11:40:00
800.0,800.0,800.0,800.0,19200.0,24,2014-06-25 11:50:00
799.0,790.1,799.0,790.1,6349.4,8,2014-06-25 13:40:00
790.0,799.6,799.6,790.0,3988.4,5,2014-06-25 13:50:00
790.1,799.6,799.6,790.0,7148.8,9,2014-06-25 14:40:00
799.6,799.6,799.6,799.6,799.6,1,2014-06-25 18:20:00
770.0,770.0,770.0,770.0,770.0,1,2014-06-26 13:20:00
790.7,790.7,790.7,790.7,1581.4,2,2014-06-26 15:00:00
795.0,798.9,798.9,790.0,3182.8,4,2014-06-26 18:20:00
754.4,754.4,754.4,754.4,754.4,1,2014-06-27 10:10:00
771.7,771.7,771.7,771.7,771.7,1,2014-06-27 13:10:00
793.0,806.8,806.8,793.0,1599.8,2,2014-06-30 13:20:00
812.9,814.9,814.9,812.9,44814.0,55,2014-06-30 14:30:00
800.2,800.1,800.2,800.1,2400.4,3,2014-07-02 12:10:00
799.9,799.9,799.9,799.9,799.9,1,2014-07-03 10:00:00
800.0,800.0,800.0,800.0,4800.0,6,2014-07-03 10:10:00
800.0,800.0,800.0,800.0,8800.0,11,2014-07-03 11:50:00
790.4,799.9,799.9,790.4,14312.7,18,2014-07-03 14:00:00
790.4,790.4,790.4,790.4,790.4,1,2014-07-03 16:50:00
798.7,798.7,798.7,798.7,798.7,1,2014-07-04 17:30:00
783.0,783.0,783.0,783.0,783.0,1,2014-07-04 18:00:00
793.6,793.5,793.6,793.5,6348.3,8,2014-07-07 16:10:00
793.5,793.5,793.5,793.5,3967.5,5,2014-07-07 16:30:00
793.1,793.1,804.7,793.1,59602.700000000004,75,2014-07-07 16:40:00
796.3,796.3,796.3,796.3,3981.5,5,2014-07-07 17:50:00
790.0,790.0,790.0,790.0,790.0,1,2014-07-09 13:10:00
790.0,790.0,790.0,790.0,3160.0,4,2014-07-09 15:40:00
790.0,790.0,790.0,790.0,790.0,1,2014-07-09 18:20:00
790.0,790.0,790.0,790.0,3950.0,5,2014-07-09 18:30:00
777.0,777.0,777.0,777.0,777.0,1,2014-07-15 12:30:00
779.0,780.0,780.0,779.0,4679.0,6,2014-07-15 17:40:00
785.1,785.0,785.1,785.0,4710.5,6,2014-07-15 18:00:00
785.0,785.0,785.0,785.0,1570.0,2,2014-07-15 18:30:00
777.0,731.5,777.0,731.5,26627.5,36,2014-07-16 18:30:00
785.6,785.6,785.6,785.6,7856.0,10,2014-07-17 16:40:00
740.1,740.0,740.1,740.0,2960.2,4,2014-07-18 16:30:00
731.5,731.5,731.5,731.5,731.5,1,2014-07-18 18:30:00
787.5,787.5,787.5,787.5,787.5,1,2014-07-21 11:10:00
780.6,780.6,780.6,780.6,780.6,1,2014-07-21 11:40:00
740.1,730.0,740.1,730.0,29236.7,40,2014-07-22 14:30:00
750.0,750.0,750.0,750.0,750.0,1,2014-07-22 14:40:00
740.0,740.0,740.0,740.0,2220.0,3,2014-07-22 16:40:00
740.0,740.0,740.0,740.0,740.0,1,2014-07-22 17:10:00
740.0,740.0,740.0,740.0,16280.0,22,2014-07-22 17:20:00
781.7,781.7,781.7,781.7,3908.5,5,2014-07-22 17:40:00
771.6,771.6,771.6,771.6,771.6,1,2014-07-23 11:00:00
750.0,750.0,750.0,750.0,750.0,1,2014-07-23 18:00:00
749.9,749.9,749.9,749.9,749.9,1,2014-07-24 10:00:00
750.0,750.0,750.0,750.0,2250.0,3,2014-07-25 18:00:00
730.1,735.1,735.1,715.0,103991.0,144,2014-07-28 12:10:00
720.0,701.8,720.0,701.1,77979.4,111,2014-07-28 14:40:00
715.0,715.0,715.0,715.0,1430.0,2,2014-07-28 14:50:00
715.0,715.0,715.0,715.0,3575.0,5,2014-07-28 15:00:00
701.0,700.0,701.0,700.0,2802.9,4,2014-07-28 15:20:00
700.1,700.0,700.1,700.0,11200.1,16,2014-07-28 16:20:00
733.2,705.0,733.3,705.0,101916.59999999999,144,2014-07-28 17:40:00
705.0,705.0,705.0,705.0,24675.0,35,2014-07-28 18:10:00
740.4,740.4,740.4,740.4,740.4,1,2014-07-29 10:30:00
720.0,720.0,720.0,720.0,720.0,1,2014-07-29 11:20:00
720.0,720.0,720.0,720.0,720.0,1,2014-07-29 11:30:00
734.6,749.0,749.0,734.6,159518.90000000002,217,2014-07-30 14:00:00
735.1,735.0,735.1,735.0,10290.6,14,2014-07-30 14:30:00
735.0,735.0,735.0,735.0,1470.0,2,2014-07-30 15:40:00
735.0,735.0,735.0,735.0,1470.0,2,2014-07-30 18:30:00
720.1,700.0,720.1,700.0,12901.8,18,2014-07-31 15:10:00
700.0,720.1,720.1,700.0,63864.3,90,2014-07-31 15:20:00
703.3,703.3,703.3,703.3,1406.6,2,2014-07-31 15:40:00
703.1,703.1,703.1,703.1,703.1,1,2014-07-31 15:50:00
715.0,715.0,715.0,715.0,715.0,1,2014-08-04 15:20:00
729.4,729.4,729.4,729.4,729.4,1,2014-08-05 17:30:00
675.0,650.0,675.0,649.9,66347.5,101,2014-08-06 15:10:00
665.0,642.3,666.0,642.3,38847.1,60,2014-08-06 15:20:00
650.0,650.0,650.0,650.0,650.0,1,2014-08-06 15:30:00
645.0,621.5,645.0,621.5,61565.6,99,2014-08-06 15:50:00
650.0,650.0,650.0,650.0,650.0,1,2014-08-06 16:30:00
650.0,650.0,650.0,650.0,650.0,1,2014-08-06 16:40:00
650.0,650.0,650.0,650.0,650.0,1,2014-08-06 16:50:00
650.0,665.0,665.0,650.0,1315.0,2,2014-08-06 17:30:00
650.0,650.0,650.0,650.0,1300.0,2,2014-08-06 17:40:00
650.0,650.0,650.0,650.0,2600.0,4,2014-08-06 17:50:00
635.0,635.0,635.0,635.0,25400.0,40,2014-08-06 18:10:00
650.0,650.0,650.0,650.0,650.0,1,2014-08-06 18:30:00
699.5,699.5,699.5,699.5,699.5,1,2014-08-11 10:00:00
628.8,628.7,628.8,628.7,22004.6,35,2014-08-11 13:40:00
628.1,628.0,628.1,628.0,1884.1,3,2014-08-11 15:10:00
625.0,621.0,625.0,621.0,6214.2,10,2014-08-11 15:30:00
620.9,621.0,621.0,620.9,2483.9,4,2014-08-11 15:40:00
629.0,629.0,629.0,629.0,18241.0,29,2014-08-11 18:00:00
620.6,620.5,620.6,620.5,3723.1,6,2014-08-12 10:40:00
625.0,625.0,625.0,625.0,6250.0,10,2014-08-12 11:30:00
620.0,620.0,620.0,620.0,8060.0,13,2014-08-12 17:20:00
691.9,691.9,691.9,691.9,691.9,1,2014-08-13 14:40:00
664.0,664.0,664.0,664.0,664.0,1,2014-08-13 17:50:00
664.0,665.0,665.0,664.0,2657.0,4,2014-08-13 18:00:00
650.1,650.1,650.1,650.1,650.1,1,2014-08-18 17:10:00
650.0,650.0,650.0,650.0,32500.0,50,2014-08-18 17:50:00
650.0,650.8,650.8,650.0,13666.0,21,2014-08-18 18:10:00
