Open,Close,High,Low,Value,Volume,Date
6001,6000,6001,6000,36001,6,2014-06-20 16:50:00
5700,6000,6000,5700,11700,2,2014-07-01 16:30:00
6000,6000,6000,6000,78000,13,2014-07-01 16:40:00
6000,6000,6000,6000,96000,16,2014-07-03 10:50:00
5350,5350,5350,5350,96300,18,2014-07-04 10:00:00
5500,6000,6000,5500,107099,18,2014-07-04 11:10:00
6000,6000,6000,6000,60000,10,2014-07-04 11:20:00
6000,6000,6000,6000,60000,10,2014-07-04 11:40:00
6299,6350,6350,6299,126947,20,2014-07-14 17:00:00
6949,6949,6949,6949,55592,8,2014-07-18 13:20:00
6300,6300,6300,6300,31500,5,2014-07-23 17:00:00
6350,6350,6350,6350,63500,10,2014-07-23 17:40:00
6100,6000,6100,6000,241000,40,2014-08-04 16:50:00
6300,6300,6300,6300,189000,30,2014-08-08 11:40:00
6300,6300,6300,6300,6300,1,2014-08-12 16:10:00
6000,6000,6000,6000,60000,10,2014-08-19 16:40:00
6299,6299,6299,6299,62990,10,2014-08-26 13:10:00
6400,6400,6400,6400,268800,42,2014-08-26 18:30:00
6201,6200,6201,6200,68201,11,2014-08-28 18:20:00
6499,6499,6499,6499,6499,1,2014-09-05 18:30:00
6555,6555,6555,6555,13110,2,2014-09-08 11:00:00
6200,6200,6200,6200,37200,6,2014-09-09 11:10:00
6300,6300,6300,6300,6300,1,2014-09-09 13:40:00
6299,6299,6299,6299,6299,1,2014-09-09 15:50:00
6201,6200,6201,6200,74402,12,2014-09-10 11:20:00
6200,6200,6200,6200,12400,2,2014-09-10 16:10:00
6350,6500,6500,6350,128500,20,2014-09-11 13:10:00
6590,6590,6590,6590,19770,3,2014-09-11 14:40:00
6401,6400,6401,6400,134401,21,2014-09-11 18:30:00
6550,6550,6550,6550,6550,1,2014-09-12 12:10:00
6550,6700,6700,6550,98961,15,2014-09-12 15:10:00
6790,6790,6790,6790,6790,1,2014-09-15 11:00:00
6795,6800,6800,6795,13595,2,2014-09-15 12:00:00
6800,6904,6904,6800,143939,21,2014-09-16 10:40:00
6800,6800,6800,6800,102000,15,2014-09-16 10:50:00
6880,6880,6880,6880,68800,10,2014-09-16 11:00:00
6700,6850,6850,6700,169258,25,2014-09-17 10:30:00
6900,6900,6900,6900,6900,1,2014-09-17 10:40:00
6900,6900,6900,6900,6900,1,2014-09-17 11:20:00
6950,6950,6950,6950,6950,1,2014-09-17 12:40:00
6950,6950,6950,6950,13900,2,2014-09-17 12:50:00
6950,6950,6950,6950,13900,2,2014-09-17 13:00:00
6960,6960,6960,6960,6960,1,2014-09-17 13:10:00
6801,6801,6801,6801,6801,1,2014-09-17 18:10:00
7000,7000,7000,7000,28000,4,2014-09-18 10:30:00
7000,7000,7000,7000,70000,10,2014-09-18 10:50:00
7062,7062,7062,7062,7062,1,2014-09-18 11:00:00
6700,6800,6800,6700,135000,20,2014-09-22 10:20:00
6700,6780,6780,6700,154900,23,2014-09-22 10:30:00
6700,6700,6700,6700,26800,4,2014-09-22 10:40:00
6303,6303,6303,6303,37818,6,2014-09-22 14:50:00
6270,6270,6270,6270,62700,10,2014-09-24 13:20:00
6799,6799,6799,6799,20397,3,2014-09-25 10:30:00
6500,6500,6500,6500,19500,3,2014-09-25 14:20:00
6400,6400,6400,6400,64000,10,2014-09-25 15:10:00
6350,6350,6350,6350,127000,20,2014-09-25 15:30:00
6350,6350,6350,6350,12700,2,2014-09-25 16:30:00
6250,6200,6250,6200,86900,14,2014-09-26 17:10:00
6350,6350,6350,6350,6350,1,2014-09-26 17:30:00
6300,6300,6300,6300,69300,11,2014-09-26 17:40:00
6982,6982,6982,6982,6982,1,2014-09-29 10:00:00
6230,6200,6230,6200,93097,15,2014-09-29 17:10:00
6300,6300,6300,6300,69300,11,2014-09-29 17:40:00
6205,6205,6205,6205,12410,2,2014-09-30 13:20:00
6200,6200,6200,6200,86800,14,2014-10-02 15:20:00
6300,6300,6300,6300,75600,12,2014-10-02 17:20:00
6400,6500,6500,6400,12900,2,2014-10-07 15:50:00
6100,6100,6100,6100,12200,2,2014-10-09 15:50:00
6130,6000,6130,6000,72160,12,2014-10-10 18:30:00
