Open,Close,High,Low,Value,Volume,Date
0.0305,0.0305,0.0305,0.0305,305.0,10000,2014-06-09 11:10:00
0.03049,0.03049,0.03049,0.03049,9147.0,300000,2014-06-09 12:20:00
0.03,0.03,0.03,0.03,12000.0,400000,2014-06-10 10:00:00
0.03048,0.03048,0.03048,0.03048,304.8,10000,2014-06-10 11:10:00
0.03039,0.03039,0.03039,0.03039,911.7,30000,2014-06-10 16:30:00
0.03048,0.03048,0.03048,0.03048,1219.2,40000,2014-06-10 17:10:00
0.03025,0.03025,0.03025,0.03025,907.5,30000,2014-06-11 10:10:00
0.0305,0.0305,0.0305,0.0305,305.0,10000,2014-06-11 10:30:00
0.0305,0.03156,0.03156,0.0305,15271.0,500000,2014-06-11 10:50:00
0.03089,0.03089,0.03089,0.03089,10193.7,330000,2014-06-11 11:00:00
0.0305,0.0305,0.0305,0.0305,305.0,10000,2014-06-11 12:50:00
0.03,0.03,0.03,0.03,900.0,30000,2014-06-16 11:20:00
0.03049,0.03049,0.03049,0.03049,304.9,10000,2014-06-16 17:10:00
0.02951,0.02988,0.02988,0.02951,10745.699999999999,360000,2014-06-16 17:20:00
0.02952,0.02952,0.02952,0.02952,29520.0,1000000,2014-06-18 12:00:00
0.02952,0.02952,0.02952,0.02952,29520.0,1000000,2014-06-18 12:10:00
0.03049,0.03049,0.03049,0.03049,1219.6,40000,2014-06-19 10:10:00
0.0305,0.0305,0.0305,0.0305,915.0,30000,2014-06-19 10:40:00
0.03,0.03,0.03,0.03,300.0,10000,2014-06-19 13:40:00
0.03007,0.03002,0.03007,0.03002,5103.9,170000,2014-06-19 14:20:00
0.02999,0.02999,0.02999,0.02999,299.9,10000,2014-06-19 16:40:00
0.02999,0.03,0.03,0.02999,4798.5,160000,2014-06-19 18:10:00
0.03,0.03,0.03,0.03,3000.0,100000,2014-06-19 18:20:00
0.0292,0.029,0.0292,0.029,58646.9,2020000,2014-06-20 10:40:00
0.03009,0.03009,0.03009,0.03009,300.9,10000,2014-06-20 12:20:00
0.02948,0.02949,0.02949,0.02948,11499.6,390000,2014-06-20 14:00:00
0.02973,0.02973,0.02973,0.02973,297.3,10000,2014-06-20 18:00:00
0.02973,0.0305,0.0305,0.02973,13690.1,450000,2014-06-20 18:20:00
0.0305,0.0305,0.0305,0.0305,12200.0,400000,2014-06-20 18:30:00
0.03007,0.03,0.03007,0.03,9915.3,330000,2014-06-23 11:00:00
0.02999,0.02999,0.02999,0.02999,4498.5,150000,2014-06-23 16:30:00
0.03043,0.03043,0.03043,0.03043,608.6,20000,2014-06-24 11:40:00
0.03049,0.03049,0.03049,0.03049,1524.5,50000,2014-06-25 11:40:00
0.0293,0.02927,0.0293,0.02927,2343.6,80000,2014-06-25 16:40:00
0.03014,0.03013,0.03014,0.03013,2109.2,70000,2014-06-25 17:40:00
0.02965,0.02965,0.02965,0.02965,296.5,10000,2014-06-25 18:10:00
0.03046,0.03046,0.03046,0.03046,304.6,10000,2014-06-26 11:10:00
0.02985,0.029,0.02985,0.029,14247.699999999999,490000,2014-06-26 12:30:00
