Open,Close,High,Low,Value,Volume,Date
18.34,18.339,18.34,18.339,38512.9,2100,2012-02-27 10:10:00
17.65,17.98,17.98,17.5,352533.0,20100,2012-02-27 10:20:00
17.999,18.0,18.0,17.999,295198.1,16400,2012-02-27 10:50:00
17.8,17.999,17.999,17.8,3579.9,200,2012-02-27 11:10:00
17.99,18.0,18.0,17.99,419350.1,23300,2012-02-27 11:20:00
18.0,18.0,18.0,18.0,131400.0,7300,2012-02-27 11:30:00
18.0,18.0,18.0,18.0,84600.0,4700,2012-02-27 11:40:00
18.0,18.0,18.0,18.0,93600.0,5200,2012-02-27 12:00:00
17.99,18.0,18.0,17.99,71999.0,4000,2012-02-27 12:10:00
18.01,18.01,18.01,18.01,133274.0,7400,2012-02-27 12:20:00
18.0,18.01,18.01,18.0,64835.0,3600,2012-02-27 14:10:00
18.01,18.01,18.01,18.01,163891.0,9100,2012-02-27 14:40:00
18.08,18.08,18.08,18.08,139216.0,7700,2012-02-27 15:20:00
18.08,18.08,18.08,18.08,184416.0,10200,2012-02-27 15:40:00
18.08,18.08,18.08,18.08,1808.0,100,2012-02-27 15:50:00
18.08,18.08,18.08,18.08,117520.0,6500,2012-02-27 16:00:00
18.08,18.08,18.08,18.08,10848.0,600,2012-02-27 16:10:00
18.071,18.2,18.2,18.071,748557.0,41400,2012-02-27 16:50:00
18.299,18.3,18.3,18.297,382469.4,20900,2012-02-27 17:00:00
18.3,18.33,18.33,18.3,186663.0,10200,2012-02-27 17:10:00
18.33,18.338,18.338,18.33,115527.0,6300,2012-02-27 17:20:00
18.26,18.25,18.265,18.25,677318.6,37100,2012-02-27 17:30:00
18.25,18.21,18.25,18.21,565710.0,31000,2012-02-27 17:40:00
18.338,18.338,18.338,18.336,78853.1,4300,2012-02-27 17:50:00
18.25,18.35,18.35,18.25,677249.0,37000,2012-02-27 18:00:00
18.35,18.35,18.35,18.35,7340.0,400,2012-02-27 18:10:00
18.35,18.35,18.35,18.35,73400.0,4000,2012-02-27 18:40:00
18.32,18.213,18.32,18.213,9138.6,500,2012-02-28 10:00:00
18.399,18.495,18.495,18.21,241157.3,13200,2012-02-28 10:10:00
18.496,18.0,18.496,18.0,250972.4,13900,2012-02-28 10:30:00
18.001,18.001,18.001,18.001,82804.6,4600,2012-02-28 10:40:00
18.001,18.349,18.349,18.0,137394.9,7600,2012-02-28 10:50:00
18.121,18.12,18.121,18.12,219252.6,12100,2012-02-28 11:00:00
18.1,18.1,18.1,18.1,86880.0,4800,2012-02-28 11:20:00
18.299,18.3,18.3,18.299,34768.9,1900,2012-02-28 11:30:00
18.299,18.299,18.299,18.299,9149.5,500,2012-02-28 11:40:00
18.111,18.11,18.111,18.11,144880.7,8000,2012-02-28 11:50:00
18.11,18.17,18.17,18.11,331581.0,18300,2012-02-28 12:10:00
18.2,18.2,18.2,18.2,400400.0,22000,2012-02-28 12:20:00
18.2,18.2,18.2,18.2,191100.0,10500,2012-02-28 12:30:00
18.2,18.2,18.2,18.2,145600.0,8000,2012-02-28 12:40:00
18.2,18.2,18.2,18.2,18200.0,1000,2012-02-28 12:50:00
18.22,18.22,18.22,18.22,590328.0,32400,2012-02-28 13:30:00
18.21,18.21,18.21,18.21,364200.0,20000,2012-02-28 13:40:00
18.21,18.21,18.21,18.21,1821.0,100,2012-02-28 14:10:00
18.2,18.2,18.2,18.2,309400.0,17000,2012-02-28 14:20:00
18.18,18.18,18.18,18.18,545400.0,30000,2012-02-28 14:30:00
18.191,18.191,18.191,18.191,449317.7,24700,2012-02-28 15:00:00
18.17,18.1,18.17,18.1,43456.6,2400,2012-02-28 15:10:00
18.17,18.199,18.199,18.17,194427.9,10700,2012-02-28 16:20:00
18.185,18.185,18.185,18.185,500087.5,27500,2012-02-28 16:40:00
18.15,18.17,18.17,18.15,635927.0,35000,2012-02-28 17:20:00
18.17,18.17,18.17,18.17,254380.0,14000,2012-02-28 17:30:00
18.17,18.17,18.17,18.17,72680.0,4000,2012-02-28 17:40:00
18.17,18.101,18.17,18.101,92660.1,5100,2012-02-28 17:50:00
18.15,18.17,18.17,18.15,323410.0,17800,2012-02-28 18:00:00
18.167,18.17,18.17,18.167,118104.7,6500,2012-02-28 18:10:00
18.175,18.175,18.175,18.175,1817.5,100,2012-02-29 10:10:00
18.057,18.057,18.057,18.057,218489.7,12100,2012-02-29 11:30:00
18.1,18.1,18.1,18.01,818011.1,45200,2012-02-29 11:40:00
18.12,18.12,18.12,18.12,289920.0,16000,2012-02-29 12:00:00
18.1,18.1,18.1,18.1,1810.0,100,2012-02-29 12:50:00
18.115,18.115,18.115,18.115,362300.0,20000,2012-02-29 13:10:00
18.175,18.175,18.175,18.175,5452.5,300,2012-02-29 13:40:00
18.175,18.175,18.175,18.175,5452.5,300,2012-02-29 14:50:00
18.13,18.13,18.13,18.13,453250.0,25000,2012-02-29 15:00:00
18.122,18.122,18.122,18.122,516477.0,28500,2012-02-29 15:10:00
18.13,18.13,18.13,18.13,362600.0,20000,2012-02-29 15:20:00
18.135,18.135,18.135,18.135,652860.0,36000,2012-02-29 15:40:00
18.122,18.122,18.122,18.122,1812.2,100,2012-02-29 15:50:00
18.122,18.0,18.122,18.0,216540.8,12000,2012-02-29 16:20:00
18.0,18.0,18.0,18.0,21600.0,1200,2012-02-29 16:50:00
