Open,Close,High,Low,Value,Volume,Date
701.5,701.5,701.5,701.5,7716.5,11,2015-04-30 10:20:00
701.5,701.5,701.5,701.5,2104.5,3,2015-04-30 10:30:00
701.5,701.5,701.5,701.5,37881.0,54,2015-04-30 10:40:00
701.5,701.5,701.5,701.0,3507.0,5,2015-04-30 10:50:00
701.5,702.0,702.0,701.5,719754.0,1026,2015-04-30 11:10:00
702.0,702.0,702.0,702.0,53352.0,76,2015-04-30 11:20:00
702.0,703.0,703.0,702.0,4331210.0,6168,2015-04-30 11:30:00
703.0,703.8,703.8,703.0,2106500.1999999997,2995,2015-04-30 11:40:00
703.8,705.0,705.0,703.8,2345758.8,3332,2015-04-30 11:50:00
705.0,705.0,705.0,705.0,1419870.0,2014,2015-04-30 12:00:00
705.0,706.5,706.5,705.0,1136764.5,1610,2015-04-30 12:10:00
706.5,707.7,707.7,706.5,1091398.8,1544,2015-04-30 12:20:00
707.7,707.7,707.7,707.7,857732.4,1212,2015-04-30 12:30:00
707.7,707.7,707.7,707.7,772100.7000000001,1091,2015-04-30 12:40:00
707.7,708.4,708.4,707.0,1445382.2,2042,2015-04-30 12:50:00
708.4,708.4,708.4,708.4,1749039.6,2469,2015-04-30 13:00:00
708.4,709.5,709.5,708.4,1197761.6,1689,2015-04-30 13:10:00
710.0,710.0,710.0,710.0,82360.0,116,2015-04-30 13:20:00
710.0,710.0,710.0,710.0,2901060.0,4086,2015-04-30 13:30:00
708.5,709.9,709.9,708.5,12756.3,18,2015-04-30 13:40:00
709.9,715.5,715.5,709.9,636865.7,897,2015-04-30 13:50:00
715.5,717.9,717.9,715.5,7887.3,11,2015-04-30 14:00:00
717.4,717.4,717.4,717.4,11478.4,16,2015-04-30 14:10:00
716.9,715.9,716.9,715.9,58755.8,82,2015-04-30 14:20:00
712.0,725.0,725.0,705.6,1884305.7999999998,2670,2015-04-30 14:30:00
707.0,705.6,715.0,705.6,987871.2,1400,2015-04-30 14:40:00
705.6,705.6,705.6,705.6,1037232.0,1470,2015-04-30 14:50:00
705.6,705.6,710.4,705.6,1296225.5999999999,1836,2015-04-30 15:00:00
705.6,705.6,710.2,705.6,1093632.9000000001,1549,2015-04-30 15:10:00
705.6,705.7,710.5,705.6,1572814.6,2224,2015-04-30 15:20:00
705.7,705.6,709.8,705.6,1190428.0999999999,1687,2015-04-30 15:30:00
705.6,705.6,709.8,705.6,1076854.8,1526,2015-04-30 15:40:00
705.6,705.6,710.5,705.6,1176421.7000000002,1666,2015-04-30 15:50:00
705.6,705.6,709.8,705.6,1058525.5,1500,2015-04-30 16:00:00
705.6,705.6,709.9,705.6,1295782.7,1835,2015-04-30 16:10:00
705.6,705.6,709.9,705.6,1497854.7999999998,2121,2015-04-30 16:20:00
705.6,705.6,706.0,705.6,1038643.6000000001,1472,2015-04-30 16:30:00
705.6,705.6,710.5,705.6,1768286.9,2500,2015-04-30 16:40:00
705.6,705.6,705.6,705.6,1037937.5999999999,1471,2015-04-30 16:50:00
705.6,705.6,709.0,705.6,1313967.9,1862,2015-04-30 17:00:00
705.6,705.6,710.9,705.6,2836110.000000001,4003,2015-04-30 17:10:00
705.6,705.6,706.0,705.6,1038842.9000000001,1472,2015-04-30 17:20:00
705.6,705.6,705.6,705.6,1037937.5999999999,1471,2015-04-30 17:30:00
708.0,705.6,710.5,705.6,1090491.3,1545,2015-04-30 17:40:00
705.7,705.8,709.0,705.6,1130244.3,1601,2015-04-30 17:50:00
708.9,705.6,709.8,705.6,1267969.7,1795,2015-04-30 18:00:00
705.6,705.9,709.5,705.6,1336828.6,1892,2015-04-30 18:10:00
709.0,705.7,709.0,705.6,1130354.7,1601,2015-04-30 18:20:00
706.5,710.0,710.7,705.9,401660.6,567,2015-04-30 18:30:00
710.0,710.0,710.0,710.0,1420.0,2,2015-04-30 18:40:00
740.0,740.0,740.0,740.0,1480.0,2,2015-05-05 10:00:00
739.9,739.9,739.9,739.9,6659.1,9,2015-05-05 10:10:00
739.8,739.9,739.9,739.8,59931.0,81,2015-05-05 10:20:00
739.9,739.9,739.9,739.9,23676.8,32,2015-05-05 10:30:00
739.8,739.8,739.8,739.8,1479.6,2,2015-05-05 10:40:00
739.9,739.9,739.9,739.9,2959.6,4,2015-05-05 10:50:00
739.8,739.8,739.8,739.8,5178.6,7,2015-05-05 11:10:00
739.6,709.0,739.8,709.0,12329.400000000001,17,2015-05-05 11:30:00
738.8,738.8,738.8,738.8,738.8,1,2015-05-05 15:30:00
734.9,734.9,734.9,734.9,734.9,1,2015-05-05 18:40:00
715.0,715.0,715.0,715.0,715.0,1,2015-05-06 11:10:00
717.0,717.0,717.0,717.0,39435.0,55,2015-05-06 12:20:00
717.0,717.0,717.0,717.0,3585.0,5,2015-05-06 12:30:00
717.0,717.0,717.0,717.0,717.0,1,2015-05-06 12:40:00
713.0,713.0,713.0,713.0,1426.0,2,2015-05-06 13:00:00
713.0,711.3,713.0,711.3,28515.2,40,2015-05-06 13:10:00
711.2,711.2,711.2,711.2,711.2,1,2015-05-06 13:40:00
717.0,717.0,717.0,717.0,7170.0,10,2015-05-06 13:50:00
717.0,717.0,717.0,717.0,717.0,1,2015-05-06 14:20:00
712.0,712.0,712.0,712.0,712.0,1,2015-05-06 14:40:00
712.1,712.1,712.1,712.1,7121.0,10,2015-05-06 16:00:00
713.0,713.0,713.0,713.0,1426.0,2,2015-05-06 17:10:00
715.0,715.0,715.0,715.0,2860.0,4,2015-05-06 17:30:00
717.0,711.3,717.0,711.3,11437.8,16,2015-05-06 18:30:00
712.2,711.6,712.2,711.6,7119.9,10,2015-05-07 10:10:00
711.6,711.6,711.6,711.6,6404.4,9,2015-05-07 10:40:00
712.1,712.0,712.1,712.0,4984.6,7,2015-05-07 11:20:00
712.1,712.3,712.3,712.1,24926.5,35,2015-05-07 11:40:00
712.3,712.5,712.5,712.3,21371.0,30,2015-05-07 11:50:00
712.2,712.0,712.2,712.0,6408.3,9,2015-05-07 12:00:00
711.7,711.7,711.7,711.7,711.7,1,2015-05-07 12:10:00
705.1,705.1,705.1,705.1,2820.4,4,2015-05-07 12:20:00
705.1,705.0,705.1,705.0,46531.1,66,2015-05-07 12:40:00
705.0,705.0,705.0,705.0,70500.0,100,2015-05-07 13:00:00
705.0,705.0,705.0,705.0,705.0,1,2015-05-07 13:40:00
714.9,714.9,714.9,714.9,714.9,1,2015-05-07 14:30:00
714.8,714.9,714.9,714.8,1429.6999999999998,2,2015-05-07 15:00:00
714.8,714.8,714.8,714.8,714.8,1,2015-05-07 16:40:00
720.0,720.0,720.0,720.0,4320.0,6,2015-05-08 10:40:00
715.5,718.0,718.0,715.5,2151.5,3,2015-05-08 13:30:00
714.9,714.9,714.9,714.9,714.9,1,2015-05-08 18:30:00
706.6,705.0,706.6,705.0,2118.2,3,2015-05-12 10:20:00
703.0,729.9,729.9,700.5,33927.6,48,2015-05-12 10:30:00
711.7,711.7,711.7,711.7,711.7,1,2015-05-12 17:10:00
712.6,712.6,712.6,712.6,712.6,1,2015-05-12 18:30:00
712.6,712.6,712.6,712.6,5700.8,8,2015-05-13 10:40:00
708.0,700.0,708.0,700.0,367662.9,525,2015-05-13 10:50:00
677.0,708.0,708.0,675.0,10837.0,16,2015-05-13 11:00:00
689.7,689.7,689.7,689.7,689.7,1,2015-05-13 17:10:00
700.5,702.5,702.5,700.5,4213.0,6,2015-05-13 17:50:00
703.0,703.0,703.0,703.0,267140.0,380,2015-05-13 18:00:00
704.4,706.0,706.0,703.0,6338.8,9,2015-05-13 18:10:00
704.0,707.9,707.9,703.0,7041.799999999999,10,2015-05-13 18:20:00
704.1,704.1,704.1,704.1,704.1,1,2015-05-13 18:40:00
703.0,703.0,703.0,703.0,70300.0,100,2015-05-14 10:40:00
703.0,703.0,703.0,703.0,119510.0,170,2015-05-14 10:50:00
703.0,707.9,707.9,703.0,14767.9,21,2015-05-14 11:20:00
703.0,703.0,703.0,703.0,1406.0,2,2015-05-14 12:00:00
703.0,703.0,703.0,703.0,19684.0,28,2015-05-14 18:20:00
702.3,701.8,702.3,701.8,3510.1000000000004,5,2015-05-15 10:10:00
700.2,707.7,707.7,685.0,4181.5,6,2015-05-15 10:40:00
706.9,706.9,706.9,706.9,1413.8,2,2015-05-15 17:40:00
702.3,702.3,702.3,702.3,702.3,1,2015-05-18 10:50:00
707.0,707.0,707.0,707.0,24745.0,35,2015-05-18 11:10:00
702.1,700.2,702.1,700.2,14023.0,20,2015-05-18 11:20:00
706.9,707.0,707.0,706.9,10604.9,15,2015-05-18 11:30:00
706.9,707.0,707.0,706.9,706998.0,1000,2015-05-18 11:50:00
706.9,708.0,708.0,706.9,1508519.7,2131,2015-05-18 12:40:00
709.0,715.0,715.0,709.0,4369815.0,6141,2015-05-18 12:50:00
714.0,714.0,714.0,714.0,35700.0,50,2015-05-18 13:00:00
715.0,715.0,715.0,715.0,11440.0,16,2015-05-18 13:10:00
705.0,705.0,705.0,705.0,70500.0,100,2015-05-19 11:40:00
702.5,701.7,702.5,701.7,4914.3,7,2015-05-19 17:00:00
701.6,700.8,701.6,700.8,6310.8,9,2015-05-19 17:10:00
705.1,705.1,705.1,705.1,7051.0,10,2015-05-20 10:30:00
705.1,705.0,705.1,705.0,70504.0,100,2015-05-20 13:30:00
711.0,711.8,711.8,711.0,6333155.4,8903,2015-05-20 15:00:00
705.0,705.0,705.0,705.0,352500.0,500,2015-05-20 16:10:00
711.8,711.8,711.8,711.8,353764.6,497,2015-05-20 16:30:00
711.8,712.5,712.5,711.8,648667.5,911,2015-05-20 16:40:00
712.4,712.4,712.4,712.4,712.4,1,2015-05-20 17:10:00
702.4,702.4,702.4,702.4,1404.8,2,2015-05-20 18:40:00
709.8,709.8,709.8,709.8,709.8,1,2015-05-21 13:00:00
700.1,700.1,700.1,700.1,36405.2,52,2015-05-21 13:40:00
712.5,718.7,718.7,712.5,14375382.2,20111,2015-05-21 14:10:00
718.6,721.0,735.0,718.6,2800953.2,3891,2015-05-21 14:20:00
721.0,721.0,721.0,721.0,10815.0,15,2015-05-21 14:30:00
721.1,721.0,721.1,721.0,3605.1,5,2015-05-21 15:50:00
721.0,721.0,721.0,721.0,721.0,1,2015-05-21 16:10:00
721.0,721.0,721.0,721.0,2884.0,4,2015-05-21 16:20:00
721.0,721.0,721.0,721.0,721.0,1,2015-05-21 17:40:00
721.0,721.0,721.0,721.0,7210.0,10,2015-05-21 18:00:00
705.0,705.0,705.0,705.0,2820.0,4,2015-05-22 10:10:00
715.0,715.0,715.0,715.0,357500.0,500,2015-05-22 15:00:00
724.0,724.0,724.0,724.0,1448000.0,2000,2015-05-22 15:20:00
727.0,727.0,727.0,727.0,1454000.0,2000,2015-05-22 17:00:00
727.0,727.0,727.0,727.0,727.0,1,2015-05-22 18:40:00
727.0,727.0,727.0,727.0,72700.0,100,2015-05-25 11:00:00
727.0,727.0,727.0,727.0,7270.0,10,2015-05-25 11:10:00
727.0,727.0,727.0,727.0,283530.0,390,2015-05-25 15:10:00
720.1,729.0,729.0,720.1,24031.1,33,2015-05-25 16:40:00
729.0,739.2,739.2,720.0,514332530.7,714308,2015-05-25 16:50:00
739.2,739.2,739.2,739.2,11088.0,15,2015-05-25 17:10:00
739.2,739.2,739.2,739.2,25132.8,34,2015-05-25 17:40:00
850.0,850.0,850.0,850.0,850.0,1,2015-05-25 18:20:00
740.0,739.9,740.0,739.9,7399.9,10,2015-05-25 18:30:00
740.0,740.0,740.0,740.0,740.0,1,2015-05-26 10:10:00
735.0,725.0,740.0,725.0,128000.0,173,2015-05-26 10:30:00
720.1,720.0,720.1,720.0,5040.1,7,2015-05-26 10:40:00
725.0,725.0,725.0,725.0,725.0,1,2015-05-26 11:40:00
730.0,750.0,750.0,730.0,89947.0,120,2015-05-26 12:00:00
735.0,735.0,735.0,735.0,7350.0,10,2015-05-26 12:50:00
729.2,729.0,729.2,729.0,126117.2,173,2015-05-26 14:10:00
729.0,729.0,729.0,729.0,5103.0,7,2015-05-26 15:20:00
729.0,729.0,729.0,729.0,2187.0,3,2015-05-26 16:30:00
729.0,729.0,729.0,729.0,1332612.0,1828,2015-05-27 13:00:00
