Open,Close,High,Low,Value,Volume,Date
140.1,140.18,140.18,140.1,12613.8,90,2021-11-26 10:10:00
139.72,139.72,139.76,139.72,11178.0,80,2021-11-26 10:20:00
139.68,140.14,140.14,139.68,4197.200000000001,30,2021-11-26 10:30:00
140.24,140.08,140.26,139.8,37797.0,270,2021-11-26 10:40:00
140.02,140.0,140.14,140.0,51849.200000000004,370,2021-11-26 10:50:00
139.58,141.06,141.06,139.36,2809492.4,20050,2021-11-26 11:00:00
140.94,139.7,140.94,139.7,30806.4,220,2021-11-26 11:10:00
139.78,138.52,139.84,138.4,469107.19999999995,3360,2021-11-26 11:20:00
139.48,139.48,139.48,139.48,2789.6,20,2021-11-26 11:30:00
139.28,139.12,139.28,138.46,66823.99999999999,480,2021-11-26 11:40:00
139.12,139.12,139.12,139.12,1391.2,10,2021-11-26 11:50:00
139.12,138.9,139.12,138.0,229453.6,1660,2021-11-26 12:00:00
136.08,136.22,138.38,135.72,1399790.9999999998,10250,2021-11-26 12:10:00
136.0,137.52,138.08,135.16,351775.80000000005,2550,2021-11-26 12:20:00
138.06,137.74,138.06,137.24,157908.2,1150,2021-11-26 12:30:00
138.34,138.34,138.34,138.34,1383.4,10,2021-11-26 12:40:00
138.16,137.28,138.16,137.28,13780.8,100,2021-11-26 12:50:00
138.24,137.32,138.24,137.32,10994.800000000001,80,2021-11-26 13:00:00
138.06,138.06,138.06,138.06,1380.6,10,2021-11-26 13:10:00
137.62,137.62,138.78,137.62,785833.4,5710,2021-11-26 13:20:00
138.12,138.12,138.12,138.12,1381.2,10,2021-11-26 13:30:00
137.82,137.82,137.82,137.82,1378.2,10,2021-11-26 13:40:00
137.4,137.7,137.7,137.0,330375.8,2410,2021-11-26 14:20:00
137.64,137.64,137.64,137.64,1376.4,10,2021-11-26 14:40:00
137.44,137.44,137.44,137.44,687200.0,5000,2021-11-26 14:50:00
137.8,137.44,137.8,137.44,189984.0,1380,2021-11-26 15:00:00
137.46,137.46,137.46,137.46,1374.6,10,2021-11-26 15:20:00
136.9,136.0,136.9,136.0,821014.0,6020,2021-11-26 15:30:00
136.0,136.0,136.0,136.0,1360.0,10,2021-11-26 15:40:00
135.62,135.74,135.8,135.62,8143.4,60,2021-11-26 16:00:00
135.26,135.26,135.26,135.26,1352.6,10,2021-11-26 16:20:00
135.26,135.26,135.26,135.26,2705.2,20,2021-11-26 16:50:00
135.58,135.2,135.58,135.2,684660.0,5050,2021-11-26 17:00:00
136.6,137.9,140.0,136.6,1755297.0,12790,2021-11-26 17:10:00
137.94,137.94,137.94,137.94,1379.4,10,2021-11-26 17:20:00
137.08,135.3,140.0,134.9,1061578.2000000002,7780,2021-11-26 17:30:00
134.64,135.6,135.6,133.02,8091.0,60,2021-11-26 17:40:00
135.0,135.0,135.0,135.0,6750.0,50,2021-11-26 17:50:00
135.0,135.0,135.0,135.0,1350000.0,10000,2021-11-26 18:00:00
135.98,133.14,135.98,133.14,2691.2,20,2021-11-26 18:10:00
135.94,135.94,135.94,135.94,1359.4,10,2021-11-26 19:00:00
133.6,133.5,134.46,133.5,273824.2,2050,2021-11-26 19:20:00
134.12,134.12,134.12,134.12,67060.0,500,2021-11-26 19:30:00
133.42,133.42,133.42,133.42,1334.2,10,2021-11-26 19:40:00
133.66,133.38,134.22,133.38,4012.6000000000004,30,2021-11-26 19:50:00
133.38,133.38,133.38,133.38,21340.8,160,2021-11-26 20:00:00
133.36,133.36,133.36,133.36,2667.2,20,2021-11-26 20:10:00
133.36,133.16,133.36,133.16,2665.2,20,2021-11-26 20:20:00
133.16,136.6,136.6,133.16,79818.8,590,2021-11-26 20:30:00
135.54,135.54,135.54,135.54,48794.4,360,2021-11-26 20:40:00
136.3,136.34,136.34,136.3,35438.4,260,2021-11-26 21:00:00
137.26,137.26,137.26,137.26,4117.8,30,2021-11-26 21:10:00
136.36,136.64,136.64,136.36,2730.0,20,2021-11-26 21:20:00
136.5,136.5,136.5,136.5,1365.0,10,2021-11-26 21:30:00
136.5,137.2,137.2,136.5,16387.0,120,2021-11-26 21:40:00
133.12,137.2,137.2,133.12,10935.2,80,2021-11-26 21:50:00
137.2,137.2,137.2,137.2,1372.0,10,2021-11-26 22:10:00
137.2,137.2,137.2,137.2,4116.0,30,2021-11-26 22:30:00
137.2,137.2,137.2,137.2,2744.0,20,2021-11-26 22:40:00
137.2,137.2,137.2,137.2,1372.0,10,2021-11-26 23:00:00
137.1,139.98,139.98,137.1,9630.8,70,2021-11-26 23:20:00
133.16,139.0,165.0,133.16,37521.2,270,2021-11-26 23:40:00
135.78,137.46,137.46,135.6,141095.19999999998,1040,2021-11-29 10:10:00
137.36,137.06,137.36,136.12,135310.19999999998,990,2021-11-29 10:20:00
136.22,136.22,136.22,136.22,1362.2,10,2021-11-29 10:30:00
137.08,137.04,137.08,137.04,4111.6,30,2021-11-29 10:50:00
136.46,137.02,137.02,136.14,145715.2,1070,2021-11-29 11:00:00
136.22,136.28,137.02,136.16,70874.0,520,2021-11-29 11:10:00
136.28,136.28,136.28,136.28,1362.8,10,2021-11-29 11:30:00
136.28,136.56,136.56,136.28,2728.3999999999996,20,2021-11-29 12:00:00
136.26,136.2,136.26,136.2,137622.0,1010,2021-11-29 12:10:00
136.2,135.42,136.2,135.42,17617.4,130,2021-11-29 12:20:00
136.28,135.34,136.28,135.34,2716.2,20,2021-11-29 12:30:00
135.82,135.82,135.82,135.82,13582.0,100,2021-11-29 13:10:00
136.52,136.52,136.52,136.52,1365.2,10,2021-11-29 13:20:00
135.62,135.62,135.62,135.62,1356.2,10,2021-11-29 13:30:00
135.7,135.7,135.7,135.7,2714.0,20,2021-11-29 13:50:00
136.26,136.26,136.26,136.26,1362.6,10,2021-11-29 14:10:00
136.5,136.5,136.5,136.5,1365.0,10,2021-11-29 14:20:00
136.5,136.5,136.5,136.5,6825.0,50,2021-11-29 14:30:00
136.4,136.4,136.4,136.4,1364.0,10,2021-11-29 14:50:00
136.0,136.5,136.54,135.6,111814.20000000001,820,2021-11-29 15:00:00
136.44,136.44,136.44,136.44,2728.8,20,2021-11-29 15:20:00
135.78,135.78,135.78,135.78,1357.8,10,2021-11-29 15:30:00
136.42,136.16,136.42,136.16,69444.2,510,2021-11-29 15:40:00
135.78,135.66,135.78,135.66,162899.80000000002,1200,2021-11-29 15:50:00
135.7,135.7,135.7,135.7,1357.0,10,2021-11-29 16:00:00
135.66,135.6,135.66,135.6,25769.4,190,2021-11-29 16:10:00
135.5,135.34,135.5,135.34,2708.4,20,2021-11-29 16:20:00
135.78,135.82,135.82,135.78,4074.2,30,2021-11-29 16:30:00
135.64,135.02,135.64,135.02,2706.6000000000004,20,2021-11-29 16:40:00
135.6,135.6,135.6,135.6,1356.0,10,2021-11-29 16:50:00
135.5,135.5,135.5,135.5,4065.0,30,2021-11-29 17:00:00
135.68,135.26,135.68,135.26,884415.6,6520,2021-11-29 17:10:00
135.34,135.34,135.34,135.34,135340.0,1000,2021-11-29 17:20:00
135.0,131.14,135.0,131.14,43879.0,330,2021-11-29 17:30:00
131.1,131.0,131.12,131.0,34066.8,260,2021-11-29 17:40:00
133.46,130.14,133.48,130.08,417048.2,3170,2021-11-29 17:50:00
133.16,130.0,133.16,130.0,598157.6,4600,2021-11-29 18:00:00
133.18,133.98,149.0,130.9,497300.2,3720,2021-11-29 18:10:00
132.88,134.34,134.34,131.56,7633246.600000001,56990,2021-11-29 18:20:00
134.34,131.14,148.9,130.68,91892.59999999999,690,2021-11-29 18:30:00
131.14,131.14,131.14,131.14,1311.4,10,2021-11-29 18:40:00
134.36,134.36,134.36,134.36,5374.4,40,2021-11-29 19:00:00
134.36,137.4,145.0,131.24,25741.0,190,2021-11-29 19:10:00
137.32,131.24,138.8,131.0,21338.4,160,2021-11-29 19:20:00
134.0,136.48,137.4,134.0,9446.0,70,2021-11-29 19:30:00
132.0,134.0,134.0,132.0,2660.0,20,2021-11-29 19:40:00
134.0,134.0,134.0,133.5,37445.0,280,2021-11-29 20:00:00
134.0,134.3,134.3,134.0,21485.0,160,2021-11-29 20:20:00
134.34,134.34,134.34,134.34,1343.4,10,2021-11-29 20:30:00
133.3,133.3,133.3,133.3,1333.0,10,2021-11-29 20:50:00
133.3,133.1,133.3,133.1,3997.0,30,2021-11-29 21:10:00
134.5,136.4,136.4,134.5,2709.0,20,2021-11-29 21:20:00
134.5,134.5,134.5,134.5,1345.0,10,2021-11-29 21:30:00
135.0,135.0,135.0,135.0,1350.0,10,2021-11-29 21:40:00
134.98,134.98,134.98,134.98,1349.8,10,2021-11-29 22:10:00
133.1,133.1,133.1,133.1,1331.0,10,2021-11-29 22:40:00
135.0,135.0,135.0,135.0,1350.0,10,2021-11-29 22:50:00
135.94,135.94,135.94,135.94,1359.4,10,2021-11-29 23:10:00
133.8,136.66,137.0,133.3,115369.2,860,2021-11-29 23:20:00
133.6,133.6,133.6,133.6,26720.0,200,2021-11-29 23:30:00
133.3,136.6,136.6,133.0,44722.0,330,2021-11-29 23:40:00
136.32,133.3,136.32,133.3,4034.2,30,2021-11-30 10:10:00
133.9,134.7,134.7,133.9,14809.0,110,2021-11-30 10:20:00
134.84,134.94,134.94,134.84,157838.8,1170,2021-11-30 10:30:00
134.94,134.88,134.94,134.88,33723.0,250,2021-11-30 10:40:00
134.7,134.76,134.82,134.7,700728.0,5200,2021-11-30 10:50:00
133.3,133.06,133.3,133.06,15975.599999999999,120,2021-11-30 11:10:00
132.88,133.68,133.68,132.88,11991.2,90,2021-11-30 11:20:00
134.18,134.18,134.18,134.18,26836.0,200,2021-11-30 11:30:00
134.4,134.4,134.4,134.4,1344.0,10,2021-11-30 12:30:00
133.9,134.78,134.78,133.9,2309512.6,17170,2021-11-30 12:40:00
134.94,134.94,134.94,134.94,67470.0,500,2021-11-30 13:40:00
134.98,134.98,134.98,134.98,40494.0,300,2021-11-30 14:00:00
134.38,134.38,134.38,134.38,1343.8,10,2021-11-30 14:10:00
134.26,134.26,134.26,134.26,4027.8,30,2021-11-30 14:20:00
134.4,134.4,134.4,134.4,1344.0,10,2021-11-30 15:10:00
133.72,133.72,133.72,133.72,2674.4,20,2021-11-30 15:20:00
134.34,134.34,134.34,134.34,1343.4,10,2021-11-30 15:30:00
133.7,133.7,133.7,133.7,2674.0,20,2021-11-30 16:30:00
133.72,133.72,133.72,133.72,1337.2,10,2021-11-30 16:50:00
133.7,133.7,133.7,133.7,24066.0,180,2021-11-30 17:20:00
134.38,133.0,134.38,133.0,79830.8,600,2021-11-30 17:50:00
132.88,132.0,132.88,132.0,3977.6,30,2021-11-30 18:00:00
134.46,134.48,134.48,134.44,95478.0,710,2021-11-30 18:10:00
134.48,134.48,134.48,134.48,40344.0,300,2021-11-30 18:20:00
134.48,132.0,134.48,132.0,123479.8,930,2021-11-30 18:30:00
128.0,134.72,134.72,128.0,55927.2,430,2021-11-30 19:00:00
134.7,130.0,134.72,130.0,8035.6,60,2021-11-30 19:20:00
134.48,134.7,134.7,134.48,30959.0,230,2021-11-30 19:30:00
131.24,130.8,131.24,130.62,6544.8,50,2021-11-30 19:40:00
131.0,131.0,131.0,131.0,1310.0,10,2021-11-30 20:00:00
131.0,133.0,133.0,131.0,2640.0,20,2021-11-30 20:10:00
131.1,130.8,131.1,130.8,5237.0,40,2021-11-30 21:00:00
133.88,133.88,133.88,133.88,2677.6,20,2021-11-30 21:30:00
