Open,Close,High,Low,Value,Volume,Date
0.4395,0.4395,0.4395,0.4395,1318.5,3000,2014-06-11 11:10:00
0.4001,0.4,0.4001,0.4,12400.1,31000,2014-06-16 17:10:00
0.4309,0.4309,0.4309,0.4309,430.9,1000,2014-06-23 10:10:00
0.4291,0.44,0.44,0.4291,46564.6,107000,2014-06-27 11:50:00
0.44,0.44,0.44,0.44,5720.0,13000,2014-06-27 12:20:00
0.44,0.44,0.44,0.44,440.0,1000,2014-06-27 13:40:00
0.44,0.44,0.44,0.44,2200.0,5000,2014-06-27 14:40:00
0.45,0.45,0.45,0.45,2250.0,5000,2014-06-27 18:10:00
0.45,0.45,0.45,0.45,450.0,1000,2014-06-30 10:10:00
0.45,0.45,0.45,0.45,1800.0,4000,2014-06-30 16:10:00
0.45,0.464,0.464,0.45,4570.0,10000,2014-07-01 11:50:00
0.464,0.464,0.464,0.464,4176.0,9000,2014-07-01 13:50:00
0.492,0.492,0.492,0.492,1476.0,3000,2014-07-01 14:00:00
0.5001,0.5,0.5001,0.5,5000.1,10000,2014-07-01 14:30:00
0.5,0.5,0.5,0.5,3500.0,7000,2014-07-01 14:50:00
0.4499,0.45,0.45,0.4499,2699.9,6000,2014-07-02 10:10:00
0.5309,0.542,0.542,0.5309,4281.2,8000,2014-07-02 15:40:00
0.5418,0.5418,0.5418,0.5418,2709.0,5000,2014-07-03 13:20:00
0.5418,0.5418,0.5418,0.5418,541.8,1000,2014-07-03 13:30:00
0.5417,0.5417,0.5417,0.5417,1625.1,3000,2014-07-04 13:40:00
0.417,0.403,0.417,0.403,3682.1,9000,2014-07-24 17:50:00
0.403,0.403,0.403,0.403,1209.0,3000,2014-07-28 10:00:00
0.4993,0.4993,0.4993,0.4993,10984.6,22000,2014-07-28 13:00:00
0.4994,0.4993,0.4994,0.4993,10485.4,21000,2014-07-28 13:30:00
0.4992,0.4993,0.4993,0.4992,3495.0,7000,2014-07-28 18:30:00
0.4033,0.403,0.4033,0.403,2821.3,7000,2014-07-31 10:00:00
0.4034,0.4034,0.4034,0.4034,403.4,1000,2014-08-01 17:30:00
0.403,0.403,0.403,0.4029,16119.9,40000,2014-08-05 18:00:00
0.403,0.403,0.403,0.403,1209.0,3000,2014-08-05 18:10:00
0.403,0.403,0.403,0.403,403.0,1000,2014-08-06 10:00:00
0.4,0.3994,0.4,0.3994,1198.8,3000,2014-08-14 14:40:00
0.42,0.42,0.42,0.42,420.0,1000,2014-08-14 18:20:00
0.3773,0.3766,0.3773,0.3766,1884.3,5000,2014-08-28 10:30:00
0.3767,0.3767,0.3767,0.3767,1883.5,5000,2014-09-01 10:30:00
0.3767,0.3767,0.3767,0.3767,376.7,1000,2014-09-01 17:10:00
0.3767,0.3767,0.3767,0.3767,376.7,1000,2014-09-01 17:30:00
0.3768,0.3768,0.3768,0.3768,376.8,1000,2014-09-04 13:30:00
0.3767,0.3767,0.3767,0.3767,376.7,1000,2014-09-04 17:40:00
0.3763,0.376,0.3763,0.376,2256.3,6000,2014-09-08 18:10:00
0.376,0.376,0.376,0.376,376.0,1000,2014-09-09 15:30:00
0.376,0.36,0.376,0.36,2240.0,6000,2014-09-12 11:40:00
0.3505,0.35,0.3505,0.35,700.5,2000,2014-09-16 13:40:00
0.4509,0.4509,0.4509,0.4509,450.9,1000,2014-09-16 18:30:00
0.35,0.35,0.35,0.35,350.0,1000,2014-10-01 18:30:00
0.473,0.473,0.473,0.473,473.0,1000,2014-10-03 16:00:00
0.467,0.467,0.467,0.467,467.0,1000,2014-10-03 16:40:00
0.341,0.341,0.341,0.341,3069.0,9000,2014-10-08 10:50:00
0.354,0.353,0.384,0.353,3209.0,9000,2014-10-08 11:00:00
0.365,0.365,0.365,0.365,365.0,1000,2014-10-08 16:20:00
0.399,0.399,0.399,0.399,1596.0,4000,2014-10-08 16:30:00
0.35,0.35,0.35,0.35,350.0,1000,2014-10-16 17:50:00
