Open,Close,High,Low,Value,Volume,Date
800.0,800,800.0,800.0,24000,30,2014-06-17 13:00:00
800.0,800,800.0,800.0,96000,120,2014-06-17 16:50:00
775.0,800,800.0,775.0,86000,110,2014-06-26 13:50:00
800.0,800,800.0,800.0,40000,50,2014-06-26 14:20:00
800.0,800,800.0,800.0,32000,40,2014-06-26 17:30:00
800.0,800,800.0,800.0,80000,100,2014-06-30 16:20:00
805.0,805,805.0,805.0,80500,100,2014-06-30 16:40:00
810.0,810,810.0,810.0,81000,100,2014-06-30 17:00:00
800.0,810,810.0,800.0,97100,120,2014-07-02 12:00:00
815.0,815,815.0,815.0,81500,100,2014-07-03 11:20:00
820.0,820,820.0,820.0,82000,100,2014-07-04 14:20:00
820.0,820,820.0,820.0,24600,30,2014-07-04 14:30:00
819.7,820,820.0,819.7,106591,130,2014-07-09 13:10:00
820.0,820,820.0,820.0,57400,70,2014-07-09 13:20:00
820.0,820,820.0,820.0,82000,100,2014-07-15 14:10:00
820.0,820,820.0,820.0,82000,100,2014-07-23 12:00:00
820.0,820,820.0,820.0,82000,100,2014-07-23 13:30:00
820.0,820,820.0,820.0,139400,170,2014-07-23 16:20:00
820.0,820,820.0,820.0,24600,30,2014-07-23 16:50:00
820.0,820,820.0,820.0,164000,200,2014-07-24 15:20:00
820.0,825,825.0,820.0,164500,200,2014-07-29 11:20:00
820.1,820,820.1,820.0,90202,110,2014-07-29 13:00:00
820.0,820,820.0,820.0,8200,10,2014-07-29 13:10:00
830.0,830,830.0,830.0,83000,100,2014-07-30 15:40:00
752.0,752,752.0,752.0,7520,10,2014-08-01 17:40:00
835.0,835,835.0,835.0,8350,10,2014-08-01 18:30:00
829.9,830,830.0,829.9,265598,320,2014-08-05 11:40:00
830.0,830,830.0,830.0,58100,70,2014-08-05 18:30:00
849.9,850,850.0,849.9,518498,610,2014-08-07 11:20:00
850.0,850,850.0,850.0,51000,60,2014-08-07 15:50:00
850.0,850,850.0,850.0,25500,30,2014-08-07 16:00:00
832.0,832,832.0,832.0,191360,230,2014-08-26 11:30:00
832.0,832,832.0,832.0,49920,60,2014-08-26 18:30:00
725.0,725,725.0,725.0,739500,1020,2014-09-16 11:00:00
700.0,700,700.0,700.0,7000,10,2014-09-17 17:00:00
700.0,700,700.0,700.0,28000,40,2014-09-26 12:00:00
700.0,700,700.0,700.0,14000,20,2014-09-26 13:30:00
700.0,700,700.0,700.0,35000,50,2014-10-09 11:00:00
700.0,700,700.0,700.0,350000,500,2014-10-20 16:40:00
700.0,700,700.0,700.0,364000,520,2014-10-21 17:00:00
700.0,700,700.0,700.0,35000,50,2014-10-31 15:30:00
700.0,700,700.0,700.0,35000,50,2014-10-31 16:30:00
700.0,700,700.0,700.0,700000,1000,2014-11-05 10:50:00
700.0,700,700.0,700.0,350000,500,2014-11-05 11:00:00
700.0,700,700.0,700.0,700000,1000,2014-11-05 11:10:00
650.0,650,650.0,650.0,13000,20,2014-11-19 16:10:00
650.0,650,650.0,650.0,26000,40,2014-11-19 16:40:00
700.0,700,700.0,700.0,14000,20,2014-11-24 17:10:00
750.0,750,750.0,750.0,7500,10,2014-11-25 15:20:00
880.0,880,880.0,880.0,8800,10,2014-12-01 10:30:00
701.0,700,701.0,700.0,14010,20,2014-12-01 14:00:00
750.0,750,750.0,750.0,7500,10,2014-12-01 18:20:00
650.0,650,650.0,650.0,6500,10,2014-12-12 14:50:00
650.0,650,650.0,650.0,26000,40,2014-12-12 15:00:00
750.0,750,750.0,750.0,7500,10,2014-12-12 18:20:00
675.0,675,675.0,675.0,6750,10,2014-12-15 18:20:00
700.0,700,700.0,700.0,4900000,7000,2014-12-25 14:30:00
710.0,700,710.0,700.0,7728000,10940,2014-12-25 14:40:00
710.0,503,750.0,455.0,2906620,4130,2014-12-25 14:50:00
649.0,649,649.0,649.0,32450,50,2014-12-25 16:10:00
650.0,650,650.0,650.0,13000,20,2014-12-25 16:20:00
670.0,670,670.0,670.0,33500,50,2014-12-26 15:10:00
700.0,700,700.0,700.0,21000,30,2014-12-26 15:20:00
975.0,975,975.0,975.0,234000,240,2014-12-29 10:00:00
760.0,760,760.0,760.0,7600,10,2014-12-29 11:30:00
605.0,605,605.0,605.0,12100,20,2015-01-26 18:30:00
520.0,520,520.0,520.0,5200,10,2015-01-28 11:00:00
676.0,676,676.0,676.0,6760,10,2015-01-28 11:50:00
750.0,750,750.0,750.0,15000,20,2015-01-29 13:00:00
800.0,800,800.0,800.0,16000,20,2015-01-30 12:20:00
849.0,849,849.0,849.0,254700,300,2015-02-04 12:10:00
847.0,847,847.0,847.0,8470,10,2015-02-04 15:00:00
680.0,680,680.0,680.0,6800,10,2015-02-05 11:20:00
825.0,825,825.0,825.0,8250,10,2015-02-05 13:10:00
849.0,875,875.0,849.0,34490,40,2015-02-05 13:30:00
900.0,900,900.0,900.0,18000,20,2015-02-10 10:00:00
750.0,680,750.0,680.0,28550,40,2015-02-10 10:10:00
905.0,905,905.0,905.0,9050,10,2015-02-10 13:30:00
725.0,725,725.0,725.0,7250,10,2015-02-12 10:30:00
750.0,750,750.0,750.0,7500,10,2015-02-12 10:40:00
750.0,750,750.0,750.0,330000,440,2015-02-12 15:50:00
750.0,750,750.0,750.0,30000,40,2015-02-12 16:00:00
930.0,930,930.0,930.0,18600,20,2015-02-12 18:30:00
935.0,935,935.0,935.0,28050,30,2015-02-16 10:10:00
725.0,750,750.0,720.0,21950,30,2015-02-16 10:40:00
750.0,750,750.0,750.0,7500,10,2015-02-16 11:00:00
750.0,750,750.0,750.0,75000,100,2015-02-16 11:50:00
