Open,Close,High,Low,Value,Volume,Date
914.4,922.8,950.0,911.6,19374131.800000004,20983,2021-12-14 07:00:00
922.0,895.0,922.6,886.6,24530272.6,26910,2021-12-14 07:10:00
890.0,843.2,890.0,842.8,33225147.0,38760,2021-12-14 07:20:00
843.2,887.2,887.2,842.8,29918164.6,35034,2021-12-14 07:30:00
885.0,856.0,895.0,851.0,13383544.8,15346,2021-12-14 07:40:00
868.8,858.4,868.8,856.0,16035692.4,18643,2021-12-14 07:50:00
861.0,864.0,875.0,856.0,19202846.800000004,22264,2021-12-14 08:00:00
864.6,865.4,868.6,857.0,7235229.999999999,8370,2021-12-14 08:10:00
863.0,850.0,866.0,842.8,60006528.200000025,70297,2021-12-14 08:20:00
847.0,855.0,858.0,842.8,36707025.2,43256,2021-12-14 08:30:00
855.0,849.0,859.0,844.4,27736647.4,32555,2021-12-14 08:40:00
849.0,859.0,863.0,844.0,27773905.4,32540,2021-12-14 08:50:00
859.0,858.6,862.0,851.2,28855420.000000007,33605,2021-12-14 09:00:00
859.0,854.0,860.8,852.6,7273030.400000002,8489,2021-12-14 09:10:00
854.0,861.0,861.0,853.2,6750649.600000001,7866,2021-12-14 09:20:00
861.0,863.0,864.2,853.8,13864475.599999998,16108,2021-12-14 09:30:00
863.8,872.8,878.6,860.4,29909068.2,34379,2021-12-14 09:40:00
872.8,870.6,873.0,865.0,18270126.0,20988,2021-12-14 09:50:00
872.8,884.6,889.4,870.0,49853349.4,56600,2021-12-14 10:00:00
884.6,874.8,884.6,870.2,23127612.2,26273,2021-12-14 10:10:00
875.0,881.0,882.0,870.0,26962792.0,30845,2021-12-14 10:20:00
880.0,879.6,882.0,874.8,12556540.4,14287,2021-12-14 10:30:00
878.2,879.6,882.0,877.0,7518258.0,8546,2021-12-14 10:40:00
879.6,873.0,879.6,870.0,19454500.0,22255,2021-12-14 10:50:00
874.0,883.0,884.8,870.4,33001329.600000005,37608,2021-12-14 11:00:00
883.0,888.2,895.0,881.4,30502287.8,34258,2021-12-14 11:10:00
888.0,882.0,893.0,880.4,52405735.39999999,59137,2021-12-14 11:20:00
880.6,884.2,884.4,876.0,32238549.999999996,36635,2021-12-14 11:30:00
884.2,882.8,887.0,880.0,36595925.2,41430,2021-12-14 11:40:00
882.8,886.8,887.4,879.2,27501385.999999996,31127,2021-12-14 11:50:00
886.8,888.2,889.0,885.0,16693687.2,18817,2021-12-14 12:00:00
888.2,888.6,890.0,887.4,12927156.400000002,14545,2021-12-14 12:10:00
888.6,889.0,889.8,887.8,8092495.999999999,9104,2021-12-14 12:20:00
888.6,881.8,894.8,880.2,28685330.599999998,32292,2021-12-14 12:30:00
881.4,877.0,882.6,876.8,24671073.4,28047,2021-12-14 12:40:00
876.8,875.0,878.0,874.0,12392574.2,14149,2021-12-14 12:50:00
875.8,877.4,879.8,872.2,21491048.2,24580,2021-12-14 13:00:00
878.0,872.0,878.6,871.0,16093020.0,18413,2021-12-14 13:10:00
872.6,874.6,875.6,871.4,18702890.0,21420,2021-12-14 13:20:00
874.6,877.4,878.2,873.2,10953614.8,12509,2021-12-14 13:30:00
877.4,880.0,880.8,876.6,7123151.799999999,8105,2021-12-14 13:40:00
879.0,878.6,880.4,876.4,8853854.0,10080,2021-12-14 13:50:00
878.8,883.0,883.0,876.4,11661642.4,13241,2021-12-14 14:00:00
882.8,880.4,886.8,878.6,19234234.0,21782,2021-12-14 14:10:00
880.4,880.0,880.4,877.0,6779963.199999999,7714,2021-12-14 14:20:00
880.0,877.8,880.0,877.0,5914015.2,6735,2021-12-14 14:30:00
877.8,878.8,879.4,876.8,9108487.6,10366,2021-12-14 14:40:00
878.8,876.4,878.8,876.4,39336134.39999999,44800,2021-12-14 14:50:00
877.0,880.0,880.0,875.0,23787600.599999998,27110,2021-12-14 15:00:00
880.2,881.2,885.0,875.4,15521322.8,17612,2021-12-14 15:10:00
880.0,883.4,883.4,877.6,15750419.000000002,17897,2021-12-14 15:20:00
883.4,881.2,884.0,879.2,10667884.800000004,12104,2021-12-14 15:30:00
881.2,881.0,882.6,880.0,3599246.4000000004,4085,2021-12-14 15:40:00
882.4,880.6,882.6,879.0,13213055.800000004,15008,2021-12-14 15:50:00
880.8,881.6,882.6,876.6,15173907.8,17247,2021-12-14 16:00:00
880.4,881.0,882.2,879.6,7437817.999999999,8444,2021-12-14 16:10:00
881.2,882.8,885.0,880.4,15309904.4,17337,2021-12-14 16:20:00
882.8,880.0,883.6,880.0,8323172.0,9443,2021-12-14 16:30:00
880.0,881.0,881.6,879.2,4246487.6,4823,2021-12-14 16:40:00
881.0,879.0,881.2,877.6,7773077.399999999,8844,2021-12-14 16:50:00
878.2,878.0,879.4,877.0,9489447.2,10811,2021-12-14 17:00:00
878.0,877.8,878.8,875.6,6547800.0,7471,2021-12-14 17:10:00
877.0,877.6,878.2,875.6,6353387.800000001,7246,2021-12-14 17:20:00
878.0,879.4,879.4,875.8,6473217.0,7374,2021-12-14 17:30:00
878.8,884.0,885.0,878.8,40110166.39999999,45450,2021-12-14 17:40:00
884.2,884.0,884.8,881.6,24469915.4,27700,2021-12-14 17:50:00
884.0,892.4,895.0,882.0,62176306.2,70038,2021-12-14 18:00:00
891.0,882.6,892.4,880.4,30392704.000000007,34332,2021-12-14 18:10:00
882.6,882.0,884.0,881.2,7332444.399999999,8313,2021-12-14 18:20:00
883.6,882.4,885.2,882.0,6846522.800000001,7745,2021-12-14 18:30:00
892.6,892.6,892.6,892.6,13471119.199999996,15092,2021-12-14 18:40:00
889.4,881.2,889.4,880.0,5901286.199999999,6664,2021-12-14 19:00:00
881.2,878.8,887.4,878.2,7850610.399999999,8906,2021-12-14 19:10:00
878.8,880.6,881.0,872.8,16276896.0,18571,2021-12-14 19:20:00
880.6,877.6,882.0,872.0,16201669.999999998,18489,2021-12-14 19:30:00
877.6,878.2,879.8,877.0,4691800.199999999,5340,2021-12-14 19:40:00
878.2,877.8,879.4,877.0,1792628.0000000002,2042,2021-12-14 19:50:00
877.2,879.8,880.0,876.2,7142619.999999998,8131,2021-12-14 20:00:00
879.8,879.0,880.0,877.6,2837702.3999999994,3228,2021-12-14 20:10:00
879.0,879.0,879.0,878.0,1085891.4,1236,2021-12-14 20:20:00
878.8,878.6,880.0,878.4,2381207.0000000005,2707,2021-12-14 20:30:00
878.4,879.6,879.8,878.4,2066691.0,2351,2021-12-14 20:40:00
879.0,880.6,880.6,879.0,2477634.6,2816,2021-12-14 20:50:00
880.6,885.2,886.0,880.0,19221320.6,21752,2021-12-14 21:00:00
885.0,884.2,885.8,883.2,5855777.399999999,6619,2021-12-14 21:10:00
884.2,884.2,885.8,884.0,3979405.2000000007,4496,2021-12-14 21:20:00
884.0,883.8,885.0,883.6,2269117.4000000004,2566,2021-12-14 21:30:00
883.8,884.2,885.0,882.8,2677169.8,3029,2021-12-14 21:40:00
885.0,883.0,885.0,883.0,2110366.8,2389,2021-12-14 21:50:00
883.0,883.6,885.0,883.0,1789332.8000000005,2025,2021-12-14 22:00:00
884.0,884.2,885.0,883.0,2606177.2,2948,2021-12-14 22:10:00
884.8,885.2,885.8,884.2,1700844.4,1922,2021-12-14 22:20:00
885.2,885.6,886.0,884.4,2507602.6,2832,2021-12-14 22:30:00
886.0,886.2,886.4,885.6,2407923.4000000004,2718,2021-12-14 22:40:00
885.8,889.8,890.0,885.8,5477239.399999999,6166,2021-12-14 22:50:00
890.0,890.0,890.0,888.8,3258853.8000000003,3662,2021-12-14 23:00:00
889.6,889.0,890.0,888.4,811981.6000000001,913,2021-12-14 23:10:00
889.0,890.0,890.0,888.0,2491244.6,2802,2021-12-14 23:20:00
890.0,895.8,897.0,889.6,20469175.200000003,22911,2021-12-14 23:30:00
896.0,897.4,899.2,895.0,9859389.0,10999,2021-12-14 23:40:00
900.0,900.0,900.0,900.0,954000.0,1060,2021-12-15 06:50:00
900.0,893.4,900.0,883.6,7905009.8,8882,2021-12-15 07:00:00
893.8,888.0,894.8,888.0,4383771.0,4917,2021-12-15 07:10:00
888.0,894.8,895.0,888.0,3067665.0,3441,2021-12-15 07:20:00
894.8,895.0,895.2,893.0,966132.4,1080,2021-12-15 07:30:00
893.4,894.8,895.6,892.4,2040705.8,2282,2021-12-15 07:40:00
894.4,896.0,896.0,893.2,2101479.4,2346,2021-12-15 07:50:00
896.0,900.4,900.4,895.4,7088535.0,7890,2021-12-15 08:00:00
900.4,925.6,928.0,900.2,76946436.6,83735,2021-12-15 08:10:00
925.6,920.0,944.8,915.2,104777193.4,112557,2021-12-15 08:20:00
919.0,924.0,927.6,918.6,22832640.4,24719,2021-12-15 08:30:00
923.2,926.6,929.0,923.0,15076699.4,16272,2021-12-15 08:40:00
926.6,930.0,930.8,926.6,13771002.8,14830,2021-12-15 08:50:00
929.8,927.0,929.8,925.4,12413940.6,13375,2021-12-15 09:00:00
925.4,916.4,926.6,916.0,22019530.0,23883,2021-12-15 09:10:00
918.0,923.6,924.8,916.2,10767728.400000002,11701,2021-12-15 09:20:00
924.0,927.0,928.4,924.0,14354594.2,15490,2021-12-15 09:30:00
926.2,925.6,928.8,921.0,14814734.2,16001,2021-12-15 09:40:00
928.0,923.8,928.0,923.6,3758376.4,4061,2021-12-15 09:50:00
923.6,921.8,928.0,918.0,27251104.6,29572,2021-12-15 10:00:00
921.8,923.0,924.0,920.0,10150858.999999998,11003,2021-12-15 10:10:00
922.0,917.0,923.0,914.8,25913121.2,28244,2021-12-15 10:20:00
918.4,920.2,920.8,916.6,10716793.2,11662,2021-12-15 10:30:00
920.4,922.0,922.2,917.0,17572157.0,19120,2021-12-15 10:40:00
922.0,922.8,925.2,920.4,10648703.999999998,11532,2021-12-15 10:50:00
924.6,923.4,925.6,916.6,52391738.59999998,56965,2021-12-15 11:00:00
923.4,929.0,931.2,921.8,21054552.0,22699,2021-12-15 11:10:00
930.0,937.0,940.0,928.0,61180686.99999999,65481,2021-12-15 11:20:00
937.0,939.8,948.0,934.8,71419730.19999999,75741,2021-12-15 11:30:00
940.8,935.4,945.2,935.2,40767570.400000006,43395,2021-12-15 11:40:00
935.4,939.0,941.6,935.4,20676183.200000003,22042,2021-12-15 11:50:00
939.0,946.0,946.2,939.0,36054806.8,38243,2021-12-15 12:00:00
946.0,952.6,957.0,945.4,103203664.4,108476,2021-12-15 12:10:00
952.6,959.6,973.8,952.6,144622170.6,150160,2021-12-15 12:20:00
959.6,955.2,960.0,951.4,52360278.2,54790,2021-12-15 12:30:00
955.0,959.0,960.0,954.6,20849086.399999995,21772,2021-12-15 12:40:00
959.0,960.0,965.0,956.2,28507962.6,29703,2021-12-15 12:50:00
960.0,959.0,962.2,958.2,15125195.2,15754,2021-12-15 13:00:00
959.0,959.2,959.8,955.6,22610925.800000004,23593,2021-12-15 13:10:00
959.6,961.8,962.0,957.2,12459275.0,12986,2021-12-15 13:20:00
961.8,960.4,962.0,959.2,12964259.599999998,13499,2021-12-15 13:30:00
961.0,966.0,966.0,956.0,72710309.4,75627,2021-12-15 13:40:00
966.0,961.0,968.6,959.8,27584153.6,28609,2021-12-15 13:50:00
961.0,961.0,962.0,960.0,9655199.8,10048,2021-12-15 14:00:00
960.0,959.8,962.4,959.0,16438186.800000004,17112,2021-12-15 14:10:00
959.8,959.6,961.4,959.0,14797700.999999998,15411,2021-12-15 14:20:00
959.4,959.0,963.0,957.2,23567773.6,24541,2021-12-15 14:30:00
960.2,958.6,961.0,958.2,12626535.6,13152,2021-12-15 14:40:00
959.8,955.4,960.0,955.4,12064888.2,12605,2021-12-15 14:50:00
955.8,958.4,962.0,950.2,38165288.399999976,39970,2021-12-15 15:00:00
958.0,955.8,960.0,955.8,7237671.4,7556,2021-12-15 15:10:00
956.8,953.0,958.4,952.4,28190993.40000001,29526,2021-12-15 15:20:00
952.6,942.0,955.0,942.0,52632771.80000001,55525,2021-12-15 15:30:00
942.6,948.0,949.0,938.2,36604455.8,38839,2021-12-15 15:40:00
947.8,951.0,952.4,945.8,13098773.4,13800,2021-12-15 15:50:00
952.4,951.8,954.6,950.2,12636572.8,13266,2021-12-15 16:00:00
951.0,948.6,951.2,947.4,7904294.600000001,8330,2021-12-15 16:10:00
948.6,951.6,952.8,947.8,7291469.200000001,7671,2021-12-15 16:20:00
952.0,953.2,958.0,951.6,17415716.400000002,18228,2021-12-15 16:30:00
953.2,953.8,958.2,952.8,7833586.999999999,8204,2021-12-15 16:40:00
953.8,953.8,955.0,953.4,3343192.8000000003,3503,2021-12-15 16:50:00
953.6,952.8,954.0,951.8,10220005.0,10726,2021-12-15 17:00:00
953.0,951.0,953.2,950.8,8914503.400000002,9366,2021-12-15 17:10:00
951.4,958.6,961.0,950.6,40636040.19999999,42513,2021-12-15 17:20:00
959.0,945.2,960.0,945.2,39342857.99999999,41370,2021-12-15 17:30:00
945.8,941.0,947.4,938.4,49215190.2,52218,2021-12-15 17:40:00
941.0,940.0,941.8,936.8,27617027.600000005,29417,2021-12-15 17:50:00
939.0,931.6,941.6,930.0,52272816.19999999,55933,2021-12-15 18:00:00
932.6,932.8,934.8,931.6,22265387.6,23860,2021-12-15 18:10:00
933.6,940.0,941.6,932.6,22916274.4,24446,2021-12-15 18:20:00
940.0,937.4,940.0,936.6,19433401.6,20724,2021-12-15 18:30:00
937.0,937.0,937.0,937.0,3484703.0,3719,2021-12-15 18:40:00
937.0,948.4,958.0,937.0,23102512.0,24395,2021-12-15 19:00:00
948.4,945.6,953.2,945.2,15493899.599999996,16329,2021-12-15 19:10:00
945.6,938.4,946.0,931.4,29038112.200000003,30866,2021-12-15 19:20:00
939.2,938.4,941.0,934.6,7279785.800000001,7764,2021-12-15 19:30:00
939.0,938.8,940.0,936.8,1989745.8000000005,2119,2021-12-15 19:40:00
938.8,938.2,939.4,937.0,2296059.8,2448,2021-12-15 19:50:00
937.8,939.8,940.0,937.0,2183233.6,2325,2021-12-15 20:00:00
938.6,940.8,941.8,938.6,3590059.8,3818,2021-12-15 20:10:00
941.2,943.0,943.0,940.0,7612112.8,8087,2021-12-15 20:20:00
942.8,943.0,944.8,942.8,3065588.2,3249,2021-12-15 20:30:00
942.8,944.0,944.2,942.0,1974206.4,2093,2021-12-15 20:40:00
944.0,944.6,944.8,943.2,2276799.0,2412,2021-12-15 20:50:00
943.6,946.2,948.6,943.0,9395119.4,9935,2021-12-15 21:00:00
946.0,945.0,946.0,943.4,3379632.8,3578,2021-12-15 21:10:00
944.8,944.8,945.0,943.6,6364410.2,6736,2021-12-15 21:20:00
945.0,943.6,945.0,943.4,1663303.1999999995,1761,2021-12-15 21:30:00
945.0,944.0,945.2,942.6,1418661.7999999998,1504,2021-12-15 21:40:00
944.0,943.2,945.0,939.4,4342009.200000001,4607,2021-12-15 21:50:00
943.6,948.0,948.8,936.2,13325150.6,14109,2021-12-15 22:00:00
948.0,946.4,948.0,945.2,5777815.199999998,6103,2021-12-15 22:10:00
946.6,945.2,946.6,944.6,5481967.2,5795,2021-12-15 22:20:00
945.2,946.0,946.4,944.0,4006619.8,4240,2021-12-15 22:30:00
946.0,946.6,946.6,945.0,3082414.4000000004,3258,2021-12-15 22:40:00
946.4,946.6,946.6,946.2,5258396.800000001,5556,2021-12-15 22:50:00
946.4,948.6,948.6,946.2,2354710.000000001,2484,2021-12-15 23:00:00
948.4,951.4,951.6,948.0,10836034.999999998,11413,2021-12-15 23:10:00
951.4,954.0,954.0,950.2,5941750.0,6241,2021-12-15 23:20:00
954.0,956.8,956.8,951.2,11391076.4,11942,2021-12-15 23:30:00
956.8,961.0,968.0,955.6,36641360.8,38177,2021-12-15 23:40:00
966.0,966.0,966.0,966.0,183540.0,190,2021-12-16 06:50:00
966.0,977.0,977.0,951.4,23838883.600000016,24620,2021-12-16 07:00:00
977.0,978.6,990.0,975.2,35734137.2,36414,2021-12-16 07:10:00
978.8,979.6,985.0,967.4,29979239.399999995,30772,2021-12-16 07:20:00
979.6,979.6,988.0,977.0,20884721.000000007,21281,2021-12-16 07:30:00
979.6,981.0,981.0,977.8,3539999.8000000003,3614,2021-12-16 07:40:00
981.0,986.4,989.2,979.2,13247364.0,13452,2021-12-16 07:50:00
986.8,985.0,998.0,983.2,54005757.80000001,54573,2021-12-16 08:00:00
985.0,987.8,988.4,985.0,5884007.4,5959,2021-12-16 08:10:00
988.4,1003.0,1007.8,987.4,54206267.8,54319,2021-12-16 08:20:00
1003.4,1005.4,1010.0,1000.2,40395028.80000001,40198,2021-12-16 08:30:00
1005.0,1009.4,1009.6,1003.0,13214089.8,13133,2021-12-16 08:40:00
1009.6,1002.8,1010.0,1002.0,27375986.599999998,27154,2021-12-16 08:50:00
1002.8,1014.0,1019.0,1001.0,62461601.60000001,61713,2021-12-16 09:00:00
