Open,Close,High,Low,Value,Volume,Date
160.0,160.0,160.0,160.0,1600.0,10,2014-06-10 16:30:00
160.0,160.0,160.0,160.0,16000.0,100,2014-06-10 18:10:00
162.96,162.96,162.96,162.96,1629.6,10,2014-06-11 10:00:00
168.75,168.75,168.75,168.75,1687.5,10,2014-06-24 18:30:00
157.04,157.78,157.78,157.0,48858.2,310,2014-06-26 10:50:00
157.78,157.78,157.78,157.78,3155.6,20,2014-06-26 11:10:00
161.97,161.97,161.97,161.97,1619.7,10,2014-06-26 18:30:00
163.0,163.0,163.0,163.0,3260.0,20,2014-07-04 14:20:00
163.3,163.3,163.3,163.3,1633.0,10,2014-07-04 17:30:00
163.59,163.59,163.59,163.59,1635.9,10,2014-07-04 17:40:00
163.58,163.6,163.6,160.0,6507.7,40,2014-07-04 17:50:00
158.99,158.1,158.99,158.1,17444.8,110,2014-07-07 10:10:00
162.97,162.97,162.97,162.97,1629.7,10,2014-07-07 18:30:00
158.03,158.03,158.03,158.03,1580.3,10,2014-07-08 16:30:00
158.99,158.5,158.99,158.5,6353.5,40,2014-07-09 18:30:00
160.09,160.09,160.09,160.09,4802.700000000001,30,2014-07-10 15:20:00
158.41,158.1,158.41,158.1,15819.1,100,2014-07-14 12:50:00
159.99,159.99,159.99,159.99,1599.9,10,2014-07-14 13:00:00
159.0,159.0,159.0,159.0,6360.0,40,2014-07-14 15:00:00
159.0,159.0,159.0,159.0,3180.0,20,2014-07-14 15:20:00
159.0,159.0,159.0,159.0,1590.0,10,2014-07-14 15:30:00
159.0,159.0,159.0,159.0,1590.0,10,2014-07-14 16:00:00
161.0,161.0,161.0,161.0,1610.0,10,2014-07-15 10:20:00
158.0,157.7,158.0,157.7,7894.0,50,2014-07-16 16:30:00
158.0,158.0,158.0,158.0,12640.0,80,2014-07-16 17:10:00
157.61,157.5,157.61,157.5,4727.1,30,2014-07-17 10:20:00
160.69,160.7,160.7,160.69,3213.9,20,2014-07-17 11:10:00
159.98,159.98,159.98,159.98,4799.4,30,2014-07-17 18:10:00
160.98,160.98,160.98,160.98,1609.8,10,2014-07-18 14:40:00
160.98,160.98,160.98,160.98,1609.8,10,2014-07-21 11:20:00
159.76,159.76,159.76,159.76,1597.6,10,2014-07-23 15:50:00
157.36,157.3,157.36,157.3,6293.299999999999,40,2014-07-23 18:00:00
157.0,157.0,157.0,156.3,31373.0,200,2014-07-24 14:00:00
156.2,156.0,156.2,156.0,10922.1,70,2014-07-24 18:20:00
157.77,157.77,157.77,157.77,1577.7,10,2014-07-25 12:20:00
154.09,150.0,154.09,150.0,15201.4,100,2014-07-25 18:30:00
150.03,150.02,150.03,150.02,15002.2,100,2014-07-28 15:20:00
157.44,157.44,157.44,157.44,1574.4,10,2014-07-28 16:10:00
157.42,157.42,157.42,157.42,1574.2,10,2014-07-29 12:10:00
155.55,155.55,155.55,155.55,1555.5,10,2014-07-29 13:50:00
153.01,159.83,159.83,153.0,15368.9,100,2014-07-29 14:30:00
153.77,153.77,153.77,153.77,1537.7,10,2014-07-29 15:00:00
151.6,151.6,151.6,151.6,9096.0,60,2014-07-29 16:00:00
150.07,150.07,150.07,150.07,3001.4,20,2014-07-29 16:30:00
155.54,155.54,155.54,155.54,1555.4,10,2014-07-29 17:50:00
150.08,150.08,150.08,150.08,1500.8,10,2014-07-29 18:10:00
155.0,155.0,155.0,155.0,1550.0,10,2014-07-29 18:30:00
154.97,154.97,154.97,154.97,15497.0,100,2014-07-30 12:40:00
154.88,154.88,154.88,154.88,1548.8,10,2014-07-30 15:00:00
154.88,154.88,154.88,154.88,1548.8,10,2014-07-31 10:00:00
153.77,153.77,153.77,153.77,7688.5,50,2014-07-31 17:30:00
152.0,151.01,152.0,151.01,30214.2,200,2014-08-01 14:10:00
151.12,151.12,151.12,151.12,3022.4,20,2014-08-01 17:30:00
151.12,151.12,151.12,151.12,1511.2,10,2014-08-01 17:40:00
151.12,151.07,151.12,151.07,3021.9,20,2014-08-01 17:50:00
151.07,151.07,151.07,151.07,3021.4,20,2014-08-01 18:00:00
151.07,151.07,151.07,151.07,3021.4,20,2014-08-01 18:20:00
153.77,158.76,158.76,153.77,4663.0,30,2014-08-01 18:30:00
157.77,157.77,157.77,157.77,1577.7,10,2014-08-04 10:20:00
151.11,151.11,151.12,151.11,4533.4,30,2014-08-04 12:40:00
155.55,155.55,155.55,155.55,1555.5,10,2014-08-04 16:10:00
151.24,157.09,157.09,150.0,64919.50000000001,430,2014-08-04 18:30:00
153.99,153.99,153.99,153.99,1539.9,10,2014-08-05 14:50:00
145.09,150.0,150.0,145.09,2950.9,20,2014-08-05 16:50:00
148.0,148.0,148.0,148.0,1480.0,10,2014-08-05 17:30:00
146.11,146.11,146.11,146.11,1461.1,10,2014-08-05 18:10:00
146.1,146.11,146.11,146.01,30671.599999999995,210,2014-08-05 18:30:00
148.0,148.0,148.0,148.0,1480.0,10,2014-08-06 15:30:00
144.51,146.0,146.0,144.51,2905.1,20,2014-08-06 16:50:00
145.04,145.04,145.04,145.04,2900.8,20,2014-08-06 17:10:00
145.04,145.04,145.04,145.04,1450.4,10,2014-08-06 17:20:00
147.72,147.73,147.73,147.72,4431.7,30,2014-08-06 18:20:00
150.0,150.0,150.0,150.0,6000.0,40,2014-08-07 11:30:00
