Open,Close,High,Low,Value,Volume,Date
19.898,25.144,25.144,19.898,246188,10000,2014-06-26 11:30:00
23.5,23.5,23.5,23.5,352500,15000,2014-06-26 15:00:00
23.6,23.6,23.6,23.6,944000,40000,2014-06-26 15:50:00
15.0,15.0,15.0,15.0,30000,2000,2014-07-15 12:00:00
17.0,17.0,17.0,17.0,34000,2000,2014-08-05 10:30:00
17.0,17.0,17.0,17.0,17000,1000,2014-08-07 18:20:00
18.999,19.0,19.0,18.999,170999,9000,2014-08-15 17:10:00
16.5,16.5,16.5,16.5,165000,10000,2014-09-01 11:40:00
16.5,12.0,16.5,12.0,547513,34000,2014-09-01 11:50:00
15.0,15.0,15.0,15.0,15000,1000,2014-09-01 12:00:00
17.2,17.2,17.2,17.2,17200,1000,2014-09-01 12:10:00
17.9,17.9,17.9,17.9,17900,1000,2014-09-01 12:50:00
17.0,17.0,17.0,17.0,17000,1000,2014-09-01 14:50:00
17.0,17.0,17.0,17.0,17000,1000,2014-09-01 15:50:00
17.0,17.0,17.0,17.0,17000,1000,2014-09-01 18:00:00
19.0,19.0,19.0,19.0,570000,30000,2014-09-02 15:00:00
19.0,19.0,19.0,19.0,190000,10000,2014-09-02 15:10:00
19.0,19.0,19.0,19.0,19000,1000,2014-09-03 15:40:00
17.75,17.75,17.75,17.75,745500,42000,2014-10-13 14:00:00
17.75,17.75,17.75,17.75,17750,1000,2014-10-13 14:30:00
17.75,17.75,17.75,17.75,17750,1000,2014-10-13 15:30:00
12.0,12.0,12.0,12.0,12000,1000,2014-10-23 18:20:00
18.15,18.15,18.15,18.15,18150,1000,2014-10-27 12:40:00
12.25,12.25,12.25,12.25,12250,1000,2014-10-27 13:00:00
17.6,17.6,17.6,13.8,49000,3000,2014-10-28 18:30:00
14.0,14.0,14.0,14.0,14000,1000,2014-10-29 18:10:00
18.0,18.0,18.0,18.0,18000,1000,2014-10-30 12:50:00
18.0,18.0,18.0,18.0,72000,4000,2014-10-30 13:20:00
18.0,18.0,18.0,18.0,72000,4000,2014-10-30 14:10:00
12.1,12.1,12.1,12.1,12100,1000,2014-10-30 15:50:00
11.3,11.3,11.3,11.3,11300,1000,2014-11-10 18:10:00
16.0,16.0,16.0,16.0,16000,1000,2014-11-10 18:20:00
11.5,11.5,11.5,11.5,11500,1000,2014-11-18 15:50:00
18.15,18.15,18.15,18.15,18150,1000,2014-11-25 17:10:00
19.0,19.0,19.0,19.0,19000,1000,2014-11-26 18:30:00
18.95,18.95,18.95,18.95,37900,2000,2014-11-27 11:50:00
19.0,19.0,19.0,19.0,19000,1000,2014-11-27 16:10:00
12.05,12.05,12.05,12.05,12050,1000,2014-11-27 16:20:00
19.0,19.0,19.0,19.0,19000,1000,2014-11-27 18:30:00
19.0,19.0,19.0,19.0,19000,1000,2014-11-28 18:30:00
19.0,20.1,20.1,19.0,59200,3000,2014-12-15 11:40:00
12.05,12.0,12.05,12.0,60050,5000,2014-12-15 17:10:00
16.0,16.0,16.0,16.0,64000,4000,2014-12-15 18:30:00
16.0,16.0,16.0,16.0,16000,1000,2014-12-16 11:40:00
16.0,16.0,16.0,16.0,16000,1000,2014-12-16 12:50:00
21.95,21.95,21.95,21.95,21950,1000,2014-12-18 10:20:00
22.0,22.35,22.35,22.0,221750,10000,2014-12-18 10:40:00
22.0,22.0,22.0,22.0,22000,1000,2014-12-18 14:40:00
22.35,23.0,23.0,22.35,631000,28000,2014-12-19 11:00:00
16.0,16.0,16.0,16.0,16000,1000,2014-12-23 10:50:00
14.0,14.0,14.0,14.0,14000,1000,2015-03-11 17:20:00
14.0,10.6,14.0,10.6,24600,2000,2015-04-09 17:00:00
13.55,13.55,13.55,13.55,27100,2000,2015-06-19 14:50:00
16.0,16.0,16.0,16.0,160000,10000,2015-06-19 18:30:00
16.0,16.0,16.0,16.0,16000,1000,2015-07-13 17:10:00
22.0,16.1,22.0,16.1,38100,2000,2015-07-24 16:30:00
16.1,16.1,16.1,16.1,32200,2000,2015-08-13 10:50:00
13.7,13.7,13.7,13.7,13700,1000,2015-08-20 17:20:00
15.5,15.5,15.5,15.5,15500,1000,2015-08-26 13:40:00
16.0,16.0,16.0,16.0,16000,1000,2015-09-07 18:20:00
17.0,17.0,17.0,17.0,51000,3000,2015-09-11 14:10:00
17.75,17.75,17.75,17.75,53250,3000,2015-09-21 16:00:00
19.15,19.15,19.15,19.15,19150,1000,2015-11-02 14:30:00
18.25,18.25,18.25,18.25,18250,1000,2015-11-27 14:20:00
19.1,19.1,19.1,19.1,191000,10000,2015-12-01 15:00:00
19.75,19.75,19.75,19.75,197500,10000,2015-12-02 11:10:00
19.1,19.1,19.1,19.1,38200,2000,2015-12-02 14:10:00
19.1,19.1,19.1,19.1,19100,1000,2015-12-02 18:30:00
19.1,19.1,19.1,19.1,19100,1000,2015-12-07 17:20:00
19.1,19.1,19.1,19.1,57300,3000,2015-12-08 18:20:00
19.1,19.1,19.1,19.1,38200,2000,2015-12-08 18:40:00
15.5,15.5,15.5,15.5,15500,1000,2015-12-16 15:40:00
17.15,17.15,17.15,17.15,291550,17000,2015-12-22 17:10:00
17.1,17.1,17.1,17.1,17100,1000,2015-12-22 17:50:00
19.05,19.05,19.05,19.05,19050,1000,2015-12-22 18:30:00
16.7,16.7,16.7,16.7,16700,1000,2015-12-23 10:10:00
16.7,16.7,16.7,16.7,16700,1000,2015-12-23 10:20:00
17.15,17.15,17.15,17.15,17150,1000,2015-12-23 18:30:00
16.7,16.7,16.7,16.7,16700,1000,2015-12-24 10:30:00
17.3,17.25,17.3,17.25,34550,2000,2015-12-24 18:30:00
17.1,17.1,17.1,17.1,17100,1000,2015-12-25 10:00:00
19.9,17.2,19.9,17.2,156500,8000,2015-12-30 10:00:00
17.3,17.3,17.3,17.3,17300,1000,2015-12-30 11:20:00
17.2,17.2,17.2,17.2,17200,1000,2016-01-04 11:20:00
17.1,17.1,17.1,17.1,17100,1000,2016-01-05 14:30:00
17.05,12.5,17.05,12.5,29550,2000,2016-01-05 14:50:00
16.25,16.25,16.25,16.25,16250,1000,2016-01-13 18:20:00
16.1,16.1,16.1,16.1,16100,1000,2016-01-14 10:00:00
16.85,16.85,16.85,16.85,16850,1000,2016-01-15 11:20:00
17.6,17.6,17.6,17.6,17600,1000,2016-01-26 11:00:00
17.0,17.0,17.0,17.0,17000,1000,2016-01-26 11:20:00
17.7,17.7,17.7,17.7,35400,2000,2016-01-28 18:10:00
20.1,20.1,20.1,20.1,20100,1000,2016-01-29 15:00:00
20.3,20.3,20.3,20.3,20300,1000,2016-02-01 17:50:00
20.3,20.3,20.3,20.3,20300,1000,2016-02-01 18:00:00
21.0,21.0,21.0,21.0,21000,1000,2016-02-02 14:50:00
20.7,20.7,20.7,20.7,20700,1000,2016-02-03 10:30:00
20.6,20.45,20.6,20.45,82000,4000,2016-02-03 12:00:00
20.3,20.3,20.3,20.3,20300,1000,2016-02-09 09:50:00
20.3,20.25,20.3,20.25,101450,5000,2016-02-17 14:40:00
20.9,20.9,20.9,20.9,334400,16000,2016-02-22 15:10:00
20.0,20.0,20.0,20.0,120000,6000,2016-02-24 09:50:00
20.7,20.7,20.7,20.7,248400,12000,2016-02-24 12:00:00
20.0,20.0,20.0,20.0,120000,6000,2016-03-01 09:50:00
20.2,20.15,20.2,20.15,60500,3000,2016-03-01 10:00:00
20.2,20.2,20.2,20.2,20200,1000,2016-03-01 10:30:00
20.7,20.25,20.7,20.25,122900,6000,2016-03-02 14:10:00
20.75,20.75,20.75,20.75,207500,10000,2016-03-02 16:20:00
20.35,20.15,20.35,20.15,202500,10000,2016-03-04 10:00:00
20.75,20.75,20.75,20.75,20750,1000,2016-03-04 10:40:00
20.7,20.7,20.7,20.7,207000,10000,2016-03-07 10:00:00
