Open,Close,High,Low,Value,Volume,Date
200.0,193.95,200.0,193.2,181042342.35,917497,2024-07-05 16:10:00
193.95,197.7,197.7,193.15,109556746.09999998,562218,2024-07-05 16:20:00
197.7,197.9,199.55,197.0,47771335.15,240463,2024-07-05 16:30:00
197.8,194.6,197.9,194.55,152482348.64999998,779364,2024-07-05 16:40:00
194.85,194.45,195.8,194.0,61720101.64999997,316966,2024-07-05 16:50:00
194.45,193.8,194.45,191.5,113294376.44999994,585785,2024-07-05 17:00:00
193.8,196.2,196.2,193.25,36013125.80000001,185001,2024-07-05 17:10:00
196.2,194.9,196.2,193.5,7815935.799999999,40171,2024-07-05 17:20:00
194.9,194.6,196.0,194.0,14837957.899999999,76135,2024-07-05 17:30:00
194.75,195.7,195.8,194.5,5594716.649999999,28614,2024-07-05 17:40:00
195.7,194.95,195.8,194.6,4077495.0500000003,20860,2024-07-05 17:50:00
194.9,195.8,195.85,194.0,12364896.95,63516,2024-07-05 18:00:00
195.8,197.05,197.5,195.8,10987270.6,55873,2024-07-05 18:10:00
197.25,199.5,199.5,197.0,45064065.599999994,226668,2024-07-05 18:20:00
199.4,199.35,199.5,198.25,118037863.25,591743,2024-07-05 18:30:00
199.0,199.0,199.0,199.0,5280664.0,26536,2024-07-05 18:40:00
199.6,199.6,199.6,199.6,971054.0,4865,2024-07-08 09:50:00
199.6,197.55,200.0,197.2,15996168.200000003,80435,2024-07-08 10:00:00
197.95,197.7,198.0,197.5,7157276.199999999,36225,2024-07-08 10:10:00
197.65,197.05,197.75,197.0,17493722.499999996,88597,2024-07-08 10:20:00
197.2,196.05,197.45,195.1,27365379.55,139061,2024-07-08 10:30:00
196.05,195.15,196.1,194.15,30740526.949999996,157591,2024-07-08 10:40:00
195.1,194.05,195.1,193.8,16016410.500000004,82271,2024-07-08 10:50:00
194.05,194.6,194.6,193.6,4085122.2,21066,2024-07-08 11:00:00
194.6,194.05,194.8,193.85,2492795.15,12826,2024-07-08 11:10:00
194.05,194.05,195.0,193.7,3469958.3,17860,2024-07-08 11:20:00
194.1,193.7,194.2,193.7,4810331.600000001,24791,2024-07-08 11:30:00
193.7,193.35,194.15,192.5,13759419.35,71232,2024-07-08 11:40:00
193.15,193.75,193.75,193.0,2598570.65,13427,2024-07-08 11:50:00
193.75,194.75,194.95,193.7,8589654.499999998,44232,2024-07-08 12:00:00
194.7,194.15,195.0,193.0,4022842.3,20749,2024-07-08 12:10:00
194.0,193.4,194.35,193.0,3936616.3000000003,20351,2024-07-08 12:20:00
193.4,193.3,193.75,193.05,1651293.0,8542,2024-07-08 12:30:00
193.1,192.85,193.3,192.65,3680068.45,19089,2024-07-08 12:40:00
192.75,192.65,193.5,192.65,2749998.1999999997,14253,2024-07-08 12:50:00
192.75,192.75,193.35,192.6,2546993.2,13200,2024-07-08 13:00:00
192.65,192.2,192.95,192.2,4330874.4,22498,2024-07-08 13:10:00
192.2,192.6,192.85,192.05,3549901.25,18472,2024-07-08 13:20:00
192.5,193.35,193.35,192.1,3999482.9499999997,20737,2024-07-08 13:30:00
193.25,192.2,193.45,192.0,4733769.600000001,24631,2024-07-08 13:40:00
192.15,191.6,192.55,191.5,2824193.4499999997,14732,2024-07-08 13:50:00
191.55,190.55,191.55,190.5,6783355.850000001,35497,2024-07-08 14:00:00
190.7,190.7,191.15,190.1,7647999.799999998,40132,2024-07-08 14:10:00
190.65,190.85,191.4,190.4,3934325.3000000003,20612,2024-07-08 14:20:00
190.8,191.0,191.5,190.5,3790705.5999999996,19851,2024-07-08 14:30:00
191.35,190.3,191.7,190.3,2657031.3000000003,13926,2024-07-08 14:40:00
190.3,191.1,192.2,190.3,5572739.399999999,29118,2024-07-08 14:50:00
191.25,192.25,193.5,190.8,6367109.699999999,33045,2024-07-08 15:00:00
192.05,191.7,192.5,191.55,1707717.35,8905,2024-07-08 15:10:00
191.7,191.3,191.85,191.0,3629837.8499999996,18961,2024-07-08 15:20:00
191.25,191.35,191.7,190.6,1873900.6,9814,2024-07-08 15:30:00
191.3,192.95,193.25,191.0,4453691.499999999,23166,2024-07-08 15:40:00
192.95,191.15,193.4,191.1,2901268.5500000003,15073,2024-07-08 15:50:00
191.15,191.25,191.75,191.1,3483659.55,18209,2024-07-08 16:00:00
191.4,191.85,192.5,191.25,3124821.8,16290,2024-07-08 16:10:00
191.8,191.05,191.95,191.05,2924028.8500000006,15279,2024-07-08 16:20:00
191.25,191.8,192.2,191.05,2419474.5500000003,12632,2024-07-08 16:30:00
191.55,191.55,191.95,191.3,1722384.15,8990,2024-07-08 16:40:00
191.55,191.85,192.55,191.55,2320482.6500000004,12085,2024-07-08 16:50:00
192.05,191.7,192.3,191.7,1569596.75,8181,2024-07-08 17:00:00
191.8,191.6,191.85,191.5,1848672.0,9649,2024-07-08 17:10:00
191.6,191.5,192.7,191.5,2069544.0999999999,10791,2024-07-08 17:20:00
191.65,192.4,192.55,191.5,2474993.4000000004,12885,2024-07-08 17:30:00
192.45,191.0,192.45,190.85,2774245.8500000006,14506,2024-07-08 17:40:00
191.0,191.35,191.35,190.35,4002577.2,20989,2024-07-08 17:50:00
191.25,191.5,191.75,191.15,898574.8,4693,2024-07-08 18:00:00
191.4,191.3,191.5,191.05,292356.8,1528,2024-07-08 18:10:00
191.25,191.15,191.35,191.05,888321.1000000001,4647,2024-07-08 18:20:00
191.15,190.85,191.2,190.6,5907497.050000001,30942,2024-07-08 18:30:00
190.6,190.6,190.6,190.6,8459781.0,44385,2024-07-08 18:40:00
