Open,Close,High,Low,Value,Volume,Date
2990,2990,2990,2990,2990,1,2015-04-28 10:30:00
2990,3240,3240,1800,14500,5,2015-05-07 17:30:00
1840,1840,3480,1840,21500,9,2015-05-07 17:50:00
2560,2560,2560,2560,2560,1,2015-05-08 16:00:00
2570,2570,2570,2570,5140,2,2015-05-08 16:10:00
1830,2570,2570,1830,13200,6,2015-05-08 16:50:00
2570,2570,2570,2570,2570,1,2015-05-12 10:00:00
1820,1820,1820,1820,3640,2,2015-05-12 13:20:00
2930,2930,2930,2930,5860,2,2015-05-12 14:10:00
2980,2980,2980,2980,2980,1,2015-05-26 12:00:00
1830,2330,2330,1830,4160,2,2015-06-09 13:00:00
2460,2770,2980,2460,21880,8,2015-06-09 13:10:00
2820,2840,2840,2820,5660,2,2015-06-09 13:20:00
2900,2900,2900,2900,2900,1,2015-06-09 13:30:00
2550,2550,2550,2550,2550,1,2015-06-09 17:40:00
2670,2930,2930,2670,8300,3,2015-06-09 17:50:00
2500,2500,2500,2500,2500,1,2015-06-09 18:30:00
2880,2880,2880,2880,2880,1,2015-06-10 10:00:00
3360,3360,3360,3360,3360,1,2015-06-10 10:10:00
2140,2290,2290,2140,15530,7,2015-06-11 10:40:00
2290,2290,2290,2290,2290,1,2015-06-11 11:00:00
2290,2340,2340,2290,11600,5,2015-06-11 11:10:00
2340,2340,2340,2340,2340,1,2015-06-11 11:30:00
2270,2270,2270,2260,6800,3,2015-06-11 18:10:00
2330,2330,2330,2330,2330,1,2015-06-11 18:20:00
2340,2340,2340,2340,2340,1,2015-06-11 18:40:00
2150,2150,2150,2150,4300,2,2015-06-16 10:10:00
2100,2100,2100,2100,4200,2,2015-06-16 14:20:00
1990,1980,1990,1980,5950,3,2015-06-18 10:10:00
1990,1990,1990,1990,1990,1,2015-06-19 10:20:00
2000,2000,2000,2000,2000,1,2015-06-19 11:00:00
2150,2200,2200,2150,6500,3,2015-06-19 11:20:00
2200,2200,2200,2200,2200,1,2015-06-19 13:30:00
2100,2100,2100,2100,8400,4,2015-06-23 12:40:00
2100,2100,2100,2100,6300,3,2015-06-29 11:40:00
2100,2100,2100,2100,8400,4,2015-06-30 17:10:00
2100,2100,2100,2100,21000,10,2015-07-07 14:30:00
1950,1950,1950,1950,1950,1,2015-07-07 15:40:00
2200,2200,2200,2200,46200,21,2015-07-08 10:30:00
1870,1990,1990,1860,19130,10,2015-07-20 11:10:00
2000,2000,2000,2000,2000,1,2015-07-20 11:20:00
1900,1900,1900,1900,1900,1,2015-07-20 13:00:00
1890,1890,1890,1890,1890,1,2015-07-20 13:10:00
1860,1860,1860,1860,1860,1,2015-07-20 16:40:00
1890,1890,1890,1890,1890,1,2015-07-20 17:50:00
1980,1980,1980,1980,1980,1,2015-07-22 18:10:00
1780,1780,1780,1780,1780,1,2015-08-10 12:50:00
2170,2170,2170,2170,2170,1,2015-08-10 14:30:00
1840,1840,1840,1840,1840,1,2015-08-11 11:00:00
2370,2370,2370,2370,4740,2,2015-08-11 13:10:00
1910,1840,1910,1840,3750,2,2015-08-26 10:10:00
2690,2690,2690,2690,2690,1,2015-08-28 18:30:00
2350,2350,2350,2350,2350,1,2015-09-03 17:00:00
2390,2390,2390,2390,2390,1,2015-09-03 17:10:00
2390,2390,2390,2390,2390,1,2015-09-03 18:10:00
2390,2390,2390,2390,2390,1,2015-09-03 18:40:00
2300,2300,2300,2300,2300,1,2015-09-07 16:10:00
2300,2300,2300,2300,2300,1,2015-09-08 10:30:00
2390,2390,2390,2390,2390,1,2015-09-08 11:00:00
2490,2490,2490,2490,2490,1,2015-09-08 13:10:00
3180,3180,3180,3180,3180,1,2015-09-08 13:50:00
2790,2790,2790,2790,2790,1,2015-09-08 18:00:00
2890,2890,2890,2890,2890,1,2015-09-08 18:20:00
2990,3090,3090,2990,6080,2,2015-09-08 18:30:00
3190,3190,3190,3190,3190,1,2015-09-08 18:40:00
3290,3490,3490,3290,10170,3,2015-09-09 10:00:00
3290,3290,3390,3290,9970,3,2015-09-09 10:30:00
3290,3190,3290,3190,6480,2,2015-09-09 11:00:00
3290,3290,3290,3290,6580,2,2015-09-09 11:30:00
3190,3290,3290,3190,6480,2,2015-09-09 12:30:00
3390,3390,3390,3390,3390,1,2015-09-09 12:50:00
3300,3300,3300,3300,3300,1,2015-09-09 13:00:00
3290,3290,3290,3290,3290,1,2015-09-09 13:10:00
3190,3190,3190,3190,3190,1,2015-09-09 14:20:00
3190,3190,3190,3190,3190,1,2015-09-09 15:00:00
3190,3190,3190,3190,3190,1,2015-09-09 15:20:00
3110,3110,3110,3110,3110,1,2015-09-09 16:30:00
3090,3090,3090,3090,3090,1,2015-09-09 16:40:00
3090,3090,3090,3090,3090,1,2015-09-09 17:00:00
3090,3090,3090,3090,6180,2,2015-09-09 17:40:00
3090,3090,3090,3090,3090,1,2015-09-09 18:10:00
3010,3010,3010,3010,6020,2,2015-09-10 13:10:00
2810,2720,2810,2720,5530,2,2015-09-10 14:30:00
2610,2610,2610,2610,2610,1,2015-09-11 10:20:00
2870,2870,2870,2870,2870,1,2015-09-11 15:10:00
2840,2840,2840,2840,2840,1,2015-09-11 15:30:00
2800,2710,2800,2710,5510,2,2015-09-14 11:00:00
2870,2870,2870,2870,2870,1,2015-09-14 15:10:00
2960,2960,2960,2960,2960,1,2015-09-14 15:40:00
2990,2990,3090,2990,12150,4,2015-09-14 16:00:00
2800,2800,2800,2800,2800,1,2015-09-15 11:00:00
2890,2890,2890,2890,2890,1,2015-09-15 12:50:00
2890,2890,2890,2890,5780,2,2015-09-15 15:00:00
2990,2990,2990,2990,2990,1,2015-09-15 15:50:00
2810,2810,2810,2810,2810,1,2015-09-15 16:10:00
2890,2890,2890,2890,2890,1,2015-09-15 17:00:00
2990,2990,2990,2990,5980,2,2015-09-17 18:40:00
3080,3080,3080,3080,3080,1,2015-09-21 13:30:00
3000,3000,3000,3000,3000,1,2015-09-21 16:30:00
2790,2790,2790,2790,2790,1,2015-09-30 17:20:00
2870,2870,2870,2870,2870,1,2015-10-01 12:50:00
2990,2990,2990,2990,2990,1,2015-10-02 14:20:00
2700,2700,2700,2700,2700,1,2015-10-14 16:00:00
2870,2890,2890,2870,5760,2,2015-10-14 16:30:00
2990,2990,2990,2990,2990,1,2015-10-14 17:40:00
3090,3090,3090,3090,3090,1,2015-10-14 17:50:00
2990,2990,2990,2990,2990,1,2015-10-15 11:20:00
2900,2900,2900,2900,2900,1,2015-10-15 12:40:00
2850,2850,2850,2850,2850,1,2015-10-15 14:20:00
2890,2890,2890,2890,2890,1,2015-10-19 12:10:00
2890,2890,2890,2890,2890,1,2015-10-19 12:20:00
2890,2890,2890,2890,2890,1,2015-10-19 13:00:00
2980,3090,3090,2980,9060,3,2015-10-19 13:30:00
3030,3030,3030,3030,3030,1,2015-10-19 13:50:00
2990,2990,2990,2990,2990,1,2015-10-19 14:10:00
2950,2950,2950,2950,2950,1,2015-10-20 12:00:00
2950,2950,2950,2950,2950,1,2015-10-20 16:20:00
2930,2930,2930,2930,2930,1,2015-10-20 16:40:00
2990,2990,2990,2990,2990,1,2015-10-20 17:30:00
2950,2950,2950,2950,2950,1,2015-10-21 10:40:00
2900,2900,2900,2900,2900,1,2015-10-21 12:10:00
2940,2940,2940,2940,2940,1,2015-10-21 14:20:00
2990,2990,2990,2990,2990,1,2015-10-21 18:20:00
2950,2820,2950,2820,8700,3,2015-10-22 10:20:00
1880,1870,1880,1870,11230,6,2015-10-22 10:30:00
2850,2810,2970,2810,11500,4,2015-10-22 10:40:00
2700,2700,2700,2700,5400,2,2015-10-22 13:30:00
2600,2600,2600,2600,2600,1,2015-10-22 18:00:00
2740,2740,2740,2740,2740,1,2015-10-22 18:20:00
2600,2600,2600,2600,2600,1,2015-10-26 10:50:00
2740,2740,2740,2740,2740,1,2015-10-26 14:50:00
2870,2870,2870,2870,2870,1,2015-10-26 15:10:00
2980,3280,3280,2980,6260,2,2015-10-26 15:20:00
3760,3760,3760,3760,3760,1,2015-10-26 15:30:00
3790,3790,3790,3790,3790,1,2015-10-26 16:00:00
3820,3350,3820,3350,10720,3,2015-10-26 16:10:00
3150,3070,3150,3050,27570,9,2015-10-26 17:50:00
3050,3050,3050,3050,3050,1,2015-10-27 11:50:00
3080,3080,3080,3080,3080,1,2015-10-27 14:10:00
3000,3000,3000,3000,3000,1,2015-10-28 12:20:00
3080,3080,3080,3080,3080,1,2015-10-29 10:20:00
3000,3000,3000,3000,3000,1,2015-10-30 15:20:00
2990,2990,2990,2990,2990,1,2015-10-30 15:50:00
2960,2960,2960,2960,2960,1,2015-10-30 16:00:00
3080,3080,3080,3080,3080,1,2015-10-30 18:00:00
3000,3000,3000,3000,3000,1,2015-11-02 10:50:00
2930,2930,2930,2930,2930,1,2015-11-02 11:00:00
2990,2990,2990,2990,2990,1,2015-11-02 17:00:00
2930,2850,2930,2850,5780,2,2015-11-03 18:00:00
2800,2800,2800,2800,2800,1,2015-11-05 15:40:00
2700,2700,2700,2700,2700,1,2015-11-10 11:10:00
2760,2870,2870,2760,5630,2,2015-11-10 13:00:00
2800,2800,2800,2800,2800,1,2015-11-10 13:10:00
2730,2730,2730,2730,2730,1,2015-11-12 12:30:00
2630,2980,2980,2630,5610,2,2015-11-13 15:30:00
2630,2630,2630,2630,2630,1,2015-11-13 17:10:00
2500,2500,2500,2500,2500,1,2015-11-13 18:10:00
2550,2550,2550,2550,2550,1,2015-11-16 11:40:00
2560,2550,2560,2550,5110,2,2015-11-16 12:20:00
2640,2640,2640,2640,2640,1,2015-11-16 14:30:00
2600,2570,2600,2570,5170,2,2015-11-16 17:20:00
2680,2680,2680,2680,2680,1,2015-11-17 12:50:00
2600,2600,2600,2600,2600,1,2015-11-19 10:50:00
2690,3640,3640,2690,15650,5,2015-11-19 11:20:00
3300,3300,3300,3300,3300,1,2015-11-19 11:30:00
3100,2600,3100,2600,128300,49,2015-11-19 11:40:00
2750,2750,2750,2750,2750,1,2015-11-19 13:30:00
2710,2760,2760,2710,5470,2,2015-11-19 14:30:00
2790,2910,3100,2790,11890,4,2015-11-19 16:30:00
3030,3030,3030,3030,3030,1,2015-11-20 10:20:00
2950,2950,2950,2950,2950,1,2015-11-20 11:50:00
2990,2990,2990,2990,2990,1,2015-11-24 12:30:00
2910,2600,2910,2600,11030,4,2015-11-25 10:00:00
2600,2600,2600,2600,2600,1,2015-11-25 10:30:00
2600,2600,2600,2600,13000,5,2015-11-25 12:10:00
3090,3090,3090,3090,3090,1,2015-11-25 12:50:00
3090,3150,3150,3090,9340,3,2015-11-25 14:30:00
3150,3200,3200,3150,6350,2,2015-11-25 14:40:00
3100,3100,3100,3100,6200,2,2015-11-25 16:00:00
3050,3050,3050,3050,3050,1,2015-11-25 16:20:00
3090,3090,3090,3090,3090,1,2015-11-25 18:10:00
3040,3140,3140,2910,26910,9,2015-11-26 14:40:00
3080,2810,3080,2810,14510,5,2015-11-26 18:00:00
3100,3100,3100,3100,3100,1,2015-11-26 18:10:00
3000,2910,3000,2910,5910,2,2015-11-27 10:40:00
2990,3080,3080,2990,9110,3,2015-11-27 10:50:00
3040,3040,3040,3040,3040,1,2015-11-27 11:30:00
2990,2990,2990,2990,2990,1,2015-11-27 12:00:00
2940,2940,2940,2940,2940,1,2015-11-27 12:10:00
2890,2890,2890,2890,2890,1,2015-11-27 12:30:00
2930,2930,2930,2930,2930,1,2015-11-27 13:50:00
2890,2890,2890,2890,2890,1,2015-11-27 14:50:00
2850,2850,2850,2850,2850,1,2015-11-27 15:50:00
2850,2850,2850,2850,2850,1,2015-11-27 16:10:00
2850,2850,2850,2850,2850,1,2015-11-27 16:30:00
2850,2850,2850,2850,2850,1,2015-11-27 17:40:00
2850,2850,2850,2850,2850,1,2015-11-27 17:50:00
2940,2940,2940,2940,2940,1,2015-11-30 13:30:00
2930,2930,2930,2930,2930,1,2015-11-30 15:20:00
3090,3090,3090,3090,3090,1,2015-12-01 10:10:00
2990,3040,3040,2990,6030,2,2015-12-01 10:20:00
3020,3000,3020,3000,6020,2,2015-12-01 13:20:00
2990,2990,2990,2990,2990,1,2015-12-01 13:30:00
2940,2940,2940,2940,2940,1,2015-12-01 13:40:00
