Open,Close,High,Low,Value,Volume,Date
1.7999,1.7999,1.8,1.7999,181799.8,101000,2014-06-09 18:10:00
1.7999,1.8,1.8,1.7999,192599.40000000002,107000,2014-06-09 18:20:00
1.8,1.8,1.8,1.8,54000.0,30000,2014-06-10 10:50:00
1.8,1.8,1.8,1.8,180000.0,100000,2014-06-10 11:20:00
1.791,1.79,1.791,1.79,134278.6,75000,2014-06-10 13:40:00
1.7903,1.79,1.7903,1.7899,266718.6,149000,2014-06-10 14:50:00
1.79,1.79,1.79,1.79,186160.0,104000,2014-06-10 15:20:00
1.7951,1.795,1.7951,1.795,8975.2,5000,2014-06-10 16:20:00
1.7902,1.7902,1.7902,1.7902,1790.2,1000,2014-06-10 17:20:00
1.7994,1.8,1.8,1.7994,372597.4,207000,2014-06-10 18:00:00
1.8002,1.8,1.8002,1.7999,360002.1,200000,2014-06-10 18:30:00
1.7999,1.8,1.8,1.7999,205196.5,114000,2014-06-11 10:30:00
1.8001,1.8,1.8001,1.8,68400.2,38000,2014-06-11 13:00:00
1.7999,1.8,1.8,1.7999,271799.6,151000,2014-06-11 16:20:00
1.8,1.8,1.8,1.8,91800.0,51000,2014-06-11 16:40:00
1.7901,1.7901,1.7901,1.7901,1790.1,1000,2014-06-11 17:20:00
1.7841,1.7884,1.7884,1.784,17866.6,10000,2014-06-16 10:50:00
1.79,1.79,1.79,1.79,358000.0,200000,2014-06-16 12:30:00
1.79,1.79,1.79,1.79,358000.0,200000,2014-06-16 14:30:00
1.789,1.789,1.789,1.789,1789.0,1000,2014-06-16 15:50:00
1.789,1.789,1.789,1.789,1789.0,1000,2014-06-16 16:50:00
1.79,1.79,1.79,1.79,358000.0,200000,2014-06-16 17:10:00
1.7902,1.79,1.7902,1.79,48331.899999999994,27000,2014-06-16 17:50:00
1.7901,1.7901,1.7901,1.7901,16110.9,9000,2014-06-16 18:00:00
1.7903,1.7901,1.7903,1.7901,17901.8,10000,2014-06-16 18:30:00
1.7989,1.8259,1.8414,1.7989,1670862.9,916000,2014-06-17 10:00:00
1.8251,1.815,1.8251,1.815,942038.6,518000,2014-06-17 10:20:00
1.815,1.815,1.815,1.815,181500.0,100000,2014-06-17 10:30:00
1.8239,1.825,1.825,1.8239,257236.9,141000,2014-06-17 10:50:00
1.825,1.826,1.826,1.825,147855.0,81000,2014-06-17 11:00:00
1.8202,1.818,1.8202,1.818,516537.9,284000,2014-06-17 11:10:00
1.817,1.813,1.817,1.813,312333.5,172000,2014-06-17 11:20:00
1.813,1.8125,1.813,1.8125,18128.0,10000,2014-06-17 11:40:00
1.8125,1.8024,1.8125,1.8023,567571.2,314000,2014-06-17 11:50:00
1.8112,1.8112,1.8112,1.8112,1811.2,1000,2014-06-17 12:40:00
1.8179,1.818,1.818,1.8179,90899.7,50000,2014-06-17 12:50:00
1.818,1.825,1.825,1.818,182473.0,100000,2014-06-17 13:10:00
1.825,1.825,1.825,1.825,100375.0,55000,2014-06-17 13:20:00
1.8251,1.825,1.8251,1.825,197100.3,108000,2014-06-17 13:30:00
1.825,1.825,1.825,1.825,54750.0,30000,2014-06-17 14:30:00
1.825,1.825,1.825,1.825,91250.0,50000,2014-06-17 14:50:00
1.825,1.825,1.825,1.825,63875.0,35000,2014-06-17 15:00:00
1.82,1.82,1.82,1.82,27300.0,15000,2014-06-17 15:10:00
1.8201,1.8201,1.8201,1.8201,1820.1,1000,2014-06-17 15:30:00
1.825,1.8251,1.8251,1.825,102200.5,56000,2014-06-17 16:00:00
1.827,1.827,1.827,1.827,91350.0,50000,2014-06-17 16:10:00
1.8299,1.83,1.83,1.8299,164695.0,90000,2014-06-17 16:20:00
1.8299,1.83,1.83,1.8299,71369.7,39000,2014-06-17 16:40:00
1.8251,1.825,1.8251,1.825,43800.7,24000,2014-06-17 16:50:00
1.825,1.825,1.825,1.825,366825.0,201000,2014-06-17 17:00:00
1.8285,1.83,1.83,1.8285,384225.0,210000,2014-06-17 17:30:00
1.8373,1.9,1.9001,1.8373,13900769.100000001,7353000,2014-06-17 17:40:00
1.9,1.8901,1.9001,1.8901,1548271.2000000002,815000,2014-06-17 17:50:00
1.89,1.899,1.899,1.871,1760372.6,929000,2014-06-17 18:00:00
1.8901,1.899,1.899,1.89,483713.0,255000,2014-06-17 18:10:00
1.8901,1.89,1.8901,1.89,774901.1,410000,2014-06-17 18:20:00
1.89,1.875,1.89,1.875,1338125.4,711000,2014-06-17 18:30:00
1.8612,1.8612,1.8612,1.8612,5583.6,3000,2014-06-18 10:00:00
1.8364,1.8321,1.8364,1.8321,5500.6,3000,2014-06-18 10:30:00
1.8436,1.8436,1.8436,1.8436,9218.0,5000,2014-06-18 10:50:00
1.8338,1.8335,1.8338,1.8335,183352.9,100000,2014-06-18 11:10:00
1.8336,1.83,1.8336,1.83,183148.5,100000,2014-06-18 11:20:00
1.8305,1.83,1.8305,1.83,183019.0,100000,2014-06-18 11:40:00
1.8303,1.83,1.8303,1.83,91502.1,50000,2014-06-18 11:50:00
1.8303,1.83,1.8303,1.83,91503.0,50000,2014-06-18 12:00:00
1.8203,1.8203,1.8203,1.8203,1820.3,1000,2014-06-18 12:10:00
1.83,1.83,1.83,1.83,3660.0,2000,2014-06-18 12:30:00
1.835,1.83,1.835,1.83,36675.0,20000,2014-06-18 12:40:00
1.83,1.8299,1.83,1.8299,67709.8,37000,2014-06-18 12:50:00
1.8204,1.8204,1.8204,1.8204,7281.6,4000,2014-06-18 14:00:00
1.8299,1.83,1.83,1.8299,10979.8,6000,2014-06-18 15:30:00
1.8304,1.8303,1.8304,1.8303,16472.899999999998,9000,2014-06-18 17:20:00
1.82,1.82,1.82,1.82,91000.0,50000,2014-06-19 10:50:00
1.8299,1.83,1.83,1.8299,505079.8,276000,2014-06-19 11:50:00
1.83,1.83,1.83,1.83,51240.0,28000,2014-06-19 12:10:00
1.8301,1.83,1.8301,1.83,135420.2,74000,2014-06-19 13:00:00
1.8299,1.83,1.83,1.8299,186659.8,102000,2014-06-19 16:40:00
1.8303,1.8303,1.8303,1.8303,5490.9,3000,2014-06-19 17:30:00
1.8201,1.8201,1.8201,1.8201,5460.3,3000,2014-06-20 13:40:00
1.82,1.82,1.82,1.82,3640.0,2000,2014-06-20 13:50:00
1.8299,1.83,1.83,1.8299,179338.0,98000,2014-06-20 14:50:00
1.8301,1.8161,1.8301,1.8161,349100.1,191000,2014-06-20 17:40:00
