Open,Close,High,Low,Value,Volume,Date
10.5,10.5,10.5,10.5,525000.0,50000,2014-06-09 12:00:00
10.5,10.5,10.5,10.5,88200.0,8400,2014-06-09 12:20:00
10.5,10.5,10.5,10.5,15750.0,1500,2014-06-09 13:20:00
10.5,10.5,10.5,10.5,87150.0,8300,2014-06-09 14:00:00
10.5,10.5,10.5,10.5,333900.0,31800,2014-06-09 14:30:00
10.5,10.5,10.5,10.5,33600.0,3200,2014-06-09 14:50:00
10.3,10.3,10.3,10.3,5150.0,500,2014-06-09 17:30:00
10.201,10.2,10.201,10.2,104040.2,10200,2014-06-10 17:10:00
10.2,10.2,10.2,10.2,81600.0,8000,2014-06-11 13:20:00
10.3,11.0,11.0,10.3,53919.1,5100,2014-06-11 13:30:00
10.5,10.5,10.5,10.5,1050.0,100,2014-06-11 14:00:00
10.6,10.8,10.8,10.6,10698.7,1000,2014-06-16 11:50:00
10.79,12.0,12.0,10.79,80116.8,7400,2014-06-16 13:40:00
10.8,10.8,10.8,10.8,18360.0,1700,2014-06-16 15:50:00
11.89,11.89,11.89,10.5,107378.0,10200,2014-06-17 10:00:00
10.4,10.4,10.4,10.4,104000.0,10000,2014-06-17 13:00:00
10.3,10.3,10.3,10.3,103000.0,10000,2014-06-17 14:00:00
10.8,10.8,10.8,10.8,10800.0,1000,2014-06-17 18:10:00
10.8,10.8,10.8,10.8,10800.0,1000,2014-06-18 10:30:00
10.8,11.6,11.6,10.8,22760.0,2100,2014-06-19 18:20:00
10.5,10.5,10.5,10.5,1050.0,100,2014-06-20 11:40:00
10.3,10.3,10.3,10.3,103000.0,10000,2014-06-20 15:50:00
10.006,10.0,10.006,10.0,119013.0,11900,2014-06-23 15:30:00
10.0,10.0,10.0,10.0,65000.0,6500,2014-06-24 15:10:00
10.0,10.0,10.0,10.0,100000.0,10000,2014-06-25 12:00:00
10.498,10.99,10.99,10.498,16877.9,1600,2014-06-26 13:50:00
9.7,9.7,9.7,9.7,2910.0,300,2014-06-30 10:40:00
10.5,10.8,10.8,10.5,58800.0,5500,2014-06-30 11:20:00
10.8,10.95,10.95,10.8,49135.0,4500,2014-06-30 11:30:00
10.301,10.0,10.301,10.0,231030.1,22500,2014-06-30 12:30:00
10.849,10.85,10.85,10.849,21699.7,2000,2014-06-30 13:50:00
10.011,10.0,10.011,10.0,9005.5,900,2014-06-30 15:00:00
10.695,10.969,10.969,10.695,10749.099999999999,1000,2014-06-30 18:30:00
11.585,11.999,11.999,11.585,3518.2000000000003,300,2014-07-02 10:40:00
10.498,10.498,10.498,10.498,1049.8,100,2014-07-02 18:30:00
11.888,11.9,11.9,11.888,3568.8,300,2014-07-03 10:50:00
11.998,12.481,12.5,11.998,30488.7,2500,2014-07-03 12:20:00
12.0,11.5,12.0,11.5,5800.0,500,2014-07-03 12:30:00
11.0,10.5,11.0,10.5,28600.5,2700,2014-07-03 13:10:00
11.3,11.3,11.3,11.3,1130.0,100,2014-07-03 16:00:00
11.5,11.5,11.5,11.5,2300.0,200,2014-07-04 10:50:00
11.0,10.983,11.0,10.983,10994.9,1000,2014-07-04 12:30:00
11.499,11.5,11.5,11.499,11499.5,1000,2014-07-04 12:40:00
11.0,11.0,11.0,11.0,2200.0,200,2014-07-04 15:40:00
11.5,11.5,11.5,11.5,11500.0,1000,2014-07-07 12:10:00
11.988,12.0,12.0,11.988,2398.8,200,2014-07-09 10:30:00
11.75,11.75,11.75,11.75,11750.0,1000,2014-07-10 10:00:00
11.75,12.0,12.0,11.75,109399.9,9300,2014-07-10 10:10:00
11.6,11.6,11.6,11.6,1092720.0,94200,2014-07-10 10:30:00
11.9,11.5,11.9,11.5,17650.0,1500,2014-07-10 10:40:00
11.6,11.6,11.6,11.6,696000.0,60000,2014-07-10 11:50:00
11.9,11.5,11.9,11.5,23400.0,2000,2014-07-10 12:20:00
11.477,11.2,11.477,11.2,18324.0,1600,2014-07-10 15:20:00
11.5,11.5,11.5,11.5,115000.0,10000,2014-07-10 16:40:00
11.585,11.585,11.585,11.585,312795.0,27000,2014-07-10 16:50:00
11.999,12.0,12.0,11.999,5999.9,500,2014-07-11 10:00:00
11.999,11.999,11.999,11.999,11999.0,1000,2014-07-14 11:40:00
11.5,11.5,11.5,11.5,11500.0,1000,2014-07-14 14:40:00
11.0,11.0,11.0,11.0,11000.0,1000,2014-07-14 15:20:00
11.0,11.0,11.0,11.0,539000.0,49000,2014-07-14 16:20:00
11.001,11.0,11.001,11.0,393801.2,35800,2014-07-14 18:30:00
12.0,12.0,12.0,12.0,6000.0,500,2014-07-15 11:00:00
11.4,11.5,11.5,11.4,176880.0,15400,2014-07-16 16:20:00
12.0,12.0,12.0,12.0,6000.0,500,2014-07-17 11:20:00
12.0,12.5,12.5,12.0,38450.0,3200,2014-07-18 10:20:00
11.5,11.5,11.5,11.5,1150.0,100,2014-07-18 16:40:00
11.3,12.5,12.5,11.3,2380.0,200,2014-07-21 10:20:00
11.5,11.5,11.5,11.5,161000.0,14000,2014-07-21 14:00:00
11.5,11.5,11.5,11.5,1023500.0,89000,2014-07-21 14:10:00
12.0,12.0,12.0,11.5,35500.0,3000,2014-07-21 14:20:00
11.6,11.6,11.6,11.6,60320.0,5200,2014-07-21 17:50:00
11.9,11.9,11.9,11.9,5950.0,500,2014-07-21 18:30:00
12.5,13.0,13.0,12.5,16312.6,1300,2014-07-22 10:00:00
11.505,11.505,11.505,11.505,11505.0,1000,2014-07-22 14:10:00
11.505,11.505,11.505,11.505,1150.5,100,2014-07-22 14:20:00
12.0,12.0,12.0,12.0,12000.0,1000,2014-07-22 15:00:00
12.0,12.0,12.0,12.0,121200.0,10100,2014-07-22 18:00:00
12.0,12.5,12.5,11.9,827050.0,69000,2014-07-22 18:10:00
12.5,13.0,13.0,12.5,18862.6,1500,2014-07-23 10:00:00
12.2,12.2,12.2,12.2,8540.0,700,2014-07-23 10:10:00
12.999,13.0,13.0,12.999,7799.5,600,2014-07-23 10:20:00
12.5,12.75,12.75,12.139,55683.5,4500,2014-07-23 10:40:00
12.25,12.25,12.25,12.25,12250.0,1000,2014-07-23 12:10:00
12.5,12.5,12.5,12.5,12500.0,1000,2014-07-23 12:50:00
12.0,12.0,12.0,12.0,14400.0,1200,2014-07-23 13:00:00
12.0,12.0,12.0,12.0,108000.0,9000,2014-07-23 13:10:00
12.0,12.0,12.0,12.0,477600.0,39800,2014-07-23 14:10:00
12.5,12.5,12.5,12.5,2500.0,200,2014-07-23 14:20:00
12.0,12.0,12.0,12.0,456000.0,38000,2014-07-23 15:00:00
12.0,12.0,12.0,12.0,1826400.0,152200,2014-07-23 18:00:00
12.499,12.499,12.499,12.499,1249.9,100,2014-07-23 18:30:00
12.0,12.0,12.0,12.0,120000.0,10000,2014-07-24 10:10:00
12.05,12.05,12.05,12.05,2410000.0,200000,2014-07-24 13:40:00
12.05,12.05,12.05,12.05,6025000.0,500000,2014-07-24 14:10:00
11.9,12.05,12.05,11.9,480500.0,40000,2014-07-24 14:30:00
12.05,12.05,12.05,12.05,3253500.0,270000,2014-07-24 14:40:00
11.9,11.9,11.9,11.9,1666000.0,140000,2014-07-24 17:20:00
12.499,12.499,12.499,12.499,2499.8,200,2014-07-24 17:40:00
12.9,12.9,12.9,12.9,2580.0,200,2014-07-25 11:50:00
12.2,12.2,12.2,12.2,12200.0,1000,2014-07-25 16:10:00
12.899,12.899,12.899,12.899,1289.9,100,2014-07-25 18:30:00
12.2,12.2,12.2,12.2,2440.0,200,2014-07-28 14:00:00
11.9,11.9,11.9,11.9,595000.0,50000,2014-07-28 17:00:00
12.888,12.888,12.888,12.888,1288.8,100,2014-07-29 12:10:00
12.2,12.5,12.5,12.002,734638.7,61000,2014-07-29 17:40:00
12.5,12.5,12.5,12.5,125000.0,10000,2014-07-29 17:50:00
13.0,13.0,13.0,13.0,2600.0,200,2014-07-30 10:10:00
12.5,12.75,12.75,12.5,88825.0,7100,2014-07-30 11:10:00
12.75,12.75,12.75,12.75,12750.0,1000,2014-07-30 11:30:00
12.75,12.75,12.75,12.75,127500.0,10000,2014-07-30 12:10:00
12.75,12.75,12.75,12.75,127500.0,10000,2014-07-30 12:30:00
12.6,12.5,12.6,12.5,180020.0,14400,2014-07-30 12:40:00
12.75,12.75,12.75,12.75,6375.0,500,2014-07-30 12:50:00
12.5,12.5,12.5,12.5,12500.0,1000,2014-07-30 13:00:00
12.75,12.75,12.75,12.75,12750.0,1000,2014-07-30 13:10:00
12.45,12.45,12.45,12.45,12450.0,1000,2014-07-30 15:20:00
12.222,12.2,12.222,12.2,257664.2,21100,2014-07-30 15:30:00
12.749,12.75,12.75,12.749,6374.8,500,2014-07-30 17:50:00
12.5,12.4,12.5,12.4,24900.0,2000,2014-07-30 18:10:00
12.75,12.75,12.75,12.75,14025.0,1100,2014-07-30 18:30:00
12.99,13.5,13.5,12.4,291835.0,22500,2014-07-31 10:00:00
13.0,14.0,14.0,13.0,17200.0,1300,2014-07-31 10:50:00
12.501,12.5,12.501,12.5,126250.1,10100,2014-08-01 17:10:00
12.899,12.899,12.899,12.899,1289.9,100,2014-08-01 18:30:00
12.8,12.8,12.8,12.8,64000.0,5000,2014-08-04 10:00:00
12.3,12.2,12.3,12.2,185960.0,15200,2014-08-04 12:10:00
12.75,12.75,12.75,12.75,12750.0,1000,2014-08-04 14:00:00
12.5,12.5,12.5,12.5,13750.0,1100,2014-08-05 10:30:00
12.05,12.05,12.05,12.05,1205.0,100,2014-08-05 10:50:00
12.5,12.5,12.5,12.5,6250.0,500,2014-08-05 11:10:00
12.5,12.5,12.5,12.5,6105000.0,488400,2014-08-05 12:20:00
12.5,12.5,12.5,12.5,82500.0,6600,2014-08-05 12:40:00
12.7,12.75,12.75,12.7,3815.0,300,2014-08-05 13:20:00
12.4,12.4,12.4,12.4,58280.0,4700,2014-08-05 15:40:00
12.75,12.75,12.75,12.75,7650.0,600,2014-08-05 16:30:00
12.5,12.5,12.5,12.5,12500.0,1000,2014-08-05 17:50:00
12.75,12.75,12.75,12.75,2550.0,200,2014-08-05 18:30:00
13.0,13.0,13.0,13.0,2600.0,200,2014-08-06 11:20:00
13.0,13.0,13.0,13.0,3900.0,300,2014-08-07 11:20:00
12.5,12.5,12.5,12.5,12500.0,1000,2014-08-07 11:30:00
12.95,12.95,12.95,12.95,2590.0,200,2014-08-07 15:40:00
13.0,13.0,13.0,13.0,1300.0,100,2014-08-08 10:00:00
12.5,12.5,12.5,12.5,10000.0,800,2014-08-11 11:40:00
12.75,12.75,12.75,12.75,6375.0,500,2014-08-11 12:50:00
14.0,14.0,14.0,14.0,2800.0,200,2014-08-13 13:20:00
12.401,12.0,12.401,12.0,143161.3,11900,2014-08-13 15:40:00
12.0,12.0,12.0,12.0,24000.0,2000,2014-08-13 15:50:00
12.0,12.0,12.0,12.0,1200.0,100,2014-08-13 18:10:00
13.0,13.0,13.0,13.0,2600.0,200,2014-08-14 10:00:00
12.4,12.4,12.4,12.4,7440.0,600,2014-08-14 10:10:00
12.2,12.2,12.2,12.2,12200.0,1000,2014-08-14 11:50:00
12.2,12.2,12.2,12.2,12200.0,1000,2014-08-14 12:00:00
12.2,12.2,12.2,12.2,6100.0,500,2014-08-14 12:50:00
12.1,12.0,12.1,12.0,132100.0,11000,2014-08-15 10:40:00
12.0,12.998,12.998,12.0,189899.4,15800,2014-08-15 11:10:00
13.0,12.87,13.0,12.87,7761.0,600,2014-08-15 11:20:00
13.1,13.1,13.1,13.1,2620.0,200,2014-08-19 13:50:00
13.499,13.499,13.499,13.499,1349.9,100,2014-08-20 11:00:00
12.5,12.5,12.5,12.5,12500.0,1000,2014-08-20 13:10:00
13.1,13.1,13.1,13.1,2620.0,200,2014-08-20 15:10:00
13.1,13.1,13.1,13.1,3930.0,300,2014-08-21 11:20:00
12.401,12.401,12.401,12.401,1240.1,100,2014-08-21 15:00:00
13.499,13.499,13.499,13.499,1349.9,100,2014-08-22 10:40:00
13.5,14.0,14.0,13.5,10863.6,800,2014-08-25 10:10:00
12.401,12.4,12.401,12.4,16120.1,1300,2014-08-25 11:40:00
12.75,12.75,12.75,12.75,2550.0,200,2014-08-25 13:30:00
12.35,12.35,12.35,12.35,1235.0,100,2014-08-25 18:00:00
12.75,12.75,12.75,12.75,1275.0,100,2014-08-25 18:30:00
13.099,12.35,13.1,12.35,17439.9,1400,2014-08-26 11:10:00
13.1,13.1,13.1,13.1,1310.0,100,2014-08-26 11:20:00
12.301,12.3,12.301,12.3,13530.1,1100,2014-08-26 11:40:00
12.7,12.7,12.7,12.7,1270.0,100,2014-08-26 13:00:00
12.7,12.7,12.7,12.7,10160.0,800,2014-08-26 13:20:00
13.2,13.2,13.2,13.2,2640.0,200,2014-08-27 12:50:00
13.4,13.4,13.4,13.4,1340.0,100,2014-08-28 18:30:00
13.4,13.4,13.4,13.4,6700.0,500,2014-09-01 11:30:00
12.5,13.2,13.2,12.25,100890.0,8200,2014-09-02 11:00:00
12.108,12.106,12.108,12.106,12106.6,1000,2014-09-02 18:30:00
12.48,12.48,12.48,12.48,8736.0,700,2014-09-03 11:30:00
12.19,12.49,12.49,12.19,6185.0,500,2014-09-03 12:40:00
12.49,13.399,13.399,12.49,26334.9,2100,2014-09-03 18:30:00
12.071,12.065,12.071,12.065,14479.1,1200,2014-09-04 11:30:00
12.07,13.0,13.0,12.07,25070.0,2000,2014-09-04 11:40:00
12.4,12.1,12.4,12.1,12340.0,1000,2014-09-04 12:00:00
11.901,11.8,11.901,11.8,478258.4,40400,2014-09-04 13:10:00
12.2,12.2,12.2,12.2,1220.0,100,2014-09-04 14:00:00
11.707,11.7,11.707,11.7,118170.7,10100,2014-09-04 14:40:00
11.701,11.65,11.701,11.65,301747.7,25900,2014-09-04 14:50:00
11.8,11.8,11.8,11.8,3540.0,300,2014-09-04 17:00:00
11.8,11.8,11.8,11.8,1180.0,100,2014-09-04 17:20:00
11.8,11.8,11.8,11.8,7080.0,600,2014-09-04 18:30:00
11.602,11.6,11.602,11.6,6960.6,600,2014-09-05 10:20:00
11.8,11.8,11.8,11.8,1180.0,100,2014-09-05 10:30:00
12.0,12.0,12.0,12.0,8400.0,700,2014-09-05 10:50:00
12.24,12.249,12.249,12.24,2448.9,200,2014-09-08 10:50:00
12.0,12.0,12.0,12.0,1200.0,100,2014-09-10 10:50:00
11.603,11.603,11.603,11.603,1160.3,100,2014-09-10 12:40:00
12.98,12.98,12.98,12.98,1298.0,100,2014-09-11 10:00:00
12.249,12.249,12.249,12.249,1224.9,100,2014-09-11 13:30:00
12.249,12.97,12.97,12.249,122567.1,10000,2014-09-16 10:20:00
12.0,12.0,12.0,12.0,120000.0,10000,2014-09-16 12:40:00
12.0,12.0,12.0,12.0,70800.0,5900,2014-09-16 18:20:00
11.5,11.5,11.5,11.5,8050.0,700,2014-09-17 11:50:00
12.1,12.1,12.1,12.1,3630.0,300,2014-09-17 14:30:00
12.1,12.2,12.2,12.1,7310.0,600,2014-09-17 17:10:00
12.1,12.1,12.1,12.1,6050.0,500,2014-09-17 17:30:00
11.505,11.505,11.505,11.505,5752.5,500,2014-09-17 18:00:00
12.0,12.35,12.35,12.0,3635.0,300,2014-09-17 18:20:00
12.0,12.0,12.0,12.0,10800.0,900,2014-09-19 14:40:00
11.501,11.501,11.501,11.501,1150.1,100,2014-09-19 17:40:00
11.999,11.999,11.999,11.999,5999.5,500,2014-09-22 10:10:00
11.898,11.898,11.898,11.898,5949.0,500,2014-09-22 12:50:00
11.501,11.501,11.501,11.501,6900.6,600,2014-09-23 12:10:00
11.503,11.503,11.503,11.503,1150.3,100,2014-09-23 18:20:00
11.501,11.5,11.501,11.5,589951.3,51300,2014-09-24 11:10:00
11.415,11.3,11.415,11.3,272360.8,24100,2014-09-24 11:20:00
11.3,11.3,11.3,11.3,33900.0,3000,2014-09-24 11:30:00
11.503,11.503,11.503,11.503,11503.0,1000,2014-09-26 15:10:00
11.5,11.5,11.5,11.5,5750.0,500,2014-09-30 10:10:00
11.499,12.969,12.969,11.499,362079.6,31000,2014-09-30 18:30:00
11.2,11.0,11.2,11.0,25360.0,2300,2014-10-01 15:00:00
11.45,11.5,11.5,11.45,422020.0,36700,2014-10-01 15:30:00
12.0,12.0,12.0,12.0,9600.0,800,2014-10-01 16:30:00
11.5,11.5,11.5,11.5,100050.0,8700,2014-10-01 17:00:00
11.25,11.25,11.25,11.25,33750.0,3000,2014-10-08 14:00:00
11.5,11.5,11.5,11.5,5750.0,500,2014-10-08 16:20:00
11.25,11.25,11.25,11.25,61875.0,5500,2014-10-10 14:30:00
11.05,11.5,11.5,11.05,6720.0,600,2014-10-23 11:40:00
11.7,11.7,11.7,11.7,1170.0,100,2014-10-24 11:10:00
10.4,10.4,10.4,10.4,8320.0,800,2014-10-28 11:20:00
10.45,10.5,10.5,10.45,2095.0,200,2014-10-28 16:50:00
10.8,10.95,10.95,10.8,6555.0,600,2014-10-28 18:00:00
10.95,10.95,10.95,10.95,3285.0,300,2014-10-28 18:30:00
10.95,10.95,10.95,10.95,3285.0,300,2014-11-05 10:20:00
10.95,10.95,10.95,10.95,7665.0,700,2014-11-05 11:20:00
10.9,10.95,10.95,10.9,6565.0,600,2014-11-05 13:00:00
10.25,10.0,10.25,10.0,160405.0,16000,2014-11-05 13:10:00
10.5,10.5,10.5,10.5,1050.0,100,2014-11-05 15:30:00
10.4,10.4,10.4,10.4,5200.0,500,2014-11-05 17:10:00
10.4,10.4,10.4,10.4,10400.0,1000,2014-11-05 18:10:00
10.05,10.05,10.05,10.05,20100.0,2000,2014-11-06 10:00:00
10.85,10.85,10.85,10.85,9765.0,900,2014-11-06 15:30:00
10.85,10.85,10.85,10.85,4340.0,400,2014-11-11 13:30:00
10.25,10.2,10.25,10.2,14320.0,1400,2014-11-11 14:10:00
10.5,10.5,10.5,10.5,1050.0,100,2014-11-11 17:40:00
10.8,10.8,10.8,10.8,21600.0,2000,2014-11-12 10:20:00
11.25,11.25,11.25,11.25,1125.0,100,2014-11-17 11:30:00
11.2,11.2,11.2,11.2,1120.0,100,2014-11-19 14:10:00
10.2,10.2,10.2,10.2,1020.0,100,2014-11-19 17:00:00
10.2,10.2,10.2,10.2,1020.0,100,2014-11-24 16:30:00
10.2,10.2,10.2,10.2,1020.0,100,2014-11-25 12:20:00
10.35,10.35,10.35,10.35,1035.0,100,2014-11-25 14:00:00
10.35,10.35,10.35,10.35,24840.0,2400,2014-11-25 14:10:00
10.15,10.0,10.15,10.0,335050.0,33500,2014-11-25 15:10:00
10.0,10.0,10.0,10.0,135000.0,13500,2014-11-25 16:00:00
10.05,10.05,10.05,10.05,105525.0,10500,2014-11-25 16:30:00
10.3,10.3,10.3,10.3,2060.0,200,2014-11-25 17:10:00
10.05,9.65,10.05,9.65,49290.0,5000,2014-11-26 13:20:00
9.9,9.9,9.9,9.9,39600.0,4000,2014-11-26 15:40:00
10.0,10.0,10.0,10.0,1000.0,100,2014-11-26 16:30:00
9.15,10.8,10.8,9.15,1995.0,200,2014-12-01 10:10:00
10.8,10.8,10.8,10.8,1080.0,100,2014-12-04 10:30:00
10.75,10.75,10.75,10.75,1075.0,100,2014-12-04 11:50:00
10.0,10.0,10.0,10.0,100000.0,10000,2014-12-08 16:20:00
9.4,9.35,9.4,9.35,5615.0,600,2014-12-08 18:10:00
10.0,10.0,10.0,10.0,1000.0,100,2014-12-10 11:00:00
9.35,9.35,9.35,9.35,935.0,100,2014-12-11 13:40:00
10.5,10.5,10.5,10.5,1050.0,100,2014-12-12 18:10:00
10.5,10.5,10.5,10.5,1050.0,100,2014-12-12 18:30:00
9.3,9.3,9.3,9.3,930.0,100,2014-12-15 17:00:00
9.2,9.2,9.2,9.2,920.0,100,2014-12-16 11:30:00
9.1,9.1,9.1,9.1,910.0,100,2014-12-16 15:20:00
9.9,9.9,9.9,9.9,990.0,100,2014-12-18 18:30:00
10.0,10.7,10.7,10.0,201070.0,20100,2014-12-19 13:00:00
9.55,9.5,9.55,9.5,1905.0,200,2014-12-19 14:50:00
9.95,10.0,10.0,9.95,100995.0,10100,2014-12-19 15:00:00
10.75,10.9,10.9,10.75,6485.0,600,2014-12-22 11:10:00
10.4,10.4,10.4,10.4,2080.0,200,2014-12-22 13:30:00
10.8,10.8,10.8,10.8,1080.0,100,2014-12-23 13:30:00
11.0,11.0,11.0,11.0,1100.0,100,2014-12-24 10:10:00
10.45,10.45,10.45,10.45,1045.0,100,2014-12-24 17:30:00
10.0,10.0,10.0,10.0,200000.0,20000,2014-12-26 12:00:00
10.55,10.55,10.55,10.55,1055.0,100,2014-12-26 18:30:00
10.6,11.0,11.0,10.6,5340.0,500,2014-12-29 10:00:00
10.7,10.7,10.7,10.7,2140.0,200,2014-12-29 17:20:00
10.45,11.0,11.0,10.45,965140.0,89500,2014-12-30 18:30:00
11.0,11.0,11.0,11.0,1100.0,100,2015-01-05 14:40:00
12.5,12.5,12.5,12.5,1250.0,100,2015-01-06 18:20:00
12.0,12.0,12.0,12.0,1200.0,100,2015-01-16 10:00:00
10.05,10.0,10.05,10.0,640015.0,64000,2015-01-20 15:10:00
10.4,10.4,10.4,10.4,1040.0,100,2015-01-20 17:50:00
10.0,10.0,10.0,10.0,20000.0,2000,2015-01-21 11:00:00
9.8,9.8,9.8,9.8,980.0,100,2015-01-23 18:00:00
10.45,10.45,10.45,10.45,1045.0,100,2015-01-27 17:40:00
9.65,9.65,9.65,9.65,965.0,100,2015-01-28 16:20:00
9.65,9.65,9.65,9.65,4825.0,500,2015-02-03 13:10:00
10.0,10.0,10.0,10.0,1000.0,100,2015-02-04 17:50:00
9.35,9.35,9.35,9.35,935.0,100,2015-02-05 17:50:00
9.3,9.45,9.45,9.3,2810.0,300,2015-02-05 18:00:00
10.0,10.0,10.0,10.0,100000.0,10000,2015-02-13 11:50:00
10.15,10.15,10.15,10.15,1015.0,100,2015-02-13 12:00:00
10.0,10.0,10.0,10.0,100000.0,10000,2015-02-13 12:10:00
9.65,9.3,9.65,9.3,95985.0,10300,2015-02-17 14:20:00
10.0,9.5,10.0,9.5,1950.0,200,2015-02-17 17:10:00
10.4,10.4,10.4,10.4,1040.0,100,2015-02-19 18:10:00
10.0,10.0,10.0,10.0,200000.0,20000,2015-02-24 14:00:00
