Open,Close,High,Low,Value,Volume,Date
184.5,182.27,185.4,180.54,85934254.50999998,469447,2022-12-14 15:10:00
182.24,185.26,186.0,181.2,31113433.429999977,169599,2022-12-14 15:20:00
185.26,183.64,185.84,182.7,31593874.710000016,171175,2022-12-14 15:30:00
183.6,184.0,184.3,183.02,7101657.2,38631,2022-12-14 15:40:00
184.0,182.44,184.2,182.25,16476437.120000007,89990,2022-12-14 15:50:00
182.53,182.8,183.45,182.4,7039650.5600000005,38461,2022-12-14 16:00:00
182.81,182.13,182.97,182.0,11369814.899999999,62340,2022-12-14 16:10:00
182.16,182.88,182.9,182.05,5975784.28,32740,2022-12-14 16:20:00
182.77,182.36,183.03,182.25,4172239.0500000007,22849,2022-12-14 16:30:00
182.45,182.86,182.9,182.25,3410525.42,18683,2022-12-14 16:40:00
182.86,182.66,183.15,182.36,8250356.270000003,45157,2022-12-14 16:50:00
182.66,182.84,183.15,182.54,5257719.809999999,28763,2022-12-14 17:00:00
182.83,182.8,183.04,182.54,6552518.39,35853,2022-12-14 17:10:00
182.84,183.47,183.65,182.67,5553694.87,30358,2022-12-14 17:20:00
183.52,183.16,183.55,182.9,7985363.680000003,43611,2022-12-14 17:30:00
183.24,184.4,184.55,183.0,13789003.75,75015,2022-12-14 17:40:00
184.38,184.0,184.4,183.87,10057221.91,54629,2022-12-14 17:50:00
184.0,183.5,184.04,183.5,13740265.389999999,74825,2022-12-14 18:00:00
183.55,183.69,184.5,183.5,9055371.65,49249,2022-12-14 18:10:00
183.73,184.0,184.29,183.58,9258758.440000001,50343,2022-12-14 18:20:00
184.0,185.4,185.4,184.0,56220395.09000001,304065,2022-12-14 18:30:00
185.4,185.4,185.4,185.4,2886677.999999999,15570,2022-12-14 18:40:00
185.0,185.0,185.0,185.0,349650.0,1890,2022-12-15 09:50:00
185.0,182.64,188.3,182.64,18518867.520000007,100422,2022-12-15 10:00:00
182.83,183.65,184.05,182.64,6511493.73,35511,2022-12-15 10:10:00
183.65,183.06,183.65,183.0,3879351.7099999995,21171,2022-12-15 10:20:00
183.1,183.3,183.6,183.07,2444980.3899999997,13336,2022-12-15 10:30:00
183.3,183.58,183.77,183.22,3489060.3400000003,19021,2022-12-15 10:40:00
183.66,184.53,184.8,183.6,3717824.24,20188,2022-12-15 10:50:00
184.19,184.95,185.4,183.8,5384780.640000001,29155,2022-12-15 11:00:00
184.84,184.15,184.84,183.35,9102487.969999999,49435,2022-12-15 11:10:00
184.02,184.2,184.27,183.8,1760513.5,9568,2022-12-15 11:20:00
