Open,Close,High,Low,Value,Volume,Date
11.0,11.0,11.0,11.0,33000.0,3000,2014-06-16 18:10:00
11.0,11.0,11.0,11.0,55000.0,5000,2014-06-16 18:30:00
11.0,11.0,11.0,11.0,11000.0,1000,2014-06-20 10:10:00
11.0,11.0,11.0,11.0,33000.0,3000,2014-06-20 11:20:00
11.0,11.0,11.0,11.0,11000.0,1000,2014-07-01 12:40:00
11.0,11.0,11.0,11.0,66000.0,6000,2014-07-01 13:40:00
15.4,12.51,15.4,12.51,77950.0,6000,2014-07-16 14:00:00
15.4,15.4,15.4,15.4,15400.0,1000,2014-07-16 16:50:00
12.51,12.51,12.51,12.51,12510.0,1000,2014-07-16 17:40:00
12.5,12.5,12.5,12.5,12500.0,1000,2014-07-16 18:10:00
13.5,13.5,13.5,13.5,13500.0,1000,2014-07-17 12:50:00
11.0,11.0,11.0,11.0,22000.0,2000,2014-07-30 12:40:00
11.0,11.0,11.0,11.0,55000.0,5000,2014-07-30 12:50:00
11.99,14.0,14.0,11.99,85990.0,7000,2014-07-30 14:30:00
14.0,14.0,14.0,14.0,28000.0,2000,2014-08-01 11:50:00
11.6,11.6,11.6,11.6,11600.0,1000,2014-08-07 16:00:00
13.5,13.5,13.5,13.5,54000.0,4000,2014-08-13 13:00:00
12.7,12.7,12.7,12.7,12700.0,1000,2014-08-22 11:10:00
13.1,13.1,13.1,13.1,13100.0,1000,2014-08-22 15:00:00
13.2,13.2,13.2,13.2,13200.0,1000,2014-08-22 16:50:00
13.5,13.5,13.5,13.5,13500.0,1000,2014-09-15 13:40:00
12.4,12.4,12.4,12.4,12400.0,1000,2014-09-29 12:20:00
15.35,15.35,15.35,15.35,15350.0,1000,2014-10-09 14:40:00
12.45,12.45,12.45,12.45,12450.0,1000,2014-10-10 18:30:00
11.25,12.05,12.05,11.25,23300.0,2000,2014-10-23 10:50:00
13.0,13.0,13.0,13.0,13000.0,1000,2014-10-23 11:10:00
13.0,13.5,13.5,13.0,39500.0,3000,2014-10-23 15:10:00
15.25,15.25,15.25,15.25,15250.0,1000,2014-11-24 10:30:00
15.25,15.25,15.25,15.25,15250.0,1000,2014-11-25 13:40:00
15.0,15.0,15.0,15.0,15000.0,1000,2014-12-15 12:40:00
15.0,15.0,15.0,15.0,45000.0,3000,2014-12-18 15:40:00
