Open,Close,High,Low,Value,Volume,Date
0.1253,0.1253,0.1253,0.1253,1253,10000,2014-06-16 15:30:00
0.1398,0.126,0.14,0.126,25059,190000,2014-06-16 17:00:00
0.1321,0.1302,0.1321,0.1302,13059,100000,2014-06-16 17:20:00
0.132,0.132,0.132,0.132,1320,10000,2014-06-16 17:40:00
0.13,0.13,0.13,0.13,1300,10000,2014-06-19 16:30:00
0.13,0.13,0.13,0.13,1300,10000,2014-06-19 16:50:00
0.13,0.13,0.13,0.13,2600,20000,2014-06-19 17:00:00
0.1301,0.1301,0.1301,0.1301,2602,20000,2014-06-19 17:20:00
0.1307,0.1308,0.1308,0.1307,5230,40000,2014-06-19 17:30:00
0.1308,0.131,0.131,0.1308,5236,40000,2014-06-19 18:10:00
0.1251,0.1251,0.1251,0.1251,2502,20000,2014-06-20 11:20:00
0.1404,0.1434,0.1434,0.1404,85744,600000,2014-06-23 14:40:00
0.1426,0.145,0.16,0.14,184915,1230000,2014-06-23 17:10:00
0.1574,0.165,0.165,0.1574,96300,600000,2014-06-24 12:00:00
0.1455,0.155,0.155,0.1455,6056,40000,2014-06-24 12:10:00
0.1455,0.1511,0.1511,0.145,46115,310000,2014-06-24 15:10:00
0.1456,0.1455,0.1456,0.1455,8731,60000,2014-06-24 15:30:00
0.1456,0.1455,0.1456,0.1455,2911,20000,2014-06-24 15:40:00
0.1455,0.1455,0.1455,0.1455,1455,10000,2014-06-24 16:20:00
0.1455,0.1455,0.1455,0.1455,1455,10000,2014-06-24 16:30:00
0.1455,0.1455,0.1455,0.1455,1455,10000,2014-06-24 16:40:00
0.1456,0.1455,0.1456,0.1455,2911,20000,2014-06-24 16:50:00
0.1456,0.1456,0.1456,0.1455,10187,70000,2014-06-24 17:30:00
0.157,0.157,0.157,0.157,1570,10000,2014-06-24 18:10:00
0.1515,0.1515,0.1515,0.1515,4545,30000,2014-06-26 10:50:00
0.15,0.15,0.15,0.15,7500,50000,2014-06-26 18:10:00
0.1588,0.1588,0.1588,0.1588,1588,10000,2014-06-27 14:50:00
0.15,0.15,0.15,0.15,7500,50000,2014-06-27 15:10:00
0.143,0.143,0.143,0.143,1430,10000,2014-06-27 18:30:00
0.14,0.14,0.14,0.14,7000,50000,2014-06-30 15:40:00
0.1401,0.1401,0.1401,0.1401,1401,10000,2014-07-01 17:20:00
0.1401,0.1401,0.1401,0.1401,1401,10000,2014-07-01 17:50:00
0.1561,0.157,0.157,0.1561,46930,300000,2014-07-02 13:40:00
0.1351,0.1351,0.1351,0.1351,1351,10000,2014-07-03 10:00:00
0.1409,0.1409,0.1409,0.1409,18317,130000,2014-07-07 17:10:00
0.145,0.145,0.145,0.145,1450,10000,2014-07-10 11:00:00
0.143,0.15,0.15,0.1425,66077,460000,2014-07-10 11:30:00
0.15,0.15,0.15,0.15,3000,20000,2014-07-10 14:20:00
0.15,0.15,0.15,0.15,3000,20000,2014-07-10 15:10:00
0.1461,0.1461,0.1461,0.1461,1461,10000,2014-07-10 16:30:00
0.1404,0.14,0.1404,0.14,32214,230000,2014-07-11 11:30:00
0.137,0.137,0.137,0.137,6850,50000,2014-07-18 10:30:00
0.1444,0.1444,0.1444,0.1444,1444,10000,2014-07-18 18:20:00
0.1371,0.137,0.1371,0.137,19181,140000,2014-07-22 13:40:00
0.1453,0.1453,0.1453,0.1453,1453,10000,2014-07-22 14:40:00
0.1303,0.125,0.1303,0.125,38612,300000,2014-07-22 15:20:00
0.1361,0.1361,0.1361,0.1361,6805,50000,2014-07-22 15:30:00
0.135,0.13,0.135,0.13,19760,150000,2014-07-23 17:00:00
0.1417,0.1417,0.1417,0.1417,5668,40000,2014-07-23 18:30:00
0.1385,0.1384,0.1385,0.1384,6924,50000,2014-07-24 10:50:00
0.122,0.122,0.122,0.122,1220,10000,2014-07-30 15:40:00
0.1268,0.1267,0.1268,0.1267,81089,640000,2014-07-31 16:50:00
0.1417,0.1417,0.1417,0.1417,1417,10000,2014-07-31 18:30:00
0.128,0.128,0.128,0.128,1280,10000,2014-08-01 11:00:00
0.135,0.135,0.135,0.135,1350,10000,2014-08-01 15:40:00
0.1305,0.1275,0.1305,0.1275,119966,940000,2014-08-01 18:00:00
0.1334,0.1311,0.1334,0.1311,3966,30000,2014-08-01 18:10:00
0.1301,0.1275,0.1301,0.1275,7726,60000,2014-08-04 13:10:00
0.1305,0.1305,0.1305,0.1305,5220,40000,2014-08-04 14:00:00
0.1313,0.1314,0.1314,0.1313,91912,700000,2014-08-04 14:10:00
0.1141,0.1009,0.1141,0.1009,8860,80000,2014-08-06 10:00:00
0.13,0.13,0.13,0.13,1300,10000,2014-08-06 12:00:00
0.1154,0.1293,0.1293,0.1153,3600,30000,2014-08-07 17:10:00
0.1151,0.1151,0.1151,0.1151,3453,30000,2014-08-08 17:20:00
0.122,0.122,0.122,0.122,1220,10000,2014-08-08 17:50:00
0.1285,0.1285,0.1285,0.1285,5140,40000,2014-08-08 18:00:00
0.13,0.13,0.13,0.13,1300,10000,2014-08-11 10:20:00
0.13,0.13,0.13,0.13,1300,10000,2014-08-11 13:10:00
0.13,0.13,0.13,0.13,3900,30000,2014-08-11 14:10:00
0.13,0.13,0.13,0.13,2600,20000,2014-08-11 16:50:00
0.126,0.126,0.126,0.126,2520,20000,2014-08-11 17:10:00
0.1296,0.1296,0.1296,0.1296,2592,20000,2014-08-11 17:20:00
0.1283,0.1283,0.1283,0.1283,2566,20000,2014-08-11 18:30:00
0.1305,0.1305,0.1305,0.1305,1305,10000,2014-08-12 17:00:00
0.1305,0.1305,0.1305,0.1305,3915,30000,2014-08-12 17:30:00
0.1305,0.1305,0.1305,0.1305,3915,30000,2014-08-14 14:40:00
0.1291,0.1291,0.1291,0.1291,1291,10000,2014-08-14 17:30:00
0.1324,0.1349,0.1349,0.1324,94237,700000,2014-08-15 18:10:00
0.132,0.132,0.132,0.132,1320,10000,2014-08-15 18:30:00
0.13,0.13,0.13,0.13,13000,100000,2014-08-18 10:10:00
0.1352,0.136,0.136,0.1352,28532,210000,2014-08-18 10:20:00
0.1359,0.138,0.138,0.1359,54905,400000,2014-08-18 11:00:00
0.1327,0.1327,0.1327,0.1327,19905,150000,2014-08-18 16:00:00
0.1303,0.1303,0.1303,0.1303,1303,10000,2014-08-19 18:10:00
0.116,0.1152,0.116,0.1152,3472,30000,2014-08-21 15:30:00
0.116,0.116,0.116,0.116,1160,10000,2014-08-22 12:00:00
0.125,0.125,0.125,0.125,3750,30000,2014-08-26 14:10:00
0.1348,0.1346,0.1348,0.1346,2694,20000,2014-08-26 18:00:00
0.1151,0.1151,0.1151,0.1151,2302,20000,2014-08-29 13:00:00
0.1161,0.1161,0.1161,0.1161,46440,400000,2014-08-29 18:10:00
0.1185,0.1181,0.1185,0.1181,709807,6000000,2014-09-02 14:30:00
0.129,0.129,0.129,0.129,1290,10000,2014-09-09 11:10:00
0.1251,0.1251,0.1251,0.1251,115092,920000,2014-09-09 15:00:00
0.1275,0.1287,0.1287,0.1275,23142,180000,2014-09-09 15:20:00
0.1288,0.129,0.129,0.1288,121246,940000,2014-09-09 15:30:00
0.1266,0.1266,0.1266,0.1266,2532,20000,2014-09-09 17:30:00
0.1371,0.1371,0.1371,0.1371,1371,10000,2014-09-10 15:50:00
0.1366,0.1367,0.1367,0.1366,4100,30000,2014-09-12 17:10:00
0.1429,0.1429,0.1429,0.1429,1429,10000,2014-09-15 11:40:00
0.1368,0.1368,0.1368,0.1368,2736,20000,2014-09-15 16:30:00
0.1333,0.1379,0.1379,0.1333,13626,100000,2014-09-16 14:20:00
0.1279,0.1279,0.1279,0.1279,1279,10000,2014-09-16 15:40:00
0.1375,0.1375,0.1375,0.1375,1375,10000,2014-09-19 11:20:00
0.1199,0.1199,0.1199,0.1199,1199,10000,2014-09-19 15:30:00
0.1199,0.1282,0.13,0.1199,11224,90000,2014-09-19 15:40:00
0.13,0.137,0.137,0.13,9481,70000,2014-09-19 16:20:00
0.1348,0.1375,0.1375,0.1348,40841,300000,2014-09-23 13:50:00
0.137,0.1375,0.1375,0.137,6866,50000,2014-09-23 14:00:00
0.1273,0.1273,0.1273,0.1273,2546,20000,2014-09-23 16:20:00
0.1368,0.1373,0.1373,0.1368,13704,100000,2014-09-23 16:50:00
0.13,0.13,0.13,0.13,15600,120000,2014-09-24 10:20:00
0.1359,0.137,0.137,0.1359,20509,150000,2014-09-24 13:10:00
0.1369,0.1369,0.1369,0.1369,1369,10000,2014-09-24 13:20:00
0.1389,0.145,0.145,0.1389,49398,350000,2014-09-25 11:00:00
0.14,0.14,0.14,0.14,8400,60000,2014-09-25 12:30:00
0.1398,0.142,0.142,0.1398,70828,500000,2014-09-26 12:00:00
0.1401,0.1401,0.1401,0.1401,8406,60000,2014-09-29 18:30:00
0.144,0.144,0.144,0.144,64800,450000,2014-09-30 13:50:00
0.1436,0.144,0.144,0.1436,90694,630000,2014-09-30 16:40:00
