Open,Close,High,Low,Value,Volume,Date
68.0,68.0,68.0,68.0,6800,100,2014-06-25 10:40:00
69.0,69.0,69.0,69.0,6900,100,2014-09-01 12:10:00
73.12,73.12,73.12,73.12,36560,500,2014-09-01 13:20:00
73.4,73.4,73.4,73.4,36700,500,2014-09-01 13:30:00
74.0,74.0,74.0,74.0,37000,500,2014-09-01 13:50:00
74.0,74.0,74.0,74.0,74000,1000,2014-09-01 14:20:00
78.0,78.98,78.98,78.0,179498,2300,2014-09-02 15:00:00
82.01,82.01,82.01,82.01,82010,1000,2014-09-02 15:30:00
86.02,86.02,86.02,86.02,43010,500,2014-09-02 18:00:00
70.0,70.0,70.0,70.0,266000,3800,2014-09-03 16:40:00
60.1,60.1,60.1,60.1,6010,100,2014-10-27 18:10:00
75.0,75.0,75.0,75.0,7500,100,2015-01-14 17:00:00
88.0,88.0,88.0,88.0,8800,100,2015-01-16 17:30:00
50.0,50.0,50.0,50.0,15000,300,2015-02-04 18:00:00
43.3,43.3,43.3,43.3,4330,100,2015-03-06 10:20:00
50.1,50.1,50.1,50.1,5010,100,2015-03-06 10:40:00
83.8,83.8,83.8,83.8,402240,4800,2015-04-10 15:30:00
75.0,75.0,75.0,75.0,150000,2000,2015-04-10 15:40:00
46.8,89.0,89.0,46.2,35860,600,2015-04-16 13:40:00
53.5,53.5,53.5,53.5,48150,900,2015-06-01 13:30:00
57.0,57.0,57.0,57.0,5700,100,2015-06-01 13:40:00
58.5,59.0,59.0,58.5,11750,200,2015-06-01 14:00:00
59.0,59.0,59.0,59.0,5900,100,2015-06-01 14:10:00
59.0,59.0,59.0,59.0,17700,300,2015-06-01 14:20:00
63.0,63.0,63.0,63.0,6300,100,2015-06-01 15:20:00
63.0,63.0,63.0,63.0,6300,100,2015-06-01 16:10:00
63.0,63.0,63.0,63.0,12600,200,2015-06-01 17:20:00
87.5,87.5,87.5,87.5,8750,100,2015-06-02 10:00:00
93.4,70.0,93.4,70.0,16340,200,2015-06-05 10:00:00
93.4,93.4,93.4,93.4,9340,100,2015-06-05 10:10:00
93.4,93.4,93.4,93.4,9340,100,2015-06-08 11:00:00
75.0,84.9,84.9,75.0,15990,200,2015-06-08 11:10:00
97.4,97.4,97.4,97.4,9740,100,2015-06-09 10:00:00
93.5,85.0,93.5,84.9,26340,300,2015-06-17 11:00:00
84.0,84.0,84.0,84.0,8400,100,2015-06-18 15:10:00
84.0,84.0,84.0,84.0,8400,100,2015-06-24 15:10:00
71.5,71.5,71.6,71.5,114410,1600,2015-08-14 18:20:00
67.0,67.0,67.0,67.0,6700,100,2015-09-03 14:10:00
73.0,73.0,73.0,73.0,7300,100,2015-09-21 14:30:00
75.0,75.0,75.0,75.0,7500,100,2015-09-21 16:10:00
75.0,75.0,75.0,75.0,7500,100,2015-09-23 18:30:00
75.0,75.0,75.0,75.0,7500,100,2015-09-24 10:00:00
77.5,77.5,77.5,77.5,7750,100,2015-09-24 11:10:00
77.0,77.0,77.0,77.0,7700,100,2015-09-24 17:40:00
80.0,80.0,80.0,80.0,16000,200,2015-10-09 16:30:00
80.0,80.0,80.0,80.0,8000,100,2015-10-19 13:30:00
80.0,80.0,80.0,80.0,8000,100,2015-10-20 18:30:00
80.0,80.0,80.0,80.0,8000,100,2015-11-03 15:00:00
90.0,90.0,90.0,90.0,9000,100,2015-11-18 12:50:00
78.0,78.0,78.0,78.0,15600,200,2015-11-27 18:00:00
79.9,106.0,108.0,79.9,94750,1100,2015-12-15 15:00:00
104.0,104.0,104.0,104.0,10400,100,2015-12-15 15:40:00
105.0,105.0,105.0,105.0,10500,100,2015-12-15 16:40:00
119.0,131.0,131.0,119.0,25000,200,2015-12-16 11:40:00
96.6,115.0,115.0,96.0,234200,2100,2015-12-16 14:30:00
115.9,116.0,116.0,115.9,23190,200,2015-12-16 14:50:00
101.1,101.1,101.1,101.1,10110,100,2016-02-18 16:00:00
114.5,101.0,114.5,101.0,21550,200,2016-06-20 10:50:00
111.0,111.0,111.0,111.0,11100,100,2016-06-22 18:30:00
110.0,110.0,110.0,110.0,11000,100,2016-06-30 12:00:00
122.0,122.0,122.0,122.0,12200,100,2016-09-26 13:00:00
120.5,120.5,120.5,120.5,24100,200,2016-09-26 13:10:00
143.0,143.0,143.0,143.0,14300,100,2016-09-26 13:30:00
148.0,148.0,148.0,148.0,14800,100,2016-09-26 18:30:00
164.5,164.5,164.5,164.5,82250,500,2016-09-28 12:20:00
165.0,180.0,180.0,165.0,34500,200,2016-09-28 17:40:00
120.5,207.0,207.0,103.0,80500,600,2016-09-28 17:50:00
126.0,125.5,199.5,125.5,57700,400,2016-09-28 18:30:00
131.0,175.0,175.0,131.0,30600,200,2016-09-29 11:30:00
128.5,128.5,128.5,128.5,64250,500,2016-09-29 11:50:00
128.0,128.0,128.0,128.0,25600,200,2016-09-29 12:10:00
129.0,129.0,129.0,129.0,12900,100,2016-09-30 11:20:00
134.5,181.0,181.0,134.5,121450,700,2016-09-30 12:50:00
131.0,111.5,131.0,111.5,24250,200,2016-10-03 12:50:00
134.0,134.0,134.0,134.0,80400,600,2016-10-03 13:00:00
136.5,136.5,136.5,136.5,13650,100,2016-10-03 13:10:00
134.5,134.5,134.5,134.5,80700,600,2016-10-04 16:50:00
