Open,Close,High,Low,Value,Volume,Date
235.0,234.1,236.65,228.0,335213666.0,1433420,2024-04-12 15:10:00
234.15,234.45,234.7,233.15,68519467.0,292870,2024-04-12 15:20:00
234.4,234.9,235.0,234.3,47797102.0,203740,2024-04-12 15:30:00
234.85,238.9,239.9,234.8,216443115.0,914400,2024-04-12 15:40:00
238.9,238.85,239.8,237.15,75035996.0,314190,2024-04-12 15:50:00
238.9,237.5,239.0,237.2,46219970.5,194100,2024-04-12 16:00:00
237.5,238.55,238.6,236.5,49469585.0,208410,2024-04-12 16:10:00
238.55,237.5,238.55,237.0,36923428.5,155590,2024-04-12 16:20:00
237.2,237.2,237.5,237.05,13472969.5,56790,2024-04-12 16:30:00
237.2,235.45,237.2,235.0,59250437.5,251390,2024-04-12 16:40:00
235.45,235.15,235.7,235.0,37326304.5,158690,2024-04-12 16:50:00
235.15,236.15,236.4,235.15,19142742.0,81160,2024-04-12 17:00:00
236.3,235.0,236.4,234.7,46960213.5,199740,2024-04-12 17:10:00
234.95,235.45,235.45,234.75,21663869.0,92180,2024-04-12 17:20:00
235.4,235.8,236.25,235.0,15350535.5,65120,2024-04-12 17:30:00
235.85,235.5,235.95,235.0,12920136.0,54880,2024-04-12 17:40:00
235.5,235.05,235.8,235.0,14915859.0,63450,2024-04-12 17:50:00
235.05,235.05,235.2,235.0,6809833.0,28970,2024-04-12 18:00:00
235.1,235.2,235.4,235.05,10444489.5,44410,2024-04-12 18:10:00
235.25,235.05,235.4,235.05,10385302.5,44150,2024-04-12 18:20:00
235.15,234.9,235.35,234.9,17386896.5,73980,2024-04-12 18:30:00
234.9,234.9,234.9,234.9,4660416.0,19840,2024-04-12 18:40:00
235.0,235.0,235.0,235.0,1574500.0,6700,2024-04-15 09:50:00
235.1,235.05,236.05,234.9,22950402.0,97510,2024-04-15 10:00:00
235.05,233.45,235.1,233.0,23174472.0,98930,2024-04-15 10:10:00
233.4,232.35,233.45,232.0,22165798.0,95370,2024-04-15 10:20:00
232.35,233.4,233.55,232.15,9981988.0,42880,2024-04-15 10:30:00
233.4,233.1,234.0,233.05,6161456.0,26370,2024-04-15 10:40:00
233.1,233.85,233.95,233.0,4908609.5,21020,2024-04-15 10:50:00
233.85,234.05,234.4,233.85,4458251.5,19040,2024-04-15 11:00:00
234.25,234.05,234.25,233.85,2983951.5,12750,2024-04-15 11:10:00
