Open,Close,High,Low,Value,Volume,Date
489.99,489.99,489.99,489.99,4899.9,10,2014-06-09 11:40:00
465.01,465.01,465.01,465.01,4650.1,10,2014-06-09 17:00:00
455.0,451.0,455.0,451.0,40630.0,90,2014-06-10 18:20:00
435.01,435.01,435.01,435.01,4350.1,10,2014-06-16 18:20:00
437.5,437.5,437.5,437.5,4375.0,10,2014-06-20 10:30:00
462.5,462.5,462.5,462.5,4625.0,10,2014-06-20 14:50:00
451.01,483.98,483.98,451.01,9349.900000000001,20,2014-06-20 15:10:00
457.01,457.01,457.01,457.01,9140.2,20,2014-06-20 15:40:00
469.0,479.77,479.77,469.0,9487.7,20,2014-06-20 16:10:00
468.97,468.97,468.97,468.97,9379.4,20,2014-06-20 18:10:00
460.01,469.96,469.96,460.01,18499.9,40,2014-06-23 10:20:00
472.93,472.93,472.93,472.93,4729.3,10,2014-06-23 11:10:00
465.04,472.54,472.54,465.04,14026.199999999999,30,2014-06-23 16:20:00
472.52,472.52,472.52,472.52,9450.4,20,2014-06-23 17:20:00
466.66,415.0,466.66,415.0,90218.4,210,2014-06-23 17:40:00
435.0,425.0,435.0,425.0,76800.0,180,2014-06-23 18:10:00
479.96,479.96,479.96,479.96,4799.6,10,2014-06-24 11:30:00
479.0,479.0,479.0,479.0,4790.0,10,2014-06-24 12:10:00
427.01,427.01,427.01,427.01,4270.1,10,2014-06-24 12:30:00
442.01,442.0,442.01,442.0,8840.1,20,2014-06-24 13:40:00
460.01,460.01,460.01,460.01,4600.1,10,2014-06-24 13:50:00
441.0,441.0,441.0,441.0,4410.0,10,2014-06-24 16:30:00
444.99,444.0,444.99,444.0,22209.9,50,2014-06-24 17:20:00
450.0,450.0,450.0,450.0,4500.0,10,2014-06-24 18:00:00
449.0,449.0,449.0,449.0,4490.0,10,2014-06-24 18:20:00
465.5,449.0,465.5,449.0,13635.0,30,2014-06-25 10:00:00
449.0,449.0,449.0,449.0,13470.0,30,2014-06-25 11:20:00
444.01,444.01,444.01,444.01,4440.1,10,2014-06-25 13:50:00
439.01,439.01,439.01,439.01,4390.1,10,2014-06-25 17:10:00
430.0,425.0,430.0,425.0,12800.0,30,2014-06-27 12:40:00
411.0,411.0,411.0,411.0,4110.0,10,2014-06-30 15:40:00
411.07,441.0,441.0,411.07,12631.4,30,2014-06-30 17:00:00
417.0,402.0,417.0,402.0,65010.899999999994,160,2014-07-02 17:10:00
405.0,405.0,405.0,405.0,4050.0,10,2014-07-02 18:30:00
418.0,418.0,418.0,418.0,4180.0,10,2014-07-03 17:50:00
439.99,439.99,439.99,439.99,4399.9,10,2014-07-07 10:30:00
434.85,434.85,434.85,434.85,13045.5,30,2014-07-07 10:40:00
430.0,449.97,449.97,430.0,8799.7,20,2014-07-07 14:30:00
439.25,440.0,440.0,439.25,39540.2,90,2014-07-07 17:10:00
435.0,435.0,435.0,435.0,4350.0,10,2014-07-08 10:50:00
435.0,435.0,435.0,435.0,4350.0,10,2014-07-09 17:40:00
438.0,438.0,438.0,438.0,4380.0,10,2014-07-09 17:50:00
435.0,445.0,445.0,430.01,30400.4,70,2014-07-10 10:10:00
450.0,479.0,479.0,450.0,78389.4,170,2014-07-10 10:20:00
467.07,478.9,478.9,460.0,42585.7,90,2014-07-10 11:30:00
460.84,460.84,460.84,460.84,4608.4,10,2014-07-10 14:00:00
450.0,478.0,478.0,450.0,18280.0,40,2014-07-10 16:40:00
479.0,479.0,479.0,479.0,4790.0,10,2014-07-11 10:00:00
478.0,478.0,478.0,478.0,4780.0,10,2014-07-14 13:50:00
455.0,451.64,455.0,451.64,9066.4,20,2014-07-14 16:30:00
470.0,470.0,470.0,470.0,9400.0,20,2014-07-15 13:30:00
411.11,411.11,411.11,411.11,4111.1,10,2014-07-17 10:10:00
415.51,478.99,478.99,415.51,34765.4,80,2014-07-17 10:30:00
445.0,445.0,445.0,445.0,4450.0,10,2014-07-17 10:40:00
445.0,445.0,445.0,445.0,4450.0,10,2014-07-17 13:20:00
472.25,472.25,472.25,472.25,4722.5,10,2014-07-17 16:40:00
421.0,421.0,421.0,421.0,4210.0,10,2014-07-21 18:10:00
450.0,450.0,450.0,450.0,9000.0,20,2014-07-22 14:30:00
427.01,450.0,450.0,427.01,13040.2,30,2014-07-22 17:00:00
469.97,469.97,469.97,469.97,4699.7,10,2014-07-23 10:30:00
420.53,420.53,420.53,420.53,21026.5,50,2014-07-23 11:10:00
423.0,450.0,450.0,423.0,17190.0,40,2014-07-23 16:50:00
459.97,459.97,459.97,459.97,4599.7,10,2014-07-23 17:10:00
468.97,468.97,468.97,468.97,4689.7,10,2014-07-24 10:20:00
415.01,383.95,415.01,383.95,27808.2,70,2014-07-28 10:30:00
425.0,441.99,441.99,425.0,12919.9,30,2014-07-28 12:50:00
435.0,435.0,435.0,435.0,4350.0,10,2014-07-28 15:30:00
438.97,438.97,438.97,438.97,4389.7,10,2014-07-31 12:50:00
438.97,438.97,438.97,438.97,4389.7,10,2014-07-31 13:10:00
388.01,388.01,388.01,388.01,3880.1,10,2014-08-01 17:10:00
390.0,390.0,390.0,390.0,3900.0,10,2014-08-01 18:30:00
400.0,400.0,400.0,400.0,4000.0,10,2014-08-05 13:30:00
410.0,400.0,410.0,400.0,44301.1,110,2014-08-05 17:50:00
390.0,390.0,390.0,390.0,3900.0,10,2014-08-06 10:20:00
379.7,379.69,393.0,379.69,22914.699999999997,60,2014-08-06 16:00:00
379.68,377.0,379.68,377.0,11341.8,30,2014-08-06 16:10:00
377.0,377.0,377.0,377.0,3770.0,10,2014-08-06 18:20:00
395.99,395.99,395.99,395.99,11879.7,30,2014-08-07 15:50:00
371.0,368.0,371.0,368.0,14770.0,40,2014-08-08 10:10:00
380.94,380.94,380.94,380.94,3809.4,10,2014-08-08 10:30:00
357.9,357.03,357.9,357.03,21430.5,60,2014-08-08 10:50:00
357.5,358.0,358.0,357.01,10725.1,30,2014-08-08 11:00:00
378.0,358.0,381.99,358.0,30179.9,80,2014-08-08 13:50:00
365.0,360.32,365.0,360.32,7253.2,20,2014-08-08 17:10:00
360.37,378.0,378.0,360.37,18547.199999999997,50,2014-08-08 18:10:00
374.0,374.0,374.0,374.0,3740.0,10,2014-08-08 18:30:00
393.5,393.5,393.5,393.5,3935.0,10,2014-08-11 10:10:00
392.99,394.94,394.94,392.99,23599.2,60,2014-08-12 18:10:00
371.5,406.6,406.6,371.5,7781.0,20,2014-08-20 13:30:00
401.0,401.0,401.0,401.0,4010.0,10,2014-08-20 13:40:00
400.0,400.0,400.0,400.0,4000.0,10,2014-08-20 16:50:00
400.0,400.0,400.0,400.0,4000.0,10,2014-08-20 17:30:00
407.99,407.99,407.99,407.99,8159.8,20,2014-08-22 17:30:00
368.32,368.31,368.32,368.31,7366.299999999999,20,2014-08-29 15:40:00
369.5,369.5,369.5,369.5,3695.0,10,2014-08-29 18:20:00
369.5,369.5,369.5,369.5,3695.0,10,2014-09-01 17:50:00
367.05,367.04,367.05,367.04,11011.4,30,2014-09-03 17:00:00
379.97,379.97,379.97,379.97,3799.7,10,2014-09-03 18:10:00
380.0,380.0,380.0,380.0,3800.0,10,2014-09-04 17:40:00
380.99,381.0,381.0,380.99,30479.300000000003,80,2014-09-08 11:10:00
370.01,370.01,370.01,370.01,7400.2,20,2014-09-08 13:20:00
384.0,384.0,384.0,384.0,3840.0,10,2014-09-08 13:30:00
391.0,391.0,391.0,391.0,3910.0,10,2014-09-08 14:00:00
385.0,385.0,385.0,385.0,3850.0,10,2014-09-08 14:40:00
375.01,403.99,403.99,375.01,38740.3,100,2014-09-08 15:00:00
409.0,409.0,409.0,409.0,4090.0,10,2014-09-09 11:30:00
377.21,377.21,377.21,377.21,3772.1,10,2014-09-09 15:30:00
377.21,377.21,377.21,377.21,33948.9,90,2014-09-09 15:50:00
355.02,408.16,408.16,351.0,66390.7,180,2014-09-12 10:20:00
385.57,385.57,385.57,385.57,3855.7,10,2014-09-12 13:00:00
385.0,385.0,385.0,385.0,3850.0,10,2014-09-12 14:00:00
404.0,407.79,407.79,404.0,16217.9,40,2014-09-12 14:20:00
401.0,425.0,425.0,401.0,40785.0,100,2014-09-12 14:40:00
410.05,410.05,410.05,410.05,4100.5,10,2014-09-12 17:40:00
366.01,355.0,366.01,355.0,17860.1,50,2014-09-15 10:00:00
399.98,399.98,399.98,399.98,15999.2,40,2014-09-15 10:10:00
399.99,414.99,414.99,399.99,8149.799999999999,20,2014-09-15 10:20:00
375.0,375.0,375.0,375.0,3750.0,10,2014-09-15 10:30:00
399.0,399.0,399.0,399.0,3990.0,10,2014-09-15 15:20:00
405.0,405.0,405.0,405.0,4050.0,10,2014-09-15 16:30:00
394.68,394.68,394.68,394.68,3946.8,10,2014-09-17 15:20:00
365.64,365.64,365.64,365.64,3656.4,10,2014-09-19 17:20:00
356.65,358.0,384.98,356.55,21694.5,60,2014-09-19 17:30:00
386.0,386.0,386.0,386.0,3860.0,10,2014-09-19 17:40:00
356.11,355.0,356.11,355.0,39105.5,110,2014-09-23 10:10:00
358.0,358.0,358.0,358.0,3580.0,10,2014-09-23 10:20:00
358.0,358.0,380.0,358.0,18339.9,50,2014-09-23 11:00:00
362.0,362.0,362.0,362.0,3620.0,10,2014-09-23 11:20:00
362.0,362.0,362.0,362.0,3620.0,10,2014-09-23 11:50:00
355.01,355.0,355.01,355.0,10650.1,30,2014-09-23 13:00:00
381.97,381.97,381.97,381.97,7639.4,20,2014-09-23 13:10:00
369.99,370.0,370.0,369.99,29599.9,80,2014-09-25 17:30:00
350.01,350.0,350.01,350.0,10500.1,30,2014-09-26 17:50:00
387.0,387.0,387.0,387.0,3870.0,10,2014-09-29 10:40:00
387.0,387.0,387.0,387.0,3870.0,10,2014-09-30 10:30:00
360.0,387.0,387.0,360.0,34540.0,90,2014-10-01 17:00:00
397.0,425.0,425.0,397.0,20630.0,50,2014-10-01 17:10:00
400.0,400.0,400.0,400.0,4000.0,10,2014-10-02 10:30:00
423.0,423.0,423.0,423.0,4230.0,10,2014-10-03 10:00:00
415.0,415.0,415.0,415.0,20750.0,50,2014-10-06 10:00:00
353.0,350.0,353.0,350.0,17550.0,50,2014-10-07 18:00:00
392.0,392.0,392.0,392.0,3920.0,10,2014-10-08 17:30:00
393.0,393.0,393.0,393.0,3930.0,10,2014-10-08 18:20:00
417.0,417.0,417.0,417.0,4170.0,10,2014-10-10 10:20:00
382.0,382.0,382.0,382.0,7640.0,20,2014-10-10 16:20:00
420.0,420.0,420.0,420.0,4200.0,10,2014-10-13 10:30:00
380.0,379.0,380.0,379.0,22790.0,60,2014-10-13 12:40:00
364.0,360.0,364.0,360.0,21690.0,60,2014-10-16 16:10:00
360.0,360.0,360.0,360.0,7200.0,20,2014-10-16 17:00:00
346.0,341.0,360.0,337.0,115700.0,340,2014-10-17 13:50:00
345.0,345.0,345.0,345.0,3450.0,10,2014-10-17 14:00:00
345.0,345.0,345.0,345.0,3450.0,10,2014-10-17 14:20:00
341.0,341.0,341.0,341.0,3410.0,10,2014-10-17 14:30:00
341.0,341.0,341.0,341.0,6820.0,20,2014-10-17 15:00:00
341.0,341.0,341.0,341.0,3410.0,10,2014-10-17 15:10:00
336.0,334.0,336.0,334.0,50150.0,150,2014-10-17 16:10:00
335.0,335.0,335.0,335.0,30150.0,90,2014-10-17 17:30:00
335.0,335.0,335.0,335.0,3350.0,10,2014-10-17 17:50:00
336.0,336.0,336.0,336.0,3360.0,10,2014-10-17 18:00:00
341.0,341.0,341.0,341.0,3410.0,10,2014-10-20 11:30:00
341.0,341.0,341.0,341.0,6820.0,20,2014-10-21 15:40:00
342.0,342.0,342.0,342.0,3420.0,10,2014-10-22 11:50:00
336.0,336.0,336.0,336.0,6720.0,20,2014-10-22 16:30:00
335.0,333.0,335.0,333.0,56630.0,170,2014-10-22 16:40:00
332.0,309.0,332.0,309.0,15920.0,50,2014-10-24 13:50:00
317.0,310.0,317.0,310.0,68480.0,220,2014-10-31 14:00:00
310.0,310.0,310.0,310.0,83700.0,270,2014-10-31 14:20:00
318.0,321.0,321.0,318.0,6390.0,20,2014-10-31 14:50:00
302.0,302.0,302.0,302.0,3020.0,10,2014-11-03 10:10:00
305.0,305.0,305.0,305.0,3050.0,10,2014-11-03 10:20:00
310.0,306.0,310.0,306.0,9230.0,30,2014-11-03 18:20:00
318.0,318.0,318.0,318.0,3180.0,10,2014-11-05 10:30:00
310.0,307.0,310.0,307.0,15410.0,50,2014-11-05 12:50:00
309.0,309.0,309.0,309.0,3090.0,10,2014-11-05 16:10:00
319.0,319.0,319.0,319.0,3190.0,10,2014-11-06 12:10:00
310.0,310.0,310.0,310.0,3100.0,10,2014-11-06 12:20:00
310.0,310.0,310.0,310.0,3100.0,10,2014-11-06 13:30:00
315.0,315.0,315.0,315.0,3150.0,10,2014-11-06 14:20:00
319.0,319.0,319.0,319.0,3190.0,10,2014-11-07 10:40:00
307.0,306.0,307.0,306.0,6130.0,20,2014-11-07 15:40:00
310.0,310.0,310.0,310.0,3100.0,10,2014-11-07 17:20:00
328.0,328.0,328.0,328.0,3280.0,10,2014-11-11 15:30:00
333.0,338.0,338.0,333.0,36890.0,110,2014-11-11 15:40:00
331.0,335.0,335.0,331.0,9970.0,30,2014-11-11 16:00:00
348.0,353.0,353.0,348.0,24540.0,70,2014-11-11 16:40:00
338.0,399.0,399.0,338.0,56460.0,150,2014-11-11 16:50:00
354.0,350.0,354.0,350.0,14070.0,40,2014-11-11 17:30:00
355.0,360.0,360.0,355.0,7150.0,20,2014-11-11 17:40:00
365.0,365.0,365.0,365.0,3650.0,10,2014-11-11 18:00:00
365.0,365.0,365.0,365.0,3650.0,10,2014-11-11 18:10:00
365.0,365.0,365.0,365.0,3650.0,10,2014-11-11 18:20:00
365.0,365.0,365.0,365.0,7300.0,20,2014-11-11 18:30:00
377.0,377.0,377.0,377.0,3770.0,10,2014-11-12 10:00:00
360.0,360.0,360.0,360.0,3600.0,10,2014-11-12 10:20:00
367.0,367.0,367.0,367.0,3670.0,10,2014-11-12 18:00:00
387.0,360.0,387.0,360.0,7470.0,20,2014-11-13 10:20:00
350.0,350.0,350.0,350.0,3500.0,10,2014-11-13 12:00:00
322.0,321.0,322.0,321.0,9640.0,30,2014-11-14 15:00:00
322.0,325.0,325.0,316.0,82580.0,260,2014-11-14 15:10:00
312.0,312.0,312.0,312.0,6240.0,20,2014-11-14 16:20:00
307.0,324.0,324.0,301.0,100030.0,330,2014-11-14 16:30:00
318.0,310.0,320.0,302.0,37050.0,120,2014-11-14 18:30:00
300.0,297.0,300.0,297.0,38770.0,130,2014-11-17 12:20:00
305.0,305.0,305.0,305.0,3050.0,10,2014-11-17 14:10:00
311.0,311.0,311.0,311.0,12440.0,40,2014-11-17 14:20:00
320.0,320.0,320.0,320.0,3200.0,10,2014-11-17 15:20:00
323.0,323.0,323.0,323.0,3230.0,10,2014-11-18 14:10:00
315.0,312.0,315.0,312.0,12510.0,40,2014-11-18 16:40:00
323.0,323.0,323.0,323.0,3230.0,10,2014-11-19 10:30:00
323.0,323.0,323.0,323.0,3230.0,10,2014-11-19 11:10:00
323.0,323.0,323.0,323.0,3230.0,10,2014-11-19 11:20:00
312.0,309.0,312.0,309.0,12390.0,40,2014-11-19 13:10:00
308.0,308.0,308.0,308.0,3080.0,10,2014-11-19 18:00:00
