Open,Close,High,Low,Value,Volume,Date
0.44,0.44,0.44,0.44,4400,10000,2014-07-18 15:30:00
0.5004,0.5004,0.5004,0.5004,5004,10000,2014-09-02 11:50:00
0.5,0.5,0.5,0.5,5000,10000,2014-09-17 12:30:00
0.44,0.44,0.44,0.44,4400,10000,2014-10-07 14:50:00
0.281,0.281,0.281,0.281,2810,10000,2014-10-13 12:10:00
0.281,0.281,0.281,0.281,2810,10000,2014-10-20 18:20:00
0.393,0.393,0.393,0.393,3930,10000,2014-10-29 12:50:00
0.4,0.4,0.4,0.4,4000,10000,2014-10-30 15:50:00
0.48,0.48,0.48,0.48,4800,10000,2014-11-07 11:00:00
0.434,0.434,0.434,0.434,4340,10000,2014-11-12 17:40:00
0.434,0.434,0.434,0.434,4340,10000,2014-11-17 14:50:00
0.306,0.303,0.306,0.303,9140,30000,2014-12-05 16:20:00
0.395,0.395,0.395,0.395,3950,10000,2014-12-05 17:50:00
0.395,0.395,0.395,0.395,3950,10000,2014-12-08 10:00:00
0.489,0.489,0.489,0.489,4890,10000,2014-12-09 10:30:00
0.3,0.3,0.3,0.3,3000,10000,2014-12-16 10:20:00
0.459,0.459,0.459,0.459,4590,10000,2015-01-08 13:20:00
0.45,0.45,0.45,0.45,4500,10000,2015-01-19 13:50:00
0.62,0.62,0.62,0.62,6200,10000,2015-01-29 12:30:00
0.619,0.619,0.619,0.619,6190,10000,2015-01-29 13:00:00
0.422,0.422,0.422,0.422,16880,40000,2015-01-29 14:20:00
0.57,0.57,0.57,0.57,5700,10000,2015-02-02 11:20:00
0.539,0.539,0.539,0.539,5390,10000,2015-02-02 11:40:00
0.411,0.41,0.411,0.41,16410,40000,2015-02-02 14:50:00
0.303,0.303,0.303,0.303,3030,10000,2015-02-11 15:30:00
0.446,0.446,0.446,0.446,8920,20000,2015-02-11 15:40:00
0.306,0.306,0.306,0.306,6120,20000,2015-02-16 12:20:00
0.439,0.439,0.439,0.439,4390,10000,2015-02-16 13:10:00
